iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.076923,0.086957,0.083333,0.097561,0.923077,0.891304,0.407407,0.016667
0,1,0.076923,0.086957,0.083333,0.000000,0.923077,0.978261,0.240741,0.025641
0,2,0.230769,0.130435,0.000000,0.000000,0.769231,1.000000,0.333333,0.000000
0,3,0.230769,0.130435,0.000000,0.268293,0.769231,0.760870,0.259259,0.000000
0,4,0.230769,0.130435,0.416667,1.000000,0.769231,0.000000,0.314815,0.083333
0,5,0.230769,0.130435,0.000000,0.902439,0.769231,0.195652,0.314815,0.000000
0,6,0.384615,0.173913,1.000000,0.731707,0.615385,0.086957,0.166667,0.200000
0,7,0.384615,0.173913,0.000000,1.000000,0.615385,0.108696,0.240741,0.000000
0,8,0.384615,0.173913,1.000000,0.682927,0.615385,0.130435,0.129630,0.307692
0,9,0.153846,0.108696,0.000000,0.195122,0.846154,0.826087,0.333333,0.000000
0,10,0.153846,0.108696,0.000000,0.000000,0.846154,1.000000,0.240741,0.000000
0,11,0.307692,0.152174,0.000000,0.097561,0.692308,0.913043,0.277778,0.000000
0,12,0.307692,0.152174,-0.000000,0.292683,0.692308,0.739130,0.240741,-0.000000
0,13,0.307692,0.152174,0.000000,0.731707,0.692308,0.347826,0.314815,0.000000
0,14,0.307692,0.152174,0.000000,0.634146,0.692308,0.434783,0.259259,0.000000
0,15,0.461538,0.195652,0.000000,0.634146,0.538462,0.434783,0.240741,0.000000
0,16,0.461538,0.195652,0.000000,0.731707,0.538462,0.347826,0.240741,0.000000
0,17,0.461538,0.195652,0.416667,0.560976,0.538462,0.391304,0.203704,0.128205
0,18,0.076923,0.086957,0.000000,0.463415,0.923077,0.586957,0.407407,0.000000
0,19,0.076923,0.086957,0.166667,0.463415,0.923077,0.543478,0.407407,0.033333
0,20,0.153846,0.108696,0.000000,0.463415,0.846154,0.586957,0.407407,0.000000
0,21,0.153846,0.108696,0.000000,0.463415,0.846154,0.586957,0.370370,0.000000
0,22,0.153846,0.108696,0.083333,0.731707,0.846154,0.326087,0.425926,0.016667
0,23,0.153846,0.108696,0.000000,0.731707,0.846154,0.347826,0.425926,0.000000
0,24,0.230769,0.130435,0.000000,0.585366,0.769231,0.478261,0.425926,0.000000
0,25,0.230769,0.130435,0.000000,0.731707,0.769231,0.347826,0.388889,0.000000
0,26,0.230769,0.130435,0.000000,0.609756,0.769231,0.456522,0.425926,0.000000
0,27,0.615385,0.239130,0.833333,0.341463,0.384615,0.478261,0.185185,0.166667
0,28,0.615385,0.239130,0.000000,0.731707,0.384615,0.347826,0.296296,0.000000
0,29,0.615385,0.239130,0.833333,0.341463,0.384615,0.478261,0.166667,0.256410
0,30,0.115385,0.097826,0.000000,0.048780,0.884615,0.956522,0.240741,0.000000
0,31,0.115385,0.097826,0.000000,0.097561,0.884615,0.913043,0.203704,0.000000
0,32,0.269231,0.141304,0.000000,0.048780,0.730769,0.956522,0.259259,0.000000
0,33,0.269231,0.141304,0.333333,0.170732,0.730769,0.760870,0.185185,0.102564
0,34,0.269231,0.141304,0.500000,0.731707,0.730769,0.217391,0.203704,0.100000
0,35,0.269231,0.141304,0.000000,0.780488,0.730769,0.304348,0.222222,0.000000
0,36,0.423077,0.184783,0.000000,0.560976,0.576923,0.500000,0.185185,0.000000
0,37,0.423077,0.184783,0.000000,0.780488,0.576923,0.304348,0.166667,0.000000
0,38,0.423077,0.184783,0.250000,0.439024,0.576923,0.543478,0.148148,0.076923
0,39,0.192308,0.119565,0.000000,0.146341,0.807692,0.869565,0.240741,0.000000
0,40,0.192308,0.119565,0.000000,0.146341,0.807692,0.869565,0.240741,0.000000
0,41,0.346154,0.163043,0.000000,0.146341,0.653846,0.869565,0.222222,0.000000
0,42,0.346154,0.163043,0.000000,0.243902,0.653846,0.782609,0.185185,0.000000
0,43,0.346154,0.163043,0.000000,0.658537,0.653846,0.413043,0.240741,0.000000
0,44,0.346154,0.163043,0.000000,0.707317,0.653846,0.369565,0.277778,0.000000
0,45,0.500000,0.206522,0.500000,0.512195,0.500000,0.413043,0.203704,0.100000
0,46,0.500000,0.206522,0.000000,0.707317,0.500000,0.369565,0.222222,0.000000
0,47,0.500000,0.206522,0.000000,0.512195,0.500000,0.543478,0.222222,0.000000
0,48,0.115385,0.097826,0.000000,0.512195,0.884615,0.543478,0.351852,0.000000
0,49,0.115385,0.097826,0.166667,0.512195,0.884615,0.500000,0.333333,0.033333
0,50,0.192308,0.119565,0.000000,0.512195,0.807692,0.543478,0.333333,0.000000
0,51,0.192308,0.119565,0.000000,0.512195,0.807692,0.543478,0.333333,0.000000
