iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
12,0,0.076923,0.086957,0.000000,0.050000,0.923077,0.957746,0.454545,0.000000
12,1,0.076923,0.086957,0.000000,0.050000,0.923077,0.957746,0.257576,0.000000
12,2,0.230769,0.130435,0.000000,0.150000,0.769231,0.873239,0.348485,0.000000
12,3,0.230769,0.130435,0.214286,0.350000,0.769231,0.661972,0.272727,0.090909
12,4,0.230769,0.130435,1.000000,0.950000,0.769231,0.000000,0.303030,0.200000
12,5,0.230769,0.130435,0.000000,0.950000,0.769231,0.197183,0.287879,0.000000
12,6,0.384615,0.173913,1.000000,0.950000,0.615385,0.000000,0.242424,0.424242
12,7,0.384615,0.173913,0.000000,1.000000,0.615385,0.154930,0.227273,0.000000
12,8,0.384615,0.173913,0.785714,0.950000,0.615385,0.042254,0.136364,0.157143
12,9,0.153846,0.108696,0.000000,0.216667,0.846154,0.816901,0.378788,0.000000
12,10,0.153846,0.108696,0.000000,0.116667,0.846154,0.901408,0.257576,0.000000
12,11,0.307692,0.152174,0.214286,0.266667,0.692308,0.732394,0.318182,0.090909
12,12,0.307692,0.152174,0.000000,0.350000,0.692308,0.704225,0.257576,0.000000
12,13,0.307692,0.152174,0.285714,0.783333,0.692308,0.281690,0.272727,0.057143
12,14,0.307692,0.152174,0.214286,0.733333,0.692308,0.338028,0.227273,0.042857
12,15,0.461538,0.195652,0.285714,0.783333,0.538462,0.281690,0.303030,0.121212
12,16,0.461538,0.195652,0.000000,0.783333,0.538462,0.338028,0.212121,0.000000
12,17,0.461538,0.195652,0.500000,0.733333,0.538462,0.281690,0.196970,0.100000
12,18,0.076923,0.086957,0.000000,0.000000,0.923077,1.000000,0.378788,0.000000
12,19,0.076923,0.086957,0.000000,0.050000,0.923077,0.957746,0.363636,0.000000
12,20,0.153846,0.108696,0.000000,0.050000,0.846154,0.957746,0.363636,0.000000
12,21,0.153846,0.108696,0.000000,0.116667,0.846154,0.901408,0.333333,0.000000
12,22,0.153846,0.108696,0.000000,0.283333,0.846154,0.760563,0.393939,0.000000
12,23,0.153846,0.108696,0.000000,0.333333,0.846154,0.718310,0.378788,0.000000
12,24,0.230769,0.130435,0.000000,0.283333,0.769231,0.760563,0.393939,0.000000
12,25,0.230769,0.130435,0.000000,0.333333,0.769231,0.718310,0.348485,0.000000
12,26,0.230769,0.130435,0.000000,0.333333,0.769231,0.718310,0.378788,0.000000
12,27,0.615385,0.239130,0.000000,0.166667,0.384615,0.859155,0.242424,0.000000
12,28,0.615385,0.239130,0.500000,0.500000,0.384615,0.478873,0.257576,0.100000
12,29,0.615385,0.239130,0.000000,0.166667,0.384615,0.859155,0.166667,0.000000
12,30,0.115385,0.097826,0.000000,0.200000,0.884615,0.830986,0.257576,0.000000
12,31,0.115385,0.097826,0.000000,0.200000,0.884615,0.830986,0.196970,0.000000
12,32,0.269231,0.141304,0.000000,0.200000,0.730769,0.830986,0.257576,0.000000
12,33,0.269231,0.141304,0.000000,0.450000,0.730769,0.619718,0.196970,0.000000
12,34,0.269231,0.141304,0.000000,0.800000,0.730769,0.323944,0.181818,0.000000
12,35,0.269231,0.141304,0.428571,0.800000,0.730769,0.239437,0.181818,0.085714
12,36,0.423077,0.184783,0.214286,0.800000,0.576923,0.281690,0.227273,0.090909
12,37,0.423077,0.184783,0.000000,0.850000,0.576923,0.281690,0.136364,0.000000
12,38,0.423077,0.184783,0.642857,0.800000,0.576923,0.197183,0.136364,0.128571
12,39,0.192308,0.119565,0.000000,0.316667,0.807692,0.732394,0.242424,0.000000
12,40,0.192308,0.119565,0.000000,0.266667,0.807692,0.774648,0.227273,0.000000
12,41,0.346154,0.163043,0.000000,0.266667,0.653846,0.774648,0.227273,0.000000
12,42,0.346154,0.163043,0.000000,0.500000,0.653846,0.577465,0.196970,0.000000
12,43,0.346154,0.163043,0.214286,0.733333,0.653846,0.338028,0.212121,0.042857
12,44,0.346154,0.163043,0.000000,0.683333,0.653846,0.422535,0.242424,0.000000
12,45,0.500000,0.206522,0.428571,0.683333,0.500000,0.338028,0.227273,0.181818
12,46,0.500000,0.206522,0.000000,0.733333,0.500000,0.380282,0.196970,0.000000
12,47,0.500000,0.206522,0.000000,0.733333,0.500000,0.380282,0.196970,0.000000
12,48,0.115385,0.097826,0.000000,0.150000,0.884615,0.873239,0.303030,0.000000
12,49,0.115385,0.097826,0.214286,0.200000,0.884615,0.788732,0.272727,0.042857
12,50,0.192308,0.119565,0.000000,0.200000,0.807692,0.830986,0.272727,0.000000
12,51,0.192308,0.119565,0.000000,0.216667,0.807692,0.816901,0.272727,0.000000
12,52,0.192308,0.119565,0.000000,0.333333,0.807692,0.718310,0.287879,0.000000
12,53,0.192308,0.119565,0.000000,0.383333,0.807692,0.676056,0.257576,0.000000
12,54,0.269231,0.141304,0.000000,0.383333,0.730769,0.676056,0.242424,0.000000
12,55,0.269231,0.141304,0.000000,0.383333,0.730769,0.676056,0.242424,0.000000
12,56,0.269231,0.141304,0.000000,0.333333,0.730769,0.718310,0.287879,0.000000
12,57,0.653846,0.250000,0.000000,0.266667,0.346154,0.774648,0.181818,0.000000
12,58,0.653846,0.250000,0.000000,0.500000,0.346154,0.577465,0.196970,0.000000
12,59,0.653846,0.250000,0.000000,0.266667,0.346154,0.774648,0.196970,0.000000
12,60,0.000000,0.065217,0.000000,0.000000,1.000000,1.000000,0.484848,0.000000
12,61,0.000000,0.065217,0.000000,0.000000,1.000000,1.000000,0.515152,0.000000
12,62,0.076923,0.086957,0.000000,0.100000,0.923077,0.915493,0.469697,0.000000
12,63,0.076923,0.086957,0.000000,0.050000,0.923077,0.957746,0.500000,0.000000
12,64,0.076923,0.086957,0.000000,0.300000,0.923077,0.746479,0.515152,0.000000
12,65,0.076923,0.086957,0.000000,0.300000,0.923077,0.746479,0.500000,0.000000
12,66,0.153846,0.108696,0.000000,0.300000,0.846154,0.746479,0.484848,0.000000
12,67,0.153846,0.108696,0.000000,0.300000,0.846154,0.746479,0.454545,0.000000
12,68,0.153846,0.108696,0.000000,0.300000,0.846154,0.746479,0.454545,0.000000
12,69,0.038462,0.076087,0.000000,0.050000,0.961538,0.957746,0.515152,0.000000
12,70,0.038462,0.076087,0.000000,0.000000,0.961538,1.000000,0.469697,0.000000
12,71,0.115385,0.097826,0.000000,0.150000,0.884615,0.873239,0.500000,0.000000
12,72,0.115385,0.097826,0.000000,0.000000,0.884615,1.000000,0.484848,0.000000
12,73,0.115385,0.097826,0.000000,0.200000,0.884615,0.830986,0.484848,0.000000
12,74,0.115385,0.097826,0.000000,0.200000,0.884615,0.830986,0.469697,0.000000
12,75,0.192308,0.119565,0.000000,0.250000,0.807692,0.788732,0.484848,0.000000
12,76,0.192308,0.119565,0.000000,0.200000,0.807692,0.830986,0.439394,0.000000
12,77,0.192308,0.119565,0.000000,0.150000,0.807692,0.873239,0.454545,0.000000
12,78,0.000000,0.065217,0.000000,0.000000,1.000000,1.000000,0.500000,0.000000
12,79,0.000000,0.065217,0.000000,0.000000,1.000000,1.000000,0.530303,0.000000
12,80,0.038462,0.076087,0.000000,0.000000,0.961538,1.000000,0.469697,0.000000
12,81,0.038462,0.076087,0.000000,0.050000,0.961538,0.957746,0.484848,0.000000
12,82,0.038462,0.076087,0.000000,0.100000,0.961538,0.915493,0.515152,0.000000
12,83,0.038462,0.076087,0.000000,0.100000,0.961538,0.915493,0.515152,0.000000
12,84,0.076923,0.086957,0.000000,0.050000,0.923077,0.957746,0.484848,0.000000
12,85,0.076923,0.086957,0.000000,0.100000,0.923077,0.915493,0.484848,0.000000
12,86,0.076923,0.086957,0.000000,0.150000,0.923077,0.873239,0.469697,0.000000
12,87,0.269231,0.141304,0.000000,0.050000,0.730769,0.957746,0.424242,0.000000
12,88,0.269231,0.141304,0.000000,0.150000,0.730769,0.873239,0.409091,0.000000
12,89,0.269231,0.141304,0.000000,0.050000,0.730769,0.957746,0.454545,0.000000
12,90,1.000000,0.347826,0.000000,0.150000,0.000000,0.873239,0.121212,0.000000
12,91,1.000000,0.347826,0.642857,0.500000,0.000000,0.450704,0.257576,0.128571
12,92,1.000000,0.347826,0.000000,0.150000,0.000000,0.873239,0.166667,0.000000
