iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
23,0,0.091954,0.056940,0.000000,0.160000,0.908046,0.860140,0.389610,0.000000
23,1,0.091954,0.056940,0.000000,0.165333,0.908046,0.855478,0.207792,0.000000
23,2,0.183908,0.085409,0.000000,0.338667,0.816092,0.703963,0.272727,0.000000
23,3,0.183908,0.085409,0.000000,0.453333,0.816092,0.603730,0.220779,0.000000
23,4,0.183908,0.085409,0.568421,0.928000,0.816092,0.062937,0.246753,0.113684
23,5,0.183908,0.085409,0.000000,0.941333,0.816092,0.177156,0.220779,0.000000
23,6,0.275862,0.113879,0.705263,0.888000,0.724138,0.067599,0.207792,0.141053
23,7,0.275862,0.113879,0.000000,1.000000,0.724138,0.125874,0.207792,0.000000
23,8,0.275862,0.113879,1.000000,0.890667,0.724138,0.000000,0.155844,0.333333
23,9,0.137931,0.071174,0.073684,0.234667,0.862069,0.778555,0.246753,0.014737
23,10,0.137931,0.071174,0.000000,0.320000,0.862069,0.720280,0.220779,0.000000
23,11,0.229885,0.099644,0.000000,0.250667,0.770115,0.780886,0.246753,0.000000
23,12,0.229885,0.099644,0.000000,0.429333,0.770115,0.624709,0.194805,0.000000
23,13,0.229885,0.099644,0.000000,0.773333,0.770115,0.324009,0.181818,0.000000
23,14,0.229885,0.099644,0.084211,0.824000,0.770115,0.261072,0.220779,0.016842
23,15,0.321839,0.128114,0.326316,0.706667,0.678161,0.310023,0.259740,0.065263
23,16,0.321839,0.128114,0.547368,0.882667,0.678161,0.107226,0.168831,0.109474
23,17,0.321839,0.128114,0.000000,0.728000,0.678161,0.363636,0.181818,0.000000
23,18,0.091954,0.056940,0.000000,0.112000,0.908046,0.902098,0.337662,0.000000
23,19,0.091954,0.056940,0.000000,0.069333,0.908046,0.939394,0.337662,0.000000
23,20,0.137931,0.071174,0.000000,0.274667,0.862069,0.759907,0.285714,0.000000
23,21,0.137931,0.071174,0.000000,0.210667,0.862069,0.815851,0.298701,0.000000
23,22,0.137931,0.071174,0.000000,0.352000,0.862069,0.692308,0.337662,0.000000
23,23,0.137931,0.071174,0.000000,0.352000,0.862069,0.692308,0.337662,0.000000
23,24,0.183908,0.085409,0.000000,0.378667,0.816092,0.668998,0.311688,0.000000
23,25,0.183908,0.085409,0.000000,0.352000,0.816092,0.692308,0.337662,0.000000
23,26,0.183908,0.085409,0.000000,0.349333,0.816092,0.694639,0.259740,0.000000
23,27,0.413793,0.156584,0.105263,0.208000,0.586207,0.794872,0.233766,0.021053
23,28,0.413793,0.156584,0.536842,0.594667,0.586207,0.361305,0.220779,0.107368
23,29,0.413793,0.156584,0.105263,0.208000,0.586207,0.794872,0.155844,0.021053
23,30,0.114943,0.064057,0.126316,0.266667,0.885057,0.738928,0.285714,0.042105
23,31,0.114943,0.064057,0.168421,0.269333,0.885057,0.727273,0.207792,0.033684
23,32,0.206897,0.092527,0.284211,0.426667,0.793103,0.564103,0.246753,0.094737
23,33,0.206897,0.092527,0.000000,0.552000,0.793103,0.517483,0.168831,0.000000
23,34,0.206897,0.092527,0.000000,0.754667,0.793103,0.340326,0.220779,0.000000
23,35,0.206897,0.092527,0.294737,0.754667,0.793103,0.275058,0.220779,0.058947
23,36,0.298851,0.120996,0.000000,0.770667,0.701149,0.326340,0.259740,0.000000
23,37,0.298851,0.120996,0.000000,0.754667,0.701149,0.340326,0.207792,0.000000
23,38,0.298851,0.120996,0.031579,0.797333,0.701149,0.296037,0.194805,0.010526
23,39,0.160920,0.078292,0.000000,0.341333,0.839080,0.701632,0.220779,0.000000
23,40,0.160920,0.078292,0.000000,0.424000,0.839080,0.629371,0.220779,0.000000
23,41,0.252874,0.106762,0.000000,0.341333,0.747126,0.701632,0.233766,0.000000
23,42,0.252874,0.106762,0.000000,0.530667,0.747126,0.536131,0.181818,0.000000
23,43,0.252874,0.106762,0.000000,0.808000,0.747126,0.293706,0.207792,0.000000
23,44,0.252874,0.106762,0.000000,0.845333,0.747126,0.261072,0.194805,0.000000
23,45,0.344828,0.135231,0.210526,0.746667,0.655172,0.300699,0.246753,0.042105
23,46,0.344828,0.135231,0.010526,0.845333,0.655172,0.258741,0.181818,0.002105
23,47,0.344828,0.135231,0.389474,0.690667,0.655172,0.310023,0.220779,0.129825
23,48,0.114943,0.064057,0.000000,0.320000,0.885057,0.720280,0.233766,0.000000
23,49,0.114943,0.064057,0.000000,0.277333,0.885057,0.757576,0.246753,0.000000
23,50,0.160920,0.078292,0.000000,0.480000,0.839080,0.580420,0.233766,0.000000
23,51,0.160920,0.078292,0.000000,0.416000,0.839080,0.636364,0.233766,0.000000
23,52,0.160920,0.078292,0.000000,0.341333,0.839080,0.701632,0.259740,0.000000
23,53,0.160920,0.078292,0.000000,0.341333,0.839080,0.701632,0.259740,0.000000
23,54,0.206897,0.092527,0.000000,0.418667,0.793103,0.634033,0.246753,0.000000
23,55,0.206897,0.092527,0.000000,0.341333,0.793103,0.701632,0.246753,0.000000
23,56,0.206897,0.092527,0.000000,0.501333,0.793103,0.561772,0.233766,0.000000
23,57,0.436782,0.163701,0.000000,0.405333,0.563218,0.645688,0.207792,0.000000
23,58,0.436782,0.163701,0.000000,0.581333,0.563218,0.491841,0.194805,0.000000
23,59,0.436782,0.163701,0.000000,0.405333,0.563218,0.645688,0.142857,0.000000
23,60,0.045977,0.042705,0.000000,0.101333,0.954023,0.911422,0.454545,0.000000
23,61,0.045977,0.042705,0.000000,0.104000,0.954023,0.909091,0.402597,0.000000
23,62,0.091954,0.056940,0.000000,0.120000,0.908046,0.895105,0.402597,0.000000
23,63,0.091954,0.056940,0.000000,0.109333,0.908046,0.904429,0.337662,0.000000
23,64,0.091954,0.056940,0.000000,0.381333,0.908046,0.666667,0.376623,0.000000
23,65,0.091954,0.056940,0.000000,0.394667,0.908046,0.655012,0.363636,0.000000
23,66,0.137931,0.071174,0.000000,0.325333,0.862069,0.715618,0.363636,0.000000
23,67,0.137931,0.071174,0.000000,0.453333,0.862069,0.603730,0.363636,0.000000
23,68,0.137931,0.071174,0.000000,0.301333,0.862069,0.736597,0.350649,0.000000
23,69,0.068966,0.049822,0.000000,0.101333,0.931034,0.911422,0.428571,0.000000
23,70,0.068966,0.049822,0.000000,0.104000,0.931034,0.909091,0.402597,0.000000
23,71,0.114943,0.064057,0.000000,0.117333,0.885057,0.897436,0.402597,0.000000
23,72,0.114943,0.064057,0.000000,0.106667,0.885057,0.906760,0.376623,0.000000
23,73,0.114943,0.064057,0.000000,0.173333,0.885057,0.848485,0.376623,0.000000
23,74,0.114943,0.064057,0.000000,0.186667,0.885057,0.836830,0.376623,0.000000
23,75,0.160920,0.078292,0.000000,0.168000,0.839080,0.853147,0.363636,0.000000
23,76,0.160920,0.078292,0.000000,0.245333,0.839080,0.785548,0.376623,0.000000
23,77,0.160920,0.078292,0.000000,0.245333,0.839080,0.785548,0.376623,0.000000
23,78,0.045977,0.042705,0.000000,0.000000,0.954023,1.000000,0.428571,0.000000
23,79,0.045977,0.042705,0.000000,0.000000,0.954023,1.000000,0.389610,0.000000
23,80,0.068966,0.049822,0.000000,0.002667,0.931034,0.997669,0.428571,0.000000
23,81,0.068966,0.049822,0.000000,0.002667,0.931034,0.997669,0.389610,0.000000
23,82,0.068966,0.049822,0.000000,0.218667,0.931034,0.808858,0.402597,0.000000
23,83,0.068966,0.049822,0.000000,0.218667,0.931034,0.808858,0.389610,0.000000
23,84,0.091954,0.056940,0.000000,0.168000,0.908046,0.853147,0.402597,0.000000
23,85,0.091954,0.056940,0.000000,0.218667,0.908046,0.808858,0.389610,0.000000
23,86,0.091954,0.056940,0.000000,0.056000,0.908046,0.951049,0.389610,0.000000
23,87,0.206897,0.092527,0.000000,0.010667,0.793103,0.990676,0.415584,0.000000
23,88,0.206897,0.092527,0.000000,0.221333,0.793103,0.806527,0.324675,0.000000
23,89,0.206897,0.092527,0.000000,0.010667,0.793103,0.990676,0.337662,0.000000
23,90,0.643678,0.227758,0.010526,0.205333,0.356322,0.818182,0.155844,0.003509
23,91,0.643678,0.227758,0.421053,0.690667,0.356322,0.303030,0.207792,0.084211
23,92,0.643678,0.227758,0.000000,0.208000,0.356322,0.818182,0.155844,0.000000
23,93,0.103448,0.060498,0.178947,0.173333,0.896552,0.808858,0.233766,0.059649
23,94,0.103448,0.060498,0.000000,0.253333,0.896552,0.778555,0.207792,0.000000
23,95,0.195402,0.088968,0.000000,0.410667,0.804598,0.641026,0.181818,0.000000
23,96,0.195402,0.088968,0.000000,0.466667,0.804598,0.592075,0.207792,0.000000
23,97,0.195402,0.088968,0.000000,0.872000,0.804598,0.237762,0.220779,0.000000
23,98,0.195402,0.088968,0.000000,0.944000,0.804598,0.174825,0.220779,0.000000
23,99,0.287356,0.117438,0.105263,0.938667,0.712644,0.156177,0.168831,0.021053
23,100,0.287356,0.117438,0.000000,0.944000,0.712644,0.174825,0.220779,0.000000
23,101,0.287356,0.117438,0.031579,0.826667,0.712644,0.270396,0.168831,0.010526
23,102,0.149425,0.074733,0.000000,0.309333,0.850575,0.729604,0.220779,0.000000
23,103,0.149425,0.074733,0.242105,0.370667,0.850575,0.622378,0.220779,0.048421
23,104,0.241379,0.103203,0.000000,0.384000,0.758621,0.664336,0.246753,0.000000
23,105,0.241379,0.103203,0.000000,0.442667,0.758621,0.613054,0.207792,0.000000
23,106,0.241379,0.103203,0.000000,0.706667,0.758621,0.382284,0.246753,0.000000
23,107,0.241379,0.103203,0.000000,0.778667,0.758621,0.319347,0.246753,0.000000
23,108,0.333333,0.131673,0.000000,0.746667,0.666667,0.347319,0.220779,0.000000
23,109,0.333333,0.131673,0.000000,0.778667,0.666667,0.319347,0.220779,0.000000
23,110,0.333333,0.131673,0.000000,0.664000,0.666667,0.419580,0.207792,0.000000
23,111,0.103448,0.060498,0.000000,0.184000,0.896552,0.839161,0.259740,0.000000
23,112,0.103448,0.060498,0.000000,0.202667,0.896552,0.822844,0.259740,0.000000
23,113,0.149425,0.074733,0.147368,0.346667,0.850575,0.664336,0.194805,0.049123
23,114,0.149425,0.074733,0.000000,0.344000,0.850575,0.699301,0.233766,0.000000
23,115,0.149425,0.074733,0.000000,0.485333,0.850575,0.575758,0.272727,0.000000
23,116,0.149425,0.074733,0.000000,0.485333,0.850575,0.575758,0.272727,0.000000
23,117,0.195402,0.088968,0.000000,0.512000,0.804598,0.552448,0.233766,0.000000
23,118,0.195402,0.088968,0.000000,0.485333,0.804598,0.575758,0.272727,0.000000
23,119,0.195402,0.088968,0.000000,0.482667,0.804598,0.578089,0.220779,0.000000
23,120,0.425287,0.160142,0.000000,0.293333,0.574713,0.743590,0.246753,0.000000
23,121,0.425287,0.160142,0.000000,0.666667,0.574713,0.417249,0.168831,0.000000
23,122,0.425287,0.160142,0.000000,0.293333,0.574713,0.743590,0.181818,0.000000
23,123,0.126437,0.067616,0.000000,0.237333,0.873563,0.792541,0.220779,0.000000
23,124,0.126437,0.067616,0.000000,0.256000,0.873563,0.776224,0.233766,0.000000
23,125,0.218391,0.096085,0.000000,0.397333,0.781609,0.652681,0.194805,0.000000
23,126,0.218391,0.096085,0.231579,0.538667,0.781609,0.477855,0.220779,0.077193
23,127,0.218391,0.096085,0.294737,0.818667,0.781609,0.219114,0.220779,0.058947
23,128,0.218391,0.096085,0.000000,0.818667,0.781609,0.284382,0.233766,0.000000
23,129,0.310345,0.124555,0.378947,0.861333,0.689655,0.163170,0.194805,0.075789
23,130,0.310345,0.124555,0.000000,0.818667,0.689655,0.284382,0.220779,0.000000
23,131,0.310345,0.124555,0.000000,0.802667,0.689655,0.298368,0.194805,0.000000
23,132,0.172414,0.081851,0.000000,0.373333,0.827586,0.673660,0.233766,0.000000
23,133,0.172414,0.081851,0.000000,0.373333,0.827586,0.673660,0.259740,0.000000
23,134,0.264368,0.110320,0.000000,0.373333,0.735632,0.673660,0.220779,0.000000
23,135,0.264368,0.110320,0.000000,0.517333,0.735632,0.547786,0.233766,0.000000
23,136,0.264368,0.110320,0.000000,0.805333,0.735632,0.296037,0.272727,0.000000
23,137,0.264368,0.110320,0.000000,0.805333,0.735632,0.296037,0.259740,0.000000
23,138,0.356322,0.138790,0.000000,0.770667,0.643678,0.326340,0.233766,0.000000
23,139,0.356322,0.138790,0.000000,0.805333,0.643678,0.296037,0.246753,0.000000
23,140,0.356322,0.138790,0.263158,0.696000,0.643678,0.333333,0.246753,0.087719
23,141,0.126437,0.067616,0.000000,0.290667,0.873563,0.745921,0.207792,0.000000
