iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.091954,0.056940,0.000000,0.325069,0.908046,0.734234,0.444444,0.000000
0,1,0.091954,0.056940,0.726316,0.146006,0.908046,0.725225,0.148148,0.157534
0,2,0.183908,0.085409,0.031579,0.741047,0.816092,0.387387,0.277778,0.006316
0,3,0.183908,0.085409,0.000000,0.655647,0.816092,0.463964,0.203704,0.000000
0,4,0.183908,0.085409,0.000000,0.705234,0.816092,0.423423,0.240741,0.000000
0,5,0.183908,0.085409,0.000000,0.765840,0.816092,0.373874,0.203704,0.000000
0,6,0.275862,0.113879,1.000000,0.961433,0.724138,0.000000,0.166667,0.200000
0,7,0.275862,0.113879,0.631579,0.765840,0.724138,0.238739,0.185185,0.136986
0,8,0.275862,0.113879,0.526316,1.000000,0.724138,0.069820,0.148148,0.105263
0,9,0.137931,0.071174,0.000000,0.451791,0.862069,0.630631,0.222222,0.000000
0,10,0.137931,0.071174,0.000000,0.220386,0.862069,0.819820,0.203704,0.000000
0,11,0.229885,0.099644,0.000000,0.617080,0.770115,0.495495,0.222222,0.000000
0,12,0.229885,0.099644,0.000000,0.435262,0.770115,0.644144,0.185185,0.000000
0,13,0.229885,0.099644,0.389474,0.603306,0.770115,0.423423,0.166667,0.084475
0,14,0.229885,0.099644,0.221053,0.663912,0.770115,0.409910,0.203704,0.047945
0,15,0.321839,0.128114,0.294737,0.617080,0.678161,0.432432,0.222222,0.058947
0,16,0.321839,0.128114,0.052632,0.663912,0.678161,0.445946,0.148148,0.011416
0,17,0.321839,0.128114,0.452632,0.663912,0.678161,0.360360,0.185185,0.090526
0,18,0.091954,0.056940,0.000000,0.250689,0.908046,0.795045,0.370370,0.000000
0,19,0.091954,0.056940,0.000000,0.303030,0.908046,0.752252,0.370370,0.000000
0,20,0.137931,0.071174,0.000000,0.501377,0.862069,0.590090,0.296296,0.000000
0,21,0.137931,0.071174,0.000000,0.597796,0.862069,0.511261,0.314815,0.000000
0,22,0.137931,0.071174,0.000000,0.479339,0.862069,0.608108,0.388889,0.000000
0,23,0.137931,0.071174,0.000000,0.479339,0.862069,0.608108,0.388889,0.000000
0,24,0.183908,0.085409,0.000000,0.721763,0.816092,0.409910,0.314815,0.000000
0,25,0.183908,0.085409,0.000000,0.479339,0.816092,0.608108,0.388889,0.000000
0,26,0.183908,0.085409,0.000000,0.713499,0.816092,0.416667,0.277778,0.000000
0,27,0.413793,0.156584,0.031579,0.269972,0.586207,0.772523,0.148148,0.006316
0,28,0.413793,0.156584,0.484211,0.884298,0.586207,0.173423,0.222222,0.096842
