iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
1,0,0.222222,0.121212,0.338501,1.000000,0.777778,0.000000,0.410714,0.052674
1,1,0.222222,0.121212,0.839793,0.590659,0.777778,0.253308,0.321429,0.167959
1,2,0.222222,0.121212,0.449612,0.875687,0.777778,0.086957,0.303571,0.069964
1,3,0.222222,0.121212,0.000000,0.725275,0.777778,0.334594,0.357143,0.000000
1,4,0.222222,0.121212,0.374677,0.616071,0.777778,0.343415,0.303571,0.074935
1,5,0.222222,0.121212,0.521964,0.476648,0.777778,0.435413,0.339286,0.104393
1,6,0.222222,0.121212,0.000000,0.391484,0.777778,0.640832,0.285714,0.000000
1,7,0.222222,0.121212,0.702842,0.501374,0.777778,0.368620,0.214286,0.109369
1,8,0.222222,0.121212,1.000000,0.600962,0.777778,0.204789,0.250000,0.200000
1,9,0.222222,0.121212,0.000000,0.440247,0.777778,0.596093,0.214286,0.000000
1,10,0.222222,0.121212,0.000000,0.443681,0.777778,0.592943,0.232143,0.000000
1,11,0.222222,0.121212,0.718346,0.292582,0.777778,0.556396,0.232143,0.111781
1,12,0.222222,0.121212,0.000000,0.290522,0.777778,0.733459,0.232143,0.000000
1,13,0.222222,0.121212,0.878553,0.227335,0.777778,0.577190,0.232143,0.136711
1,14,0.111111,0.090909,0.454780,0.552198,0.888889,0.382483,0.464286,0.070768
1,15,0.111111,0.090909,0.000000,0.155907,0.888889,0.856963,0.553571,0.000000
1,16,0.111111,0.090909,0.260982,0.406593,0.888889,0.563327,0.464286,0.040611
1,17,0.111111,0.090909,0.000000,0.346841,0.888889,0.681790,0.500000,0.000000
1,18,0.111111,0.090909,0.000000,0.377060,0.888889,0.654064,0.500000,0.000000
1,19,0.111111,0.090909,0.000000,0.231456,0.888889,0.787650,0.553571,0.000000
1,20,0.111111,0.090909,0.000000,0.135302,0.888889,0.875866,0.464286,0.000000
1,21,0.555556,0.212121,0.000000,0.287775,0.444444,0.735980,0.232143,0.000000
1,22,0.222222,0.121212,0.764858,0.418956,0.777778,0.429112,0.267857,0.119019
1,23,0.222222,0.121212,0.335917,0.549451,0.777778,0.413989,0.250000,0.067183
1,24,0.222222,0.121212,0.136951,0.557692,0.777778,0.454946,0.232143,0.021311
1,25,0.222222,0.121212,0.563307,0.637363,0.777778,0.277883,0.232143,0.112661
1,26,0.222222,0.121212,0.000000,0.241071,0.777778,0.778828,0.285714,0.000000
1,27,0.222222,0.121212,0.121447,0.443681,0.777778,0.563327,0.285714,0.024289
1,28,0.222222,0.121212,0.390181,0.359203,0.777778,0.575299,0.232143,0.078036
1,29,0.222222,0.121212,0.093023,0.153159,0.777778,0.836799,0.214286,0.014475
1,30,0.222222,0.121212,0.739018,0.501374,0.777778,0.359798,0.214286,0.147804
1,31,0.222222,0.121212,0.000000,0.291896,0.777778,0.732199,0.214286,0.000000
1,32,0.222222,0.121212,0.547804,0.429258,0.777778,0.472590,0.214286,0.109561
1,33,0.222222,0.121212,0.000000,0.000000,0.777778,1.000000,0.232143,0.000000
1,34,0.222222,0.121212,0.000000,0.271978,0.777778,0.750473,0.250000,0.000000
1,35,0.222222,0.121212,0.201550,0.268544,0.777778,0.704474,0.232143,0.040310
1,36,0.111111,0.090909,0.000000,0.195742,0.888889,0.820416,0.303571,0.000000
1,37,0.111111,0.090909,0.000000,0.168269,0.888889,0.845621,0.339286,0.000000
1,38,0.111111,0.090909,0.118863,0.195742,0.888889,0.791430,0.303571,0.018496
1,39,0.111111,0.090909,0.410853,0.359203,0.888889,0.570258,0.303571,0.082171
1,40,0.111111,0.090909,0.000000,0.171016,0.888889,0.843100,0.339286,0.000000
1,41,0.111111,0.090909,0.100775,0.171016,0.888889,0.818526,0.339286,0.020155
1,42,0.111111,0.090909,0.000000,0.120879,0.888889,0.889099,0.339286,0.000000
1,43,0.555556,0.212121,0.054264,0.220467,0.444444,0.784499,0.214286,0.010853
1,44,0.055556,0.075758,0.333333,0.605082,0.944444,0.363579,0.410714,0.051870
1,45,0.055556,0.075758,0.000000,0.288462,0.944444,0.735350,0.535714,0.000000
1,46,0.055556,0.075758,0.312661,0.342033,0.944444,0.609956,0.339286,0.048653
1,47,0.055556,0.075758,0.000000,0.252060,0.944444,0.768746,0.500000,0.000000
1,48,0.055556,0.075758,0.000000,0.476648,0.944444,0.562697,0.410714,0.000000
1,49,0.055556,0.075758,0.000000,0.217720,0.944444,0.800252,0.517857,0.000000
1,50,0.055556,0.075758,0.263566,0.056319,0.944444,0.884058,0.428571,0.041013
1,51,0.055556,0.075758,0.193798,0.372253,0.944444,0.611216,0.482143,0.030157
1,52,0.055556,0.075758,0.000000,0.295330,0.944444,0.729049,0.517857,0.000000
1,53,0.055556,0.075758,0.000000,0.172390,0.944444,0.841840,0.410714,0.000000
1,54,0.055556,0.075758,0.000000,0.227335,0.944444,0.791430,0.482143,0.000000
1,55,0.055556,0.075758,0.000000,0.386676,0.944444,0.645243,0.517857,0.000000
1,56,0.055556,0.075758,0.000000,0.195742,0.944444,0.820416,0.500000,0.000000
1,57,0.055556,0.075758,0.028424,0.083104,0.944444,0.916824,0.428571,0.004423
1,58,0.000000,0.060606,0.000000,0.380495,1.000000,0.650914,0.464286,0.000000
1,59,0.000000,0.060606,0.000000,0.063187,1.000000,0.942029,0.589286,0.000000
1,60,0.000000,0.060606,0.000000,0.234890,1.000000,0.784499,0.482143,0.000000
1,61,0.000000,0.060606,0.000000,0.063187,1.000000,0.942029,0.553571,0.000000
1,62,0.000000,0.060606,0.377261,0.237637,1.000000,0.689981,0.482143,0.058705
1,63,0.000000,0.060606,0.000000,0.092033,1.000000,0.915564,0.589286,0.000000
1,64,0.000000,0.060606,0.000000,0.038462,1.000000,0.964713,0.517857,0.000000
1,65,0.222222,0.121212,0.000000,0.191621,0.777778,0.824197,0.339286,0.000000
1,66,1.000000,0.333333,0.354005,0.331044,0.000000,0.609956,0.214286,0.070801
4,0,0.222222,0.121212,0.000000,0.571767,0.777778,0.588166,0.406780,0.000000
4,1,0.222222,0.121212,0.706833,0.405443,0.777778,0.523456,0.338983,0.141367
4,2,0.222222,0.121212,0.000000,0.920201,0.777778,0.327386,0.305085,0.000000
4,3,0.222222,0.121212,0.000000,0.824323,0.777778,0.399144,0.355932,0.000000
4,4,0.222222,0.121212,0.795431,0.584646,0.777778,0.365620,0.305085,0.126366
4,5,0.222222,0.121212,0.292605,0.490106,0.777778,0.570964,0.338983,0.046485
4,6,0.222222,0.121212,1.000000,1.000000,0.777778,0.000000,0.288136,0.200000
4,7,0.222222,0.121212,0.359056,0.266092,0.777778,0.720837,0.220339,0.057041
4,8,0.222222,0.121212,0.109918,0.362831,0.777778,0.715120,0.271186,0.021984
4,9,0.222222,0.121212,0.000000,0.326782,0.777778,0.771521,0.203390,0.000000
4,10,0.222222,0.121212,0.017938,0.385849,0.777778,0.722512,0.237288,0.003588
4,11,0.222222,0.121212,0.825380,0.602144,0.777778,0.344508,0.237288,0.131124
4,12,0.222222,0.121212,0.858023,0.873373,0.777778,0.132774,0.237288,0.136310
4,13,0.222222,0.121212,0.124007,0.521791,0.777778,0.592377,0.254237,0.024801
4,14,0.111111,0.090909,0.000000,0.365959,0.888889,0.742199,0.457627,0.000000
4,15,0.111111,0.090909,0.000000,0.272374,0.888889,0.812241,0.525424,0.000000
4,16,0.111111,0.090909,0.520594,0.537598,0.888889,0.474396,0.457627,0.104119
4,17,0.111111,0.090909,0.324654,0.567554,0.888889,0.504421,0.474576,0.064931
4,18,0.111111,0.090909,0.517021,0.282463,0.888889,0.666303,0.474576,0.082136
4,19,0.111111,0.090909,0.000000,0.086172,0.888889,0.951601,0.525424,0.000000
4,20,0.111111,0.090909,0.000000,0.607289,0.888889,0.561580,0.440678,0.000000
4,21,0.555556,0.212121,0.000000,0.642875,0.444444,0.534946,0.237288,0.000000
4,22,0.222222,0.121212,0.279258,0.171692,0.777778,0.812848,0.271186,0.044364
4,23,0.222222,0.121212,0.060334,0.000000,0.777778,0.999946,0.271186,0.012067
4,24,0.222222,0.121212,0.449541,0.520199,0.777778,0.506436,0.237288,0.089908
4,25,0.222222,0.121212,0.165025,0.579649,0.777778,0.538095,0.237288,0.033005
4,26,0.222222,0.121212,0.000000,0.528279,0.777778,0.620714,0.288136,0.000000
4,27,0.222222,0.121212,0.366774,0.465287,0.777778,0.569687,0.288136,0.073355
4,28,0.222222,0.121212,0.036650,0.807754,0.777778,0.401735,0.237288,0.007330
4,29,0.222222,0.121212,0.558643,0.242073,0.777778,0.685392,0.220339,0.088749
4,30,0.222222,0.121212,0.520594,0.050256,0.777778,0.839139,0.237288,0.082704
4,31,0.222222,0.121212,0.000000,0.174035,0.777778,0.885841,0.203390,0.000000
4,32,0.222222,0.121212,0.530930,0.333447,0.777778,0.624423,0.220339,0.106186
4,33,0.222222,0.121212,0.000000,0.555240,0.777778,0.600535,0.237288,0.000000
4,34,0.222222,0.121212,0.170782,0.568737,0.777778,0.544721,0.254237,0.034156
4,35,0.222222,0.121212,0.273035,0.390622,0.777778,0.650659,0.237288,0.054607
4,36,0.111111,0.090909,0.000000,0.021505,0.888889,1.000000,0.288136,0.000000
4,37,0.111111,0.090909,0.000000,0.159173,0.888889,0.896965,0.338983,0.000000
4,38,0.111111,0.090909,0.277954,0.321944,0.888889,0.700744,0.305085,0.055591
4,39,0.111111,0.090909,0.000000,0.454353,0.888889,0.676042,0.305085,0.000000
4,40,0.111111,0.090909,0.000000,0.064925,0.888889,0.967503,0.338983,0.000000
4,41,0.111111,0.090909,0.000000,0.058510,0.888889,0.972305,0.338983,0.000000
4,42,0.111111,0.090909,0.670183,0.577814,0.888889,0.404258,0.322034,0.134037
4,43,0.555556,0.212121,0.356713,0.351263,0.444444,0.657720,0.237288,0.071343
4,44,0.055556,0.075758,0.000000,0.393432,0.944444,0.721638,0.406780,0.000000
4,45,0.055556,0.075758,0.000000,0.397208,0.944444,0.718811,0.525424,0.000000
4,46,0.055556,0.075758,0.000000,0.336784,0.944444,0.764035,0.338983,0.000000
4,47,0.055556,0.075758,0.158198,0.236439,0.944444,0.796793,0.474576,0.031640
4,48,0.055556,0.075758,0.000000,0.296427,0.944444,0.794239,0.406780,0.000000
4,49,0.055556,0.075758,0.000000,0.208303,0.944444,0.860195,0.508475,0.000000
4,50,0.055556,0.075758,0.582507,0.129027,0.944444,0.763612,0.423729,0.092540
4,51,0.055556,0.075758,0.153745,0.017376,0.944444,0.961939,0.474576,0.024425
4,52,0.055556,0.075758,0.000000,0.296825,0.944444,0.793941,0.508475,0.000000
4,53,0.055556,0.075758,0.000000,0.089528,0.944444,0.949090,0.389831,0.000000
4,54,0.055556,0.075758,0.000000,0.036652,0.944444,0.988664,0.457627,0.000000
4,55,0.055556,0.075758,0.000000,0.248583,0.944444,0.830047,0.491525,0.000000
4,56,0.055556,0.075758,0.000000,0.449739,0.944444,0.679496,0.491525,0.000000
4,57,0.055556,0.075758,0.107320,0.067950,0.944444,0.936513,0.423729,0.017049
4,58,0.000000,0.060606,0.132733,0.440408,1.000000,0.650952,0.440678,0.026547
4,59,0.000000,0.060606,0.000000,0.264139,1.000000,0.818404,0.559322,0.000000
4,60,0.000000,0.060606,0.000000,0.311608,1.000000,0.782877,0.457627,0.000000
4,61,0.000000,0.060606,0.000000,0.264139,1.000000,0.818404,0.525424,0.000000
4,62,0.000000,0.060606,0.000000,0.351874,1.000000,0.752741,0.474576,0.000000
4,63,0.000000,0.060606,0.000000,0.161997,1.000000,0.894851,0.559322,0.000000
4,64,0.000000,0.060606,0.000000,0.125429,1.000000,0.922220,0.491525,0.000000
4,65,0.222222,0.121212,0.445078,0.275862,0.777778,0.690500,0.322034,0.070707
4,66,1.000000,0.333333,0.336030,0.381511,0.000000,0.640617,0.220339,0.067206
5,0,0.222222,0.121212,0.784586,0.891842,0.777778,0.000000,0.400000,0.109956
5,1,0.222222,0.121212,0.870645,0.797934,0.777778,0.056280,0.333333,0.174129
5,2,0.222222,0.121212,0.000000,1.000000,0.777778,0.134374,0.300000,0.000000
5,3,0.222222,0.121212,0.000000,0.842643,0.777778,0.270586,0.350000,0.000000
5,4,0.222222,0.121212,0.538878,0.489783,0.777778,0.419435,0.316667,0.075521
5,5,0.222222,0.121212,0.260150,0.514277,0.777778,0.479229,0.350000,0.052030
5,6,0.222222,0.121212,0.628227,0.671571,0.777778,0.236110,0.283333,0.125645
5,7,0.222222,0.121212,0.461654,0.441330,0.777778,0.483818,0.233333,0.064699
5,8,0.222222,0.121212,0.587030,0.455676,0.777778,0.434966,0.266667,0.117406
5,9,0.222222,0.121212,0.218891,0.458578,0.777778,0.539434,0.200000,0.030677
5,10,0.222222,0.121212,0.000000,0.400892,0.777778,0.652977,0.233333,0.000000
5,11,0.222222,0.121212,0.731360,0.515697,0.777778,0.341069,0.250000,0.102497
5,12,0.222222,0.121212,0.457425,0.581050,0.777778,0.364101,0.250000,0.091485
5,13,0.222222,0.121212,0.225345,0.329417,0.777778,0.649363,0.250000,0.045069
5,14,0.111111,0.090909,0.000000,0.476647,0.888889,0.587402,0.450000,0.000000
