iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.177419,0.079602,0.000000,0.500948,0.822581,0.573502,0.444444,0.000000
0,1,0.177419,0.079602,0.000000,0.548882,0.822581,0.532692,0.296296,0.000000
0,2,0.177419,0.079602,0.000000,0.550292,0.822581,0.531491,0.351852,0.000000
0,3,0.177419,0.079602,0.000000,0.686814,0.822581,0.415259,0.277778,0.000000
0,4,0.177419,0.079602,0.792059,0.669179,0.822581,0.200842,0.314815,0.158412
0,5,0.177419,0.079602,0.000000,0.714472,0.822581,0.391711,0.240741,0.000000
0,6,0.177419,0.079602,0.477134,0.821516,0.822581,0.162367,0.240741,0.070606
0,7,0.177419,0.079602,0.000000,0.529401,0.822581,0.549278,0.259259,0.000000
0,8,0.177419,0.079602,0.109546,0.314929,0.822581,0.700144,0.185185,0.021909
0,9,0.177419,0.079602,0.000000,0.278171,0.822581,0.763171,0.240741,0.000000
0,10,0.177419,0.079602,0.104950,0.269481,0.822581,0.740168,0.185185,0.015530
0,11,0.177419,0.079602,0.393732,0.857608,0.822581,0.155799,0.185185,0.078746
0,12,0.177419,0.079602,0.566488,0.802676,0.822581,0.152525,0.203704,0.113298
0,13,0.177419,0.079602,0.000000,0.388111,0.822581,0.669569,0.222222,0.000000
0,14,0.112903,0.059701,0.000000,0.112068,0.887097,0.904587,0.481481,0.000000
0,15,0.112903,0.059701,0.000000,0.233954,0.887097,0.800816,0.444444,0.000000
0,16,0.112903,0.059701,0.000000,0.420178,0.887097,0.642268,0.407407,0.000000
0,17,0.112903,0.059701,0.000000,0.417333,0.887097,0.644690,0.481481,0.000000
0,18,0.112903,0.059701,0.000000,0.248078,0.887097,0.788791,0.425926,0.000000
0,19,0.112903,0.059701,0.000000,0.237209,0.887097,0.798045,0.388889,0.000000
0,20,0.112903,0.059701,0.000000,0.552035,0.887097,0.530007,0.407407,0.000000
0,21,0.370968,0.139303,0.000000,0.584564,0.629032,0.502313,0.148148,0.000000
0,22,0.177419,0.079602,0.000000,0.355224,0.822581,0.697569,0.185185,0.000000
0,23,0.177419,0.079602,0.000000,0.393930,0.822581,0.664615,0.203704,0.000000
0,24,0.177419,0.079602,0.496873,0.532939,0.822581,0.402339,0.148148,0.073527
0,25,0.177419,0.079602,0.000000,0.852558,0.822581,0.274148,0.222222,0.000000
0,26,0.177419,0.079602,0.000000,0.523454,0.822581,0.554341,0.166667,0.000000
0,27,0.177419,0.079602,0.000000,0.520583,0.822581,0.556785,0.203704,0.000000
0,28,0.177419,0.079602,0.000000,0.930970,0.822581,0.207389,0.166667,0.000000
0,29,0.177419,0.079602,0.614631,0.243156,0.822581,0.614945,0.166667,0.090953
0,30,0.177419,0.079602,0.000000,0.145878,0.822581,0.875802,0.185185,0.000000
0,31,0.177419,0.079602,0.073005,0.130114,0.822581,0.868076,0.185185,0.010803
0,32,0.177419,0.079602,0.000000,0.349252,0.822581,0.702654,0.185185,0.000000
0,33,0.177419,0.079602,0.218263,0.275377,0.822581,0.702326,0.185185,0.043653
0,34,0.177419,0.079602,0.051006,0.308213,0.822581,0.722819,0.185185,0.010201
0,35,0.177419,0.079602,0.000000,0.349252,0.822581,0.702654,0.203704,0.000000
0,36,0.112903,0.059701,0.000000,0.286630,0.887097,0.755969,0.222222,0.000000
0,37,0.112903,0.059701,0.086491,0.422614,0.887097,0.615141,0.185185,0.012799
0,38,0.112903,0.059701,0.000000,0.577386,0.887097,0.508424,0.203704,0.000000
