iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
11,0,0.177419,0.079602,0.000000,0.571327,0.822581,0.428673,0.400000,0.000000
11,1,0.177419,0.079602,0.572024,0.789164,0.822581,0.079243,0.261538,0.065169
11,2,0.177419,0.079602,0.393072,0.781512,0.822581,0.128062,0.323077,0.078614
11,3,0.177419,0.079602,0.104910,0.441020,0.822581,0.534846,0.292308,0.020982
11,4,0.177419,0.079602,0.465478,0.640979,0.822581,0.251939,0.307692,0.053031
11,5,0.177419,0.079602,0.000000,1.000000,0.822581,0.000000,0.215385,0.000000
11,6,0.177419,0.079602,0.518756,0.601308,0.822581,0.279353,0.261538,0.103751
11,7,0.177419,0.079602,0.000000,0.249487,0.822581,0.750513,0.261538,0.000000
11,8,0.177419,0.079602,0.217196,0.455772,0.822581,0.494263,0.215385,0.024744
11,9,0.177419,0.079602,0.000000,0.669685,0.822581,0.330315,0.246154,0.000000
11,10,0.177419,0.079602,0.124665,0.589208,0.822581,0.382113,0.200000,0.024933
11,11,0.177419,0.079602,0.103913,0.470166,0.822581,0.505929,0.215385,0.011839
11,12,0.177419,0.079602,0.328035,0.701811,0.822581,0.222725,0.215385,0.037372
11,13,0.177419,0.079602,0.609474,0.814360,0.822581,0.045432,0.230769,0.121895
11,14,0.112903,0.059701,0.000000,0.419505,0.887097,0.580495,0.461538,0.000000
11,15,0.112903,0.059701,0.000000,0.432231,0.887097,0.567769,0.415385,0.000000
11,16,0.112903,0.059701,0.000000,0.319386,0.887097,0.680614,0.415385,0.000000
11,17,0.112903,0.059701,0.000000,0.153177,0.887097,0.846823,0.476923,0.000000
11,18,0.112903,0.059701,0.121790,0.413456,0.887097,0.558527,0.400000,0.013875
11,19,0.112903,0.059701,0.477699,0.540832,0.887097,0.349274,0.369231,0.054423
11,20,0.112903,0.059701,0.000000,0.197034,0.887097,0.802966,0.415385,0.000000
11,21,0.370968,0.139303,0.000000,0.439385,0.629032,0.560615,0.153846,0.000000
11,22,0.177419,0.079602,0.510996,0.579797,0.822581,0.302649,0.215385,0.102199
11,23,0.177419,0.079602,0.083412,0.386316,0.822581,0.594495,0.184615,0.009503
11,24,0.177419,0.079602,0.000000,0.688095,0.822581,0.311905,0.184615,0.000000
11,25,0.177419,0.079602,0.000000,0.175585,0.822581,0.824415,0.246154,0.000000
11,26,0.177419,0.079602,0.000000,0.496575,0.822581,0.503425,0.184615,0.000000
11,27,0.177419,0.079602,1.000000,0.708709,0.822581,0.061243,0.184615,0.113927
11,28,0.177419,0.079602,0.408528,0.389101,0.822581,0.516917,0.200000,0.081706
11,29,0.177419,0.079602,0.137394,0.539694,0.822581,0.428699,0.200000,0.027479
11,30,0.177419,0.079602,0.000000,0.281841,0.822581,0.718159,0.215385,0.000000
11,31,0.177419,0.079602,0.857690,0.725723,0.822581,0.076967,0.230769,0.171538
11,32,0.177419,0.079602,0.000000,0.180871,0.822581,0.819129,0.215385,0.000000
11,33,0.177419,0.079602,0.000000,0.294324,0.822581,0.705676,0.230769,0.000000
11,34,0.177419,0.079602,0.000000,0.525970,0.822581,0.474030,0.200000,0.000000
11,35,0.177419,0.079602,0.000000,0.345784,0.822581,0.654216,0.230769,0.000000
11,36,0.112903,0.059701,0.000000,0.225795,0.887097,0.774205,0.246154,0.000000
11,37,0.112903,0.059701,0.000000,0.156317,0.887097,0.843683,0.215385,0.000000
11,38,0.112903,0.059701,0.000000,0.257958,0.887097,0.742042,0.230769,0.000000
11,39,0.112903,0.059701,0.000000,0.074574,0.887097,0.925426,0.230769,0.000000
11,40,0.112903,0.059701,0.758577,0.316038,0.887097,0.509453,0.246154,0.086423
11,41,0.112903,0.059701,0.000000,0.296526,0.887097,0.703474,0.184615,0.000000
11,42,0.112903,0.059701,0.355838,0.231898,0.887097,0.686242,0.230769,0.071168
11,43,0.370968,0.139303,0.204286,0.318038,0.629032,0.634966,0.169231,0.040857
11,44,0.080645,0.049751,0.000000,0.146714,0.919355,0.853286,0.461538,0.000000
11,45,0.080645,0.049751,0.757983,0.383659,0.919355,0.441968,0.415385,0.086355
11,46,0.080645,0.049751,0.000000,0.351513,0.919355,0.648487,0.446154,0.000000
11,47,0.080645,0.049751,0.000000,0.246246,0.919355,0.753754,0.430769,0.000000
11,48,0.080645,0.049751,0.000000,0.125215,0.919355,0.874785,0.446154,0.000000
11,49,0.080645,0.049751,0.000000,0.272103,0.919355,0.727897,0.384615,0.000000
11,50,0.080645,0.049751,0.000000,0.295930,0.919355,0.704070,0.446154,0.000000
11,51,0.080645,0.049751,0.000000,0.000000,0.919355,1.000000,0.446154,0.000000
11,52,0.080645,0.049751,0.000000,0.154742,0.919355,0.845258,0.400000,0.000000
11,53,0.080645,0.049751,0.000000,0.255221,0.919355,0.744779,0.476923,0.000000
11,54,0.080645,0.049751,0.000000,0.389149,0.919355,0.610851,0.430769,0.000000
11,55,0.080645,0.049751,0.000000,0.156652,0.919355,0.843348,0.415385,0.000000
11,56,0.080645,0.049751,0.000000,0.156652,0.919355,0.843348,0.415385,0.000000
11,57,0.080645,0.049751,0.000000,0.470439,0.919355,0.529561,0.476923,0.000000
11,58,0.048387,0.039801,0.000000,0.174521,0.951613,0.825479,0.507692,0.000000
11,59,0.048387,0.039801,0.000000,0.256725,0.951613,0.743275,0.492308,0.000000
11,60,0.048387,0.039801,0.000000,0.124099,0.951613,0.875901,0.507692,0.000000
11,61,0.048387,0.039801,0.000000,0.059414,0.951613,0.940586,0.492308,0.000000
11,62,0.048387,0.039801,0.000000,0.078229,0.951613,0.921771,0.492308,0.000000
11,63,0.048387,0.039801,0.000000,0.225117,0.951613,0.774883,0.476923,0.000000
11,64,0.048387,0.039801,0.000000,0.027807,0.951613,0.972193,0.476923,0.000000
11,65,0.177419,0.079602,0.000000,0.237181,0.822581,0.762819,0.323077,0.000000
11,66,0.629032,0.218905,0.000000,0.393119,0.370968,0.606881,0.169231,0.000000
11,67,0.177419,0.079602,0.191596,0.301521,0.822581,0.654402,0.215385,0.038319
11,68,0.177419,0.079602,0.407562,0.532303,0.822581,0.373938,0.200000,0.081512
11,69,0.177419,0.079602,0.718779,0.602573,0.822581,0.232073,0.200000,0.143756
11,70,0.177419,0.079602,0.000000,0.495827,0.822581,0.504173,0.246154,0.000000
11,71,0.177419,0.079602,0.085675,0.454302,0.822581,0.525988,0.184615,0.009761
11,72,0.177419,0.079602,0.344351,0.622076,0.822581,0.298707,0.200000,0.039231
11,73,0.177419,0.079602,0.464778,0.653086,0.822581,0.239993,0.200000,0.092956
11,74,0.177419,0.079602,0.000000,0.173424,0.822581,0.826576,0.200000,0.000000
11,75,0.177419,0.079602,0.000000,0.262452,0.822581,0.737548,0.215385,0.000000
11,76,0.177419,0.079602,0.459245,0.498162,0.822581,0.396189,0.200000,0.091849
11,77,0.177419,0.079602,0.419396,0.407975,0.822581,0.495544,0.215385,0.083879
11,78,0.177419,0.079602,0.000000,0.300126,0.822581,0.699874,0.200000,0.000000
11,79,0.177419,0.079602,0.000000,0.440078,0.822581,0.559922,0.215385,0.000000
11,80,0.177419,0.079602,0.000000,0.639294,0.822581,0.360706,0.200000,0.000000
11,81,0.112903,0.059701,0.005104,0.253868,0.887097,0.744958,0.261538,0.001021
11,82,0.112903,0.059701,0.000000,0.451587,0.887097,0.548413,0.246154,0.000000
11,83,0.112903,0.059701,0.000000,0.349006,0.887097,0.650994,0.292308,0.000000
11,84,0.112903,0.059701,0.000000,0.398455,0.887097,0.601545,0.292308,0.000000
11,85,0.112903,0.059701,0.000000,0.344111,0.887097,0.655889,0.292308,0.000000
11,86,0.112903,0.059701,0.000000,0.445594,0.887097,0.554406,0.215385,0.000000
11,87,0.112903,0.059701,0.274369,0.443218,0.887097,0.493663,0.261538,0.054874
11,88,0.370968,0.139303,0.303665,0.475380,0.629032,0.454762,0.169231,0.060733
11,89,0.177419,0.079602,0.245064,0.456705,0.822581,0.486918,0.215385,0.049013
11,90,0.177419,0.079602,0.000000,0.199186,0.822581,0.800814,0.200000,0.000000
11,91,0.177419,0.079602,0.000000,0.412207,0.822581,0.587793,0.184615,0.000000
11,92,0.177419,0.079602,0.000000,0.360021,0.822581,0.639979,0.200000,0.000000
11,93,0.177419,0.079602,0.260368,0.360321,0.822581,0.579782,0.215385,0.029663
11,94,0.177419,0.079602,0.109424,0.330784,0.822581,0.644043,0.215385,0.012466
11,95,0.177419,0.079602,0.000000,0.307535,0.822581,0.692465,0.184615,0.000000
11,96,0.177419,0.079602,0.000000,0.328608,0.822581,0.671392,0.215385,0.000000
11,97,0.177419,0.079602,0.418572,0.158253,0.822581,0.745456,0.200000,0.047687
