iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.132653,0.052805,0.000000,0.056274,0.867347,0.950594,0.403846,0.000000
0,1,0.132653,0.052805,0.000000,0.419069,0.867347,0.632072,0.307692,0.000000
0,2,0.132653,0.052805,0.000000,0.271487,0.867347,0.761644,0.307692,0.000000
0,3,0.132653,0.052805,0.000000,0.634491,0.867347,0.442939,0.211538,0.000000
0,4,0.132653,0.052805,0.000000,0.389698,0.867347,0.657859,0.326923,0.000000
0,5,0.132653,0.052805,0.000000,0.542846,0.867347,0.523400,0.269231,0.000000
0,6,0.132653,0.052805,0.239115,0.696331,0.867347,0.343468,0.173077,0.047823
0,7,0.132653,0.052805,0.000000,0.400160,0.867347,0.648673,0.211538,0.000000
0,8,0.132653,0.052805,0.000000,0.482102,0.867347,0.576731,0.192308,0.000000
0,9,0.132653,0.052805,0.000000,0.048999,0.867347,0.956981,0.173077,0.000000
0,10,0.132653,0.052805,0.000000,0.132467,0.867347,0.883699,0.153846,0.000000
0,11,0.132653,0.052805,0.707509,0.798005,0.867347,0.165706,0.192308,0.080353
0,12,0.132653,0.052805,0.193551,0.768728,0.867347,0.288514,0.134615,0.038710
0,13,0.132653,0.052805,0.364361,0.070248,0.867347,0.869483,0.173077,0.041381
0,14,0.091837,0.039604,0.000000,0.324919,0.908163,0.714733,0.403846,0.000000
0,15,0.091837,0.039604,0.000000,0.524899,0.908163,0.539157,0.346154,0.000000
0,16,0.091837,0.039604,0.000000,0.596405,0.908163,0.476377,0.307692,0.000000
0,17,0.091837,0.039604,0.598002,0.864761,0.908163,0.127785,0.269231,0.119600
0,18,0.091837,0.039604,0.000000,0.403328,0.908163,0.645892,0.442308,0.000000
0,19,0.091837,0.039604,0.000000,0.467061,0.908163,0.589936,0.384615,0.000000
0,20,0.091837,0.039604,0.645904,1.000000,0.908163,0.000000,0.307692,0.129181
0,21,0.255102,0.092409,0.239995,0.798729,0.744898,0.253400,0.115385,0.047999
0,22,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.192308,0.000000
0,23,0.132653,0.052805,0.000000,0.105699,0.867347,0.907200,0.153846,0.000000
0,24,0.132653,0.052805,0.000000,0.216610,0.867347,0.809824,0.153846,0.000000
0,25,0.132653,0.052805,0.261498,0.381018,0.867347,0.616073,0.134615,0.052300
0,26,0.132653,0.052805,0.000000,0.299650,0.867347,0.736918,0.192308,0.000000
0,27,0.132653,0.052805,0.000000,0.405348,0.867347,0.644118,0.173077,0.000000
0,28,0.132653,0.052805,0.022383,0.597628,0.867347,0.471074,0.134615,0.004477
0,29,0.132653,0.052805,0.000000,0.343887,0.867347,0.698080,0.134615,0.000000
0,30,0.132653,0.052805,0.000000,0.041966,0.867347,0.963156,0.173077,0.000000
0,31,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.153846,0.000000
0,32,0.132653,0.052805,0.000000,0.038185,0.867347,0.966475,0.134615,0.000000
0,33,0.132653,0.052805,0.000000,0.707957,0.867347,0.378439,0.153846,0.000000
0,34,0.132653,0.052805,0.000000,0.406036,0.867347,0.643515,0.134615,0.000000
0,35,0.132653,0.052805,0.000000,0.038185,0.867347,0.966475,0.153846,0.000000
0,36,0.091837,0.039604,0.000000,0.051646,0.908163,0.954656,0.211538,0.000000
0,37,0.091837,0.039604,0.000000,0.115379,0.908163,0.898701,0.173077,0.000000
0,38,0.091837,0.039604,0.000000,0.268256,0.908163,0.764480,0.211538,0.000000
0,39,0.091837,0.039604,0.000000,0.394479,0.908163,0.653661,0.153846,0.000000
0,40,0.091837,0.039604,0.000000,0.130056,0.908163,0.885815,0.230769,0.000000
0,41,0.091837,0.039604,0.000000,0.193789,0.908163,0.829860,0.192308,0.000000
0,42,0.091837,0.039604,0.000000,0.611089,0.908163,0.463485,0.153846,0.000000
0,43,0.255102,0.092409,0.000000,0.486717,0.744898,0.572680,0.115385,0.000000
0,44,0.071429,0.033003,0.000000,0.056274,0.928571,0.950594,0.461538,0.000000
0,45,0.071429,0.033003,0.000000,0.313370,0.928571,0.724872,0.538462,0.000000
0,46,0.071429,0.033003,0.000000,0.054877,0.928571,0.951820,0.423077,0.000000
0,47,0.071429,0.033003,0.000000,0.270408,0.928571,0.762591,0.442308,0.000000
0,48,0.071429,0.033003,0.000000,0.090048,0.928571,0.920941,0.461538,0.000000
0,49,0.071429,0.033003,0.000000,0.137498,0.928571,0.879282,0.442308,0.000000
0,50,0.071429,0.033003,0.000000,0.115638,0.928571,0.898474,0.480769,0.000000
0,51,0.071429,0.033003,0.000000,0.056274,0.928571,0.950594,0.538462,0.000000
0,52,0.071429,0.033003,0.000000,0.440136,0.928571,0.613576,0.403846,0.000000
0,53,0.071429,0.033003,0.000000,0.048999,0.928571,0.956981,0.519231,0.000000
0,54,0.071429,0.033003,0.000000,0.111218,0.928571,0.902355,0.384615,0.000000
0,55,0.071429,0.033003,0.000000,0.090048,0.928571,0.920941,0.461538,0.000000
0,56,0.071429,0.033003,0.000000,0.362693,0.928571,0.681568,0.384615,0.000000
0,57,0.071429,0.033003,0.000000,0.048999,0.928571,0.956981,0.538462,0.000000
0,58,0.051020,0.026403,0.000000,0.273272,0.948980,0.760076,0.461538,0.000000
0,59,0.051020,0.026403,0.000000,0.409520,0.948980,0.640456,0.461538,0.000000
0,60,0.051020,0.026403,0.000000,0.328149,0.948980,0.711897,0.423077,0.000000
0,61,0.051020,0.026403,0.000000,0.470282,0.948980,0.587109,0.346154,0.000000
0,62,0.051020,0.026403,0.000000,0.273272,0.948980,0.760076,0.500000,0.000000
0,63,0.051020,0.026403,0.000000,0.273272,0.948980,0.760076,0.500000,0.000000
0,64,0.051020,0.026403,0.000000,0.388911,0.948980,0.658550,0.384615,0.000000
0,65,0.132653,0.052805,0.000000,0.312013,0.867347,0.726064,0.365385,0.000000
0,66,0.418367,0.145215,0.000000,0.016936,0.581633,0.985131,0.134615,0.000000
0,67,0.132653,0.052805,0.000000,0.339496,0.867347,0.701934,0.192308,0.000000
0,68,0.132653,0.052805,0.000000,0.199981,0.867347,0.824424,0.115385,0.000000
0,69,0.132653,0.052805,0.000000,0.411201,0.867347,0.638980,0.192308,0.000000
0,70,0.132653,0.052805,0.000000,0.539842,0.867347,0.526037,0.134615,0.000000
0,71,0.132653,0.052805,0.000000,0.346746,0.867347,0.695569,0.153846,0.000000
0,72,0.132653,0.052805,0.000000,0.284477,0.867347,0.750239,0.134615,0.000000
0,73,0.132653,0.052805,0.000000,0.601302,0.867347,0.472078,0.153846,0.000000
0,74,0.132653,0.052805,0.000000,0.468185,0.867347,0.588950,0.173077,0.000000
0,75,0.132653,0.052805,0.000000,0.050207,0.867347,0.955920,0.115385,0.000000
0,76,0.132653,0.052805,0.000000,0.213494,0.867347,0.812559,0.153846,0.000000
0,77,0.132653,0.052805,0.000000,0.037819,0.867347,0.966796,0.153846,0.000000
0,78,0.132653,0.052805,0.000000,0.539855,0.867347,0.526026,0.134615,0.000000
0,79,0.132653,0.052805,0.342847,0.297553,0.867347,0.673983,0.115385,0.038937
0,80,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.173077,0.000000
0,81,0.091837,0.039604,0.000000,0.120724,0.908163,0.894008,0.211538,0.000000
0,82,0.091837,0.039604,0.000000,0.320705,0.908163,0.718432,0.153846,0.000000
0,83,0.091837,0.039604,0.000000,0.318431,0.908163,0.720429,0.192308,0.000000
0,84,0.091837,0.039604,1.000000,0.660566,0.908163,0.231109,0.134615,0.200000
0,85,0.091837,0.039604,0.000000,0.199134,0.908163,0.825167,0.173077,0.000000
0,86,0.091837,0.039604,0.000000,0.262867,0.908163,0.769212,0.211538,0.000000
0,87,0.091837,0.039604,0.000000,0.722026,0.908163,0.366087,0.153846,0.000000
0,88,0.255102,0.092409,0.000000,0.321726,0.744898,0.717536,0.134615,0.000000
0,89,0.132653,0.052805,0.000000,0.030574,0.867347,0.973157,0.153846,0.000000
0,90,0.132653,0.052805,0.000000,0.063733,0.867347,0.944045,0.134615,0.000000
0,91,0.132653,0.052805,0.000000,0.173404,0.867347,0.847757,0.153846,0.000000
0,92,0.132653,0.052805,0.000000,0.342833,0.867347,0.699004,0.134615,0.000000
0,93,0.132653,0.052805,0.000000,0.186970,0.867347,0.835847,0.153846,0.000000
0,94,0.132653,0.052805,0.000000,0.250703,0.867347,0.779892,0.153846,0.000000
0,95,0.132653,0.052805,0.000000,0.485663,0.867347,0.573605,0.134615,0.000000
0,96,0.132653,0.052805,0.000000,0.159263,0.867347,0.860173,0.153846,0.000000
0,97,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.134615,0.000000
0,98,0.132653,0.052805,0.000000,0.030574,0.867347,0.973157,0.173077,0.000000
0,99,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.134615,0.000000
0,100,0.132653,0.052805,0.000000,0.380079,0.867347,0.666304,0.134615,0.000000
0,101,0.132653,0.052805,0.000000,0.251390,0.867347,0.779288,0.115385,0.000000
0,102,0.132653,0.052805,0.000000,0.000000,0.867347,1.000000,0.153846,0.000000
0,103,0.091837,0.039604,0.000000,0.051646,0.908163,0.954656,0.153846,0.000000
0,104,0.091837,0.039604,0.000000,0.115379,0.908163,0.898701,0.192308,0.000000
0,105,0.091837,0.039604,0.988890,0.194476,0.908163,0.642419,0.153846,0.112309
