iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.000000,0.078431,0.000000,0.000000,1.000000,1.000000,0.592593,0.000000
0,1,0.000000,0.078431,0.000000,0.000000,1.000000,1.000000,0.259259,0.000000
0,2,0.181818,0.117647,0.000000,0.333333,0.818182,0.739130,0.388889,0.000000
0,3,0.181818,0.117647,0.000000,0.333333,0.818182,0.739130,0.203704,-0.000000
0,4,0.181818,0.117647,0.000000,0.333333,0.818182,0.739130,0.462963,0.000000
0,5,0.181818,0.117647,0.000000,0.277778,0.818182,0.782609,0.370370,0.000000
0,6,0.181818,0.117647,0.000000,0.666667,0.818182,0.478261,0.314815,0.000000
0,7,0.181818,0.117647,0.000000,0.666667,0.818182,0.478261,0.314815,0.000000
0,8,0.545455,0.196078,1.000000,1.000000,0.454545,0.000000,0.185185,0.625000
0,9,0.545455,0.196078,1.000000,0.944444,0.454545,0.043478,0.203704,0.200000
0,10,0.545455,0.196078,0.800000,1.000000,0.454545,0.043478,0.166667,0.160000
0,11,0.545455,0.196078,0.800000,1.000000,0.454545,0.043478,0.203704,0.160000
0,12,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.425926,0.000000
0,13,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.203704,0.000000
0,14,0.272727,0.137255,0.000000,0.388889,0.727273,0.695652,0.333333,-0.000000
0,15,0.272727,0.137255,0.000000,0.388889,0.727273,0.695652,0.203704,0.000000
0,16,0.272727,0.137255,0.000000,0.333333,0.727273,0.739130,0.314815,0.000000
0,17,0.272727,0.137255,0.000000,0.333333,0.727273,0.739130,0.277778,0.000000
0,18,0.272727,0.137255,0.000000,0.666667,0.727273,0.478261,0.351852,0.000000
0,19,0.272727,0.137255,0.200000,0.666667,0.727273,0.434783,0.296296,0.040000
0,20,0.636364,0.215686,0.200000,0.833333,0.363636,0.304348,0.185185,0.125000
0,21,0.636364,0.215686,0.200000,0.888889,0.363636,0.260870,0.148148,0.040000
0,22,0.636364,0.215686,0.200000,0.944444,0.363636,0.217391,0.240741,0.040000
0,23,0.636364,0.215686,0.400000,0.944444,0.363636,0.173913,0.185185,0.080000
0,24,0.090909,0.098039,0.000000,0.055556,0.909091,0.956522,0.425926,0.000000
0,25,0.090909,0.098039,0.000000,0.055556,0.909091,0.956522,0.277778,-0.000000
0,26,0.272727,0.137255,0.000000,0.111111,0.727273,0.913043,0.314815,0.000000
0,27,0.272727,0.137255,0.000000,0.111111,0.727273,0.913043,0.296296,0.000000
0,28,0.272727,0.137255,0.000000,0.166667,0.727273,0.869565,0.296296,0.000000
0,29,0.272727,0.137255,0.000000,0.111111,0.727273,0.913043,0.296296,0.000000
0,30,0.272727,0.137255,0.000000,0.222222,0.727273,0.826087,0.370370,0.000000
0,31,0.272727,0.137255,0.000000,0.222222,0.727273,0.826087,0.444444,0.000000
0,32,0.636364,0.215686,0.200000,0.333333,0.363636,0.695652,0.259259,0.125000
0,33,0.636364,0.215686,0.000000,0.277778,0.363636,0.782609,0.259259,0.000000
0,34,0.636364,0.215686,0.000000,0.277778,0.363636,0.782609,0.277778,0.000000
0,35,0.636364,0.215686,0.000000,0.277778,0.363636,0.782609,0.259259,0.000000
0,36,0.000000,0.078431,0.000000,0.111111,1.000000,0.913043,0.462963,0.000000
0,37,0.000000,0.078431,0.000000,0.111111,1.000000,0.913043,0.444444,0.000000
0,38,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.370370,0.000000
0,39,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.351852,0.000000
0,40,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.425926,0.000000
0,41,0.090909,0.098039,0.000000,0.111111,0.909091,0.913043,0.407407,0.000000
0,42,0.090909,0.098039,0.000000,0.166667,0.909091,0.869565,0.462963,0.000000
0,43,0.090909,0.098039,0.000000,0.166667,0.909091,0.869565,0.444444,0.000000
0,44,0.272727,0.137255,0.000000,0.111111,0.727273,0.913043,0.351852,0.000000
0,45,0.272727,0.137255,0.000000,0.166667,0.727273,0.869565,0.370370,0.000000
0,46,0.272727,0.137255,0.000000,0.166667,0.727273,0.869565,0.351852,0.000000
0,47,0.272727,0.137255,0.000000,0.166667,0.727273,0.869565,0.314815,0.000000
0,48,1.000000,0.294118,0.200000,0.222222,0.000000,0.782609,0.185185,0.125000
0,49,1.000000,0.294118,0.400000,0.500000,0.000000,0.521739,0.203704,0.080000
0,50,1.000000,0.294118,0.200000,0.277778,0.000000,0.739130,0.203704,0.040000
0,51,1.000000,0.294118,0.200000,0.222222,0.000000,0.782609,0.203704,0.040000
1,0,0.000000,0.078431,0.000000,0.039474,1.000000,0.968421,0.581818,0.000000
1,1,0.000000,0.078431,0.000000,0.000000,1.000000,1.000000,0.254545,0.000000
1,2,0.181818,0.117647,0.000000,0.355263,0.818182,0.715789,0.381818,0.000000
1,3,0.181818,0.117647,0.100000,0.342105,0.818182,0.705263,0.200000,0.062500
1,4,0.181818,0.117647,0.000000,0.328947,0.818182,0.736842,0.454545,0.000000
1,5,0.181818,0.117647,0.000000,0.302632,0.818182,0.757895,0.363636,0.000000
1,6,0.181818,0.117647,0.000000,0.657895,0.818182,0.473684,0.309091,0.000000
1,7,0.181818,0.117647,0.000000,0.657895,0.818182,0.473684,0.309091,0.000000
1,8,0.545455,0.196078,1.000000,0.973684,0.454545,0.010526,0.200000,0.625000
1,9,0.545455,0.196078,1.000000,0.986842,0.454545,0.000000,0.200000,0.200000
1,10,0.545455,0.196078,0.850000,1.000000,0.454545,0.021053,0.163636,0.170000
1,11,0.545455,0.196078,0.850000,0.973684,0.454545,0.042105,0.200000,0.170000
1,12,0.090909,0.098039,0.000000,0.118421,0.909091,0.905263,0.418182,0.000000
1,13,0.090909,0.098039,0.050000,0.092105,0.909091,0.915789,0.200000,0.031250
1,14,0.272727,0.137255,0.000000,0.368421,0.727273,0.705263,0.327273,0.000000
1,15,0.272727,0.137255,0.000000,0.368421,0.727273,0.705263,0.200000,0.000000
1,16,0.272727,0.137255,0.000000,0.342105,0.727273,0.726316,0.309091,0.000000
1,17,0.272727,0.137255,0.000000,0.315789,0.727273,0.747368,0.272727,0.000000
1,18,0.272727,0.137255,0.000000,0.605263,0.727273,0.515789,0.345455,0.000000
1,19,0.272727,0.137255,0.000000,0.605263,0.727273,0.515789,0.290909,0.000000
1,20,0.636364,0.215686,0.250000,0.815789,0.363636,0.294737,0.200000,0.156250
1,21,0.636364,0.215686,0.300000,0.855263,0.363636,0.252632,0.145455,0.060000
1,22,0.636364,0.215686,0.300000,0.881579,0.363636,0.231579,0.236364,0.060000
1,23,0.636364,0.215686,0.400000,0.881579,0.363636,0.210526,0.181818,0.080000
1,24,0.090909,0.098039,0.000000,0.026316,0.909091,0.978947,0.418182,0.000000
1,25,0.090909,0.098039,0.000000,0.013158,0.909091,0.989474,0.272727,0.000000
1,26,0.272727,0.137255,0.000000,0.105263,0.727273,0.915789,0.309091,0.000000
1,27,0.272727,0.137255,0.000000,0.092105,0.727273,0.926316,0.290909,0.000000
1,28,0.272727,0.137255,0.000000,0.092105,0.727273,0.926316,0.290909,0.000000
1,29,0.272727,0.137255,0.000000,0.092105,0.727273,0.926316,0.290909,0.000000
1,30,0.272727,0.137255,0.000000,0.184211,0.727273,0.852632,0.363636,0.000000
1,31,0.272727,0.137255,0.000000,0.184211,0.727273,0.852632,0.436364,0.000000
1,32,0.636364,0.215686,0.100000,0.276316,0.363636,0.757895,0.272727,0.062500
1,33,0.636364,0.215686,0.050000,0.263158,0.363636,0.778947,0.254545,0.010000
1,34,0.636364,0.215686,0.000000,0.263158,0.363636,0.789474,0.272727,0.000000
1,35,0.636364,0.215686,0.000000,0.236842,0.363636,0.810526,0.254545,0.000000
1,36,0.000000,0.078431,0.000000,0.026316,1.000000,0.978947,0.454545,0.000000
1,37,0.000000,0.078431,0.000000,0.026316,1.000000,0.978947,0.436364,0.000000
1,38,0.090909,0.098039,0.000000,0.039474,0.909091,0.968421,0.363636,0.000000
1,39,0.090909,0.098039,0.000000,0.039474,0.909091,0.968421,0.345455,0.000000
1,40,0.090909,0.098039,0.000000,0.026316,0.909091,0.978947,0.418182,0.000000
1,41,0.090909,0.098039,0.000000,0.026316,0.909091,0.978947,0.400000,0.000000
1,42,0.090909,0.098039,0.000000,0.052632,0.909091,0.957895,0.454545,0.000000
1,43,0.090909,0.098039,0.000000,0.052632,0.909091,0.957895,0.436364,0.000000
1,44,0.272727,0.137255,0.000000,0.039474,0.727273,0.968421,0.345455,0.000000
1,45,0.272727,0.137255,0.000000,0.052632,0.727273,0.957895,0.363636,0.000000
1,46,0.272727,0.137255,0.000000,0.065789,0.727273,0.947368,0.345455,0.000000
1,47,0.272727,0.137255,0.000000,0.065789,0.727273,0.947368,0.309091,0.000000
1,48,1.000000,0.294118,0.000000,0.131579,0.000000,0.894737,0.200000,0.000000
1,49,1.000000,0.294118,0.350000,0.381579,0.000000,0.621053,0.200000,0.070000
1,50,1.000000,0.294118,0.050000,0.157895,0.000000,0.863158,0.200000,0.010000
1,51,1.000000,0.294118,0.100000,0.105263,0.000000,0.894737,0.200000,0.062500
