iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.040816,0.037915,0.000000,0.040892,0.959184,0.963816,0.519231,0.000000
0,1,0.040816,0.037915,0.000000,0.064126,0.959184,0.943257,0.211538,0.000000
0,2,0.122449,0.056872,0.000000,0.278810,0.877551,0.753289,0.423077,0.000000
0,3,0.122449,0.056872,0.176707,0.278810,0.877551,0.717105,0.173077,0.055069
0,4,0.122449,0.056872,0.000000,0.210037,0.877551,0.814145,0.500000,0.000000
0,5,0.122449,0.056872,0.000000,0.264870,0.877551,0.765625,0.288462,0.000000
0,6,0.122449,0.056872,0.000000,0.721190,0.877551,0.361842,0.307692,0.000000
0,7,0.122449,0.056872,0.000000,0.721190,0.877551,0.361842,0.211538,0.000000
0,8,0.285714,0.094787,0.670683,0.781599,0.714286,0.171053,0.134615,0.209011
0,9,0.285714,0.094787,0.546185,0.995353,0.714286,0.007401,0.153846,0.109237
0,10,0.285714,0.094787,0.562249,1.000000,0.714286,0.000000,0.134615,0.112450
0,11,0.285714,0.094787,1.000000,0.898699,0.714286,0.000000,0.134615,0.200000
0,12,0.081633,0.047393,0.000000,0.175651,0.918367,0.844572,0.403846,0.000000
0,13,0.081633,0.047393,0.000000,0.134758,0.918367,0.880757,0.192308,0.000000
0,14,0.163265,0.066351,0.000000,0.364312,0.836735,0.677632,0.250000,0.000000
0,15,0.163265,0.066351,0.000000,0.364312,0.836735,0.677632,0.134615,0.000000
0,16,0.163265,0.066351,0.000000,0.344796,0.836735,0.694901,0.384615,0.000000
0,17,0.163265,0.066351,0.000000,0.303903,0.836735,0.731086,0.250000,0.000000
0,18,0.163265,0.066351,0.136546,0.679368,0.836735,0.370888,0.269231,0.027309
0,19,0.163265,0.066351,0.000000,0.679368,0.836735,0.398849,0.250000,0.000000
0,20,0.326531,0.104265,0.457831,0.764870,0.673469,0.229441,0.192308,0.142678
0,21,0.326531,0.104265,0.582329,0.889405,0.673469,0.093750,0.153846,0.116466
0,22,0.326531,0.104265,0.000000,0.908922,0.673469,0.195724,0.153846,0.000000
0,23,0.326531,0.104265,0.305221,0.846654,0.673469,0.188322,0.211538,0.061044
0,24,0.081633,0.047393,0.000000,0.000000,0.918367,1.000000,0.230769,0.000000
0,25,0.081633,0.047393,0.000000,0.064126,0.918367,0.943257,0.211538,0.000000
0,26,0.163265,0.066351,0.000000,0.134758,0.836735,0.880757,0.192308,0.000000
0,27,0.163265,0.066351,0.000000,0.134758,0.836735,0.880757,0.211538,0.000000
0,28,0.163265,0.066351,0.000000,0.000000,0.836735,1.000000,0.173077,0.000000
0,29,0.163265,0.066351,0.000000,0.095725,0.836735,0.915296,0.192308,0.000000
0,30,0.163265,0.066351,0.000000,0.229554,0.836735,0.796875,0.230769,0.000000
0,31,0.163265,0.066351,0.000000,0.229554,0.836735,0.796875,0.250000,0.000000
0,32,0.326531,0.104265,0.228916,0.236989,0.673469,0.743421,0.134615,0.071339
0,33,0.326531,0.104265,0.000000,0.293680,0.673469,0.740132,0.153846,0.000000
0,34,0.326531,0.104265,0.000000,0.364312,0.673469,0.677632,0.192308,0.000000
0,35,0.326531,0.104265,0.000000,0.325279,0.673469,0.712171,0.173077,0.000000
0,36,0.040816,0.037915,0.000000,0.124535,0.959184,0.889803,0.519231,0.000000
0,37,0.040816,0.037915,0.000000,0.124535,0.959184,0.889803,0.500000,0.000000
0,38,0.081633,0.047393,0.000000,0.210037,0.918367,0.814145,0.480769,0.000000
0,39,0.081633,0.047393,0.000000,0.210037,0.918367,0.814145,0.442308,0.000000
0,40,0.081633,0.047393,0.000000,0.124535,0.918367,0.889803,0.480769,0.000000
0,41,0.081633,0.047393,0.000000,0.124535,0.918367,0.889803,0.480769,0.000000
0,42,0.081633,0.047393,0.000000,0.177509,0.918367,0.842928,0.442308,0.000000
0,43,0.081633,0.047393,0.000000,0.177509,0.918367,0.842928,0.461538,0.000000
0,44,0.163265,0.066351,0.000000,0.210037,0.836735,0.814145,0.442308,0.000000
0,45,0.163265,0.066351,0.000000,0.177509,0.836735,0.842928,0.423077,0.000000
0,46,0.163265,0.066351,0.000000,0.263011,0.836735,0.767270,0.423077,0.000000
0,47,0.163265,0.066351,0.000000,0.263011,0.836735,0.767270,0.442308,0.000000
0,48,0.489796,0.142180,0.253012,0.200743,0.510204,0.770559,0.134615,0.050602
0,49,0.489796,0.142180,0.582329,0.584572,0.510204,0.363487,0.134615,0.116466
0,50,0.489796,0.142180,0.000000,0.397770,0.510204,0.648026,0.269231,0.000000
0,51,0.489796,0.142180,0.277108,0.193309,0.510204,0.772204,0.134615,0.086358
0,52,0.061224,0.042654,0.000000,0.145911,0.938776,0.870888,0.442308,0.000000
0,53,0.061224,0.042654,0.000000,0.105019,0.938776,0.907072,0.173077,0.000000
0,54,0.142857,0.061611,0.000000,0.366171,0.857143,0.675987,0.403846,0.000000
0,55,0.142857,0.061611,0.000000,0.366171,0.857143,0.675987,0.192308,0.000000
0,56,0.142857,0.061611,0.000000,0.276022,0.857143,0.755757,0.461538,0.000000
0,57,0.142857,0.061611,0.000000,0.266729,0.857143,0.763980,0.269231,0.000000
0,58,0.142857,0.061611,0.000000,0.668216,0.857143,0.408717,0.326923,0.000000
0,59,0.142857,0.061611,0.000000,0.668216,0.857143,0.408717,0.230769,0.000000
0,60,0.306122,0.099526,0.453815,0.829926,0.693878,0.172697,0.192308,0.141427
0,61,0.306122,0.099526,0.076305,0.839219,0.693878,0.241776,0.173077,0.015261
0,62,0.306122,0.099526,0.168675,0.929368,0.693878,0.143092,0.192308,0.033735
0,63,0.306122,0.099526,0.000000,0.789033,0.693878,0.301809,0.230769,0.000000
0,64,0.102041,0.052133,0.000000,0.280669,0.897959,0.751645,0.307692,0.000000
0,65,0.102041,0.052133,0.000000,0.239777,0.897959,0.787829,0.134615,0.000000
0,66,0.183673,0.071090,0.277108,0.366171,0.816327,0.619243,0.211538,0.086358
0,67,0.183673,0.071090,0.000000,0.366171,0.816327,0.675987,0.134615,0.000000
0,68,0.183673,0.071090,0.000000,0.410781,0.816327,0.636513,0.326923,0.000000
0,69,0.183673,0.071090,0.000000,0.369888,0.816327,0.672697,0.211538,0.000000
0,70,0.183673,0.071090,0.000000,0.679368,0.816327,0.398849,0.269231,0.000000
0,71,0.183673,0.071090,0.000000,0.679368,0.816327,0.398849,0.269231,0.000000
0,72,0.346939,0.109005,0.228916,0.727695,0.653061,0.309211,0.173077,0.071339
0,73,0.346939,0.109005,0.000000,0.850372,0.653061,0.247533,0.173077,0.000000
0,74,0.346939,0.109005,0.000000,0.805762,0.653061,0.287007,0.192308,0.000000
0,75,0.346939,0.109005,0.000000,0.704461,0.653061,0.376645,0.211538,0.000000
0,76,0.102041,0.052133,0.000000,0.105019,0.897959,0.907072,0.250000,0.000000
0,77,0.102041,0.052133,0.000000,0.105019,0.897959,0.907072,0.153846,0.000000
0,78,0.183673,0.071090,0.000000,0.239777,0.816327,0.787829,0.192308,0.000000
0,79,0.183673,0.071090,0.000000,0.239777,0.816327,0.787829,0.192308,0.000000
0,80,0.183673,0.071090,0.000000,0.105019,0.816327,0.907072,0.211538,0.000000
0,81,0.183673,0.071090,0.000000,0.136617,0.816327,0.879112,0.211538,0.000000
0,82,0.183673,0.071090,0.000000,0.281599,0.816327,0.750822,0.211538,0.000000
0,83,0.183673,0.071090,0.000000,0.281599,0.816327,0.750822,0.173077,0.000000
0,84,0.346939,0.109005,0.000000,0.342007,0.653061,0.697368,0.153846,0.000000
0,85,0.346939,0.109005,0.369478,0.281599,0.653061,0.675164,0.173077,0.073896
0,86,0.346939,0.109005,0.000000,0.416357,0.653061,0.631579,0.153846,0.000000
0,87,0.346939,0.109005,0.000000,0.377323,0.653061,0.666118,0.153846,0.000000
0,88,0.061224,0.042654,0.000000,0.227695,0.938776,0.798520,0.442308,0.000000
0,89,0.061224,0.042654,0.000000,0.227695,0.938776,0.798520,0.500000,0.000000
0,90,0.102041,0.052133,0.000000,0.227695,0.897959,0.798520,0.442308,0.000000
0,91,0.102041,0.052133,0.000000,0.227695,0.897959,0.798520,0.480769,0.000000
0,92,0.102041,0.052133,0.000000,0.227695,0.897959,0.798520,0.480769,0.000000
0,93,0.102041,0.052133,0.000000,0.227695,0.897959,0.798520,0.500000,0.000000
0,94,0.102041,0.052133,0.000000,0.280669,0.897959,0.751645,0.461538,0.000000
0,95,0.102041,0.052133,0.000000,0.280669,0.897959,0.751645,0.500000,0.000000
0,96,0.183673,0.071090,0.000000,0.227695,0.816327,0.798520,0.442308,0.000000
0,97,0.183673,0.071090,0.000000,0.280669,0.816327,0.751645,0.423077,0.000000
0,98,0.183673,0.071090,0.000000,0.280669,0.816327,0.751645,0.442308,0.000000
0,99,0.183673,0.071090,0.000000,0.280669,0.816327,0.751645,0.461538,0.000000
0,100,0.510204,0.146919,0.000000,0.303903,0.489796,0.731086,0.153846,0.000000
0,101,0.510204,0.146919,0.000000,0.570632,0.489796,0.495066,0.173077,0.000000
0,102,0.510204,0.146919,0.000000,0.415428,0.489796,0.632401,0.288462,0.000000
0,103,0.510204,0.146919,0.008032,0.298327,0.489796,0.734375,0.173077,0.002503
0,104,0.061224,0.042654,0.000000,0.000000,0.938776,1.000000,0.326923,0.000000
0,105,0.061224,0.042654,0.000000,0.064126,0.938776,0.943257,0.269231,0.000000
0,106,0.142857,0.061611,0.000000,0.017658,0.857143,0.984375,0.269231,0.000000
0,107,0.142857,0.061611,0.000000,0.017658,0.857143,0.984375,0.192308,0.000000
0,108,0.142857,0.061611,0.000000,0.039033,0.857143,0.965461,0.269231,0.000000
