iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.121212,0.054054,0.000000,0.758732,0.878788,0.400313,0.411765,0.000000
0,1,0.121212,0.054054,0.000000,0.348157,0.878788,0.724823,0.254902,0.000000
0,2,0.121212,0.054054,0.000000,0.638339,0.878788,0.495470,0.372549,0.000000
0,3,0.121212,0.054054,0.230902,0.265214,0.878788,0.707651,0.215686,0.032980
0,4,0.121212,0.054054,0.000000,0.244268,0.878788,0.806935,0.431373,0.000000
0,5,0.121212,0.054054,0.000000,0.204657,0.878788,0.838243,0.392157,0.000000
0,6,0.121212,0.054054,0.000000,0.539311,0.878788,0.573739,0.333333,0.000000
0,7,0.121212,0.054054,0.000000,0.453307,0.878788,0.641715,0.294118,0.000000
0,8,0.121212,0.054054,0.000000,0.159585,0.878788,0.873867,0.333333,0.000000
0,9,0.121212,0.054054,0.585066,1.000000,0.878788,0.000000,0.333333,0.117013
0,10,0.121212,0.054054,0.528797,0.426059,0.878788,0.473792,0.274510,0.105759
0,11,0.121212,0.054054,0.000000,0.459789,0.878788,0.636592,0.372549,0.000000
0,12,0.121212,0.054054,0.000000,0.225963,0.878788,0.821403,0.274510,0.000000
0,13,0.121212,0.054054,0.000000,0.578082,0.878788,0.543096,0.450980,0.000000
0,14,0.121212,0.054054,0.000000,0.820490,0.878788,0.351501,0.411765,0.000000
0,15,0.121212,0.054054,0.011519,0.455648,0.878788,0.635738,0.274510,0.002304
0,16,0.121212,0.054054,0.000000,0.595847,0.878788,0.529055,0.294118,0.000000
0,17,0.121212,0.054054,0.000000,0.518065,0.878788,0.590532,0.392157,0.000000
0,18,0.121212,0.054054,0.000000,0.275057,0.878788,0.782600,0.235294,0.000000
0,19,0.121212,0.054054,0.392692,0.459969,0.878788,0.495754,0.235294,0.056089
0,20,0.121212,0.054054,0.567721,0.430681,0.878788,0.456193,0.215686,0.081089
0,21,0.121212,0.054054,0.000000,0.459969,0.878788,0.636450,0.254902,0.000000
0,22,0.121212,0.054054,0.309281,0.216241,0.878788,0.718277,0.235294,0.061856
