iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.076389,0.026846,0.000000,0.523641,0.923611,0.582389,0.403509,0.000000
0,1,0.076389,0.026846,0.000000,0.052394,0.923611,0.958215,0.263158,0.000000
0,2,0.076389,0.026846,0.000000,0.121933,0.923611,0.902757,0.421053,0.000000
0,3,0.076389,0.026846,0.000000,0.095989,0.923611,0.923447,0.245614,0.000000
0,4,0.076389,0.026846,0.000000,0.618238,0.923611,0.506946,0.368421,0.000000
0,5,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.245614,0.000000
0,6,0.076389,0.026846,0.000000,0.342299,0.923611,0.727012,0.508772,0.000000
0,7,0.076389,0.026846,0.000000,0.263961,0.923611,0.789487,0.298246,0.000000
0,8,0.076389,0.026846,0.000000,0.094598,0.923611,0.924557,0.192982,0.000000
0,9,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.350877,0.000000
0,10,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.228070,0.000000
0,11,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.456140,0.000000
0,12,0.076389,0.026846,0.000000,0.446568,0.923611,0.643856,0.245614,0.000000
0,13,0.076389,0.026846,0.000000,0.094598,0.923611,0.924557,0.298246,0.000000
0,14,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.245614,0.000000
0,15,0.076389,0.026846,0.000000,0.460523,0.923611,0.632726,0.491228,0.000000
0,16,0.076389,0.026846,0.000000,0.907091,0.923611,0.276582,0.245614,0.000000
0,17,0.076389,0.026846,0.000000,0.094598,0.923611,0.924557,0.280702,0.000000
0,18,0.076389,0.026846,0.000000,0.523641,0.923611,0.582389,0.210526,0.000000
0,19,0.076389,0.026846,0.000000,0.052394,0.923611,0.958215,0.175439,0.000000
0,20,0.076389,0.026846,0.000000,0.121933,0.923611,0.902757,0.192982,0.000000
0,21,0.076389,0.026846,0.000000,0.095989,0.923611,0.923447,0.157895,0.000000
0,22,0.076389,0.026846,0.000000,0.523641,0.923611,0.582389,0.192982,0.000000
0,23,0.076389,0.026846,0.000000,0.000000,0.923611,1.000000,0.140351,0.000000
0,24,0.076389,0.026846,0.000000,0.121933,0.923611,0.902757,0.192982,0.000000
0,25,0.076389,0.026846,0.000000,0.043595,0.923611,0.965232,0.175439,0.000000
0,26,0.076389,0.026846,0.458630,0.000000,0.923611,0.808471,0.175439,0.059188
0,27,0.048611,0.020134,0.000000,0.229769,0.951389,0.816756,0.385965,0.000000
