iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.025641,0.019802,0.000000,0.024074,0.974359,0.979398,0.600000,0.000000
0,1,0.025641,0.019802,0.093525,0.000000,0.974359,0.979398,0.163636,0.028200
0,2,0.076923,0.029703,0.000000,0.192593,0.923077,0.835182,0.490909,0.000000
0,3,0.076923,0.029703,0.000000,0.168519,0.923077,0.855784,0.127273,0.000000
0,4,0.076923,0.029703,0.000000,0.220370,0.923077,0.811410,0.509091,0.000000
0,5,0.076923,0.029703,0.000000,0.220370,0.923077,0.811410,0.181818,0.000000
0,6,0.076923,0.029703,0.000000,0.218519,0.923077,0.812995,0.418182,0.000000
0,7,0.076923,0.029703,0.000000,0.218519,0.923077,0.812995,0.272727,0.000000
0,8,0.076923,0.029703,0.000000,0.561111,0.923077,0.519810,0.381818,0.000000
0,9,0.076923,0.029703,0.000000,0.561111,0.923077,0.519810,0.272727,0.000000
0,10,0.230769,0.059406,0.654676,1.000000,0.769231,0.000000,0.109091,0.130935
0,11,0.230769,0.059406,0.654676,1.000000,0.769231,0.000000,0.109091,0.130935
0,12,0.230769,0.059406,0.856115,0.948148,0.769231,0.000000,0.127273,0.171223
0,13,0.230769,0.059406,0.561151,0.950000,0.769231,0.063391,0.127273,0.112230
0,14,0.230769,0.059406,1.000000,0.775926,0.769231,0.115689,0.109091,0.301518
0,15,0.051282,0.024752,0.000000,0.162963,0.948718,0.860539,0.581818,0.000000
0,16,0.051282,0.024752,0.000000,0.138889,0.948718,0.881141,0.145455,0.000000
0,17,0.102564,0.034653,0.000000,0.331481,0.897436,0.716323,0.436364,0.000000
0,18,0.102564,0.034653,0.000000,0.307407,0.897436,0.736926,0.163636,0.000000
0,19,0.102564,0.034653,0.000000,0.359259,0.897436,0.692552,0.454545,0.000000
0,20,0.102564,0.034653,0.000000,0.359259,0.897436,0.692552,0.200000,0.000000
0,21,0.102564,0.034653,0.000000,0.318519,0.897436,0.727417,0.363636,0.000000
0,22,0.102564,0.034653,0.000000,0.318519,0.897436,0.727417,0.218182,0.000000
0,23,0.102564,0.034653,0.000000,0.564815,0.897436,0.516640,0.400000,0.000000
0,24,0.102564,0.034653,0.000000,0.564815,0.897436,0.516640,0.272727,0.000000
0,25,0.256410,0.064356,0.000000,0.964815,0.743590,0.174326,0.145455,0.000000
0,26,0.256410,0.064356,0.000000,0.964815,0.743590,0.174326,0.163636,0.000000
0,27,0.256410,0.064356,0.000000,0.912963,0.743590,0.218700,0.181818,0.000000
0,28,0.256410,0.064356,0.071942,0.953704,0.743590,0.167987,0.145455,0.014388
0,29,0.256410,0.064356,0.359712,0.875926,0.743590,0.171157,0.127273,0.108460
0,30,0.051282,0.024752,0.000000,0.203704,0.948718,0.825674,0.563636,0.000000
0,31,0.051282,0.024752,0.000000,0.203704,0.948718,0.825674,0.236364,0.000000
0,32,0.102564,0.034653,0.000000,0.203704,0.897436,0.825674,0.436364,0.000000
0,33,0.102564,0.034653,0.000000,0.203704,0.897436,0.825674,0.200000,0.000000
0,34,0.102564,0.034653,0.000000,0.203704,0.897436,0.825674,0.509091,0.000000
0,35,0.102564,0.034653,0.000000,0.203704,0.897436,0.825674,0.290909,0.000000
0,36,0.102564,0.034653,0.000000,0.244444,0.897436,0.790808,0.436364,0.000000
0,37,0.102564,0.034653,0.000000,0.244444,0.897436,0.790808,0.290909,0.000000
0,38,0.102564,0.034653,0.000000,0.392593,0.897436,0.664025,0.454545,0.000000
0,39,0.102564,0.034653,0.000000,0.392593,0.897436,0.664025,0.400000,0.000000
0,40,0.256410,0.064356,0.000000,0.433333,0.743590,0.629160,0.236364,0.000000
0,41,0.256410,0.064356,0.000000,0.433333,0.743590,0.629160,0.218182,0.000000
0,42,0.256410,0.064356,0.000000,0.433333,0.743590,0.629160,0.218182,0.000000
0,43,0.256410,0.064356,0.007194,0.392593,0.743590,0.662441,0.254545,0.001439
0,44,0.256410,0.064356,0.000000,0.244444,0.743590,0.790808,0.254545,0.000000
0,45,0.051282,0.024752,0.000000,0.061111,0.948718,0.947702,0.272727,0.000000
0,46,0.051282,0.024752,0.000000,0.061111,0.948718,0.947702,0.127273,0.000000
0,47,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.200000,0.000000
0,48,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.109091,0.000000
0,49,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.236364,0.000000
0,50,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.200000,0.000000
0,51,0.102564,0.034653,0.000000,0.062963,0.897436,0.946117,0.163636,0.000000
0,52,0.102564,0.034653,0.000000,0.062963,0.897436,0.946117,0.181818,0.000000
0,53,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.254545,0.000000
0,54,0.102564,0.034653,0.000000,0.061111,0.897436,0.947702,0.236364,0.000000
0,55,0.256410,0.064356,0.000000,0.062963,0.743590,0.946117,0.127273,0.000000
0,56,0.256410,0.064356,0.000000,0.062963,0.743590,0.946117,0.236364,0.000000
0,57,0.256410,0.064356,0.000000,0.062963,0.743590,0.946117,0.145455,0.000000
0,58,0.256410,0.064356,0.000000,0.061111,0.743590,0.947702,0.145455,0.000000
0,59,0.256410,0.064356,0.208633,0.062963,0.743590,0.900158,0.127273,0.062907
0,60,0.025641,0.019802,0.000000,0.361111,0.974359,0.690967,0.527273,0.000000
0,61,0.025641,0.019802,0.000000,0.361111,0.974359,0.690967,0.545455,0.000000
0,62,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.509091,0.000000
0,63,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.527273,0.000000
0,64,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.545455,0.000000
0,65,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.527273,0.000000
0,66,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.545455,0.000000
0,67,0.051282,0.024752,0.000000,0.361111,0.948718,0.690967,0.563636,0.000000
0,68,0.051282,0.024752,0.000000,0.414815,0.948718,0.645008,0.527273,0.000000
0,69,0.051282,0.024752,0.000000,0.414815,0.948718,0.645008,0.527273,0.000000
0,70,0.128205,0.039604,0.000000,0.414815,0.871795,0.645008,0.509091,0.000000
0,71,0.128205,0.039604,0.000000,0.414815,0.871795,0.645008,0.490909,0.000000
0,72,0.128205,0.039604,0.000000,0.414815,0.871795,0.645008,0.509091,0.000000
0,73,0.128205,0.039604,0.000000,0.414815,0.871795,0.645008,0.527273,0.000000
0,74,0.128205,0.039604,0.000000,0.361111,0.871795,0.690967,0.490909,0.000000
0,75,0.410256,0.094059,0.546763,0.624074,0.589744,0.345483,0.109091,0.109353
0,76,0.410256,0.094059,0.503597,0.801852,0.589744,0.202853,0.127273,0.100719
