iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.125000,0.072727,0.000000,0.107504,0.875000,0.920681,0.471698,0.000000
0,1,0.125000,0.072727,0.367331,0.093795,0.875000,0.803301,0.301887,0.050073
0,2,0.125000,0.072727,0.056748,0.046176,0.875000,0.946234,0.452830,0.011350
0,3,0.125000,0.072727,0.000000,0.067100,0.875000,0.950492,0.339623,0.000000
0,4,0.125000,0.072727,0.000000,0.000361,0.875000,0.999734,0.471698,0.000000
0,5,0.125000,0.072727,0.000000,0.054473,0.875000,0.959808,0.339623,0.000000
0,6,0.125000,0.072727,0.327454,0.379509,0.875000,0.606335,0.452830,0.044637
0,7,0.125000,0.072727,0.000000,0.151876,0.875000,0.887943,0.377358,0.000000
0,8,0.125000,0.072727,0.190184,0.620851,0.875000,0.475912,0.415094,0.038037
0,9,0.125000,0.072727,0.320552,0.709596,0.875000,0.365185,0.339623,0.064110
0,10,0.125000,0.072727,1.000000,0.658009,0.875000,0.167421,0.320755,0.136316
0,11,0.125000,0.072727,0.411810,0.287157,0.875000,0.645196,0.452830,0.082362
0,12,0.125000,0.072727,0.000000,0.227994,0.875000,0.831781,0.358491,0.000000
0,13,0.125000,0.072727,0.000000,0.172799,0.875000,0.872505,0.415094,0.000000
0,14,0.125000,0.072727,0.130368,0.201299,0.875000,0.806228,0.320755,0.026074
0,15,0.125000,0.072727,0.000000,0.389250,0.875000,0.712803,0.452830,0.000000
0,16,0.125000,0.072727,0.000000,0.469336,0.875000,0.653713,0.320755,0.000000
0,17,0.125000,0.072727,0.000767,0.286436,0.875000,0.788395,0.415094,0.000153
0,18,0.125000,0.072727,0.139571,0.081890,0.875000,0.891137,0.320755,0.019026
0,19,0.125000,0.072727,0.401840,0.705628,0.875000,0.339899,0.377358,0.080368
0,20,0.125000,0.072727,0.755368,1.000000,0.875000,0.000000,0.339623,0.151074
0,21,0.125000,0.072727,0.449387,0.368326,0.875000,0.572265,0.320755,0.061259
0,22,0.125000,0.072727,0.697086,0.192641,0.875000,0.615917,0.415094,0.095024
0,23,0.125000,0.072727,0.000000,0.135642,0.875000,0.899920,0.377358,0.000000
0,24,0.125000,0.072727,0.000000,0.131313,0.875000,0.903114,0.452830,0.000000
0,25,0.125000,0.072727,0.512270,0.259380,0.875000,0.630822,0.377358,0.069831
0,26,0.125000,0.072727,0.000000,0.186147,0.875000,0.862656,0.396226,0.000000
0,27,0.125000,0.072727,0.269172,0.009019,0.875000,0.899920,0.339623,0.036692
0,28,0.125000,0.072727,0.882669,0.318903,0.875000,0.458344,0.415094,0.120322
0,29,0.125000,0.072727,0.584356,0.461039,0.875000,0.457014,0.433962,0.079657
0,30,0.125000,0.072727,0.253067,0.463203,0.875000,0.570402,0.415094,0.050613
0,31,0.125000,0.072727,0.288344,0.347403,0.875000,0.643599,0.301887,0.057669
0,32,0.125000,0.072727,0.184816,0.782828,0.875000,0.358265,0.339623,0.025193
0,33,0.125000,0.072727,0.145706,0.114358,0.875000,0.865052,0.283019,0.029141
0,34,0.125000,0.072727,0.548313,0.201299,0.875000,0.661166,0.320755,0.109663
0,35,0.125000,0.072727,0.000000,0.000000,0.875000,1.000000,0.301887,0.000000
0,36,0.125000,0.072727,0.000000,0.348124,0.875000,0.743146,0.377358,0.000000
0,37,0.125000,0.072727,0.263037,0.595599,0.875000,0.469257,0.283019,0.052607
0,38,0.125000,0.072727,0.000000,0.288600,0.875000,0.787064,0.320755,0.000000
0,39,0.125000,0.072727,0.287577,0.328644,0.875000,0.657706,0.320755,0.057515
