iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.490196,0.000000
0,1,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,2,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.588235,0.000000
0,3,0.076923,0.028571,0.000000,0.130580,0.923077,0.893896,0.235294,0.000000
0,4,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.490196,0.000000
0,5,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.274510,0.000000
0,6,0.076923,0.028571,0.000000,0.478253,0.923077,0.611391,0.607843,0.000000
0,7,0.076923,0.028571,0.000000,0.130580,0.923077,0.893896,0.333333,0.000000
0,8,0.076923,0.028571,0.000000,0.231227,0.923077,0.812115,0.450980,0.000000
0,9,0.076923,0.028571,0.850400,0.231227,0.923077,0.440423,0.235294,0.108785
0,10,0.076923,0.028571,0.000000,0.478253,0.923077,0.611391,0.372549,0.000000
0,11,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.470588,0.000000
0,12,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,13,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.470588,0.000000
0,14,0.076923,0.028571,0.000000,0.148044,0.923077,0.879705,0.274510,0.000000
0,15,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.509804,0.000000
0,16,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,17,0.076923,0.028571,0.000000,0.457433,0.923077,0.628308,0.490196,0.000000
0,18,0.076923,0.028571,0.000000,0.148044,0.923077,0.879705,0.254902,0.000000
0,19,0.076923,0.028571,0.000000,0.121514,0.923077,0.901262,0.431373,0.000000
0,20,0.076923,0.028571,0.038705,0.121514,0.923077,0.884345,0.215686,0.007741
0,21,0.076923,0.028571,0.000000,0.457433,0.923077,0.628308,0.313725,0.000000
0,22,0.076923,0.028571,0.000000,0.032716,0.923077,0.973416,0.450980,0.000000
0,23,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,24,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.529412,0.000000
0,25,0.076923,0.028571,0.000000,0.208290,0.923077,0.830752,0.235294,0.000000
0,26,0.076923,0.028571,0.032468,0.032716,0.923077,0.959225,0.411765,0.006494
0,27,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,28,0.076923,0.028571,0.000000,0.072023,0.923077,0.941477,0.529412,0.000000
0,29,0.076923,0.028571,0.000000,0.208290,0.923077,0.830752,0.254902,0.000000
0,30,0.076923,0.028571,0.000000,0.387789,0.923077,0.684898,0.470588,0.000000
0,31,0.076923,0.028571,0.000000,0.387789,0.923077,0.684898,0.254902,0.000000
0,32,0.076923,0.028571,0.000000,0.072023,0.923077,0.941477,0.333333,0.000000
0,33,0.076923,0.028571,0.000000,0.350552,0.923077,0.715156,0.235294,0.000000
0,34,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,35,0.076923,0.028571,0.000000,0.350552,0.923077,0.715156,0.215686,0.000000
0,36,0.076923,0.028571,0.000000,0.197130,0.923077,0.839820,0.235294,0.000000
0,37,0.076923,0.028571,0.229000,0.000000,0.923077,0.899909,0.235294,0.029294
0,38,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.215686,0.000000
0,39,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,40,0.076923,0.028571,0.000000,0.197130,0.923077,0.839820,0.254902,0.000000
0,41,0.076923,0.028571,0.000000,0.121514,0.923077,0.901262,0.254902,0.000000
0,42,0.076923,0.028571,0.000000,0.121514,0.923077,0.901262,0.215686,0.000000
0,43,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,44,0.038462,0.021429,0.000000,0.824427,0.961538,0.330105,0.411765,0.000000
0,45,0.038462,0.021429,0.571637,0.791710,0.961538,0.106838,0.450980,0.114327
0,46,0.038462,0.021429,0.000000,0.791710,0.961538,0.356689,0.450980,0.000000
0,47,0.038462,0.021429,0.000000,1.000000,0.961538,0.187441,0.490196,0.000000
0,48,0.038462,0.021429,0.334012,0.824427,0.961538,0.184115,0.411765,0.066802
0,49,0.038462,0.021429,0.000000,0.791710,0.961538,0.356689,0.509804,0.000000
0,50,0.038462,0.021429,0.000000,0.842914,0.961538,0.315082,0.431373,0.000000
0,51,0.038462,0.021429,0.000000,1.000000,0.961538,0.187441,0.450980,0.000000
0,52,0.038462,0.021429,0.000000,0.948273,0.961538,0.229472,0.431373,0.000000
0,53,0.038462,0.021429,0.000000,0.948273,0.961538,0.229472,0.411765,0.000000
0,54,0.038462,0.021429,0.000000,0.842914,0.961538,0.315082,0.470588,0.000000
0,55,0.346154,0.078571,0.471845,0.530218,0.653846,0.362933,0.176471,0.060359
0,56,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.509804,0.000000
0,57,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.313725,0.000000
0,58,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.509804,0.000000
0,59,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,60,0.076923,0.028571,0.242757,0.000000,0.923077,0.893896,0.411765,0.031054
0,61,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,62,0.076923,0.028571,0.000000,0.478253,0.923077,0.611391,0.470588,0.000000
0,63,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.313725,0.000000
0,64,0.076923,0.028571,0.000000,0.267821,0.923077,0.782379,0.372549,0.000000
0,65,0.076923,0.028571,0.000000,0.267821,0.923077,0.782379,0.215686,0.000000
0,66,0.076923,0.028571,0.000000,0.478253,0.923077,0.611391,0.254902,0.000000
0,67,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.490196,0.000000
0,68,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,69,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.470588,0.000000
0,70,0.076923,0.028571,0.000000,0.017465,0.923077,0.985809,0.235294,0.000000
0,71,0.076923,0.028571,0.000000,0.026863,0.923077,0.978172,0.509804,0.000000
0,72,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.274510,0.000000
0,73,0.076923,0.028571,0.000000,0.457433,0.923077,0.628308,0.450980,0.000000
0,74,0.076923,0.028571,0.000000,0.227896,0.923077,0.814821,0.254902,0.000000
0,75,0.076923,0.028571,0.000000,0.310412,0.923077,0.747772,0.411765,0.000000
0,76,0.076923,0.028571,0.000000,0.283549,0.923077,0.769600,0.254902,0.000000
0,77,0.076923,0.028571,0.429867,0.667864,0.923077,0.269435,0.254902,0.085973
0,78,0.076923,0.028571,0.000000,0.393928,0.923077,0.679910,0.509804,0.000000
0,79,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,80,0.076923,0.028571,0.000000,0.140121,0.923077,0.886143,0.509804,0.000000
0,81,0.076923,0.028571,0.000000,0.123180,0.923077,0.899909,0.274510,0.000000
0,82,0.076923,0.028571,0.000000,0.531979,0.923077,0.567736,0.411765,0.000000
0,83,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,84,0.076923,0.028571,0.000000,0.020819,0.923077,0.983083,0.450980,0.000000
0,85,0.076923,0.028571,0.000000,0.123180,0.923077,0.899909,0.294118,0.000000
0,86,0.076923,0.028571,0.000000,0.545993,0.923077,0.556348,0.411765,0.000000
0,87,0.076923,0.028571,0.000000,0.267821,0.923077,0.782379,0.254902,0.000000
0,88,0.076923,0.028571,0.225903,0.020819,0.923077,0.884345,0.294118,0.028898
0,89,0.076923,0.028571,0.000000,0.307485,0.923077,0.750150,0.235294,0.000000
0,90,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.215686,0.000000
0,91,0.076923,0.028571,0.000000,0.307485,0.923077,0.750150,0.215686,0.000000
0,92,0.076923,0.028571,0.060822,0.197130,0.923077,0.813236,0.215686,0.007780
0,93,0.076923,0.028571,0.158225,0.026863,0.923077,0.909015,0.215686,0.020240
0,94,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.196078,0.000000
0,95,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.215686,0.000000
0,96,0.076923,0.028571,0.000000,0.613186,0.923077,0.501750,0.235294,0.000000
0,97,0.076923,0.028571,0.000000,0.310412,0.923077,0.747772,0.196078,0.000000
0,98,0.076923,0.028571,0.095192,0.283549,0.923077,0.727993,0.196078,0.019038
0,99,0.076923,0.028571,0.291060,0.416056,0.923077,0.534714,0.196078,0.037233
0,100,0.038462,0.021429,0.000000,0.647735,0.961538,0.473677,0.529412,0.000000
0,101,0.038462,0.021429,0.080064,0.253807,0.961538,0.758773,0.450980,0.016013
0,102,0.038462,0.021429,0.000000,0.393928,0.961538,0.679910,0.450980,0.000000
0,103,0.038462,0.021429,0.000000,0.376987,0.961538,0.693676,0.509804,0.000000
0,104,0.038462,0.021429,0.000000,0.785786,0.961538,0.361503,0.450980,0.000000
0,105,0.038462,0.021429,0.000000,0.253807,0.961538,0.793767,0.529412,0.000000
0,106,0.038462,0.021429,0.000000,0.253807,0.961538,0.793767,0.431373,0.000000
0,107,0.038462,0.021429,0.000000,0.376987,0.961538,0.693676,0.509804,0.000000
0,108,0.038462,0.021429,0.000000,0.531979,0.961538,0.567736,0.450980,0.000000
0,109,0.038462,0.021429,0.000000,0.253807,0.961538,0.793767,0.529412,0.000000
0,110,0.038462,0.021429,0.000000,0.253807,0.961538,0.793767,0.529412,0.000000
0,111,0.346154,0.078571,1.000000,0.692776,0.653846,0.000000,0.176471,0.127922
0,112,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.470588,0.000000
0,113,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,114,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.549020,0.000000
0,115,0.076923,0.028571,0.000000,0.130580,0.923077,0.893896,0.196078,0.000000
0,116,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.490196,0.000000
0,117,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,118,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.509804,0.000000
0,119,0.076923,0.028571,0.000000,0.130580,0.923077,0.893896,0.294118,0.000000
0,120,0.076923,0.028571,0.000000,0.604430,0.923077,0.508865,0.372549,0.000000
0,121,0.076923,0.028571,0.000000,0.604430,0.923077,0.508865,0.254902,0.000000
0,122,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,123,0.076923,0.028571,0.000000,0.034953,0.923077,0.971599,0.450980,0.000000
0,124,0.076923,0.028571,0.000000,0.013777,0.923077,0.988806,0.215686,0.000000
0,125,0.076923,0.028571,0.000000,0.309556,0.923077,0.748468,0.450980,0.000000
0,126,0.076923,0.028571,0.000000,0.130580,0.923077,0.893896,0.274510,0.000000
0,127,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.509804,0.000000
0,128,0.076923,0.028571,0.000000,0.202770,0.923077,0.835238,0.235294,0.000000
0,129,0.076923,0.028571,0.000000,0.274603,0.923077,0.776869,0.431373,0.000000
0,130,0.076923,0.028571,0.000000,0.198677,0.923077,0.838563,0.274510,0.000000
0,131,0.076923,0.028571,0.000000,0.121514,0.923077,0.901262,0.470588,0.000000
0,132,0.076923,0.028571,0.000000,0.310507,0.923077,0.747694,0.235294,0.000000
0,133,0.076923,0.028571,0.497899,0.068097,0.923077,0.727046,0.235294,0.063692
0,134,0.076923,0.028571,0.000000,0.064814,0.923077,0.947335,0.431373,0.000000
0,135,0.076923,0.028571,0.000000,0.124274,0.923077,0.899020,0.274510,0.000000
0,136,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.529412,0.000000
0,137,0.076923,0.028571,0.000000,0.209384,0.923077,0.829863,0.215686,0.000000
0,138,0.076923,0.028571,0.000000,0.064814,0.923077,0.947335,0.392157,0.000000
0,139,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,140,0.076923,0.028571,0.000000,0.051204,0.923077,0.958394,0.450980,0.000000
0,141,0.076923,0.028571,0.049940,0.300823,0.923077,0.733735,0.274510,0.009988
0,142,0.076923,0.028571,0.391206,0.760993,0.923077,0.210661,0.333333,0.078241
0,143,0.076923,0.028571,0.000000,0.760993,0.923077,0.381648,0.254902,0.000000
0,144,0.076923,0.028571,0.527138,0.266917,0.923077,0.552713,0.294118,0.067432
0,145,0.076923,0.028571,0.000000,0.078019,0.923077,0.936605,0.274510,0.000000
0,146,0.076923,0.028571,0.260495,0.013777,0.923077,0.874949,0.215686,0.033323
0,147,0.076923,0.028571,0.000000,0.352622,0.923077,0.713474,0.274510,0.000000
0,148,0.076923,0.028571,0.471845,0.000000,0.923077,0.793767,0.196078,0.060359
0,149,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,150,0.076923,0.028571,0.000000,0.202770,0.923077,0.835238,0.215686,0.000000
0,151,0.076923,0.028571,0.000000,0.274603,0.923077,0.776869,0.274510,0.000000
0,152,0.076923,0.028571,0.517141,0.220900,0.923077,0.594474,0.254902,0.066154
0,153,0.076923,0.028571,0.000000,0.121514,0.923077,0.901262,0.274510,0.000000
0,154,0.076923,0.028571,0.000000,0.310507,0.923077,0.747694,0.235294,0.000000
0,155,0.076923,0.028571,0.000000,0.220900,0.923077,0.820505,0.235294,0.000000
0,156,0.038462,0.021429,0.000000,0.602717,0.961538,0.510257,0.470588,0.000000
0,157,0.038462,0.021429,0.000000,0.662178,0.961538,0.461941,0.470588,0.000000
0,158,0.038462,0.021429,0.000000,0.537903,0.961538,0.562922,0.490196,0.000000
0,159,0.038462,0.021429,0.000000,0.747288,0.961538,0.392785,0.490196,0.000000
0,160,0.038462,0.021429,0.000000,0.602717,0.961538,0.510257,0.431373,0.000000
0,161,0.038462,0.021429,0.000000,0.537903,0.961538,0.562922,0.529412,0.000000
0,162,0.038462,0.021429,0.000000,0.589107,0.961538,0.521315,0.470588,0.000000
0,163,0.038462,0.021429,0.000000,0.838727,0.961538,0.318485,0.568627,0.000000
0,164,0.038462,0.021429,0.382271,0.694466,0.961538,0.268623,0.411765,0.076454
0,165,0.038462,0.021429,0.000000,0.694466,0.961538,0.435706,0.470588,0.000000
0,166,0.038462,0.021429,0.000000,0.804821,0.961538,0.346036,0.549020,0.000000
0,167,0.346154,0.078571,0.000000,0.195869,0.653846,0.840844,0.196078,0.000000
0,168,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,169,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,170,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.235294,0.000000
0,171,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.294118,0.000000
0,172,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.196078,0.000000
0,173,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.215686,0.000000
0,174,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.215686,0.000000
0,175,0.076923,0.028571,0.000000,0.000000,0.923077,1.000000,0.254902,0.000000
0,176,0.076923,0.028571,0.000000,0.267821,0.923077,0.782379,0.196078,0.000000
0,177,0.076923,0.028571,0.000000,0.267821,0.923077,0.782379,0.196078,0.000000
