iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.000000,0.035398,0.000000,0.000000,1.000000,1.000000,0.649123,0.000000
0,1,0.000000,0.035398,0.000000,0.000000,1.000000,1.000000,0.228070,0.000000
0,2,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.491228,0.000000
0,3,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.192982,0.000000
0,4,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.561404,0.000000
0,5,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.298246,0.000000
0,6,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.456140,0.000000
0,7,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.228070,0.000000
0,8,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.543860,0.000000
0,9,0.105263,0.053097,0.000000,0.200000,0.894737,0.833333,0.368421,0.000000
0,10,0.105263,0.053097,0.000000,0.400000,0.894737,0.666667,0.368421,0.000000
0,11,0.105263,0.053097,0.000000,0.400000,0.894737,0.666667,0.298246,0.000000
0,12,0.526316,0.123894,0.666667,1.000000,0.473684,0.055556,0.140351,0.133333
0,13,0.526316,0.123894,0.833333,1.000000,0.473684,0.027778,0.122807,0.166667
0,14,0.526316,0.123894,0.833333,1.000000,0.473684,0.027778,0.122807,0.166667
0,15,0.526316,0.123894,0.833333,1.000000,0.473684,0.027778,0.140351,0.166667
0,16,0.526316,0.123894,0.833333,1.000000,0.473684,0.027778,0.140351,0.166667
0,17,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.140351,0.666667
0,18,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.578947,0.000000
0,19,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.192982,0.000000
0,20,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.491228,0.000000
0,21,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.175439,0.000000
0,22,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.473684,0.000000
0,23,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.228070,0.000000
0,24,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.421053,0.000000
0,25,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.228070,0.000000
0,26,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.421053,0.000000
0,27,0.157895,0.061947,0.000000,0.233333,0.842105,0.805556,0.333333,0.000000
0,28,0.157895,0.061947,0.000000,0.400000,0.842105,0.666667,0.333333,0.000000
0,29,0.157895,0.061947,0.000000,0.400000,0.842105,0.666667,0.315789,0.000000
0,30,0.578947,0.132743,0.333333,0.933333,0.421053,0.166667,0.157895,0.066667
0,31,0.578947,0.132743,0.166667,0.900000,0.421053,0.222222,0.157895,0.033333
0,32,0.578947,0.132743,0.166667,0.900000,0.421053,0.222222,0.175439,0.033333
0,33,0.578947,0.132743,0.166667,0.900000,0.421053,0.222222,0.175439,0.033333
0,34,0.578947,0.132743,0.166667,0.900000,0.421053,0.222222,0.228070,0.033333
0,35,0.578947,0.132743,-0.000000,0.866667,0.421053,0.277778,0.175439,-0.000000
0,36,0.052632,0.044248,0.000000,0.033333,0.947368,0.972222,0.614035,0.000000
0,37,0.052632,0.044248,0.000000,0.033333,0.947368,0.972222,0.280702,0.000000
0,38,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.526316,0.000000
0,39,0.157895,0.061947,-0.000000,0.066667,0.842105,0.944444,0.210526,-0.000000
0,40,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.543860,0.000000
0,41,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.350877,0.000000
0,42,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.526316,0.000000
0,43,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.280702,0.000000
0,44,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.526316,0.000000
0,45,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.385965,0.000000
0,46,0.157895,0.061947,0.000000,0.100000,0.842105,0.916667,0.491228,0.000000
0,47,0.157895,0.061947,0.000000,0.100000,0.842105,0.916667,0.350877,0.000000
0,48,0.578947,0.132743,0.000000,0.166667,0.421053,0.861111,0.228070,0.000000
0,49,0.578947,0.132743,0.000000,0.200000,0.421053,0.833333,0.210526,0.000000
0,50,0.578947,0.132743,0.000000,0.200000,0.421053,0.833333,0.210526,0.000000
0,51,0.578947,0.132743,0.000000,0.200000,0.421053,0.833333,0.245614,0.000000
0,52,0.578947,0.132743,0.000000,0.200000,0.421053,0.833333,0.263158,0.000000
0,53,0.578947,0.132743,0.000000,0.233333,0.421053,0.805556,0.210526,0.000000
0,54,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.543860,0.000000
0,55,0.052632,0.044248,0.000000,0.033333,0.947368,0.972222,0.245614,0.000000
0,56,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.508772,0.000000
0,57,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.210526,0.000000
0,58,0.157895,0.061947,0.000000,0.066667,0.842105,0.944444,0.526316,0.000000
0,59,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.245614,0.000000
0,60,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.456140,0.000000
0,61,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.263158,0.000000
0,62,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.421053,0.000000
0,63,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.298246,0.000000
0,64,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.508772,0.000000
0,65,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.385965,0.000000
0,66,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.263158,0.000000
0,67,0.578947,0.132743,0.000000,0.066667,0.421053,0.944444,0.245614,0.000000
0,68,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.228070,0.000000
0,69,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.280702,0.000000
0,70,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.315789,0.000000
0,71,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.245614,0.000000
0,72,0.052632,0.044248,0.000000,0.033333,0.947368,0.972222,0.298246,0.000000
0,73,0.052632,0.044248,0.000000,0.033333,0.947368,0.972222,0.192982,0.000000
0,74,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.280702,0.000000
0,75,0.157895,0.061947,0.166667,0.033333,0.842105,0.944444,0.175439,0.111111
0,76,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.333333,0.000000
0,77,0.157895,0.061947,-0.000000,0.033333,0.842105,0.972222,0.210526,-0.000000
0,78,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.298246,0.000000
0,79,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.192982,0.000000
0,80,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.280702,0.000000
0,81,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.210526,0.000000
0,82,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.298246,0.000000
0,83,0.157895,0.061947,0.000000,0.033333,0.842105,0.972222,0.280702,0.000000
0,84,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.140351,0.000000
0,85,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.140351,0.000000
0,86,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.140351,0.000000
0,87,0.578947,0.132743,-0.000000,0.033333,0.421053,0.972222,0.192982,-0.000000
0,88,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.175439,0.000000
0,89,0.578947,0.132743,0.000000,0.033333,0.421053,0.972222,0.140351,0.000000
0,90,0.000000,0.035398,0.000000,0.100000,1.000000,0.916667,0.596491,0.000000
0,91,0.000000,0.035398,0.000000,0.066667,1.000000,0.944444,0.578947,0.000000
0,92,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.526316,0.000000
0,93,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.508772,0.000000
0,94,0.052632,0.044248,0.000000,0.100000,0.947368,0.916667,0.578947,0.000000
0,95,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.561404,0.000000
0,96,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.543860,0.000000
0,97,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.543860,0.000000
0,98,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.526316,0.000000
0,99,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.561404,0.000000
0,100,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.596491,0.000000
0,101,0.052632,0.044248,0.000000,0.066667,0.947368,0.944444,0.596491,0.000000
0,102,0.263158,0.079646,0.000000,0.066667,0.736842,0.944444,0.543860,0.000000
0,103,0.263158,0.079646,0.000000,0.100000,0.736842,0.916667,0.508772,0.000000
0,104,0.263158,0.079646,0.000000,0.066667,0.736842,0.944444,0.491228,0.000000
0,105,0.263158,0.079646,0.000000,0.066667,0.736842,0.944444,0.508772,0.000000
0,106,0.263158,0.079646,0.000000,0.066667,0.736842,0.944444,0.543860,0.000000
0,107,0.263158,0.079646,0.000000,0.066667,0.736842,0.944444,0.543860,0.000000
0,108,1.000000,0.203540,0.166667,0.200000,0.000000,0.805556,0.140351,0.033333
0,109,1.000000,0.203540,0.333333,0.366667,0.000000,0.638889,0.122807,0.222222
0,110,1.000000,0.203540,0.166667,0.200000,0.000000,0.805556,0.140351,0.033333
0,111,1.000000,0.203540,0.166667,0.200000,0.000000,0.805556,0.140351,0.033333
0,112,1.000000,0.203540,0.166667,0.233333,0.000000,0.777778,0.140351,0.033333
0,113,1.000000,0.203540,0.166667,0.200000,0.000000,0.805556,0.140351,0.033333
1,0,0.000000,0.035398,0.000000,0.000000,1.000000,1.000000,0.637931,0.000000
1,1,0.000000,0.035398,0.000000,0.000000,1.000000,1.000000,0.224138,0.000000
1,2,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.482759,0.000000
1,3,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.189655,0.000000
1,4,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.551724,0.000000
1,5,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.293103,0.000000
1,6,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.448276,0.000000
1,7,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.224138,0.000000
1,8,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.534483,0.000000
1,9,0.105263,0.053097,0.000000,0.200000,0.894737,0.829268,0.362069,0.000000
1,10,0.105263,0.053097,0.000000,0.400000,0.894737,0.658537,0.362069,0.000000
1,11,0.105263,0.053097,0.000000,0.400000,0.894737,0.658537,0.293103,0.000000
1,12,0.526316,0.123894,0.833333,1.000000,0.473684,0.024390,0.137931,0.555556
1,13,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.120690,0.200000
1,14,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.120690,0.200000
1,15,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.137931,0.200000
1,16,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.137931,0.200000
1,17,0.526316,0.123894,1.000000,1.000000,0.473684,0.000000,0.155172,0.200000
1,18,0.052632,0.044248,0.000000,0.057143,0.947368,0.951220,0.568966,0.000000
1,19,0.052632,0.044248,0.000000,0.057143,0.947368,0.951220,0.189655,0.000000
1,20,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.482759,0.000000
1,21,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.172414,0.000000
1,22,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.465517,0.000000
1,23,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.224138,0.000000
1,24,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.413793,0.000000
1,25,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.224138,0.000000
1,26,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.413793,0.000000
1,27,0.157895,0.061947,0.000000,0.228571,0.842105,0.804878,0.327586,0.000000
1,28,0.157895,0.061947,0.000000,0.371429,0.842105,0.682927,0.327586,0.000000
1,29,0.157895,0.061947,0.000000,0.371429,0.842105,0.682927,0.310345,0.000000
1,30,0.578947,0.132743,0.333333,0.914286,0.421053,0.170732,0.155172,0.222222
1,31,0.578947,0.132743,0.166667,0.885714,0.421053,0.219512,0.155172,0.033333
1,32,0.578947,0.132743,0.166667,0.885714,0.421053,0.219512,0.172414,0.033333
1,33,0.578947,0.132743,0.166667,0.885714,0.421053,0.219512,0.172414,0.033333
1,34,0.578947,0.132743,0.166667,0.885714,0.421053,0.219512,0.224138,0.033333
