iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.000000,0.026144,0.000000,0.002088,1.000000,0.998205,0.692308,0.000000
0,1,0.000000,0.026144,0.012821,0.000000,1.000000,0.998205,0.153846,0.009524
0,2,0.086957,0.039216,0.000000,0.171190,0.913043,0.852783,0.519231,0.000000
0,3,0.086957,0.039216,0.000000,0.169102,0.913043,0.854578,0.153846,0.000000
0,4,0.086957,0.039216,0.000000,0.162839,0.913043,0.859964,0.519231,0.000000
0,5,0.086957,0.039216,0.000000,0.162839,0.913043,0.859964,0.250000,0.000000
0,6,0.086957,0.039216,0.000000,0.169102,0.913043,0.854578,0.480769,0.000000
0,7,0.086957,0.039216,0.000000,0.169102,0.913043,0.854578,0.269231,0.000000
0,8,0.086957,0.039216,0.000000,0.164927,0.913043,0.858169,0.480769,0.000000
0,9,0.086957,0.039216,0.000000,0.164927,0.913043,0.858169,0.269231,0.000000
0,10,0.086957,0.039216,0.000000,0.164927,0.913043,0.858169,0.423077,0.000000
0,11,0.086957,0.039216,0.000000,0.164927,0.913043,0.858169,0.346154,0.000000
0,12,0.086957,0.039216,0.000000,0.331942,0.913043,0.714542,0.384615,0.000000
0,13,0.086957,0.039216,0.000000,0.331942,0.913043,0.714542,0.346154,0.000000
0,14,0.521739,0.104575,0.794872,1.000000,0.478261,0.028725,0.134615,0.158974
0,15,0.521739,0.104575,0.794872,0.993737,0.478261,0.034111,0.115385,0.158974
0,16,0.521739,0.104575,1.000000,1.000000,0.478261,0.000000,0.115385,0.742857
0,17,0.521739,0.104575,0.961538,0.993737,0.478261,0.010772,0.115385,0.192308
0,18,0.521739,0.104575,0.974359,0.997912,0.478261,0.005386,0.115385,0.194872
0,19,0.521739,0.104575,0.794872,0.997912,0.478261,0.030521,0.115385,0.158974
0,20,0.521739,0.104575,0.871795,0.993737,0.478261,0.023339,0.096154,0.174359
0,21,0.043478,0.032680,0.000000,0.014614,0.956522,0.987433,0.596154,0.000000
0,22,0.043478,0.032680,0.000000,0.012526,0.956522,0.989228,0.153846,0.000000
0,23,0.130435,0.045752,0.000000,0.144050,0.869565,0.876122,0.500000,0.000000
0,24,0.130435,0.045752,0.000000,0.141962,0.869565,0.877917,0.153846,0.000000
0,25,0.130435,0.045752,0.000000,0.175365,0.869565,0.849192,0.500000,0.000000
0,26,0.130435,0.045752,0.000000,0.175365,0.869565,0.849192,0.250000,0.000000
0,27,0.130435,0.045752,0.000000,0.169102,0.869565,0.854578,0.461538,0.000000
0,28,0.130435,0.045752,0.000000,0.169102,0.869565,0.854578,0.307692,0.000000
0,29,0.130435,0.045752,0.000000,0.171190,0.869565,0.852783,0.442308,0.000000
0,30,0.130435,0.045752,0.000000,0.171190,0.869565,0.852783,0.269231,0.000000
0,31,0.130435,0.045752,0.000000,0.141962,0.869565,0.877917,0.442308,0.000000
0,32,0.130435,0.045752,0.000000,0.141962,0.869565,0.877917,0.403846,0.000000
0,33,0.130435,0.045752,0.000000,0.311065,0.869565,0.732496,0.365385,0.000000
0,34,0.130435,0.045752,0.000000,0.311065,0.869565,0.732496,0.384615,0.000000
0,35,0.565217,0.111111,0.205128,0.918580,0.434783,0.181329,0.173077,0.041026
0,36,0.565217,0.111111,0.243590,0.918580,0.434783,0.175943,0.192308,0.048718
0,37,0.565217,0.111111,0.000000,0.885177,0.434783,0.238779,0.192308,0.000000
0,38,0.565217,0.111111,0.076923,0.891441,0.434783,0.222621,0.192308,0.015385
0,39,0.565217,0.111111,0.038462,0.889353,0.434783,0.229803,0.192308,0.007692
0,40,0.565217,0.111111,0.217949,0.918580,0.434783,0.179533,0.192308,0.043590
0,41,0.565217,0.111111,0.166667,0.878914,0.434783,0.220826,0.153846,0.033333
0,42,0.043478,0.032680,0.000000,0.000000,0.956522,1.000000,0.653846,0.000000
0,43,0.043478,0.032680,0.000000,0.000000,0.956522,1.000000,0.269231,0.000000
0,44,0.130435,0.045752,0.000000,0.039666,0.869565,0.965889,0.500000,0.000000
0,45,0.130435,0.045752,0.000000,0.039666,0.869565,0.965889,0.211538,0.000000
0,46,0.130435,0.045752,0.000000,0.000000,0.869565,1.000000,0.519231,0.000000
0,47,0.130435,0.045752,0.000000,0.000000,0.869565,1.000000,0.288462,0.000000
0,48,0.130435,0.045752,0.000000,0.012526,0.869565,0.989228,0.519231,0.000000
0,49,0.130435,0.045752,0.000000,0.012526,0.869565,0.989228,0.288462,0.000000
0,50,0.130435,0.045752,0.000000,0.006263,0.869565,0.994614,0.442308,0.000000
0,51,0.130435,0.045752,0.000000,0.006263,0.869565,0.994614,0.326923,0.000000
0,52,0.130435,0.045752,0.000000,0.035491,0.869565,0.969479,0.461538,0.000000
0,53,0.130435,0.045752,0.000000,0.035491,0.869565,0.969479,0.403846,0.000000
0,54,0.130435,0.045752,0.000000,0.060543,0.869565,0.947935,0.480769,0.000000
0,55,0.130435,0.045752,0.000000,0.060543,0.869565,0.947935,0.423077,0.000000
0,56,0.565217,0.111111,0.000000,0.121086,0.434783,0.895871,0.192308,0.000000
