iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.745763,0.112112,0.305495,0.781534,0.254237,0.179013,0.032787,0.061099
0,1,0.237288,0.082082,0.000000,0.295755,0.762712,0.704245,0.103825,0.000000
0,2,0.661017,0.107107,0.000000,0.225621,0.338983,0.774379,0.043716,0.000000
0,3,0.440678,0.094094,0.000000,0.426070,0.559322,0.573930,0.054645,0.000000
0,4,0.610169,0.104104,0.000000,0.456709,0.389831,0.543291,0.043716,0.000000
0,5,0.762712,0.113113,0.000000,0.470487,0.237288,0.529513,0.032787,0.000000
0,6,0.457627,0.095095,0.000000,0.284838,0.542373,0.715162,0.049180,0.000000
0,7,0.644068,0.106106,0.000000,0.673015,0.355932,0.326985,0.032787,0.000000
0,8,0.576271,0.102102,0.000000,0.653939,0.423729,0.346061,0.038251,0.000000
0,9,0.474576,0.096096,0.000000,0.412860,0.525424,0.587140,0.054645,0.000000
0,10,0.542373,0.100100,0.000000,0.496845,0.457627,0.503155,0.054645,0.000000
0,11,0.491525,0.097097,0.000000,0.244584,0.508475,0.755416,0.038251,0.000000
0,12,0.711864,0.110110,0.000000,0.261195,0.288136,0.738805,0.032787,0.000000
0,13,0.728814,0.111111,0.626662,0.395841,0.271186,0.523228,0.038251,0.050019
0,14,0.305085,0.086086,0.000000,0.350711,0.694915,0.649289,0.076503,0.000000
0,15,0.406780,0.092092,0.000000,0.562073,0.593220,0.437927,0.049180,0.000000
0,16,0.576271,0.102102,0.157198,0.461144,0.423729,0.518555,0.032787,0.031440
0,17,0.305085,0.086086,0.000000,0.417493,0.694915,0.582507,0.076503,0.000000
0,18,0.644068,0.106106,0.000000,0.665090,0.355932,0.334910,0.038251,0.000000
0,19,0.525424,0.099099,0.000000,0.510697,0.474576,0.489303,0.038251,0.000000
0,20,0.627119,0.105105,0.000000,0.616531,0.372881,0.383469,0.043716,0.000000
0,21,0.813559,0.116116,0.294002,0.917584,0.186441,0.044447,0.032787,0.058800
0,22,0.881356,0.120120,0.000000,0.946300,0.118644,0.053700,0.043716,0.000000
0,23,0.610169,0.104104,0.000000,0.444498,0.389831,0.555502,0.038251,0.000000
0,24,0.389831,0.091091,0.000000,0.489967,0.610169,0.510033,0.038251,0.000000
0,25,0.610169,0.104104,0.000000,0.797082,0.389831,0.202918,0.038251,0.000000
0,26,0.610169,0.104104,0.000000,0.558055,0.389831,0.441945,0.032787,0.000000
0,27,0.525424,0.099099,0.000000,0.566782,0.474576,0.433218,0.038251,0.000000
0,28,0.355932,0.089089,0.000000,0.568265,0.644068,0.431735,0.049180,0.000000
0,29,0.322034,0.087087,0.000000,0.160794,0.677966,0.839206,0.054645,0.000000
0,30,0.644068,0.106106,0.372779,0.305688,0.355932,0.646169,0.032787,0.029755
0,31,0.338983,0.088088,0.000000,0.427592,0.661017,0.572408,0.049180,0.000000
0,32,0.322034,0.087087,0.000000,0.150174,0.677966,0.849826,0.049180,0.000000
0,33,0.288136,0.085085,0.000000,0.288094,0.711864,0.711906,0.092896,0.000000
0,34,0.559322,0.101101,0.000000,0.514177,0.440678,0.485823,0.038251,0.000000
0,35,0.457627,0.095095,0.000000,0.259616,0.542373,0.740384,0.032787,0.000000
0,36,0.966102,0.125125,0.376398,0.821335,0.033898,0.130055,0.032787,0.075280
0,37,0.745763,0.112112,0.232495,0.280473,0.254237,0.689501,0.032787,0.046499
0,38,0.508475,0.098098,0.000000,0.511623,0.491525,0.488377,0.038251,0.000000
0,39,0.627119,0.105105,0.000000,0.620643,0.372881,0.379357,0.032787,0.000000
0,40,0.271186,0.084084,0.000000,0.535175,0.728814,0.464825,0.109290,0.000000
0,41,0.406780,0.092092,0.000000,0.355547,0.593220,0.644453,0.038251,0.000000
0,42,0.627119,0.105105,0.000000,0.305991,0.372881,0.694009,0.038251,0.000000
0,43,0.406780,0.092092,0.000000,0.210220,0.593220,0.789780,0.076503,0.000000
0,44,0.372881,0.090090,0.000000,0.178280,0.627119,0.821720,0.054645,0.000000
0,45,0.508475,0.098098,0.496214,0.449739,0.491525,0.486177,0.032787,0.099243
0,46,0.627119,0.105105,0.000000,0.363020,0.372881,0.636980,0.038251,0.000000
0,47,0.593220,0.103103,0.000000,0.438227,0.406780,0.561773,0.032787,0.000000
0,48,0.898305,0.121121,0.000000,0.537357,0.101695,0.462643,0.038251,0.000000
0,49,0.694915,0.109109,0.000000,0.567315,0.305085,0.432685,0.032787,0.000000
0,50,0.220339,0.081081,0.000000,0.377676,0.779661,0.622324,0.076503,0.000000
0,51,0.508475,0.098098,0.000000,0.505789,0.491525,0.494211,0.038251,0.000000
0,52,0.508475,0.098098,0.000000,0.569780,0.491525,0.430220,0.032787,0.000000
0,53,0.677966,0.108108,0.000000,0.980645,0.322034,0.019355,0.038251,0.000000
0,54,0.525424,0.099099,0.000000,0.506030,0.474576,0.493970,0.043716,0.000000
0,55,0.355932,0.089089,0.000000,0.468185,0.644068,0.531815,0.043716,0.000000
0,56,0.559322,0.101101,0.000000,0.150421,0.440678,0.849579,0.038251,0.000000
0,57,0.372881,0.090090,0.000000,0.383892,0.627119,0.616108,0.071038,0.000000
