iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.548077,0.504505,0.403766,0.569059,0.451923,0.430745,0.007989,0.080753
0,1,0.471154,0.496496,0.179707,0.480008,0.528846,0.526249,0.010652,0.035941
0,2,0.673077,0.517518,0.185234,0.439269,0.326923,0.565628,0.009321,0.037047
0,3,0.557692,0.505506,0.114519,0.219391,0.442308,0.782176,0.007989,0.022904
0,4,0.413462,0.490490,0.207527,0.360760,0.586538,0.641049,0.007989,0.041505
0,5,0.567308,0.506507,0.622097,0.533226,0.432692,0.456859,0.007989,0.124419
0,6,0.423077,0.491491,0.040544,0.391987,0.576923,0.617363,0.013316,0.008109
0,7,0.394231,0.488488,0.266731,0.486135,0.605769,0.516819,0.009321,0.053346
0,8,0.605769,0.510511,0.411615,0.439858,0.394231,0.556017,0.007989,0.082323
0,9,0.326923,0.481481,0.000000,0.335603,0.673077,0.673788,0.013316,0.000000
0,10,0.605769,0.510511,0.306086,0.504882,0.394231,0.497026,0.009321,0.061217
0,11,0.269231,0.475475,0.000000,0.065802,0.730769,0.936040,0.011984,0.000000
0,12,0.384615,0.487487,0.146736,0.453587,0.615385,0.553247,0.009321,0.029347
0,13,0.615385,0.511512,0.000000,0.561897,0.384615,0.453826,0.010652,0.000000
0,14,0.500000,0.499499,0.333738,0.189577,0.500000,0.802405,0.007989,0.066748
0,15,0.413462,0.490490,0.256963,0.220812,0.586538,0.775108,0.007989,0.051393
0,16,0.307692,0.479479,0.464802,0.136234,0.692308,0.849022,0.010652,0.092960
0,17,0.403846,0.489489,0.000000,0.417790,0.596154,0.593901,0.009321,0.000000
0,18,0.567308,0.506507,0.038810,0.493462,0.432692,0.518797,0.007989,0.007762
0,19,0.596154,0.509510,0.034634,0.356708,0.403846,0.651891,0.007989,0.006927
0,20,0.596154,0.509510,0.417946,0.455403,0.403846,0.540655,0.009321,0.083589
0,21,0.500000,0.499499,0.000000,0.553089,0.500000,0.462388,0.010652,0.000000
0,22,0.490385,0.498498,0.000000,0.141864,0.509615,0.862106,0.011984,0.000000
0,23,0.644231,0.514515,0.000000,0.508536,0.355769,0.505694,0.007989,0.000000
0,24,0.442308,0.493493,0.194577,0.361470,0.557692,0.640877,0.007989,0.038915
0,25,0.375000,0.486486,0.000000,0.389625,0.625000,0.621277,0.009321,0.000000
0,26,0.403846,0.489489,0.209241,0.286569,0.596154,0.713097,0.007989,0.041848
0,27,0.673077,0.517518,0.088397,0.406107,0.326923,0.601728,0.007989,0.017679
0,28,0.644231,0.514515,0.000000,0.705454,0.355769,0.314286,0.009321,0.000000
0,29,0.317308,0.480480,0.080609,0.343796,0.682692,0.662606,0.009321,0.016122
0,30,0.394231,0.488488,0.048426,0.384073,0.605769,0.624741,0.010652,0.009685
0,31,0.307692,0.479479,0.417247,0.561868,0.692308,0.437197,0.010652,0.083449
0,32,0.557692,0.505506,0.005912,0.542146,0.442308,0.472788,0.007989,0.001182
0,33,0.528846,0.502503,0.416682,0.447304,0.471154,0.548578,0.007989,0.083336
0,34,0.394231,0.488488,0.000000,0.379056,0.605769,0.631551,0.014647,0.000000
0,35,0.432692,0.492492,0.000000,0.285150,0.567308,0.722829,0.010652,0.000000
0,36,0.528846,0.502503,0.339382,0.426590,0.471154,0.571798,0.007989,0.067876
0,37,0.346154,0.483483,0.000000,0.180538,0.653846,0.824514,0.009321,0.000000
0,38,0.701923,0.520521,0.559853,0.763301,0.298077,0.235707,0.007989,0.111971
0,39,0.807692,0.531532,0.336595,0.575035,0.192308,0.427618,0.007989,0.067319
0,40,0.375000,0.486486,0.000000,0.201038,0.625000,0.804588,0.011984,0.000000
0,41,0.375000,0.486486,0.062849,0.101298,0.625000,0.899027,0.014647,0.012570
0,42,0.250000,0.473473,0.066372,0.303365,0.750000,0.702474,0.013316,0.013274
0,43,0.653846,0.515516,0.230803,0.751477,0.346154,0.260337,0.007989,0.046161
0,44,0.615385,0.511512,0.000000,0.275519,0.384615,0.732191,0.007989,0.000000
0,45,0.701923,0.520521,0.293305,0.627429,0.298077,0.378419,0.007989,0.058661
0,46,0.394231,0.488488,0.229893,0.203186,0.605769,0.793322,0.010652,0.045979
0,47,0.413462,0.490490,0.208118,0.462714,0.586538,0.541925,0.009321,0.041624
0,48,0.355769,0.484484,0.121957,0.143243,0.644231,0.855896,0.011984,0.024391
0,49,0.711538,0.521522,0.000000,0.547984,0.288462,0.467350,0.009321,0.000000
0,50,0.625000,0.512513,0.000000,0.379037,0.375000,0.631569,0.007989,0.000000
0,51,0.250000,0.473473,0.000000,0.382491,0.750000,0.628212,0.015979,0.000000
0,52,0.519231,0.501502,0.320928,0.545983,0.480769,0.456482,0.009321,0.064186
0,53,0.519231,0.501502,0.020187,0.208434,0.480769,0.796592,0.010652,0.004037
0,54,0.557692,0.505506,0.005305,0.450665,0.442308,0.561734,0.009321,0.001061
0,55,0.480769,0.497497,0.227758,0.300957,0.519231,0.698372,0.007989,0.045552
0,56,0.682692,0.518519,0.000000,0.519020,0.317308,0.495503,0.007989,0.000000
0,57,0.576923,0.507508,0.319064,0.492925,0.423077,0.508130,0.007989,0.063813
0,58,0.317308,0.480480,0.000000,0.333198,0.682692,0.676125,0.011984,0.000000
0,59,0.355769,0.484484,0.000000,0.215984,0.644231,0.790060,0.010652,0.000000
0,60,0.625000,0.512513,0.108871,0.716417,0.375000,0.299284,0.007989,0.021774
0,61,0.298077,0.478478,0.000000,0.209477,0.701923,0.796385,0.010652,0.000000
0,62,0.480769,0.497497,0.035426,0.242315,0.519231,0.763051,0.010652,0.007085
0,63,0.471154,0.496496,0.000000,0.564093,0.528846,0.451692,0.007989,0.000000
0,64,0.615385,0.511512,0.000000,0.423395,0.384615,0.588453,0.007989,0.000000
0,65,0.519231,0.501502,0.166829,0.390009,0.480769,0.614245,0.009321,0.033366
0,66,0.634615,0.513514,0.000000,0.597277,0.365385,0.419436,0.009321,0.000000
0,67,0.682692,0.518519,0.000000,0.363764,0.317308,0.646415,0.007989,0.000000
0,68,0.692308,0.519520,0.225629,0.665428,0.307692,0.344184,0.009321,0.045126
0,69,0.403846,0.489489,0.000000,0.402215,0.596154,0.609040,0.009321,0.000000
0,70,0.490385,0.498498,0.377051,0.488172,0.509615,0.510436,0.007989,0.075410
0,71,0.509615,0.500501,0.035135,0.476031,0.490385,0.535887,0.007989,0.007027
0,72,0.307692,0.479479,0.000000,0.114955,0.692308,0.888262,0.011984,0.000000
0,73,0.480769,0.497497,0.000000,0.443715,0.519231,0.568701,0.010652,0.000000
0,74,0.538462,0.503504,0.124134,0.526017,0.461538,0.483747,0.009321,0.024827
0,75,0.403846,0.489489,0.130045,0.348283,0.596154,0.656271,0.007989,0.026009
0,76,0.432692,0.492492,0.000000,0.513674,0.567308,0.500700,0.010652,0.000000
0,77,0.480769,0.497497,0.000000,0.383019,0.519231,0.627699,0.007989,0.000000
0,78,0.432692,0.492492,0.080452,0.389960,0.567308,0.617740,0.009321,0.016090
0,79,0.942308,0.545546,0.318406,0.779783,0.057692,0.229326,0.007989,0.063681
0,80,0.528846,0.502503,0.453593,0.343457,0.471154,0.648045,0.009321,0.090719
0,81,0.480769,0.497497,0.000000,0.443885,0.519231,0.568536,0.009321,0.000000
0,82,0.480769,0.497497,0.015347,0.391635,0.519231,0.618711,0.007989,0.003069
0,83,0.413462,0.490490,0.046701,0.454100,0.586538,0.556742,0.010652,0.009340
0,84,0.730769,0.523524,0.000000,0.527229,0.269231,0.487523,0.009321,0.000000
0,85,0.173077,0.465465,0.000000,0.121836,0.826923,0.881573,0.014647,0.000000
0,86,0.451923,0.494494,0.049392,0.413688,0.548077,0.595916,0.007989,0.009878
0,87,0.509615,0.500501,0.215735,0.500584,0.490385,0.504811,0.007989,0.043147
0,88,0.432692,0.492492,0.000000,0.291755,0.567308,0.716409,0.010652,0.000000
0,89,0.471154,0.496496,0.147947,0.524561,0.528846,0.484211,0.009321,0.029589
0,90,0.557692,0.505506,0.110785,0.571366,0.442308,0.440199,0.007989,0.022157
0,91,0.644231,0.514515,0.414431,0.510898,0.355769,0.486854,0.007989,0.082886
0,92,0.365385,0.485485,0.387002,0.432819,0.634615,0.563843,0.007989,0.077400
0,93,0.615385,0.511512,0.000000,0.454112,0.384615,0.558595,0.007989,0.000000
0,94,0.500000,0.499499,0.000000,0.375450,0.500000,0.635056,0.010652,0.000000
0,95,0.538462,0.503504,0.000000,0.463394,0.461538,0.549573,0.010652,0.000000
0,96,0.317308,0.480480,0.000000,0.242265,0.682692,0.764514,0.007989,0.000000
0,97,0.384615,0.487487,0.158360,0.188784,0.615385,0.810177,0.009321,0.031672
0,98,0.384615,0.487487,0.548577,0.165904,0.615385,0.816838,0.007989,0.109715
0,99,0.750000,0.525526,0.109121,0.474202,0.250000,0.534711,0.009321,0.021824
0,100,0.346154,0.483483,0.000000,0.225528,0.653846,0.780783,0.011984,0.000000
0,101,0.509615,0.500501,0.241688,0.567416,0.490385,0.438813,0.009321,0.048338
0,102,0.394231,0.488488,0.478719,0.585947,0.605769,0.411338,0.007989,0.095744
