iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.388889,0.891892,0.358582,0.375688,0.611111,0.622540,0.004775,0.071716
0,1,0.296296,0.886887,0.249535,0.290177,0.703704,0.709402,0.005305,0.049907
0,2,0.981481,0.923924,0.747730,0.933579,0.018519,0.066969,0.003183,0.149546
0,3,0.629630,0.904905,0.145941,0.582873,0.370370,0.428552,0.004244,0.029188
0,4,0.740741,0.910911,0.459898,0.877717,0.259259,0.131194,0.003183,0.091980
0,5,0.425926,0.893894,0.373062,0.534013,0.574074,0.468188,0.003714,0.074612
0,6,0.092593,0.875876,0.297297,0.268079,0.907407,0.729226,0.007427,0.059459
0,7,0.555556,0.900901,0.446496,0.566345,0.444444,0.434232,0.003183,0.089299
0,8,0.500000,0.897898,0.678069,0.504869,0.500000,0.485974,0.003183,0.135614
0,9,0.555556,0.900901,0.201800,0.469764,0.444444,0.536536,0.003183,0.040360
0,10,0.333333,0.888889,0.359171,0.336169,0.666667,0.660922,0.004244,0.071834
0,11,0.351852,0.889890,0.375331,0.304264,0.648148,0.691368,0.003183,0.075066
0,12,0.500000,0.897898,0.369096,0.561457,0.500000,0.441656,0.004244,0.073819
0,13,0.666667,0.906907,0.737693,0.683848,0.333333,0.309992,0.003183,0.147539
0,14,0.740741,0.910911,0.890111,0.767502,0.259259,0.223436,0.003183,0.178022
0,15,0.611111,0.903904,0.360982,0.642149,0.388889,0.363523,0.003183,0.072196
0,16,0.555556,0.900901,0.500887,0.410082,0.444444,0.584203,0.003183,0.100177
0,17,0.407407,0.892893,0.281479,0.370128,0.592593,0.630606,0.004244,0.056296
0,18,0.462963,0.895896,0.451765,0.540938,0.537037,0.458740,0.004244,0.090353
0,19,0.277778,0.885886,0.230044,0.211726,0.722222,0.786310,0.006366,0.046009
0,20,0.240741,0.883884,0.698549,0.367471,0.759259,0.618783,0.003183,0.139710
0,21,0.648148,0.905906,0.505271,0.634112,0.351852,0.366350,0.003183,0.101054
0,22,0.685185,0.907908,0.530700,0.709203,0.314815,0.292502,0.003714,0.106140
0,23,0.703704,0.908909,0.445732,0.637902,0.296296,0.364723,0.003714,0.089146
0,24,0.740741,0.910911,0.709826,0.693075,0.259259,0.301988,0.003183,0.141965
0,25,0.333333,0.888889,0.133876,0.305277,0.666667,0.698723,0.004244,0.026775
0,26,0.574074,0.901902,0.636804,0.691166,0.425926,0.306365,0.003183,0.127361
0,27,0.740741,0.910911,0.619669,0.769905,0.259259,0.230442,0.002653,0.123934
0,28,0.796296,0.913914,0.529789,0.613589,0.203704,0.385446,0.003183,0.105958
0,29,0.796296,0.913914,0.444897,0.732474,0.203704,0.272852,0.003183,0.088979
0,30,0.518519,0.898899,0.599243,0.556000,0.481481,0.439009,0.003183,0.119849
0,31,0.759259,0.911912,0.882991,0.701206,0.240741,0.288106,0.003183,0.176598
0,32,0.851852,0.916917,0.638241,0.774082,0.148148,0.225742,0.003183,0.127648
0,33,0.314815,0.887888,0.529909,0.349464,0.685185,0.642106,0.003183,0.105982
0,34,0.555556,0.900901,0.379562,0.579496,0.444444,0.423765,0.003714,0.075912
0,35,0.722222,0.909910,0.408874,0.730992,0.277778,0.275536,0.003714,0.081775
0,36,0.777778,0.912913,0.409879,0.667850,0.222222,0.336860,0.003183,0.081976
0,37,0.500000,0.897898,0.181020,0.431862,0.500000,0.574086,0.004244,0.036204
0,38,0.611111,0.903904,0.189707,0.583503,0.388889,0.426428,0.003714,0.037941
0,39,0.222222,0.882883,0.540297,0.297429,0.777778,0.692312,0.004775,0.108059
0,40,0.388889,0.891892,0.563493,0.492037,0.611111,0.502401,0.003183,0.112699
0,41,0.296296,0.886887,0.220610,0.375603,0.703704,0.627388,0.004244,0.044122
0,42,0.425926,0.893894,0.230278,0.554436,0.574074,0.453273,0.004244,0.046056
0,43,0.259259,0.884885,0.627296,0.346822,0.740741,0.641310,0.004244,0.125459
0,44,0.222222,0.882883,0.358560,0.287754,0.777778,0.707991,0.005305,0.071712
0,45,0.333333,0.888889,0.235983,0.302996,0.666667,0.697413,0.003183,0.047197
0,46,0.481481,0.896897,0.458602,0.503998,0.518519,0.494401,0.003183,0.091720
0,47,0.351852,0.889890,0.518654,0.499202,0.648148,0.496987,0.004244,0.103731
0,48,0.481481,0.896897,0.125517,0.437041,0.518519,0.570970,0.003183,0.025103
0,49,0.888889,0.918919,0.572665,0.841230,0.111111,0.162755,0.003183,0.114533
0,50,0.537037,0.899900,0.775953,0.574926,0.462963,0.414515,0.003183,0.155191
0,51,0.203704,0.881882,0.234742,0.297122,0.796296,0.703164,0.005836,0.046948
0,52,0.796296,0.913914,0.146473,0.663261,0.203704,0.350417,0.003714,0.029295
0,53,0.222222,0.882883,0.714366,0.281591,0.777778,0.701691,0.003183,0.142873
0,54,0.259259,0.884885,0.191152,0.232012,0.740741,0.767940,0.005305,0.038230
0,55,0.407407,0.892893,0.490937,0.476979,0.592593,0.519539,0.003183,0.098187
0,56,0.481481,0.896897,0.338560,0.470796,0.518519,0.530811,0.004244,0.067712
0,57,0.462963,0.895896,0.322562,0.487271,0.537037,0.515354,0.003714,0.064512
0,58,0.666667,0.906907,0.600621,0.640129,0.333333,0.357210,0.003183,0.120124
0,59,0.592593,0.902903,0.381969,0.504166,0.407407,0.496883,0.003183,0.076394
0,60,0.555556,0.900901,0.477584,0.564362,0.444444,0.435086,0.004244,0.095517
0,61,0.685185,0.907908,0.932947,0.727614,0.314815,0.260719,0.003183,0.186589
0,62,0.611111,0.903904,0.294286,0.592109,0.388889,0.414453,0.003714,0.058857
0,63,0.240741,0.883884,0.469768,0.285778,0.759259,0.706070,0.003714,0.093954
0,64,0.462963,0.895896,0.422252,0.533029,0.537037,0.467445,0.003714,0.084450
0,65,0.925926,0.920921,0.426644,0.856014,0.074074,0.153432,0.003183,0.085329
0,66,0.444444,0.894895,0.207574,0.441776,0.555556,0.563535,0.003714,0.041515
0,67,0.296296,0.886887,0.396194,0.336852,0.703704,0.658980,0.002653,0.079239
0,68,0.148148,0.878879,0.000000,0.258203,0.851852,0.749091,0.004244,0.000000
0,69,0.685185,0.907908,0.456177,0.621564,0.314815,0.380240,0.003714,0.091235
0,70,0.425926,0.893894,0.354088,0.434060,0.574074,0.565973,0.004775,0.070818
0,71,0.518519,0.898899,0.708197,0.504807,0.481481,0.484994,0.003714,0.141639
0,72,0.481481,0.896897,0.607621,0.497798,0.518519,0.495278,0.003183,0.121524
0,73,0.611111,0.903904,0.234305,0.602407,0.388889,0.406518,0.004244,0.046861
0,74,0.333333,0.888889,0.480489,0.355122,0.666667,0.638314,0.003183,0.096098
0,75,0.388889,0.891892,0.605935,0.526065,0.611111,0.467869,0.003183,0.121187
0,76,0.611111,0.903904,0.284484,0.613432,0.388889,0.394071,0.003183,0.056897
0,77,0.629630,0.904905,0.585364,0.638634,0.370370,0.359189,0.003183,0.117073
0,78,0.722222,0.909910,0.211690,0.591161,0.277778,0.418227,0.003714,0.042338
0,79,0.592593,0.902903,0.410330,0.550680,0.407407,0.450704,0.003714,0.082066
0,80,0.537037,0.899900,0.575765,0.487359,0.462963,0.506522,0.003183,0.115153
0,81,0.444444,0.894895,0.000000,0.389349,0.555556,0.621650,0.003714,0.000000
0,82,0.481481,0.896897,0.631956,0.555090,0.518519,0.438765,0.004244,0.126391
0,83,0.666667,0.906907,0.195872,0.506333,0.333333,0.501206,0.003183,0.039174
0,84,0.703704,0.908909,0.810699,0.767101,0.296296,0.226569,0.003183,0.162140
0,85,0.703704,0.908909,0.380778,0.676812,0.296296,0.329156,0.004244,0.076156
0,86,0.444444,0.894895,0.428210,0.543076,0.555556,0.457476,0.004244,0.085642
0,87,0.666667,0.906907,0.293480,0.636099,0.333333,0.371734,0.004244,0.058696
0,88,0.425926,0.893894,0.435668,0.470109,0.574074,0.528124,0.004775,0.087134
0,89,0.500000,0.897898,0.883473,0.496405,0.500000,0.487105,0.003183,0.275493
0,90,0.462963,0.895896,0.113700,0.601772,0.537037,0.411300,0.003183,0.022740
0,91,0.407407,0.892893,0.197424,0.399625,0.592593,0.604845,0.004244,0.039485
0,92,0.555556,0.900901,0.554433,0.369306,0.444444,0.621978,0.003183,0.110887
0,93,0.388889,0.891892,0.455638,0.443574,0.611111,0.553220,0.003714,0.091128
0,94,0.648148,0.905906,0.275465,0.610840,0.351852,0.396902,0.003183,0.055093
0,95,0.666667,0.906907,0.107510,0.666697,0.333333,0.348423,0.003183,0.021502
0,96,0.629630,0.904905,0.474194,0.610354,0.370370,0.390510,0.003714,0.094839
0,97,0.185185,0.880881,0.457360,0.313879,0.814815,0.679192,0.004775,0.091472
0,98,0.518519,0.898899,0.556080,0.614675,0.481481,0.383484,0.003183,0.111216
0,99,0.351852,0.889890,0.537699,0.517747,0.648148,0.478307,0.004244,0.107540
0,100,0.740741,0.910911,0.087684,0.629431,0.259259,0.385321,0.004244,0.017537
0,101,0.925926,0.920921,0.521686,0.865712,0.074074,0.140726,0.003183,0.104337
0,102,0.722222,0.909910,0.376272,0.678212,0.277778,0.327951,0.003183,0.075254
0,103,0.555556,0.900901,0.351780,0.689659,0.444444,0.317673,0.004244,0.070356
0,104,0.537037,0.899900,0.870524,0.558417,0.462963,0.427292,0.003183,0.174105
0,105,0.388889,0.891892,0.917612,0.439061,0.611111,0.541650,0.003183,0.183522
0,106,0.722222,0.909910,0.575531,0.726238,0.277778,0.274400,0.003183,0.115106
0,107,0.462963,0.895896,0.383947,0.418803,0.537037,0.579767,0.003714,0.076789
0,108,0.537037,0.899900,0.219323,0.559015,0.462963,0.449202,0.004244,0.043865
0,109,0.796296,0.913914,0.730847,0.713286,0.203704,0.281622,0.003183,0.146169
0,110,0.574074,0.901902,0.338697,0.578315,0.425926,0.426324,0.003183,0.067739
0,111,0.611111,0.903904,0.485939,0.563714,0.388889,0.435427,0.003714,0.097188
0,112,0.518519,0.898899,0.000000,0.399633,0.481481,0.611656,0.003183,0.000000
0,113,0.796296,0.913914,0.727499,0.697965,0.203704,0.296626,0.003183,0.145500
0,114,0.685185,0.907908,0.516213,0.568550,0.314815,0.429682,0.003183,0.103243
0,115,0.555556,0.900901,0.718158,0.612343,0.444444,0.380152,0.003183,0.143632
0,116,0.537037,0.899900,0.521710,0.443620,0.462963,0.550893,0.003714,0.104342
0,117,0.462963,0.895896,0.306919,0.457204,0.537037,0.545111,0.003183,0.061384
0,118,0.648148,0.905906,0.653032,0.751679,0.351852,0.247001,0.003714,0.130606
