iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.222222,0.072581,0.107808,0.221080,0.777778,0.777612,0.203704,0.021562
0,1,0.222222,0.072581,0.000000,0.664332,0.777778,0.401589,0.351852,0.000000
0,2,0.333333,0.088710,0.000000,0.156630,0.666667,0.858912,0.166667,0.000000
0,3,0.166667,0.064516,0.000000,0.336981,0.833333,0.696457,0.388889,0.000000
0,4,0.388889,0.096774,0.000000,0.210998,0.611111,0.809939,0.185185,0.000000
0,5,0.444444,0.104839,0.536780,0.582714,0.555556,0.359368,0.148148,0.107356
0,6,0.166667,0.064516,0.000000,0.221140,0.833333,0.800803,0.296296,0.000000
0,7,0.388889,0.096774,0.000000,0.327010,0.611111,0.705439,0.129630,0.000000
0,8,0.611111,0.129032,0.784802,0.758055,0.388889,0.147949,0.129630,0.156960
0,9,0.333333,0.088710,0.000000,0.058998,0.666667,0.946856,0.129630,0.000000
0,10,0.444444,0.104839,0.000000,0.625217,0.555556,0.436822,0.185185,0.000000
0,11,0.388889,0.096774,0.027967,0.541204,0.611111,0.506468,0.129630,0.005593
0,12,0.388889,0.096774,0.000000,0.309381,0.611111,0.721318,0.185185,0.000000
0,13,0.500000,0.112903,0.202889,0.674905,0.500000,0.348319,0.129630,0.040578
0,14,0.222222,0.072581,0.653255,0.107132,0.777778,0.762645,0.185185,0.086343
0,15,0.500000,0.112903,0.160184,0.271920,0.500000,0.720524,0.129630,0.032037
0,16,0.611111,0.129032,0.940465,0.775633,0.388889,0.098551,0.129630,0.188093
0,17,0.166667,0.064516,0.000000,0.631881,0.833333,0.430819,0.370370,0.000000
0,18,0.277778,0.080645,0.000000,0.183318,0.722222,0.834872,0.351852,0.000000
0,19,0.111111,0.056452,0.000000,0.456090,0.888889,0.589167,0.425926,0.000000
0,20,0.111111,0.056452,0.000000,0.143251,0.888889,0.870964,0.370370,0.000000
0,21,0.444444,0.104839,0.106929,0.587605,0.555556,0.447646,0.129630,0.021386
0,22,0.166667,0.064516,0.000000,0.628604,0.833333,0.433771,0.351852,0.000000
0,23,0.555556,0.120968,0.000000,0.489743,0.444444,0.558854,0.129630,0.000000
0,24,0.222222,0.072581,0.000000,0.064610,0.777778,0.941801,0.314815,0.000000
0,25,0.277778,0.080645,0.000000,0.007236,0.722222,0.993482,0.203704,0.000000
0,26,0.500000,0.112903,0.342977,0.807031,0.500000,0.199097,0.148148,0.068595
0,27,0.277778,0.080645,0.000000,0.602247,0.722222,0.457513,0.129630,0.000000
0,28,0.166667,0.064516,0.000000,0.192718,0.833333,0.826405,0.351852,0.000000
0,29,0.166667,0.064516,0.000000,0.392151,0.833333,0.646761,0.425926,0.000000
0,30,0.277778,0.080645,0.000000,0.375064,0.722222,0.662153,0.370370,0.000000
0,31,0.555556,0.120968,1.000000,0.674684,0.444444,0.176646,0.129630,0.200000
0,32,0.111111,0.056452,0.000000,0.327721,0.888889,0.704798,0.407407,0.000000
0,33,0.055556,0.048387,0.000000,0.542217,0.944444,0.511587,0.462963,0.000000
0,34,0.666667,0.137097,0.116433,0.353507,0.333333,0.656466,0.148148,0.023287
0,35,0.333333,0.088710,0.000000,0.523265,0.666667,0.528657,0.148148,0.000000
0,36,0.388889,0.096774,0.000000,0.246004,0.611111,0.778407,0.222222,0.000000
0,37,0.277778,0.080645,0.000000,0.659601,0.722222,0.405850,0.203704,0.000000
0,38,0.111111,0.056452,0.000000,0.120702,0.888889,0.891275,0.481481,0.000000
0,39,0.333333,0.088710,0.000000,0.407444,0.666667,0.632986,0.166667,0.000000
0,40,0.388889,0.096774,0.000000,0.252909,0.611111,0.772187,0.148148,0.000000
0,41,0.611111,0.129032,0.000000,0.371206,0.388889,0.665629,0.129630,0.000000
0,42,0.166667,0.064516,0.000000,0.156429,0.833333,0.859093,0.148148,0.000000
0,43,0.222222,0.072581,0.000000,0.015063,0.777778,0.986432,0.166667,0.000000
0,44,0.277778,0.080645,0.000000,0.086989,0.722222,0.921643,0.277778,0.000000
0,45,0.333333,0.088710,0.000000,0.122215,0.666667,0.889912,0.166667,0.000000
0,46,0.500000,0.112903,0.480762,0.817644,0.500000,0.159828,0.129630,0.096152
0,47,0.333333,0.088710,0.000000,0.178527,0.666667,0.839188,0.166667,0.000000
0,48,0.555556,0.120968,0.460205,1.000000,0.444444,0.000000,0.129630,0.092041
0,49,0.444444,0.104839,0.717898,0.409629,0.555556,0.476227,0.148148,0.094887
0,50,0.722222,0.145161,0.000000,0.562631,0.277778,0.493198,0.129630,0.000000
0,51,0.611111,0.129032,0.790705,0.815490,0.388889,0.094940,0.203704,0.104511
0,52,0.444444,0.104839,0.000000,0.180241,0.555556,0.837644,0.129630,0.000000
0,53,0.222222,0.072581,0.000000,0.048144,0.777778,0.956633,0.185185,0.000000
0,54,0.444444,0.104839,0.121750,0.634647,0.555556,0.402076,0.148148,0.024350
0,55,0.388889,0.096774,0.000000,0.465630,0.611111,0.580573,0.185185,0.000000
0,56,0.388889,0.096774,0.000000,0.428440,0.611111,0.614074,0.129630,0.000000
0,57,0.611111,0.129032,0.000000,0.677560,0.388889,0.389673,0.148148,0.000000
0,58,0.277778,0.080645,0.270630,0.255194,0.722222,0.711776,0.259259,0.054126
0,59,0.055556,0.048387,0.000000,0.114769,0.944444,0.896619,0.462963,0.000000
0,60,0.444444,0.104839,0.486247,0.755149,0.555556,0.214940,0.148148,0.097249
0,61,0.777778,0.153226,0.000000,0.432368,0.222222,0.610535,0.129630,0.000000
0,62,0.555556,0.120968,0.549131,0.845445,0.444444,0.120045,0.129630,0.109826
0,63,0.500000,0.112903,0.000000,0.040328,0.500000,0.963674,0.129630,0.000000
0,64,0.388889,0.096774,0.000000,0.361585,0.611111,0.674295,0.148148,0.000000
0,65,0.611111,0.129032,0.044882,0.386198,0.388889,0.642446,0.129630,0.008976
0,66,0.333333,0.088710,0.131170,0.336410,0.666667,0.668689,0.148148,0.017337
0,67,0.277778,0.080645,0.000000,0.057815,0.722222,0.947921,0.314815,0.000000
0,68,0.722222,0.145161,0.193050,0.796779,0.277778,0.240659,0.129630,0.038610
0,69,0.277778,0.080645,0.000000,0.310724,0.722222,0.720108,0.203704,0.000000
0,70,0.277778,0.080645,0.218757,0.172574,0.722222,0.797382,0.129630,0.043751
0,71,0.388889,0.096774,0.000000,0.242145,0.611111,0.781882,0.148148,0.000000
0,72,0.333333,0.088710,0.000000,0.355652,0.666667,0.679639,0.277778,0.000000
0,73,0.444444,0.104839,0.000000,0.106842,0.555556,0.903760,0.148148,0.000000
0,74,0.166667,0.064516,0.000000,0.311807,0.833333,0.719133,0.185185,0.000000
0,75,0.444444,0.104839,0.000000,0.418719,0.555556,0.622830,0.148148,0.000000
0,76,0.777778,0.153226,0.000000,0.550845,0.222222,0.503814,0.129630,0.000000
0,77,0.333333,0.088710,0.000000,0.367367,0.666667,0.669086,0.185185,0.000000
0,78,0.222222,0.072581,0.000000,0.254572,0.777778,0.770688,0.166667,0.000000
0,79,0.500000,0.112903,0.000000,0.403666,0.500000,0.636389,0.185185,0.000000
0,80,0.166667,0.064516,0.000000,0.246335,0.833333,0.778109,0.277778,0.000000
0,81,0.555556,0.120968,0.058782,0.143341,0.444444,0.858208,0.148148,0.007769
0,82,0.444444,0.104839,0.000000,0.622451,0.555556,0.439314,0.185185,0.000000
0,83,1.000000,0.185484,0.643333,0.647746,0.000000,0.277815,0.129630,0.085032
0,84,0.277778,0.080645,0.604647,0.379734,0.722222,0.527574,0.166667,0.079919
0,85,0.277778,0.080645,0.000000,0.316858,0.722222,0.714584,0.185185,0.000000
0,86,0.111111,0.056452,0.000000,0.128529,0.888889,0.884225,0.407407,0.000000
0,87,0.388889,0.096774,0.000000,0.260255,0.611111,0.765570,0.166667,0.000000
0,88,0.388889,0.096774,0.000000,0.440225,0.611111,0.603457,0.185185,0.000000
0,89,0.166667,0.064516,0.000000,0.014852,0.833333,0.986622,0.240741,0.000000
0,90,0.722222,0.145161,0.046724,0.374553,0.277778,0.652539,0.129630,0.009345
0,91,0.444444,0.104839,0.000000,0.648818,0.555556,0.415563,0.148148,0.000000
0,92,0.611111,0.129032,0.000000,0.569806,0.388889,0.486734,0.129630,0.000000
0,93,0.277778,0.080645,0.000000,0.266739,0.722222,0.759729,0.129630,0.000000
0,94,0.055556,0.048387,0.000000,0.259643,0.944444,0.766121,0.277778,0.000000
0,95,0.444444,0.104839,0.000000,0.378772,0.555556,0.658813,0.240741,0.000000
0,96,0.611111,0.129032,0.000000,0.218604,0.388889,0.803087,0.129630,0.000000
0,97,0.500000,0.112903,0.765836,0.736709,0.500000,0.171266,0.129630,0.101224
0,98,0.388889,0.096774,0.474817,0.693435,0.611111,0.272995,0.129630,0.062758
0,99,0.166667,0.064516,0.000000,0.377108,0.833333,0.660311,0.462963,0.000000
0,100,0.222222,0.072581,0.000000,0.581221,0.777778,0.476452,0.296296,0.000000
0,101,0.277778,0.080645,0.000000,0.775403,0.722222,0.301539,0.148148,0.000000
0,102,0.555556,0.120968,0.757756,0.592055,0.444444,0.303309,0.129630,0.100155
0,103,0.222222,0.072581,0.000000,0.282493,0.777778,0.745538,0.314815,0.000000
0,104,0.555556,0.120968,0.000000,0.714581,0.444444,0.356326,0.129630,0.000000
0,105,0.555556,0.120968,0.000000,0.123769,0.444444,0.888513,0.129630,0.000000
0,106,0.277778,0.080645,0.116935,0.103324,0.722222,0.881715,0.259259,0.015456
0,107,0.333333,0.088710,0.000000,0.000000,0.666667,1.000000,0.240741,0.000000
0,108,0.000000,0.040323,0.000000,0.163956,1.000000,0.852313,0.462963,0.000000
0,109,0.777778,0.153226,0.000000,0.810148,0.222222,0.270241,0.129630,0.000000
0,110,0.333333,0.088710,0.000000,0.666095,0.666667,0.400000,0.148148,0.000000
0,111,0.222222,0.072581,0.017333,0.464488,0.777778,0.577865,0.333333,0.002291
0,112,0.388889,0.096774,0.000000,0.296694,0.611111,0.732747,0.148148,0.000000
0,113,0.388889,0.096774,0.000000,0.321077,0.611111,0.710783,0.185185,0.000000
0,114,0.611111,0.129032,0.000000,0.285720,0.388889,0.742631,0.129630,0.000000
