iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.875000,0.580645,0.982146,1.000000,0.125000,0.000000,0.040268,0.196429
0,1,0.708333,0.548387,0.000000,0.568385,0.291667,0.481004,0.053691,0.000000
0,2,0.708333,0.548387,0.410159,0.658654,0.291667,0.362291,0.046980,0.082032
0,3,0.583333,0.524194,0.333580,0.383996,0.416667,0.619858,0.040268,0.066716
0,4,0.166667,0.443548,0.501106,0.433112,0.833333,0.560188,0.046980,0.143575
0,5,0.666667,0.540323,0.535389,0.853974,0.333333,0.172863,0.040268,0.107078
0,6,0.416667,0.491935,0.000000,0.286335,0.583333,0.738545,0.040268,0.000000
0,7,0.333333,0.475806,0.394692,0.275456,0.666667,0.713560,0.040268,0.078938
0,8,0.416667,0.491935,0.611120,0.293485,0.583333,0.677949,0.040268,0.122224
0,9,0.666667,0.540323,0.296543,0.486424,0.333333,0.529607,0.040268,0.059309
0,10,0.416667,0.491935,0.491208,0.463048,0.583333,0.533729,0.046980,0.098242
0,11,0.500000,0.508065,0.000000,0.511916,0.500000,0.532566,0.046980,0.000000
0,12,0.541667,0.516129,0.000000,0.488572,0.458333,0.553881,0.040268,0.000000
0,13,0.375000,0.483871,0.000000,0.217031,0.625000,0.801828,0.046980,0.000000
0,14,0.375000,0.483871,0.481763,0.461021,0.625000,0.536416,0.046980,0.096353
0,15,0.458333,0.500000,0.481472,0.577396,0.541667,0.430179,0.046980,0.096294
0,16,0.833333,0.572581,0.310028,0.839670,0.166667,0.205862,0.040268,0.062006
0,17,0.916667,0.588710,0.780893,0.724806,0.083333,0.269086,0.040268,0.156179
0,18,0.583333,0.524194,0.269599,0.537071,0.416667,0.485744,0.040268,0.053920
0,19,0.291667,0.467742,0.000881,0.133272,0.708333,0.878231,0.053691,0.000176
0,20,0.583333,0.524194,0.434363,0.479474,0.416667,0.523760,0.040268,0.086873
0,21,0.375000,0.483871,0.729884,0.641634,0.625000,0.349545,0.053691,0.145977
0,22,0.625000,0.532258,0.000000,0.477675,0.375000,0.563831,0.040268,0.000000
0,23,1.000000,0.604839,0.446751,0.759629,0.000000,0.266852,0.040268,0.089350
0,24,0.416667,0.491935,0.000000,0.502631,0.583333,0.541044,0.053691,0.000000
0,25,0.958333,0.596774,0.231517,0.760608,0.041667,0.285001,0.040268,0.046303
0,26,0.208333,0.451613,0.000000,0.000000,0.791667,1.000000,0.053691,0.000000
0,27,0.708333,0.548387,0.482345,0.629055,0.291667,0.382931,0.040268,0.096469
0,28,0.250000,0.459677,0.118226,0.346700,0.750000,0.672966,0.053691,0.023645
0,29,0.541667,0.516129,0.081508,0.403850,0.458333,0.624030,0.053691,0.016302
0,30,0.250000,0.459677,0.013714,0.170131,0.750000,0.843439,0.080537,0.002743
0,31,0.208333,0.451613,0.000000,0.268547,0.791667,0.754788,0.087248,0.000000
0,32,0.916667,0.588710,0.242781,0.721651,0.083333,0.319576,0.040268,0.048556
0,33,0.458333,0.500000,0.587618,0.598389,0.541667,0.401619,0.046980,0.117524
0,34,0.458333,0.500000,0.059923,0.387775,0.541667,0.640619,0.046980,0.011985
0,35,0.583333,0.524194,0.633602,0.675536,0.416667,0.327107,0.040268,0.126720
0,36,0.375000,0.483871,0.094550,0.356364,0.625000,0.666236,0.046980,0.018910
0,37,0.541667,0.516129,0.375706,0.535176,0.458333,0.478088,0.040268,0.075141
0,38,0.125000,0.435484,0.000000,0.092139,0.875000,0.915867,0.080537,0.000000
0,39,0.708333,0.548387,0.201619,0.405879,0.291667,0.611551,0.040268,0.057767
0,40,0.125000,0.435484,0.020721,0.237994,0.875000,0.780853,0.073826,0.004144
0,41,0.208333,0.451613,0.116686,0.282413,0.791667,0.731803,0.053691,0.023337
0,42,0.250000,0.459677,0.000000,0.214963,0.750000,0.803716,0.060403,0.000000
0,43,0.500000,0.508065,0.452144,0.298897,0.500000,0.687073,0.040268,0.090429
0,44,0.541667,0.516129,0.000000,0.335716,0.458333,0.693456,0.053691,0.000000
0,45,0.583333,0.524194,0.054092,0.501725,0.416667,0.537086,0.046980,0.010818
0,46,0.666667,0.540323,0.546363,0.771187,0.333333,0.247485,0.040268,0.109273
0,47,0.791667,0.564516,0.084083,0.541308,0.208333,0.498289,0.040268,0.016817
0,48,0.416667,0.491935,0.577431,0.578753,0.583333,0.420450,0.040268,0.115486
0,49,0.375000,0.483871,0.000000,0.360577,0.625000,0.670755,0.053691,0.000000
0,50,0.625000,0.532258,0.152138,0.467514,0.375000,0.559650,0.040268,0.030428
0,51,0.375000,0.483871,0.000000,0.241011,0.625000,0.779931,0.046980,0.000000
0,52,0.291667,0.467742,0.404021,0.267838,0.708333,0.719691,0.053691,0.080804
0,53,0.916667,0.588710,0.257482,0.756210,0.083333,0.286719,0.040268,0.051496
0,54,0.333333,0.475806,0.358167,0.506559,0.666667,0.505770,0.067114,0.071633
0,55,0.666667,0.540323,0.159364,0.583097,0.333333,0.453471,0.040268,0.031873
0,56,0.666667,0.540323,0.632293,0.673941,0.333333,0.328679,0.040268,0.181163
0,57,0.750000,0.556452,0.610607,0.712621,0.250000,0.295279,0.040268,0.122121
0,58,0.750000,0.556452,0.350989,0.685444,0.250000,0.343063,0.040268,0.070198
0,59,0.541667,0.516129,0.535421,0.515467,0.458333,0.481954,0.040268,0.107084
0,60,0.416667,0.491935,0.000000,0.521027,0.583333,0.524246,0.046980,0.000000
0,61,0.375000,0.483871,0.179913,0.394484,0.625000,0.623877,0.053691,0.035983
0,62,0.250000,0.459677,0.000000,0.095617,0.750000,0.912692,0.067114,0.000000
0,63,0.416667,0.491935,0.000000,0.506444,0.583333,0.537562,0.053691,0.000000
0,64,0.666667,0.540323,0.295660,0.379917,0.333333,0.626937,0.046980,0.059132
0,65,0.708333,0.548387,0.000000,0.463557,0.291667,0.576723,0.040268,0.000000
0,66,0.333333,0.475806,0.388246,0.388474,0.666667,0.610933,0.060403,0.077649
0,67,0.458333,0.500000,0.370665,0.187946,0.541667,0.795592,0.040268,0.074133
0,68,0.166667,0.443548,0.189873,0.461078,0.833333,0.562188,0.067114,0.054402
0,69,0.125000,0.435484,0.000000,0.183683,0.875000,0.832278,0.067114,0.000000
0,70,0.208333,0.451613,0.000000,0.344085,0.791667,0.685813,0.053691,0.000000
0,71,0.333333,0.475806,0.133905,0.292455,0.666667,0.721111,0.060403,0.026781
0,72,0.291667,0.467742,0.003782,0.241178,0.708333,0.779444,0.053691,0.000756
0,73,0.291667,0.467742,0.061871,0.407780,0.708333,0.622180,0.073826,0.012374
0,74,0.166667,0.443548,0.000000,0.084075,0.833333,0.923231,0.060403,0.000000
0,75,0.000000,0.411290,0.000000,0.226641,1.000000,0.793052,0.134228,0.000000
0,76,0.208333,0.451613,0.421706,0.328853,0.791667,0.662413,0.053691,0.084341
0,77,0.541667,0.516129,0.018235,0.419252,0.458333,0.615565,0.040268,0.003647
0,78,0.750000,0.556452,0.514881,0.426436,0.250000,0.565065,0.040268,0.102976
0,79,0.500000,0.508065,0.000000,0.563259,0.500000,0.485685,0.053691,0.000000
0,80,0.333333,0.475806,0.003782,0.478616,0.666667,0.562638,0.053691,0.000756
0,81,0.416667,0.491935,0.743688,0.312489,0.583333,0.648867,0.046980,0.213079
0,82,0.458333,0.500000,0.103959,0.526945,0.541667,0.509646,0.040268,0.020792
0,83,0.666667,0.540323,0.628391,0.401269,0.333333,0.578003,0.046980,0.125678
0,84,0.666667,0.540323,0.292320,0.602838,0.333333,0.423682,0.040268,0.083755
0,85,0.250000,0.459677,0.029790,0.459922,0.750000,0.577407,0.073826,0.005958
0,86,0.541667,0.516129,0.410058,0.716585,0.458333,0.309403,0.053691,0.082012
0,87,0.083333,0.427419,0.000000,0.208084,0.916667,0.809997,0.093960,0.000000
0,88,0.166667,0.443548,0.182792,0.499178,0.833333,0.528025,0.067114,0.036558
0,89,0.208333,0.451613,0.040167,0.337310,0.791667,0.688446,0.053691,0.008033
0,90,0.625000,0.532258,0.384367,0.539133,0.375000,0.473708,0.046980,0.076873
0,91,0.375000,0.483871,0.201993,0.538747,0.625000,0.490195,0.053691,0.040399
0,92,0.750000,0.556452,0.641835,0.745806,0.250000,0.262214,0.040268,0.128367
0,93,0.500000,0.508065,0.193318,0.302462,0.500000,0.706717,0.046980,0.038664
0,94,0.375000,0.483871,0.060386,0.163081,0.625000,0.845747,0.053691,0.012077
0,95,0.333333,0.475806,0.253359,0.553144,0.666667,0.472505,0.087248,0.050672
0,96,0.083333,0.427419,0.200937,0.305457,0.916667,0.703308,0.053691,0.040187
0,97,0.625000,0.532258,0.369530,0.511270,0.375000,0.500463,0.046980,0.073906
0,98,0.375000,0.483871,0.234493,0.293832,0.625000,0.710954,0.046980,0.046899
0,99,0.875000,0.580645,1.000000,0.780039,0.125000,0.199268,0.040268,0.200000
0,100,0.416667,0.491935,0.468017,0.676356,0.583333,0.341008,0.040268,0.093603
0,101,0.541667,0.516129,0.215413,0.520465,0.458333,0.505702,0.040268,0.043083
0,102,0.750000,0.556452,0.494519,0.804730,0.250000,0.221444,0.040268,0.098904
0,103,0.541667,0.516129,0.572512,0.587071,0.458333,0.413290,0.046980,0.114502
0,104,0.291667,0.467742,0.535421,0.420434,0.708333,0.568728,0.053691,0.107084
0,105,0.708333,0.548387,0.584133,0.756959,0.291667,0.257135,0.040268,0.116827
0,106,0.083333,0.427419,0.000000,0.226138,0.916667,0.793512,0.107383,0.000000
0,107,0.541667,0.516129,0.591621,0.446364,0.458333,0.540080,0.040268,0.169509
0,108,0.416667,0.491935,0.000000,0.220003,0.583333,0.799114,0.053691,0.000000
0,109,0.500000,0.508065,0.000000,0.381987,0.500000,0.651205,0.046980,0.000000
0,110,0.250000,0.459677,0.242624,0.207154,0.750000,0.789381,0.053691,0.048525
0,111,0.458333,0.500000,0.485099,0.429693,0.541667,0.564727,0.046980,0.097020
0,112,0.416667,0.491935,0.198914,0.101737,0.583333,0.889505,0.053691,0.039783
0,113,0.791667,0.564516,0.316003,0.396965,0.208333,0.609571,0.040268,0.063201
0,114,0.541667,0.516129,0.000000,0.235136,0.458333,0.785295,0.046980,0.000000
0,115,0.291667,0.467742,0.115719,0.325982,0.708333,0.692105,0.046980,0.023144
0,116,0.000000,0.411290,0.000000,0.085170,1.000000,0.922230,0.087248,0.000000
0,117,0.500000,0.508065,0.103161,0.373070,0.500000,0.650221,0.040268,0.020632
0,118,0.208333,0.451613,0.410282,0.195182,0.791667,0.785479,0.053691,0.082056
0,119,0.375000,0.483871,0.262395,0.550419,0.625000,0.474194,0.060403,0.052479
0,120,0.375000,0.483871,0.208425,0.327208,0.625000,0.682785,0.046980,0.041685
