iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.705882,0.927419,0.299728,0.766431,0.294118,0.277305,0.016194,0.059946
0,1,0.294118,0.870968,0.013624,0.354770,0.705882,0.692610,0.028340,0.002725
0,2,0.705882,0.927419,0.585831,0.814134,0.294118,0.198823,0.016194,0.117166
0,3,0.529412,0.903226,0.234332,0.611661,0.470588,0.428385,0.020243,0.046866
0,4,0.000000,0.830645,0.188011,0.000000,1.000000,1.000000,0.040486,0.037602
0,5,0.529412,0.903226,0.476839,0.650883,0.470588,0.362982,0.020243,0.095368
0,6,0.411765,0.887097,0.411444,0.376325,0.588235,0.624918,0.016194,0.082289
0,7,0.294118,0.870968,0.237057,0.320848,0.705882,0.697188,0.024291,0.047411
0,8,0.823529,0.943548,0.719346,0.884806,0.176471,0.117397,0.016194,0.143869
0,9,0.764706,0.935484,0.223433,0.780919,0.235294,0.273054,0.016194,0.044687
0,10,0.529412,0.903226,0.400545,0.721201,0.470588,0.307063,0.020243,0.080109
0,11,0.529412,0.903226,0.400545,0.845230,0.470588,0.192283,0.016194,0.080109
0,12,0.529412,0.903226,0.648501,0.597880,0.470588,0.391432,0.020243,0.129700
0,13,0.470588,0.895161,0.332425,0.537456,0.529412,0.485284,0.024291,0.066485
0,14,0.352941,0.879032,0.365123,0.493286,0.647059,0.522237,0.024291,0.073025
0,15,0.529412,0.903226,0.501362,0.708481,0.470588,0.306736,0.020243,0.100272
0,16,0.294118,0.870968,0.463215,0.484806,0.705882,0.518313,0.032389,0.092643
0,17,0.470588,0.895161,0.275204,0.543110,0.529412,0.486920,0.020243,0.055041
0,18,0.235294,0.862903,0.403270,0.462898,0.764706,0.545782,0.032389,0.080654
0,19,0.176471,0.854839,0.016349,0.151943,0.823529,0.879987,0.036437,0.003270
0,20,0.352941,0.879032,0.474114,0.393640,0.647059,0.601373,0.024291,0.094823
0,21,0.529412,0.903226,0.217984,0.563604,0.470588,0.474820,0.024291,0.043597
0,22,0.294118,0.870968,0.288828,0.411661,0.705882,0.606933,0.024291,0.057766
0,23,0.235294,0.862903,0.471390,0.444876,0.764706,0.554284,0.020243,0.094278
0,24,0.294118,0.870968,0.400545,0.431095,0.705882,0.575540,0.032389,0.080109
0,25,0.411765,0.887097,0.397820,0.555830,0.588235,0.460432,0.020243,0.079564
0,26,0.588235,0.911290,0.542234,0.713074,0.411765,0.297580,0.020243,0.108447
0,27,0.294118,0.870968,0.250681,0.375265,0.705882,0.645193,0.024291,0.050136
0,28,0.470588,0.895161,0.386921,0.567138,0.529412,0.451275,0.020243,0.077384
0,29,0.235294,0.862903,0.046322,0.214134,0.764706,0.818836,0.020243,0.009264
0,30,0.411765,0.887097,0.217984,0.593993,0.588235,0.446697,0.024291,0.043597
0,31,0.764706,0.935484,0.485014,0.773145,0.235294,0.248855,0.016194,0.097003
0,32,0.411765,0.887097,0.446866,0.624382,0.588235,0.391105,0.024291,0.089373
0,33,0.705882,0.927419,0.485014,0.785512,0.294118,0.237410,0.020243,0.097003
0,34,0.529412,0.903226,0.476839,0.762898,0.470588,0.259320,0.028340,0.095368
0,35,0.647059,0.919355,0.485014,0.682332,0.352941,0.332897,0.020243,0.097003
0,36,0.705882,0.927419,0.811989,0.857951,0.294118,0.131131,0.020243,0.162398
0,37,0.705882,0.927419,0.310627,0.782686,0.294118,0.260955,0.016194,0.062125
0,38,0.529412,0.903226,0.550409,0.575618,0.470588,0.423806,0.016194,0.110082
0,39,0.647059,0.919355,0.536785,0.682332,0.352941,0.326684,0.016194,0.107357
0,40,0.411765,0.887097,0.514986,0.550530,0.588235,0.451275,0.024291,0.102997
0,41,0.235294,0.862903,0.027248,0.322261,0.764706,0.721060,0.040486,0.005450
0,42,0.647059,0.919355,0.926431,0.740636,0.352941,0.225965,0.012146,0.185286
0,43,0.411765,0.887097,0.190736,0.654064,0.588235,0.394375,0.016194,0.038147
0,44,0.176471,0.854839,0.340599,0.368905,0.823529,0.640288,0.040486,0.068120
0,45,0.352941,0.879032,0.049046,0.371378,0.647059,0.672989,0.024291,0.009809
0,46,0.235294,0.862903,0.599455,0.450177,0.764706,0.534009,0.028340,0.119891
0,47,0.411765,0.887097,0.471390,0.490813,0.588235,0.511772,0.020243,0.094278
0,48,0.764706,0.935484,0.536785,0.912721,0.235294,0.113473,0.020243,0.107357
0,49,0.764706,0.935484,0.501362,0.774558,0.235294,0.245585,0.020243,0.100272
0,50,0.647059,0.919355,0.825613,0.889399,0.352941,0.100392,0.012146,0.165123
0,51,0.411765,0.887097,0.340599,0.291519,0.588235,0.711903,0.024291,0.068120
0,52,0.588235,0.911290,0.000000,0.672085,0.411765,0.400589,0.020243,0.000000
0,53,0.352941,0.879032,0.190736,0.415901,0.647059,0.614781,0.020243,0.038147
0,54,0.411765,0.887097,0.029973,0.293993,0.588235,0.746893,0.028340,0.005995
0,55,0.705882,0.927419,0.501362,0.601413,0.294118,0.405821,0.024291,0.100272
0,56,0.705882,0.927419,0.430518,0.690813,0.294118,0.331589,0.012146,0.086104
0,57,0.470588,0.895161,0.392371,0.616961,0.529412,0.404513,0.012146,0.078474
0,58,0.705882,0.927419,0.384196,0.730035,0.294118,0.300850,0.020243,0.076839
0,59,0.294118,0.870968,0.100817,0.191166,0.705882,0.833551,0.020243,0.020163
0,60,0.470588,0.895161,0.438692,0.574205,0.529412,0.438522,0.020243,0.087738
0,61,0.294118,0.870968,0.634877,0.485159,0.705882,0.497384,0.020243,0.126975
0,62,0.176471,0.854839,0.190736,0.296113,0.823529,0.725638,0.028340,0.038147
0,63,0.058824,0.838710,0.190736,0.238869,0.941176,0.778613,0.040486,0.038147
0,64,0.705882,0.927419,0.648501,0.692580,0.294118,0.303793,0.016194,0.129700
0,65,0.823529,0.943548,0.959128,0.768905,0.176471,0.195880,0.012146,0.191826
0,66,0.470588,0.895161,0.749319,0.634982,0.529412,0.344997,0.020243,0.149864
0,67,0.529412,0.903226,0.307902,0.506714,0.470588,0.516678,0.020243,0.061580
0,68,0.588235,0.911290,0.149864,0.542403,0.411765,0.502616,0.020243,0.029973
0,69,0.588235,0.911290,0.648501,0.618375,0.411765,0.372466,0.016194,0.129700
0,70,0.411765,0.887097,0.000000,0.500353,0.588235,0.559516,0.024291,0.000000
0,71,0.235294,0.862903,0.430518,0.331449,0.764706,0.664160,0.032389,0.239394
0,72,0.588235,0.911290,0.286104,0.733922,0.411765,0.309026,0.016194,0.057221
0,73,0.647059,0.919355,0.188011,0.672085,0.352941,0.378025,0.016194,0.037602
0,74,0.117647,0.846774,0.599455,0.385866,0.882353,0.593525,0.032389,0.119891
0,75,0.411765,0.887097,0.346049,0.540283,0.588235,0.481033,0.016194,0.069210
0,76,0.470588,0.895161,0.719346,0.619435,0.529412,0.362982,0.020243,0.400000
0,77,0.823529,0.943548,1.000000,0.857244,0.176471,0.109222,0.012146,0.200000
0,78,0.705882,0.927419,0.735695,0.710601,0.294118,0.276651,0.016194,0.147139
0,79,0.235294,0.862903,0.136240,0.250883,0.764706,0.774035,0.020243,0.027248
