iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.960000,0.148594,0.000000,0.599805,0.040000,0.400195,0.094595,0.000000
0,1,0.360000,0.088353,0.000000,0.133751,0.640000,0.866249,0.121622,0.000000
0,2,0.440000,0.096386,0.139255,0.457840,0.560000,0.508387,0.081081,0.027851
0,3,0.440000,0.096386,0.000000,0.291986,0.560000,0.708014,0.121622,0.000000
0,4,0.880000,0.140562,0.277532,0.261155,0.120000,0.671537,0.081081,0.049612
0,5,0.400000,0.092369,0.000000,0.469029,0.600000,0.530971,0.121622,0.000000
0,6,0.520000,0.104418,0.391785,0.283974,0.480000,0.621009,0.081081,0.070036
0,7,0.480000,0.100402,0.000000,0.145607,0.520000,0.854393,0.108108,0.000000
0,8,0.400000,0.092369,0.000000,0.187639,0.600000,0.812361,0.094595,0.000000
0,9,0.400000,0.092369,0.000000,0.334832,0.600000,0.665168,0.094595,0.000000
0,10,0.320000,0.084337,0.000000,0.367315,0.680000,0.632685,0.270270,0.000000
0,11,0.280000,0.080321,0.000000,0.449468,0.720000,0.550532,0.229730,0.000000
0,12,0.720000,0.124498,0.145679,0.286233,0.280000,0.678436,0.081081,0.029136
0,13,0.520000,0.104418,0.000000,0.617810,0.480000,0.382190,0.108108,0.000000
0,14,0.440000,0.096386,0.000000,0.050966,0.560000,0.949034,0.094595,0.000000
0,15,0.440000,0.096386,0.000000,0.515823,0.560000,0.484177,0.121622,0.000000
0,16,0.480000,0.100402,0.000000,0.219143,0.520000,0.780857,0.108108,0.000000
0,17,0.720000,0.124498,0.516915,0.625103,0.280000,0.249533,0.081081,0.103383
0,18,0.840000,0.136546,0.000000,0.369271,0.160000,0.630729,0.081081,0.000000
0,19,0.680000,0.120482,0.000000,0.801049,0.320000,0.198951,0.108108,0.000000
0,20,0.400000,0.092369,0.330151,0.288705,0.600000,0.631225,0.094595,0.066030
0,21,0.400000,0.092369,0.000000,0.084089,0.600000,0.915911,0.121622,0.000000
