iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.565217,0.510040,0.164356,0.252038,0.434783,0.753130,0.028000,0.032871
0,1,0.760870,0.546185,0.488728,0.255269,0.239130,0.728993,0.024000,0.106718
0,2,0.804348,0.554217,0.000000,0.620094,0.195652,0.397079,0.024000,0.000000
0,3,0.478261,0.493976,0.518448,0.576738,0.521739,0.406837,0.024000,0.103690
0,4,0.739130,0.542169,0.393129,0.699106,0.260870,0.293018,0.024000,0.078626
0,5,0.326087,0.465863,0.000000,0.414527,0.673913,0.601861,0.032000,0.000000
0,6,0.586957,0.514056,0.000000,0.526754,0.413043,0.490063,0.032000,0.000000
0,7,0.521739,0.502008,0.000000,0.409555,0.478261,0.606814,0.032000,0.000000
0,8,0.282609,0.457831,0.085788,0.331378,0.717391,0.679160,0.044000,0.017158
0,9,0.456522,0.489960,0.000000,0.248339,0.543478,0.767413,0.036000,0.000000
0,10,0.500000,0.497992,0.413356,0.408833,0.500000,0.580876,0.024000,0.082671
0,11,0.391304,0.477912,0.088610,0.354752,0.608696,0.655693,0.036000,0.017722
0,12,0.739130,0.542169,0.242347,0.660550,0.260870,0.341150,0.024000,0.048469
0,13,0.630435,0.522088,0.230521,0.628111,0.369565,0.374228,0.024000,0.046104
0,14,0.521739,0.502008,0.000000,0.462376,0.478261,0.554194,0.036000,0.000000
0,15,0.956522,0.582329,0.324698,0.849682,0.043478,0.147431,0.024000,0.064940
0,16,0.413043,0.481928,0.519729,0.474461,0.586957,0.508640,0.028000,0.103946
0,17,0.565217,0.510040,0.621329,0.510750,0.434783,0.465938,0.024000,0.135672
0,18,0.608696,0.518072,0.919032,0.808685,0.391304,0.149944,0.024000,0.183806
0,19,0.565217,0.510040,0.391253,0.380893,0.434783,0.610136,0.028000,0.078251
0,20,0.608696,0.518072,0.106448,0.662025,0.391304,0.348445,0.024000,0.021290
0,21,0.282609,0.457831,0.000000,0.534891,0.717391,0.481957,0.044000,0.000000
0,22,0.608696,0.518072,0.000000,0.460677,0.391304,0.555887,0.028000,0.000000
0,23,0.478261,0.493976,0.085317,0.466457,0.521739,0.544627,0.036000,0.017063
0,24,0.434783,0.485944,0.165427,0.607254,0.565217,0.399203,0.044000,0.033085
0,25,0.456522,0.489960,0.000000,0.522869,0.543478,0.493933,0.024000,0.000000
0,26,0.173913,0.437751,0.137763,0.450509,0.826087,0.557133,0.056000,0.027553
0,27,0.608696,0.518072,0.690425,0.457138,0.391304,0.514889,0.024000,0.138085
0,28,0.565217,0.510040,0.109798,0.374112,0.434783,0.635041,0.024000,0.021960
0,29,0.326087,0.465863,0.014787,0.357966,0.673913,0.657252,0.028000,0.002957
0,30,0.543478,0.506024,0.000000,0.410705,0.456522,0.605668,0.040000,0.000000
0,31,0.413043,0.481928,0.000000,0.179721,0.586957,0.835769,0.024000,0.000000
0,32,0.521739,0.502008,0.000000,0.335775,0.478261,0.680312,0.024000,0.000000
0,33,0.478261,0.493976,0.486637,0.539726,0.521739,0.445759,0.040000,0.097327
0,34,0.456522,0.489960,0.473403,0.399307,0.543478,0.586494,0.024000,0.094681
0,35,0.500000,0.497992,0.000000,0.727323,0.500000,0.290261,0.036000,0.000000
0,36,0.652174,0.526104,0.277251,0.652997,0.347826,0.346424,0.028000,0.055450
0,37,0.369565,0.473896,0.645042,0.378189,0.630435,0.596462,0.024000,0.129008
