iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.703704,0.907631,0.636670,0.639274,0.296296,0.345479,0.009747,0.127334
0,1,0.518519,0.887550,0.447706,0.541577,0.481481,0.452644,0.011696,0.089541
0,2,0.000000,0.831325,0.000000,0.000000,1.000000,1.000000,0.033138,0.000000
0,3,0.555556,0.891566,0.331942,0.488927,0.444444,0.511480,0.009747,0.066388
0,4,0.407407,0.875502,0.379537,0.441616,0.592593,0.552544,0.011696,0.075907
0,5,0.333333,0.867470,0.517178,0.355375,0.666667,0.623437,0.023392,0.103436
0,6,0.333333,0.867470,0.030981,0.297012,0.666667,0.716524,0.025341,0.006196
0,7,0.629630,0.899598,0.373793,0.520154,0.370370,0.478671,0.013645,0.074759
0,8,0.296296,0.863454,0.448834,0.164561,0.703704,0.809327,0.019493,0.089767
0,9,0.814815,0.919679,0.530141,0.813769,0.185185,0.188649,0.011696,0.106028
0,10,0.555556,0.891566,0.109257,0.445463,0.444444,0.569950,0.013645,0.021851
0,11,0.629630,0.899598,0.029719,0.500293,0.370370,0.524257,0.015595,0.005944
0,12,0.481481,0.883534,0.305260,0.410646,0.518519,0.587635,0.011696,0.061052
0,13,0.777778,0.915663,0.387114,0.783417,0.222222,0.228508,0.011696,0.077423
0,14,0.703704,0.907631,0.370117,0.677974,0.296296,0.329612,0.009747,0.074023
0,15,0.592593,0.895582,0.463362,0.549580,0.407407,0.443850,0.009747,0.092672
0,16,0.703704,0.907631,0.416649,0.552917,0.296296,0.444330,0.011696,0.083330
0,17,0.703704,0.907631,0.376652,0.708640,0.296296,0.300083,0.011696,0.075330
0,18,0.481481,0.883534,0.523111,0.573694,0.518519,0.416379,0.015595,0.104622
0,19,0.518519,0.887550,0.691433,0.595330,0.481481,0.382798,0.011696,0.138287
0,20,0.629630,0.899598,0.481247,0.599986,0.370370,0.394759,0.011696,0.096249
0,21,0.555556,0.891566,0.392219,0.409276,0.444444,0.582161,0.011696,0.078444
0,22,0.888889,0.927711,0.011374,0.750421,0.111111,0.288989,0.011696,0.002275
0,23,0.888889,0.927711,0.688652,0.872120,0.111111,0.121088,0.007797,0.137730
0,24,0.444444,0.879518,0.463369,0.330315,0.555556,0.651341,0.011696,0.092674
0,25,0.814815,0.919679,0.520030,0.809706,0.185185,0.193281,0.011696,0.104006
0,26,0.518519,0.887550,0.281627,0.548046,0.481481,0.459453,0.013645,0.056325
0,27,0.703704,0.907631,0.130653,0.501027,0.296296,0.515703,0.009747,0.026131
0,28,0.629630,0.899598,0.220052,0.564367,0.370370,0.448804,0.011696,0.044010
0,29,0.666667,0.903614,0.475630,0.736652,0.333333,0.265868,0.009747,0.095126
0,30,0.592593,0.895582,0.665963,0.528706,0.407407,0.447828,0.011696,0.133193
0,31,0.814815,0.919679,0.495798,0.815963,0.185185,0.189246,0.011696,0.099160
0,32,0.555556,0.891566,0.305260,0.422115,0.444444,0.576782,0.011696,0.061052
0,33,0.518519,0.887550,0.307204,0.526880,0.481481,0.477492,0.013645,0.061441
0,34,0.592593,0.895582,0.334168,0.596218,0.407407,0.409777,0.009747,0.066834
0,35,0.851852,0.923695,0.622125,0.831990,0.148148,0.164243,0.009747,0.124425
0,36,0.703704,0.907631,0.387114,0.436047,0.296296,0.557224,0.011696,0.077423
0,37,0.777778,0.915663,0.661088,0.632112,0.222222,0.350354,0.007797,0.132218
0,38,0.370370,0.871486,0.421360,0.362797,0.629630,0.623875,0.013645,0.084272
0,39,0.444444,0.879518,0.099089,0.432416,0.555556,0.583088,0.017544,0.019818
0,40,0.333333,0.867470,0.139308,0.364165,0.666667,0.644543,0.017544,0.027862
0,41,0.592593,0.895582,0.621948,0.641253,0.407407,0.344752,0.015595,0.124390
0,42,0.740741,0.911647,0.577743,0.633403,0.259259,0.355622,0.009747,0.115549
0,43,0.370370,0.871486,0.479131,0.341239,0.629630,0.639776,0.011696,0.095826
0,44,0.592593,0.895582,0.448659,0.525086,0.407407,0.468175,0.011696,0.089732
0,45,0.777778,0.915663,0.279230,0.777033,0.222222,0.242949,0.009747,0.055846
0,46,0.555556,0.891566,0.436523,0.654276,0.444444,0.346867,0.009747,0.087305
0,47,0.370370,0.871486,0.419378,0.427323,0.629630,0.562967,0.013645,0.083876
0,48,0.518519,0.887550,0.589516,0.556205,0.481481,0.427758,0.015595,0.117903
0,49,0.555556,0.891566,0.481247,0.518451,0.444444,0.471916,0.011696,0.096249
0,50,0.333333,0.867470,0.406568,0.330423,0.666667,0.655662,0.015595,0.081314
0,51,0.703704,0.907631,0.477569,0.649513,0.296296,0.348178,0.011696,0.095514
0,52,0.777778,0.915663,0.481247,0.778484,0.222222,0.225846,0.011696,0.096249
0,53,0.925926,0.931727,0.254684,0.911174,0.074074,0.117922,0.005848,0.050937
0,54,0.740741,0.911647,0.373793,0.681855,0.259259,0.325653,0.011696,0.074759
0,55,0.777778,0.915663,0.683904,0.795419,0.222222,0.194040,0.011696,0.136781
0,56,0.629630,0.899598,0.316472,0.553259,0.370370,0.451807,0.007797,0.063294
0,57,0.407407,0.875502,0.750279,0.442326,0.592593,0.523005,0.009747,0.150056
0,58,0.814815,0.919679,0.292221,0.668942,0.185185,0.344224,0.007797,0.058444
0,59,0.259259,0.859438,0.287996,0.150692,0.740741,0.834974,0.029240,0.057599
0,60,0.740741,0.911647,0.578412,0.704080,0.259259,0.288688,0.013645,0.115682
0,61,0.851852,0.923695,0.351397,0.812709,0.148148,0.203570,0.007797,0.070279
0,62,0.481481,0.883534,0.305260,0.520497,0.518519,0.483683,0.013645,0.061052
0,63,0.407407,0.875502,0.517178,0.373607,0.592593,0.606184,0.009747,0.103436
0,64,0.777778,0.915663,0.300297,0.812695,0.222222,0.207561,0.011696,0.060059
0,65,0.740741,0.911647,0.395120,0.687878,0.259259,0.318292,0.011696,0.079024
0,66,0.407407,0.875502,0.000000,0.294250,0.592593,0.721550,0.009747,0.000000
0,67,0.703704,0.907631,0.389893,0.715420,0.296296,0.292637,0.011696,0.077979
0,68,0.481481,0.883534,0.668845,0.564262,0.518519,0.413957,0.013645,0.133769
0,69,0.481481,0.883534,0.331299,0.498280,0.518519,0.502679,0.011696,0.066260
0,70,0.444444,0.879518,0.399993,0.366865,0.555556,0.621689,0.015595,0.079999
0,71,0.629630,0.899598,0.490750,0.627447,0.370370,0.368032,0.013645,0.098150
0,72,0.703704,0.907631,0.580729,0.730858,0.296296,0.263168,0.011696,0.116146
0,73,0.481481,0.883534,0.448834,0.490691,0.518519,0.500709,0.013645,0.089767
0,74,0.444444,0.879518,0.445911,0.444558,0.555556,0.544592,0.013645,0.089182
0,75,0.851852,0.923695,0.544215,0.904370,0.148148,0.101817,0.011696,0.108843
0,76,0.814815,0.919679,0.433155,0.745713,0.185185,0.260602,0.011696,0.086631
0,77,0.370370,0.871486,0.407984,0.304530,0.629630,0.680055,0.015595,0.081597
0,78,0.518519,0.887550,0.385542,0.413517,0.481481,0.578667,0.011696,0.077108
0,79,0.888889,0.927711,0.535753,0.840912,0.111111,0.162525,0.009747,0.107151
0,80,0.333333,0.867470,0.272404,0.208171,0.666667,0.781796,0.023392,0.054481
0,81,0.740741,0.911647,0.411066,0.634808,0.259259,0.367271,0.011696,0.082213
0,82,0.333333,0.867470,0.181187,0.327994,0.666667,0.675510,0.017544,0.036237
0,83,0.370370,0.871486,0.324865,0.311849,0.629630,0.679601,0.017544,0.064973
0,84,0.703704,0.907631,0.104535,0.535836,0.296296,0.484797,0.011696,0.020907
