iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.529412,0.104208,0.307146,0.555759,0.470588,0.409977,0.053571,0.061429
0,1,0.529412,0.104208,0.000000,0.286075,0.470588,0.723119,0.062500,0.000000
0,2,0.558824,0.106212,0.318635,0.663110,0.441176,0.304126,0.053571,0.063727
0,3,0.558824,0.106212,0.000000,0.240121,0.441176,0.767596,0.053571,0.000000
0,4,0.382353,0.094188,0.000000,0.141159,0.617647,0.863378,0.062500,0.000000
0,5,0.205882,0.082164,0.000000,0.320421,0.794118,0.689875,0.125000,0.000000
0,6,0.352941,0.092184,0.000000,0.261523,0.647059,0.746881,0.098214,0.000000
0,7,0.441176,0.098196,0.000000,0.209686,0.558824,0.797052,0.098214,0.000000
0,8,0.441176,0.098196,0.000000,0.225172,0.558824,0.782064,0.080357,0.000000
0,9,0.382353,0.094188,0.000000,0.163514,0.617647,0.841741,0.071429,0.000000
0,10,0.911765,0.130261,0.026014,0.583835,0.088235,0.430512,0.053571,0.005203
0,11,0.323529,0.090180,0.000000,0.495546,0.676471,0.520379,0.071429,0.000000
0,12,0.647059,0.112224,0.000000,0.405195,0.352941,0.607826,0.053571,0.000000
0,13,0.588235,0.108216,0.155764,0.463298,0.411765,0.525156,0.053571,0.031153
0,14,0.029412,0.070140,0.000000,0.055630,0.970588,0.946158,0.232143,0.000000
0,15,0.617647,0.110220,0.080685,0.334440,0.382353,0.662615,0.062500,0.016137
0,16,0.529412,0.104208,0.000000,0.339825,0.470588,0.671096,0.062500,0.000000
0,17,0.382353,0.094188,0.485634,0.501967,0.617647,0.431750,0.062500,0.097127
0,18,0.205882,0.082164,0.000000,0.000000,0.794118,1.000000,0.098214,0.000000
0,19,0.294118,0.088176,0.000000,0.123586,0.705882,0.880385,0.098214,0.000000
0,20,0.676471,0.114228,0.359197,0.727954,0.323529,0.234481,0.062500,0.071839
0,21,0.441176,0.098196,0.000000,0.339711,0.558824,0.671205,0.062500,0.000000
0,22,0.647059,0.112224,0.000000,0.299160,0.352941,0.710454,0.053571,0.000000
0,23,0.352941,0.092184,0.000000,0.515253,0.647059,0.501305,0.080357,0.000000
0,24,0.294118,0.088176,0.000000,0.276984,0.705882,0.731917,0.080357,0.000000
0,25,0.264706,0.086172,0.000000,0.231652,0.735294,0.775792,0.089286,0.000000
0,26,0.500000,0.102204,0.000000,0.430685,0.500000,0.583156,0.062500,0.000000
0,27,0.411765,0.096192,0.333869,0.702872,0.588235,0.263055,0.053571,0.066774
0,28,0.205882,0.082164,0.000000,0.306351,0.794118,0.703493,0.133929,0.000000
0,29,0.441176,0.098196,0.000000,0.322058,0.558824,0.688291,0.071429,0.000000
0,30,0.441176,0.098196,0.000000,0.566560,0.558824,0.451647,0.071429,0.000000
0,31,1.000000,0.136273,0.000000,0.561046,0.000000,0.456983,0.062500,0.000000
0,32,0.441176,0.098196,0.000000,0.396230,0.558824,0.616503,0.062500,0.000000
0,33,0.176471,0.080160,0.000000,0.233508,0.823529,0.773996,0.080357,0.000000
0,34,0.235294,0.084168,0.000000,0.212510,0.764706,0.794319,0.107143,0.000000
0,35,0.088235,0.074148,0.000000,0.166037,0.911765,0.839298,0.241071,0.000000
0,36,0.647059,0.112224,0.000000,0.328059,0.352941,0.682483,0.053571,0.000000
0,37,0.529412,0.104208,0.000000,0.368158,0.470588,0.643673,0.062500,0.000000
0,38,0.735294,0.118236,0.187281,0.432605,0.264706,0.549515,0.053571,0.037456
0,39,0.735294,0.118236,0.000000,0.712669,0.264706,0.310233,0.053571,0.000000
0,40,0.205882,0.082164,0.000000,0.092468,0.794118,0.910504,0.062500,0.000000
0,41,0.794118,0.122244,0.000000,0.466440,0.205882,0.548549,0.053571,0.000000
0,42,0.441176,0.098196,0.000000,0.418446,0.558824,0.595001,0.071429,0.000000
0,43,0.470588,0.100200,0.000000,0.524713,0.529412,0.492148,0.053571,0.000000
0,44,0.323529,0.090180,0.000000,0.503206,0.676471,0.512965,0.116071,0.000000
0,45,0.382353,0.094188,0.000000,0.537411,0.617647,0.479859,0.062500,0.000000
