iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.414634,0.895792,0.423904,0.488813,0.585366,0.499331,0.006903,0.084781
0,1,0.170732,0.875752,0.322091,0.023000,0.829268,0.960927,0.013807,0.064418
0,2,0.439024,0.897796,0.229454,0.317079,0.560976,0.677568,0.004931,0.045891
0,3,0.414634,0.895792,0.384172,0.430568,0.585366,0.558436,0.004931,0.076834
0,4,0.317073,0.887776,0.324972,0.386169,0.682927,0.604974,0.008876,0.064994
0,5,0.414634,0.895792,0.494602,0.339381,0.585366,0.642103,0.006903,0.098920
0,6,0.268293,0.883768,0.306942,0.281428,0.731707,0.708517,0.007890,0.061388
0,7,0.536585,0.905812,0.510394,0.446524,0.463415,0.536322,0.005917,0.102079
0,8,0.634146,0.913828,0.615178,0.663022,0.365854,0.318833,0.004931,0.123036
0,9,0.560976,0.907816,0.418378,0.416466,0.439024,0.570495,0.004931,0.083676
0,10,0.317073,0.887776,0.244851,0.348715,0.682927,0.645783,0.006903,0.048970
0,11,0.707317,0.919840,0.559844,0.719978,0.292683,0.265874,0.005917,0.111969
0,12,0.658537,0.915832,0.375126,0.571078,0.341463,0.421239,0.005917,0.075025
0,13,0.463415,0.899800,0.155365,0.408580,0.536585,0.591727,0.006903,0.031073
0,14,0.609756,0.911824,0.552761,0.674947,0.390244,0.310355,0.005917,0.110552
0,15,0.463415,0.899800,0.022694,0.398557,0.536585,0.608358,0.005917,0.004539
0,16,0.756098,0.923848,0.764654,0.748595,0.243902,0.227320,0.004931,0.152931
0,17,0.341463,0.889780,0.180953,0.299545,0.658537,0.697237,0.006903,0.036191
0,18,0.341463,0.889780,0.391186,0.368455,0.658537,0.618929,0.008876,0.078237
0,19,0.512195,0.903808,0.230619,0.535710,0.487805,0.463310,0.004931,0.046124
0,20,0.463415,0.899800,0.340536,0.451399,0.536585,0.540267,0.006903,0.068107
0,21,0.731707,0.921844,0.884008,0.698041,0.268293,0.270720,0.004931,0.176802
0,22,0.512195,0.903808,0.477930,0.491383,0.487805,0.494040,0.006903,0.095586
0,23,0.658537,0.915832,0.642385,0.645796,0.341463,0.334312,0.005917,0.128477
0,24,0.487805,0.901804,0.575342,0.442105,0.512195,0.537316,0.005917,0.115068
0,25,0.560976,0.907816,0.629213,0.636738,0.439024,0.343863,0.004931,0.125843
0,26,0.146341,0.873747,0.028573,0.225267,0.853659,0.777833,0.012821,0.005715
0,27,0.268293,0.883768,0.191440,0.298123,0.731707,0.698091,0.008876,0.038288
0,28,0.512195,0.903808,0.678251,0.565339,0.487805,0.411296,0.005917,0.135650
0,29,0.585366,0.909820,0.476758,0.559125,0.414634,0.427731,0.005917,0.095352
0,30,0.536585,0.905812,0.669844,0.451916,0.463415,0.522851,0.005917,0.133969
0,31,0.390244,0.893788,0.282487,0.441431,0.609756,0.553014,0.004931,0.056497
0,32,0.365854,0.891784,0.364897,0.436896,0.634146,0.553226,0.008876,0.072979
0,33,0.463415,0.899800,0.539503,0.546067,0.536585,0.437303,0.005917,0.107901
0,34,0.804878,0.927856,0.590204,0.843523,0.195122,0.143274,0.005917,0.118041
0,35,0.756098,0.923848,0.277574,0.676726,0.243902,0.322742,0.006903,0.055515
0,36,0.634146,0.913828,0.481632,0.602464,0.365854,0.385020,0.005917,0.096326
0,37,0.487805,0.901804,0.450751,0.557845,0.512195,0.430321,0.007890,0.090150
0,38,0.317073,0.887776,0.360945,0.402638,0.682927,0.586992,0.006903,0.072189
0,39,0.658537,0.915832,0.666319,0.563995,0.341463,0.413226,0.006903,0.133264
0,40,0.585366,0.909820,0.716208,0.542707,0.414634,0.431521,0.005917,0.143242
0,41,0.536585,0.905812,0.699247,0.515056,0.463415,0.459483,0.005917,0.139849
0,42,0.585366,0.909820,0.370974,0.547002,0.414634,0.445040,0.006903,0.074195
0,43,0.292683,0.885772,0.482193,0.433588,0.707317,0.550444,0.009862,0.096439
0,44,0.292683,0.885772,0.146568,0.209709,0.707317,0.787017,0.007890,0.029314
0,45,0.487805,0.901804,0.623380,0.400882,0.512195,0.575237,0.006903,0.124676
0,46,0.292683,0.885772,0.657191,0.227122,0.707317,0.743737,0.004931,0.131438
0,47,0.439024,0.897796,0.532648,0.517855,0.560976,0.465295,0.005917,0.106530
0,48,0.560976,0.907816,0.686207,0.556324,0.439024,0.419721,0.005917,0.137241
0,49,0.439024,0.897796,0.210886,0.362329,0.560976,0.634189,0.007890,0.042177
0,50,0.609756,0.911824,0.937451,0.686147,0.390244,0.279629,0.005917,0.187490
0,51,0.585366,0.909820,0.242120,0.632698,0.414634,0.367698,0.006903,0.048424
0,52,0.292683,0.885772,0.109379,0.254148,0.707317,0.745389,0.008876,0.021876
0,53,0.512195,0.903808,1.000000,0.480560,0.487805,0.477836,0.005917,0.200000
0,54,0.731707,0.921844,0.361314,0.704965,0.268293,0.290776,0.006903,0.072263
0,55,0.512195,0.903808,0.346091,0.482688,0.487805,0.509328,0.006903,0.069218
0,56,0.341463,0.889780,0.552104,0.366811,0.658537,0.612276,0.006903,0.110421
0,57,0.219512,0.879760,0.364905,0.295417,0.780488,0.691835,0.009862,0.072981
0,58,0.414634,0.895792,0.324737,0.340125,0.585366,0.650097,0.006903,0.064947
0,59,0.463415,0.899800,0.611585,0.439335,0.536585,0.538169,0.005917,0.122317
0,60,0.487805,0.901804,0.672509,0.523633,0.512195,0.452452,0.005917,0.134502
0,61,0.365854,0.891784,0.318438,0.341879,0.634146,0.648702,0.005917,0.063688
0,62,0.365854,0.891784,0.548083,0.431422,0.634146,0.549182,0.006903,0.109617
0,63,0.512195,0.903808,0.599120,0.379390,0.487805,0.597539,0.005917,0.119824
0,64,0.609756,0.911824,0.747079,0.686702,0.390244,0.288860,0.005917,0.149416
0,65,0.365854,0.891784,0.351004,0.341145,0.634146,0.647748,0.008876,0.070201
0,66,0.658537,0.915832,0.329574,0.741435,0.341463,0.256675,0.004931,0.065915
0,67,0.487805,0.901804,0.765504,0.488736,0.512195,0.481866,0.005917,0.153101
0,68,0.536585,0.905812,0.646617,0.448571,0.463415,0.527321,0.004931,0.129323
0,69,0.560976,0.907816,0.807624,0.535715,0.439024,0.433677,0.004931,0.161525
0,70,0.487805,0.901804,0.728129,0.503868,0.512195,0.468960,0.005917,0.145626
0,71,0.658537,0.915832,0.163128,0.557048,0.341463,0.445870,0.005917,0.032626
0,72,0.390244,0.893788,0.227751,0.280915,0.609756,0.713086,0.005917,0.045550
0,73,0.829268,0.929860,0.502847,0.816148,0.170732,0.174580,0.006903,0.100569
0,74,0.439024,0.897796,0.628539,0.532364,0.560976,0.446156,0.005917,0.125708
