cg_iteration,type,rmp_value,decision_threshold,found,rc,cp_time_s,nodes,failures,stopped,mwss_ran,mwss_found,mwss_rc,mwss_proven_optimal,mwss_time_s
0,dual_desc,4.000000,1.333333,1,-0.590909,0.002752,22,0,0,0,0,0.000000,0,0.000000
0,onnx_ai,4.000000,1.333333,1,-0.363636,0.011740,493,233,0,0,0,0.000000,0,0.000000
1,dual_desc,4.000000,1.333333,1,-0.500000,0.002152,25,0,0,0,0,0.000000,0,0.000000
1,onnx_ai,4.000000,1.333333,1,-0.500000,0.003557,44,3,0,0,0,0.000000,0,0.000000
2,dual_desc,4.000000,1.333333,1,-0.500000,0.002409,29,0,0,0,0,0.000000,0,0.000000
2,onnx_ai,4.000000,1.333333,1,-0.500000,0.003743,28,3,0,0,0,0.000000,0,0.000000
3,dual_desc,4.000000,1.333333,1,-0.500000,0.002969,16,0,0,0,0,0.000000,0,0.000000
3,onnx_ai,4.000000,1.333333,1,-0.500000,0.003147,41,1,0,0,0,0.000000,0,0.000000
4,dual_desc,4.000000,1.333333,1,-0.500000,0.003719,39,0,0,0,0,0.000000,0,0.000000
4,onnx_ai,4.000000,1.333333,1,-0.500000,0.003451,28,1,0,0,0,0.000000,0,0.000000
5,dual_desc,3.857143,1.285714,1,-0.357143,0.004432,14,1,0,0,0,0.000000,0,0.000000
5,onnx_ai,3.857143,1.285714,0,0.000000,5.005456,872833,436411,1,0,0,0.000000,0,0.000000
6,dual_desc,3.785714,1.261905,1,-0.500000,0.002374,41,1,0,0,0,0.000000,0,0.000000
6,onnx_ai,3.785714,1.261905,1,-0.500000,0.138588,9174,4576,0,0,0,0.000000,0,0.000000
7,dual_desc,3.727273,1.242424,1,-0.575758,0.002222,16,0,0,0,0,0.000000,0,0.000000
7,onnx_ai,3.727273,1.242424,1,-0.303030,0.006457,334,158,0,0,0,0.000000,0,0.000000
8,dual_desc,3.666667,1.222222,1,-0.333333,0.002406,43,0,0,0,0,0.000000,0,0.000000
8,onnx_ai,3.666667,1.222222,1,-0.333333,0.003548,35,4,0,0,0,0.000000,0,0.000000
9,dual_desc,3.666667,1.222222,1,-0.333333,0.003123,26,1,0,0,0,0.000000,0,0.000000
9,onnx_ai,3.666667,1.222222,1,-0.333333,0.003118,34,4,0,0,0,0.000000,0,0.000000
10,dual_desc,3.666667,1.222222,1,-0.333333,0.002708,41,2,0,0,0,0.000000,0,0.000000
10,onnx_ai,3.666667,1.222222,1,-0.333333,0.002578,24,0,0,0,0,0.000000,0,0.000000
11,dual_desc,3.666667,1.222222,1,-0.333333,0.003083,45,0,0,0,0,0.000000,0,0.000000
11,onnx_ai,3.666667,1.222222,1,-0.333333,0.003903,62,9,0,0,0,0.000000,0,0.000000
12,dual_desc,3.633333,1.211111,0,0.000000,0.004347,23,12,0,1,1,-0.100000,1,0.025039
12,onnx_ai,3.633333,1.211111,0,0.000000,0.005816,75,38,0,1,1,-0.100000,1,0.025039
13,dual_desc,3.633333,1.100000,1,-0.150000,0.003028,34,2,0,0,0,0.000000,0,0.000000
13,onnx_ai,3.633333,1.100000,1,-0.150000,0.004998,73,22,0,0,0,0.000000,0,0.000000
14,dual_desc,3.633333,1.100000,1,-0.200000,0.003927,34,5,0,0,0,0.000000,0,0.000000
14,onnx_ai,3.633333,1.100000,1,-0.200000,0.002622,26,0,0,0,0,0.000000,0,0.000000
15,dual_desc,3.633333,1.100000,0,0.000000,0.003414,21,11,0,1,0,0.000000,1,0.035024
15,onnx_ai,3.633333,1.100000,0,0.000000,0.005786,69,35,0,1,0,0.000000,1,0.035024
