cg_iteration,type,rmp_value,decision_threshold,found,rc,cp_time_s,nodes,failures,stopped,mwss_ran,mwss_found,mwss_rc,mwss_proven_optimal,mwss_time_s
0,dual_desc,5.212121,1.737374,1,-0.812121,0.022063,55,0,0,0,0,0.000000,0,0.000000
0,onnx_ai,5.212121,1.737374,1,-0.745455,1.848861,37233,18586,0,0,0,0.000000,0,0.000000
1,dual_desc,5.009346,1.669782,1,-1.640187,0.015197,58,0,0,0,0,0.000000,0,0.000000
1,onnx_ai,5.009346,1.669782,1,-0.672897,0.025397,62,9,0,0,0,0.000000,0,0.000000
2,dual_desc,4.692042,1.564014,1,-1.027682,0.013820,32,0,0,0,0,0.000000,0,0.000000
2,onnx_ai,4.692042,1.564014,1,-0.647059,0.041350,298,118,0,0,0,0.000000,0,0.000000
3,dual_desc,4.557789,1.519263,1,-1.060302,0.018036,40,0,0,0,0,0.000000,0,0.000000
3,onnx_ai,4.557789,1.519263,1,-0.580402,0.048897,371,159,0,0,0,0.000000,0,0.000000
4,dual_desc,4.391304,1.463768,1,-0.549491,0.017326,76,1,0,0,0,0.000000,0,0.000000
4,onnx_ai,4.391304,1.463768,1,-0.483811,0.041391,306,112,0,0,0,0.000000,0,0.000000
5,dual_desc,4.352941,1.450980,1,-0.715686,0.021335,94,6,0,0,0,0.000000,0,0.000000
5,onnx_ai,4.352941,1.450980,1,-0.500000,0.325898,3829,1869,0,0,0,0.000000,0,0.000000
6,dual_desc,4.300000,1.433333,1,-0.500000,0.020460,137,0,0,0,0,0.000000,0,0.000000
6,onnx_ai,4.300000,1.433333,1,-0.700000,0.021819,49,0,0,0,0,0.000000,0,0.000000
7,dual_desc,4.200000,1.400000,1,-0.811748,0.020469,74,1,0,0,0,0.000000,0,0.000000
7,onnx_ai,4.200000,1.400000,1,-0.451003,1.184259,18573,9254,0,0,0,0.000000,0,0.000000
8,dual_desc,4.200000,1.400000,1,-0.600000,0.012982,81,0,0,0,0,0.000000,0,0.000000
8,onnx_ai,4.200000,1.400000,1,-0.600000,0.015607,56,1,0,0,0,0.000000,0,0.000000
9,dual_desc,4.181818,1.393939,1,-0.545455,0.018977,67,0,0,0,0,0.000000,0,0.000000
9,onnx_ai,4.181818,1.393939,0,0.000000,5.019177,97297,48644,1,0,0,0.000000,0,0.000000
10,dual_desc,4.147826,1.382609,1,-0.400000,0.014697,134,0,0,0,0,0.000000,0,0.000000
10,onnx_ai,4.147826,1.382609,1,-0.391304,0.020530,43,0,0,0,0,0.000000,0,0.000000
11,dual_desc,4.127273,1.375758,1,-0.381818,0.020793,40,7,0,0,0,0.000000,0,0.000000
11,onnx_ai,4.127273,1.375758,1,-0.387879,0.116068,1509,727,0,0,0,0.000000,0,0.000000
12,dual_desc,4.113333,1.371111,1,-0.420000,0.019791,122,0,0,0,0,0.000000,0,0.000000
12,onnx_ai,4.113333,1.371111,1,-0.373333,0.043889,214,79,0,0,0,0.000000,0,0.000000
13,dual_desc,4.095541,1.365180,1,-0.455414,0.023484,39,1,0,0,0,0.000000,0,0.000000
13,onnx_ai,4.095541,1.365180,1,-0.382166,0.021210,43,3,0,0,0,0.000000,0,0.000000
14,dual_desc,4.088855,1.362952,1,-0.504518,0.019261,124,7,0,0,0,0.000000,0,0.000000
14,onnx_ai,4.088855,1.362952,0,0.000000,5.013139,175712,87851,1,0,0,0.000000,0,0.000000
15,dual_desc,4.064815,1.354938,1,-0.361111,0.015756,116,1,0,0,0,0.000000,0,0.000000
15,onnx_ai,4.064815,1.354938,1,-0.379630,0.016108,72,2,0,0,0,0.000000,0,0.000000
16,dual_desc,4.048662,1.349554,1,-0.378345,0.017210,71,4,0,0,0,0.000000,0,0.000000
16,onnx_ai,4.048662,1.349554,1,-0.437956,0.013462,88,0,0,0,0,0.000000,0,0.000000
17,dual_desc,4.037288,1.345763,1,-0.461017,0.028326,147,31,0,0,0,0.000000,0,0.000000
17,onnx_ai,4.037288,1.345763,1,-0.457627,0.017395,93,1,0,0,0,0.000000,0,0.000000
18,dual_desc,4.028269,1.342756,1,-0.438163,0.022531,115,0,0,0,0,0.000000,0,0.000000
18,onnx_ai,4.028269,1.342756,0,0.000000,5.020159,137679,68834,1,0,0,0.000000,0,0.000000
19,dual_desc,4.016696,1.338899,1,-0.425835,0.016645,52,4,0,0,0,0.000000,0,0.000000
19,onnx_ai,4.016696,1.338899,1,-0.355712,0.021535,87,18,0,0,0,0.000000,0,0.000000
20,dual_desc,4.003300,1.334433,1,-0.396040,0.019297,86,18,0,0,0,0.000000,0,0.000000
20,onnx_ai,4.003300,1.334433,1,-0.363036,0.100258,1252,603,0,0,0,0.000000,0,0.000000
21,dual_desc,3.995671,1.331890,1,-0.402597,0.028957,134,26,0,0,0,0.000000,0,0.000000
21,onnx_ai,3.995671,1.331890,0,0.000000,5.017670,244470,122226,1,0,0,0.000000,0,0.000000
22,dual_desc,3.981818,1.327273,1,-0.368182,0.030323,165,56,0,0,0,0.000000,0,0.000000
22,onnx_ai,3.981818,1.327273,0,0.000000,5.019338,152911,76450,1,0,0,0.000000,0,0.000000
23,dual_desc,3.981818,1.327273,0,0.000000,0.041251,175,88,0,1,1,-0.295455,1,0.078537
23,onnx_ai,3.981818,1.327273,0,0.000000,5.017714,109208,54599,1,1,1,-0.295455,1,0.078537
24,dual_desc,3.981197,1.295252,0,0.000000,0.035878,167,84,0,1,1,-0.268376,1,0.078432
24,onnx_ai,3.981197,1.295252,0,0.000000,5.014835,199596,99785,1,1,1,-0.268376,1,0.078432
25,dual_desc,3.980034,1.268006,0,0.000000,0.041946,235,118,0,1,1,-0.242038,1,0.077599
25,onnx_ai,3.980034,1.268006,0,0.000000,5.014516,125210,62597,1,1,1,-0.242038,1,0.077599
26,dual_desc,3.979377,1.241833,0,0.000000,0.046318,227,114,0,1,1,-0.200090,1,0.080197
26,onnx_ai,3.979377,1.241833,0,0.000000,5.016810,131217,65601,1,1,1,-0.200090,1,0.080197
27,dual_desc,3.979086,1.200003,1,-0.212595,0.016510,128,9,0,0,0,0.000000,0,0.000000
27,onnx_ai,3.979086,1.200003,1,-0.220534,0.029027,180,48,0,0,0,0.000000,0,0.000000
28,dual_desc,3.975116,1.198805,1,-0.207870,0.018178,44,1,0,0,0,0.000000,0,0.000000
28,onnx_ai,3.975116,1.198805,1,-0.219460,0.250943,2785,1328,0,0,0,0.000000,0,0.000000
29,dual_desc,3.974384,1.198585,1,-0.220381,0.028958,148,20,0,0,0,0.000000,0,0.000000
29,onnx_ai,3.974384,1.198585,0,0.000000,5.021461,80980,40487,1,0,0,0.000000,0,0.000000
