cg_iteration,type,rmp_value,decision_threshold,found,rc,cp_time_s,nodes,failures,stopped,mwss_ran,mwss_found,mwss_rc,mwss_proven_optimal,mwss_time_s
0,dual_desc,3.227564,1.613782,1,-0.636690,0.001893,17,0,0,0,0,0.000000,0,0.000000
0,onnx_ai,3.227564,1.613782,1,-0.619022,0.001611,19,2,0,0,0,0.000000,0,0.000000
1,dual_desc,3.161737,1.580868,0,0.000000,0.003564,139,70,0,1,1,-0.565135,1,0.016003
1,onnx_ai,3.161737,1.580868,0,0.000000,0.022329,1333,667,0,1,1,-0.565135,1,0.016003
2,dual_desc,3.142556,1.555640,1,-0.575266,0.001718,9,0,0,0,0,0.000000,0,0.000000
2,onnx_ai,3.142556,1.555640,1,-0.575266,0.006284,261,125,0,0,0,0.000000,0,0.000000
3,dual_desc,3.112961,1.540990,1,-0.545718,0.001863,17,0,0,0,0,0.000000,0,0.000000
3,onnx_ai,3.112961,1.540990,1,-0.545718,0.002105,61,22,0,0,0,0.000000,0,0.000000
4,dual_desc,3.087179,1.528228,0,0.000000,0.006532,209,105,0,1,1,-0.485288,1,0.014466
4,onnx_ai,3.087179,1.528228,0,0.000000,0.046173,3183,1592,0,1,1,-0.485288,1,0.014466
5,dual_desc,3.075739,1.479784,0,0.000000,0.009109,403,202,0,1,1,-0.460057,1,0.017200
5,onnx_ai,3.075739,1.479784,0,0.000000,0.103197,7975,3988,0,1,1,-0.460057,1,0.017200
6,dual_desc,3.069855,1.457264,1,-0.507805,0.001726,18,0,0,0,0,0.000000,0,0.000000
6,onnx_ai,3.069855,1.457264,1,-0.507805,0.005769,323,152,0,0,0,0.000000,0,0.000000
7,dual_desc,3.064198,1.454578,0,0.000000,0.011225,519,260,0,1,1,-0.411478,1,0.019627
7,onnx_ai,3.064198,1.454578,0,0.000000,0.040216,2719,1360,0,1,1,-0.411478,1,0.019627
8,dual_desc,3.058857,1.409018,0,0.000000,0.016356,901,451,0,1,1,-0.302556,1,0.024524
8,onnx_ai,3.058857,1.409018,0,0.000000,0.036800,2443,1222,0,1,1,-0.302556,1,0.024524
9,dual_desc,3.055432,1.301097,1,-0.315718,0.004122,176,76,0,0,0,0.000000,0,0.000000
9,onnx_ai,3.055432,1.301097,1,-0.315718,0.142110,10753,5367,0,0,0,0.000000,0,0.000000
10,dual_desc,3.044081,1.296264,1,-0.328047,0.002669,85,29,0,0,0,0.000000,0,0.000000
10,onnx_ai,3.044081,1.296264,1,-0.301191,0.001998,103,44,0,0,0,0.000000,0,0.000000
11,dual_desc,3.034521,1.292193,1,-0.294317,0.002142,77,29,0,0,0,0.000000,0,0.000000
11,onnx_ai,3.034521,1.292193,1,-0.294317,0.005307,350,165,0,0,0,0.000000,0,0.000000
12,dual_desc,3.023407,1.287460,1,-0.291291,0.010821,715,352,0,0,0,0.000000,0,0.000000
12,onnx_ai,3.023407,1.287460,1,-0.291291,0.005806,544,265,0,0,0,0.000000,0,0.000000
13,dual_desc,3.011524,1.282400,1,-0.326407,0.002035,24,6,0,0,0,0.000000,0,0.000000
13,onnx_ai,3.011524,1.282400,1,-0.326407,0.044150,3649,1816,0,0,0,0.000000,0,0.000000
14,dual_desc,3.005645,1.279896,0,0.000000,0.049010,3467,1734,0,1,1,-0.253842,1,0.027619
14,onnx_ai,3.005645,1.279896,0,0.000000,0.335579,27511,13756,0,1,1,-0.253842,1,0.027619
15,dual_desc,3.003735,1.253046,1,-0.286660,0.007081,540,257,0,0,0,0.000000,0,0.000000
15,onnx_ai,3.003735,1.253046,1,-0.256855,0.050416,3972,1978,0,0,0,0.000000,0,0.000000
16,dual_desc,3.002633,1.252586,1,-0.260219,0.001588,21,4,0,0,0,0.000000,0,0.000000
16,onnx_ai,3.002633,1.252586,1,-0.260219,0.011376,756,371,0,0,0,0.000000,0,0.000000
17,dual_desc,2.998929,1.251040,1,-0.274857,0.015239,816,397,0,0,0,0.000000,0,0.000000
17,onnx_ai,2.998929,1.251040,1,-0.269285,0.002421,48,16,0,0,0,0.000000,0,0.000000
18,dual_desc,2.994612,1.249240,1,-0.292757,0.005207,273,127,0,0,0,0.000000,0,0.000000
18,onnx_ai,2.994612,1.249240,1,-0.292757,0.001849,20,0,0,0,0,0.000000,0,0.000000
19,dual_desc,2.974009,1.240645,1,-0.276676,0.001744,26,3,0,0,0,0.000000,0,0.000000
19,onnx_ai,2.974009,1.240645,1,-0.246870,0.002087,16,2,0,0,0,0.000000,0,0.000000
20,dual_desc,2.965819,1.237228,1,-0.237985,0.001415,13,0,0,0,0,0.000000,0,0.000000
20,onnx_ai,2.965819,1.237228,1,-0.290609,0.012766,835,405,0,0,0,0.000000,0,0.000000
21,dual_desc,2.960671,1.235081,1,-0.248375,0.012652,746,363,0,0,0,0.000000,0,0.000000
21,onnx_ai,2.960671,1.235081,1,-0.240275,0.121252,9304,4642,0,0,0,0.000000,0,0.000000
22,dual_desc,2.950626,1.230890,1,-0.265692,0.004278,193,86,0,0,0,0.000000,0,0.000000
22,onnx_ai,2.950626,1.230890,1,-0.265692,0.003687,168,73,0,0,0,0.000000,0,0.000000
23,dual_desc,2.938081,1.225657,1,-0.239956,0.002105,22,1,0,0,0,0.000000,0,0.000000
23,onnx_ai,2.938081,1.225657,1,-0.234211,0.004485,261,123,0,0,0,0.000000,0,0.000000
24,dual_desc,2.931675,1.222985,1,-0.309092,0.001360,25,0,0,0,0,0.000000,0,0.000000
24,onnx_ai,2.931675,1.222985,1,-0.247145,0.026454,1553,768,0,0,0,0.000000,0,0.000000
25,dual_desc,2.913655,1.215467,1,-0.218177,0.011696,562,272,0,0,0,0.000000,0,0.000000
25,onnx_ai,2.913655,1.215467,1,-0.222083,0.004072,182,84,0,0,0,0.000000,0,0.000000
26,dual_desc,2.912220,1.214869,1,-0.215834,0.001991,35,10,0,0,0,0.000000,0,0.000000
26,onnx_ai,2.912220,1.214869,1,-0.271671,0.009276,564,272,0,0,0,0.000000,0,0.000000
27,dual_desc,2.908851,1.213463,1,-0.222728,0.003429,193,86,0,0,0,0.000000,0,0.000000
27,onnx_ai,2.908851,1.213463,1,-0.243106,0.051021,3704,1842,0,0,0,0.000000,0,0.000000
28,dual_desc,2.905143,1.211917,1,-0.226912,0.007922,512,246,0,0,0,0.000000,0,0.000000
28,onnx_ai,2.905143,1.211917,1,-0.226183,0.028782,1696,837,0,0,0,0.000000,0,0.000000
29,dual_desc,2.902177,1.210679,1,-0.258688,0.005670,340,156,0,0,0,0.000000,0,0.000000
29,onnx_ai,2.902177,1.210679,1,-0.258688,0.041882,3856,1918,0,0,0,0.000000,0,0.000000
