cg_iteration,type,rmp_value,decision_threshold,found,rc,cp_time_s,nodes,failures,stopped,mwss_ran,mwss_found,mwss_rc,mwss_proven_optimal,mwss_time_s
0,dual_desc,4.170794,2.085397,1,-1.158750,0.008124,55,0,0,0,0,0.000000,0,0.000000
0,onnx_ai,4.170794,2.085397,1,-1.092736,0.320369,8779,4364,0,0,0,0.000000,0,0.000000
1,dual_desc,4.040182,2.020091,1,-1.340212,0.006586,59,6,0,0,0,0.000000,0,0.000000
1,onnx_ai,4.040182,2.020091,0,0.000000,5.005688,291194,145588,1,0,0,0.000000,0,0.000000
2,dual_desc,3.994725,1.997363,1,-1.014537,0.006550,65,5,0,0,0,0.000000,0,0.000000
2,onnx_ai,3.994725,1.997363,1,-1.009470,0.128225,3947,1949,0,0,0,0.000000,0,0.000000
3,dual_desc,3.953467,1.976733,1,-1.051286,0.006228,52,5,0,0,0,0.000000,0,0.000000
3,onnx_ai,3.953467,1.976733,1,-0.992305,0.113168,1954,956,0,0,0,0.000000,0,0.000000
4,dual_desc,3.898474,1.949237,1,-1.177057,0.012616,106,19,0,0,0,0.000000,0,0.000000
4,onnx_ai,3.898474,1.949237,0,0.000000,5.008319,223334,111661,1,0,0,0.000000,0,0.000000
5,dual_desc,3.832453,1.916226,1,-0.929657,0.007299,80,18,0,0,0,0.000000,0,0.000000
5,onnx_ai,3.832453,1.916226,0,0.000000,5.006238,307490,153738,1,0,0,0.000000,0,0.000000
6,dual_desc,3.769477,1.884739,1,-1.015083,0.007030,97,12,0,0,0,0.000000,0,0.000000
6,onnx_ai,3.769477,1.884739,0,0.000000,5.009088,169098,84546,1,0,0,0.000000,0,0.000000
7,dual_desc,3.716558,1.858279,1,-0.906757,0.006564,46,0,0,0,0,0.000000,0,0.000000
7,onnx_ai,3.716558,1.858279,0,0.000000,5.009815,156264,78128,1,0,0,0.000000,0,0.000000
8,dual_desc,3.671906,1.835953,1,-0.962053,0.006498,52,0,0,0,0,0.000000,0,0.000000
8,onnx_ai,3.671906,1.835953,0,0.000000,5.007719,255958,127973,1,0,0,0.000000,0,0.000000
9,dual_desc,3.652671,1.826335,1,-0.858433,0.008464,116,19,0,0,0,0.000000,0,0.000000
9,onnx_ai,3.652671,1.826335,0,0.000000,5.007747,171774,85884,1,0,0,0.000000,0,0.000000
10,dual_desc,3.614634,1.807317,1,-0.890308,0.006621,73,0,0,0,0,0.000000,0,0.000000
10,onnx_ai,3.614634,1.807317,0,0.000000,5.006303,291690,145836,1,0,0,0.000000,0,0.000000
11,dual_desc,3.600317,1.800158,0,0.000000,0.073052,1309,655,0,1,1,-0.727327,1,0.033214
11,onnx_ai,3.600317,1.800158,0,0.000000,5.005256,176077,88034,1,1,1,-0.727327,1,0.033214
12,dual_desc,3.592018,1.723346,0,0.000000,0.096071,1739,870,0,1,1,-0.665433,1,0.035104
12,onnx_ai,3.592018,1.723346,0,0.000000,5.007297,191647,95818,1,1,1,-0.665433,1,0.035104
13,dual_desc,3.585345,1.662339,0,0.000000,0.077239,1417,709,0,1,1,-0.653997,1,0.035295
13,onnx_ai,3.585345,1.662339,0,0.000000,5.009582,529067,264522,1,1,1,-0.653997,1,0.035295
