iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.137931,0.000000,0.000000,25,52,0
0,1,4,0.137931,0.000000,0.000000,25,52,0
0,2,6,0.206897,-0.000000,0.000000,23,75,0
0,3,6,0.206897,0.000000,1.000000,23,75,0
0,4,6,0.206897,0.666667,2.000000,23,41,1
0,5,6,0.206897,0.000000,2.000000,23,41,0
0,6,8,0.275862,0.666667,2.000000,21,45,0
0,7,8,0.275862,0.000000,2.000000,21,22,0
0,8,8,0.275862,0.666667,2.000000,21,45,0
0,9,5,0.172414,0.000000,0.333333,24,74,0
0,10,5,0.172414,-0.000000,0.333333,24,74,0
0,11,7,0.241379,0.000000,0.333333,22,90,0
0,12,7,0.241379,-0.000000,1.000000,22,90,0
0,13,7,0.241379,0.333333,1.666667,22,55,1
0,14,7,0.241379,0.000000,1.666667,22,55,0
0,15,9,0.310345,0.333333,1.666667,20,65,0
0,16,9,0.310345,-0.000000,1.666667,20,33,0
0,17,9,0.310345,0.333333,1.666667,20,65,0
0,18,4,0.137931,0.000000,0.000000,25,64,0
0,19,4,0.137931,-0.000000,0.000000,25,64,0
0,20,5,0.172414,0.000000,0.000000,24,78,0
0,21,5,0.172414,0.000000,0.333333,24,78,0
0,22,5,0.172414,0.000000,0.666667,24,57,0
0,23,5,0.172414,0.000000,0.666667,24,57,0
0,24,6,0.206897,-0.000000,0.666667,23,70,0
0,25,6,0.206897,0.000000,0.666667,23,36,0
0,26,6,0.206897,-0.000000,0.666667,23,70,0
0,27,11,0.379310,-0.000000,0.333333,18,29,0
0,28,11,0.379310,0.333333,1.000000,18,10,0
0,29,11,0.379310,0.000000,0.333333,18,29,0
