iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,8,0.086957,0.000000,0.000000,84,160,0
0,1,8,0.086957,0.000000,0.000000,84,126,0
0,2,12,0.130435,0.000000,1.000000,80,131,0
0,3,12,0.130435,0.000000,0.000000,80,117,0
0,4,12,0.130435,-0.000000,2.000000,80,99,0
0,5,12,0.130435,0.466667,2.000000,80,109,1
0,6,16,0.173913,0.466667,2.000000,76,75,0
0,7,16,0.173913,0.000000,2.000000,76,80,0
0,8,16,0.173913,0.466667,2.000000,76,74,0
0,9,10,0.108696,-0.000000,0.333333,82,139,0
0,10,10,0.108696,0.000000,0.333333,82,119,0
0,11,14,0.152174,-0.000000,1.000000,78,124,0
0,12,14,0.152174,-0.000000,0.333333,78,108,0
0,13,14,0.152174,-0.000000,1.666667,78,117,0
0,14,14,0.152174,0.233333,1.666667,78,109,1
0,15,18,0.195652,0.233333,1.666667,74,105,0
0,16,18,0.195652,0.000000,1.666667,74,91,0
0,17,18,0.195652,0.233333,1.666667,74,109,0
0,18,8,0.086957,0.000000,0.000000,84,154,0
0,19,8,0.086957,0.000000,0.000000,84,155,0
0,20,10,0.108696,0.000000,0.333333,82,147,0
0,21,10,0.108696,0.000000,0.000000,82,147,0
0,22,10,0.108696,0.000000,0.666667,82,148,0
0,23,10,0.108696,0.000000,0.666667,82,152,0
0,24,12,0.130435,0.000000,0.666667,80,141,0
0,25,12,0.130435,0.000000,0.666667,80,138,0
0,26,12,0.130435,0.000000,0.666667,80,141,0
0,27,22,0.239130,0.000000,0.333333,70,80,0
0,28,22,0.239130,0.233333,1.000000,70,82,0
0,29,22,0.239130,-0.000000,0.333333,70,71,0
0,30,9,0.097826,0.000000,0.300000,83,128,0
0,31,9,0.097826,0.000000,0.300000,83,123,0
0,32,13,0.141304,-0.000000,1.000000,79,120,0
0,33,13,0.141304,-0.000000,0.300000,79,109,0
0,34,13,0.141304,0.000000,1.700000,79,122,0
0,35,13,0.141304,0.200000,1.700000,79,131,1
0,36,17,0.184783,0.200000,1.700000,75,107,0
0,37,17,0.184783,0.000000,1.700000,75,99,0
0,38,17,0.184783,0.200000,1.700000,75,97,0
0,39,11,0.119565,0.000000,0.533333,81,116,0
0,40,11,0.119565,0.000000,0.533333,81,121,0
0,41,15,0.163043,0.000000,1.000000,77,117,0
0,42,15,0.163043,-0.000000,0.533333,77,109,0
0,43,15,0.163043,0.000000,1.466667,77,128,0
0,44,15,0.163043,0.100000,1.466667,77,128,1
0,45,19,0.206522,0.100000,1.466667,73,117,0
0,46,19,0.206522,0.000000,1.466667,73,108,0
0,47,19,0.206522,0.100000,1.466667,73,120,0
0,48,9,0.097826,0.000000,0.300000,83,160,0
0,49,9,0.097826,0.000000,0.300000,83,161,0
0,50,11,0.119565,0.000000,0.533333,81,157,0
0,51,11,0.119565,0.000000,0.300000,81,152,0
0,52,11,0.119565,0.000000,0.766667,81,166,0
0,53,11,0.119565,0.000000,0.766667,81,162,0
0,54,13,0.141304,0.000000,0.766667,79,152,0
0,55,13,0.141304,0.000000,0.766667,79,152,0
0,56,13,0.141304,0.000000,0.766667,79,156,0
0,57,23,0.250000,0.000000,0.533333,69,101,0
0,58,23,0.250000,0.100000,1.000000,69,106,0
0,59,23,0.250000,-0.000000,0.533333,69,103,0
0,60,6,0.065217,0.000000,0.000000,86,172,0
0,61,6,0.065217,0.000000,0.000000,86,175,0
0,62,8,0.086957,0.000000,0.300000,84,159,0
0,63,8,0.086957,-0.000000,0.000000,84,168,0
0,64,8,0.086957,0.000000,0.600000,84,169,0
0,65,8,0.086957,0.000000,0.600000,84,164,0
0,66,10,0.108696,0.000000,0.600000,82,149,0
0,67,10,0.108696,0.000000,0.600000,82,145,0
0,68,10,0.108696,0.000000,0.600000,82,152,0
0,69,7,0.076087,0.000000,0.100000,85,177,0
0,70,7,0.076087,0.000000,0.100000,85,177,0
0,71,9,0.097826,0.000000,0.300000,83,162,0
0,72,9,0.097826,0.000000,0.100000,83,162,0
0,73,9,0.097826,0.000000,0.500000,83,175,0
0,74,9,0.097826,0.000000,0.500000,83,171,0
0,75,11,0.119565,-0.000000,0.500000,81,154,0
0,76,11,0.119565,0.000000,0.500000,81,158,0
0,77,11,0.119565,0.000000,0.500000,81,155,0
0,78,6,0.065217,0.000000,0.000000,86,185,0
0,79,6,0.065217,0.000000,0.000000,86,188,0
0,80,7,0.076087,0.000000,0.100000,85,175,0
0,81,7,0.076087,0.000000,0.000000,85,180,0
0,82,7,0.076087,0.000000,0.200000,85,181,0
0,83,7,0.076087,0.000000,0.200000,85,181,0
0,84,8,0.086957,0.000000,0.200000,84,171,0
0,85,8,0.086957,0.000000,0.200000,84,170,0
0,86,8,0.086957,0.000000,0.200000,84,176,0
0,87,13,0.141304,0.000000,0.100000,79,140,0
0,88,13,0.141304,0.000000,0.300000,79,128,0
0,89,13,0.141304,0.000000,0.100000,79,139,0
0,90,32,0.347826,0.000000,0.300000,60,69,0
0,91,32,0.347826,0.300000,1.000000,60,53,0
0,92,32,0.347826,0.000000,0.300000,60,79,0
