cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,4.090596,434,-0.402049,0.014506,0.001989,0.026350,0.056139
1,4.068960,435,-0.356761,0.014429,0.001722,0.006814,0.021020
2,4.037061,436,-0.389983,0.014316,0.002103,0.006474,0.025125
3,3.973443,437,-0.292329,0.014090,0.002127,0.009127,0.202353
4,3.973443,438,-0.295614,0.014090,0.002114,0.003733,0.048333
5,3.973195,439,-0.338300,0.014089,0.002095,0.005341,0.063975
6,3.972638,440,-0.270309,0.014087,0.002218,0.004999,0.217696
7,3.972638,441,-0.267838,0.014087,0.002177,0.004866,0.226531
8,3.969634,442,-0.260326,0.014077,0.001983,0.004240,0.284558
9,3.967689,443,-0.259173,0.014070,0.001945,0.007278,0.268126
10,3.967689,444,-0.248178,0.014070,0.001972,0.004073,0.256344
11,3.967151,445,-0.252947,0.014068,0.001905,0.004522,0.027328
12,3.951617,446,-0.250164,0.014013,0.001939,0.005174,0.033918
13,3.945806,447,-0.242108,0.013992,0.001809,0.005126,0.017022
14,3.935150,448,-0.208297,0.013954,0.002489,0.005798,0.148417
15,3.935150,449,-0.205354,0.013954,0.002459,0.004107,0.166125
16,3.934474,450,-0.219566,0.013952,0.002350,0.005737,0.042904
17,3.934474,451,-0.214396,0.013952,0.002345,0.002274,0.016813
18,3.928743,452,-0.183530,0.013932,0.002472,0.005146,0.166286
19,3.928089,453,-0.193742,0.013929,0.002369,0.004975,0.031581
20,3.912403,454,-0.169767,0.013874,0.002469,0.004633,0.117993
21,3.912403,455,-0.140310,0.013874,0.002558,0.003988,0.107845
22,3.912403,456,-0.069767,0.013874,0.002558,0.003130,0.110997
23,3.912403,457,-0.069767,0.013874,0.002488,0.004054,0.122086
24,3.912403,458,-0.069767,0.013874,0.002488,0.006100,0.112023
25,3.912403,459,-0.069767,0.013874,0.002454,0.006649,0.130518
26,3.912403,460,-0.069767,0.013874,0.002419,0.003683,0.127014
27,3.912403,461,-0.069767,0.013874,0.002419,0.004990,0.126045
28,3.912403,462,-0.069767,0.013874,0.002367,0.003106,0.121476
29,3.912403,463,-0.069767,0.013874,0.002350,0.005111,0.116745
30,3.912403,464,-0.069767,0.013874,0.002315,0.004234,0.136424
31,3.912403,465,-0.069767,0.013874,0.002350,0.003505,0.127154
32,3.912403,466,-0.069767,0.013874,0.002315,0.004849,0.125981
33,3.912403,467,-0.069767,0.013874,0.002350,0.005358,0.135714
34,3.912403,468,-0.069767,0.013874,0.002245,0.006571,0.020209
35,3.909231,469,-0.026562,0.013863,0.002355,0.003540,0.148189
36,3.909102,470,-0.024020,0.013862,0.002346,0.003874,0.169160
37,3.909102,471,-0.024020,0.013862,0.002343,0.003152,0.170899
38,3.908992,472,-0.015107,0.013862,0.002375,0.003860,0.181763
39,3.908909,473,-0.015929,0.013861,0.002387,0.004597,0.016192
40,3.908855,474,-0.016054,0.013861,0.002367,0.002500,0.022905
41,3.908737,475,-0.014885,0.013861,0.002410,0.003002,0.190552
42,3.908712,476,-0.010891,0.013861,0.002398,0.003203,0.177602
43,3.908712,477,-0.010891,0.013861,0.002399,0.005051,0.017100
44,3.908712,478,-0.010245,0.013861,0.002393,0.002753,0.165004
45,3.908563,479,0.000000,0.013860,0.002466,0.003163,0.130433
