cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,4.090596,434,-0.412129,0.014506,0.001989,0.026997,0.108946
1,4.090457,435,-0.403205,0.014505,0.002046,0.006998,0.144005
2,4.086882,436,-0.336636,0.014492,0.001935,0.007492,0.151065
3,4.073104,437,-0.350860,0.014444,0.002030,0.007014,0.131338
4,4.073095,438,-0.329134,0.014444,0.002008,0.005593,0.127232
5,4.066081,439,-0.315445,0.014419,0.001897,0.004463,0.125744
6,4.066081,440,-0.315445,0.014419,0.001854,0.005422,0.144004
7,4.065689,441,-0.291975,0.014417,0.001826,0.005830,0.140294
8,4.054984,442,-0.328007,0.014379,0.001951,0.006610,0.121484
9,4.054740,443,-0.307785,0.014379,0.001948,0.004287,0.128759
10,4.046090,444,-0.327547,0.014348,0.002142,0.008150,0.124152
11,4.041359,445,-0.348317,0.014331,0.002051,0.005677,0.132608
12,4.040953,446,-0.261274,0.014330,0.002026,0.004855,0.140005
13,4.039943,447,-0.290983,0.014326,0.001970,0.007292,0.127886
14,4.039943,448,-0.287055,0.014326,0.001928,0.015002,0.156270
15,4.036696,449,-0.271080,0.014315,0.002004,0.005383,0.142484
16,4.034038,450,-0.295093,0.014305,0.002074,0.008421,0.140827
17,4.033156,451,-0.237879,0.014302,0.001918,0.007296,0.164576
18,4.031562,452,-0.300959,0.014296,0.002049,0.004989,0.150965
19,4.031315,453,-0.261541,0.014295,0.001954,0.004631,0.150968
20,4.029581,454,-0.287814,0.014289,0.002005,0.005254,0.145696
21,4.026408,455,-0.262847,0.014278,0.001944,0.005443,0.147630
22,4.026256,456,-0.253106,0.014278,0.001893,0.005213,0.151610
23,4.026002,457,-0.223355,0.014277,0.001748,0.004953,0.169390
24,4.026002,458,-0.223355,0.014277,0.001537,0.003565,0.151872
25,4.026002,459,-0.223355,0.014277,0.001492,0.003112,0.172589
26,4.025600,460,-0.255145,0.014275,0.001698,0.006078,0.150792
27,4.024497,461,-0.228867,0.014271,0.001571,0.007494,0.155225
28,4.023748,462,-0.235447,0.014269,0.001686,0.006051,0.164152
29,4.023748,463,-0.235447,0.014269,0.001549,0.008375,0.142972
30,4.023093,464,-0.244778,0.014266,0.001684,0.004783,0.163253
31,4.022477,465,-0.297457,0.014264,0.001726,0.005619,0.152680
32,4.021434,466,-0.227270,0.014260,0.001634,0.006889,0.174913
33,4.020068,467,-0.248945,0.014256,0.001870,0.007560,0.171917
34,4.019591,468,-0.227193,0.014254,0.001787,0.006801,0.188814
35,4.018444,469,-0.255230,0.014250,0.001736,0.008279,0.180848
36,4.016984,470,-0.261601,0.014245,0.001802,0.006925,0.163008
37,4.014297,471,-0.247468,0.014235,0.001553,0.006568,0.180053
38,4.011019,472,-0.262128,0.014223,0.001685,0.007910,0.188867
39,4.008732,473,-0.255469,0.014215,0.001803,0.006467,0.161179
40,4.007949,474,-0.238074,0.014213,0.001926,0.004902,0.153733
41,4.005783,475,-0.239285,0.014205,0.001975,0.008152,0.167294
42,4.004081,476,-0.222891,0.014199,0.002022,0.006412,0.168643
43,4.001277,477,-0.313424,0.014189,0.002050,0.006467,0.144390
44,4.000256,478,-0.311290,0.014185,0.001869,0.007096,0.163311
45,3.999885,479,-0.284688,0.014184,0.001706,0.004869,0.191421
46,3.999404,480,-0.265287,0.014182,0.001780,0.005538,0.169708
47,3.999105,481,-0.254328,0.014181,0.001716,0.005535,0.176752
48,3.998790,482,-0.265690,0.014180,0.001737,0.007899,0.169853
49,3.998636,483,-0.232914,0.014180,0.001736,0.004627,0.162146
50,3.998092,484,-0.272422,0.014178,0.001854,0.008528,0.159615
51,3.997663,485,-0.227858,0.014176,0.001850,0.007156,0.189389
52,3.996785,486,-0.277590,0.014173,0.001759,0.005889,0.167785
53,3.996292,487,-0.240468,0.014171,0.001769,0.008577,0.167755
