iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,16,0.056940,0.015327,0.300192,265,151,0.019645
0,1,16,0.056940,0.022725,0.100409,265,88,0.579129
0,2,24,0.085409,0.053612,0.799462,257,121,0.068719
0,3,24,0.085409,0.046797,0.807966,257,82,0.059984
0,4,24,0.085409,0.000000,1.591549,257,97,0.000000
0,5,24,0.085409,0.000000,1.506994,257,87,0.000000
0,6,32,0.113879,0.297461,1.526017,249,69,0.381281
0,7,32,0.113879,0.351072,1.645161,249,68,0.450000
0,8,32,0.113879,0.212988,1.449703,249,60,0.273005
0,9,20,0.071174,0.000000,0.595721,261,98,0.000000
0,10,20,0.071174,0.018826,0.437627,261,91,0.574131
0,11,28,0.099644,0.000000,0.870747,253,93,0.000000
0,12,28,0.099644,0.000000,0.713544,253,84,0.000000
0,13,28,0.099644,0.123731,1.402639,253,92,0.708597
0,14,28,0.099644,0.000000,1.295781,253,93,0.000000
0,15,36,0.128114,0.158779,1.252680,245,82,0.753521
0,16,36,0.128114,0.000000,1.477794,245,75,0.000000
0,17,36,0.128114,0.139419,1.197698,245,78,0.728705
0,18,16,0.056940,0.000000,0.522489,265,153,0.000000
0,19,16,0.056940,0.000000,0.455362,265,157,0.000000
0,20,20,0.071174,0.021544,0.805718,261,150,0.027615
0,21,20,0.071174,0.000000,0.865459,261,145,0.000000
0,22,20,0.071174,0.000000,1.006929,261,147,0.000000
0,23,20,0.071174,0.105967,1.003793,261,152,0.135827
0,24,24,0.085409,0.000000,1.150340,257,146,0.000000
0,25,24,0.085409,0.000000,1.006929,257,145,0.000000
0,26,24,0.085409,0.000000,1.129009,257,137,0.000000
0,27,44,0.156584,0.105967,0.717814,237,65,0.685827
0,28,44,0.156584,0.052812,1.481016,237,107,0.067694
0,29,44,0.156584,0.096341,0.717881,237,59,0.123489
0,30,18,0.064057,0.000000,0.307385,263,99,0.000000
0,31,18,0.064057,0.000000,0.285423,263,84,0.000000
0,32,26,0.092527,0.000000,0.709245,255,93,0.000000
0,33,26,0.092527,0.000000,0.832976,255,81,0.000000
0,34,26,0.092527,0.000000,1.231417,255,90,0.000000
0,35,26,0.092527,0.000000,1.209455,255,80,0.000000
0,36,34,0.120996,0.096053,1.300768,247,79,0.123120
0,37,34,0.120996,0.000000,1.285029,247,71,0.000000
0,38,34,0.120996,0.182506,1.247665,247,75,0.233934
0,39,22,0.078292,0.000000,0.514511,259,82,0.000000
0,40,22,0.078292,0.000000,0.521648,259,78,0.000000
0,41,30,0.106762,0.000000,0.884706,251,81,0.000000
0,42,30,0.106762,0.000000,0.797564,251,77,0.000000
0,43,30,0.106762,0.000000,1.147225,251,93,0.000000
0,44,30,0.106762,0.000000,1.135535,251,82,0.000000
0,45,38,0.135231,0.005283,1.159441,243,80,0.556771
0,46,38,0.135231,0.136384,1.222380,243,72,0.724815
0,47,38,0.135231,0.072998,1.219958,243,80,0.643568
0,48,18,0.064057,0.000000,0.515469,263,117,0.000000
0,49,18,0.064057,0.000000,0.493508,263,131,0.000000
0,50,22,0.078292,0.000000,0.638694,259,114,0.000000
0,51,22,0.078292,0.032574,0.743600,259,121,0.041753
0,52,22,0.078292,0.000000,0.867305,259,125,0.000000
0,53,22,0.078292,0.000000,0.864169,259,131,0.000000
0,54,26,0.092527,0.000000,0.955482,255,120,0.000000
0,55,26,0.092527,0.000000,0.867305,255,119,0.000000
0,56,26,0.092527,0.000000,0.902379,255,118,0.000000
0,57,46,0.163701,0.121748,0.804657,235,65,0.706055
0,58,46,0.163701,0.075309,1.136223,235,84,0.096530
0,59,46,0.163701,0.030368,0.713344,235,77,0.038925
0,60,12,0.042705,0.000000,0.259705,269,199,0.000000
0,61,12,0.042705,0.000000,0.081884,269,188,0.000000
0,62,16,0.056940,0.000000,0.357116,265,179,0.000000
0,63,16,0.056940,0.000000,0.241889,265,172,0.000000
0,64,16,0.056940,0.000000,0.627031,265,182,0.000000
0,65,16,0.056940,0.000000,0.564437,265,180,0.000000
0,66,20,0.071174,0.000000,0.492147,261,169,0.000000
0,67,20,0.071174,0.000000,0.627031,261,171,0.000000
0,68,20,0.071174,0.000000,0.468937,261,160,0.000000
0,69,14,0.049822,0.000000,0.348648,267,181,0.000000
