cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.821651,431,-0.098403,0.042114,0.001015,0.009590,0.096976
1,2.818862,432,-0.078963,0.042073,0.001010,0.002221,0.080891
2,2.812913,433,-0.091105,0.041984,0.000991,0.002678,0.092776
3,2.807446,434,-0.067853,0.041902,0.001003,0.003263,0.105706
4,2.805518,435,-0.067269,0.041873,0.001000,0.001983,0.118830
5,2.803953,436,-0.072610,0.041850,0.000942,0.003469,0.119619
6,2.802153,437,-0.059400,0.041823,0.000961,0.001969,0.106747
7,2.801602,438,-0.059111,0.041815,0.000979,0.001991,0.105765
8,2.800370,439,-0.053522,0.041797,0.000932,0.001943,0.102306
9,2.799520,440,-0.059846,0.041784,0.000992,0.002569,0.096388
10,2.799022,441,-0.055457,0.041776,0.000919,0.001454,0.119995
11,2.797891,442,-0.053163,0.041760,0.000932,0.002038,0.115975
12,2.797725,443,-0.063053,0.041757,0.000941,0.001826,0.105462
13,2.797391,444,-0.056608,0.041752,0.000882,0.002127,0.144181
14,2.797293,445,-0.053226,0.041751,0.000902,0.001815,0.109762
15,2.797057,446,-0.057426,0.041747,0.000913,0.001196,0.090208
16,2.796763,447,-0.060153,0.041743,0.000898,0.001363,0.109043
17,2.796038,448,-0.046196,0.041732,0.000870,0.001895,0.099754
18,2.796006,449,-0.055347,0.041731,0.000947,0.001294,0.111287
19,2.795532,450,-0.065077,0.041724,0.000984,0.001236,0.111371
20,2.794569,451,-0.054414,0.041710,0.000932,0.002051,0.095125
21,2.793916,452,-0.040077,0.041700,0.000831,0.001405,0.115836
22,2.793424,453,-0.039020,0.041693,0.000848,0.002040,0.113693
23,2.793118,454,-0.059254,0.041688,0.000856,0.001316,0.115265
24,2.792218,455,-0.044350,0.041675,0.000831,0.002060,0.117558
25,2.791766,456,-0.048357,0.041668,0.000899,0.000940,0.112570
26,2.790454,457,-0.038344,0.041649,0.000876,0.002475,0.124492
27,2.789790,458,-0.041675,0.041639,0.000865,0.002216,0.117257
28,2.789106,459,-0.042570,0.041628,0.000927,0.002108,0.101133
29,2.788808,460,-0.031571,0.041624,0.000869,0.001444,0.116783
30,2.788301,461,-0.032956,0.041616,0.000847,0.001190,0.118620
31,2.787904,462,-0.039109,0.041611,0.000888,0.001874,0.090926
32,2.787390,463,-0.033029,0.041603,0.000876,0.001579,0.108143
33,2.786979,464,-0.041289,0.041597,0.000870,0.001206,0.092384
34,2.785972,465,-0.031362,0.041582,0.000837,0.001469,0.127566
35,2.785543,466,-0.028677,0.041575,0.000854,0.001644,0.133708
36,2.785437,467,-0.036424,0.041574,0.000850,0.001421,0.110342
37,2.784860,468,-0.032986,0.041565,0.000874,0.002267,0.096483
38,2.784332,469,-0.039622,0.041557,0.000891,0.002369,0.110753
39,2.783877,470,-0.035489,0.041550,0.000882,0.001575,0.118579
40,2.783776,471,-0.039695,0.041549,0.000864,0.001094,0.113961
41,2.783448,472,-0.032238,0.041544,0.000866,0.001619,0.115603
42,2.783344,473,-0.023211,0.041542,0.000836,0.001044,0.160469
43,2.783258,474,-0.026263,0.041541,0.000820,0.001030,0.110382
44,2.783055,475,-0.034882,0.041538,0.000838,0.001411,0.113195
45,2.782782,476,-0.039108,0.041534,0.000817,0.001323,0.108659
46,2.782173,477,-0.038240,0.041525,0.000786,0.001473,0.115013
47,2.781656,478,-0.033376,0.041517,0.000848,0.001097,0.106006
48,2.781265,479,-0.023386,0.041511,0.000821,0.000900,0.108269
49,2.780620,480,-0.028212,0.041502,0.000805,0.001385,0.122167
50,2.779381,481,-0.021226,0.041483,0.000814,0.001263,0.108370
51,2.779092,482,-0.022100,0.041479,0.000836,0.001542,0.105611
52,2.778890,483,-0.040976,0.041476,0.000830,0.000982,0.093625
53,2.778564,484,-0.031891,0.041471,0.000838,0.001298,0.099949
54,2.778491,485,-0.025067,0.041470,0.000842,0.001205,0.103673
55,2.778306,486,-0.018120,0.041467,0.000800,0.000793,0.131552
56,2.777912,487,-0.019246,0.041461,0.000821,0.001124,0.098465
57,2.777727,488,-0.018905,0.041459,0.000810,0.001366,0.119492
58,2.777391,489,-0.024926,0.041454,0.000823,0.000863,0.097690
59,2.777117,490,-0.020588,0.041450,0.000797,0.001591,0.106383
60,2.777021,491,-0.011218,0.041448,0.000771,0.000671,0.103589
61,2.776585,492,-0.012389,0.041442,0.000770,0.000702,0.108486
62,2.776311,493,-0.011214,0.041437,0.000769,0.001022,0.119329
63,2.776036,494,-0.015570,0.041433,0.000766,0.000815,0.121871
64,2.775499,495,-0.016129,0.041425,0.000760,0.000740,0.112652
65,2.774717,496,-0.016065,0.041414,0.000759,0.000699,0.104345
66,2.774318,497,-0.009255,0.041408,0.000748,0.000689,0.101983
67,2.774120,498,0.000000,0.041405,0.000739,0.000704,0.095776
