cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.821651,431,-0.098403,0.042114,0.001015,0.009614,0.097806
1,2.818862,432,-0.078963,0.042073,0.001010,0.002502,0.168377
2,2.812913,433,-0.077432,0.041984,0.000991,0.002486,0.007566
3,2.811683,434,-0.080053,0.041965,0.000914,0.001460,0.068373
4,2.807169,435,-0.074695,0.041898,0.000961,0.001761,0.006779
5,2.802774,436,-0.070315,0.041832,0.001207,0.002490,0.166366
6,2.802393,437,-0.065661,0.041827,0.001060,0.001589,0.210186
7,2.801362,438,-0.066420,0.041811,0.001101,0.001422,0.035093
8,2.800867,439,-0.071721,0.041804,0.000998,0.001316,0.043202
9,2.800327,440,-0.060723,0.041796,0.000961,0.001450,0.230274
10,2.798967,441,-0.068931,0.041776,0.000974,0.002348,0.011734
11,2.796731,442,-0.046229,0.041742,0.000960,0.002373,0.231286
12,2.795758,443,-0.061778,0.041728,0.000914,0.001639,0.003948
13,2.794158,444,-0.049131,0.041704,0.001004,0.001925,0.015893
14,2.793382,445,-0.043822,0.041692,0.000979,0.001389,0.206603
15,2.793332,446,-0.044291,0.041692,0.000940,0.001160,0.032182
16,2.791985,447,-0.057984,0.041671,0.001009,0.001349,0.009085
17,2.791221,448,-0.039793,0.041660,0.000932,0.001826,0.254680
18,2.790278,449,-0.042742,0.041646,0.000921,0.001888,0.009895
19,2.789539,450,-0.046426,0.041635,0.000921,0.001715,0.009800
20,2.788862,451,-0.039878,0.041625,0.000955,0.001568,0.029213
21,2.787913,452,-0.057680,0.041611,0.000961,0.001325,0.097677
22,2.786776,453,-0.066403,0.041594,0.000913,0.001909,0.038581
23,2.785890,454,-0.042121,0.041580,0.000896,0.001605,0.064735
24,2.783667,455,-0.038203,0.041547,0.000913,0.001479,0.073651
25,2.783584,456,-0.050669,0.041546,0.000930,0.001146,0.004213
26,2.783460,457,-0.039306,0.041544,0.000958,0.001811,0.019598
27,2.782578,458,-0.038231,0.041531,0.001160,0.001341,0.003960
28,2.782571,459,-0.037335,0.041531,0.001011,0.000869,0.004182
29,2.782296,460,-0.039997,0.041527,0.000882,0.001702,0.050648
30,2.781732,461,-0.038967,0.041518,0.000900,0.002621,0.061804
31,2.781666,462,-0.037574,0.041517,0.000907,0.001237,0.103730
32,2.781394,463,-0.050265,0.041513,0.000978,0.001556,0.093164
33,2.780766,464,-0.041417,0.041504,0.000887,0.001385,0.001825
34,2.780435,465,-0.033548,0.041499,0.000873,0.001227,0.250367
35,2.779564,466,-0.033315,0.041486,0.000862,0.001220,0.047248
36,2.778114,467,-0.039583,0.041464,0.000860,0.001038,0.081015
37,2.778080,468,-0.030714,0.041464,0.000878,0.000834,0.222366
38,2.778080,469,-0.030055,0.041464,0.000818,0.000946,0.243072
39,2.777938,470,-0.034527,0.041462,0.000878,0.001372,0.159607
40,2.777938,471,-0.035038,0.041462,0.000874,0.000817,0.125157
41,2.777313,472,-0.027596,0.041452,0.000843,0.000856,0.295512
42,2.776704,473,-0.033282,0.041443,0.000872,0.001298,0.019382
43,2.776409,474,-0.034348,0.041439,0.000861,0.000912,0.010655
44,2.776068,475,-0.026950,0.041434,0.000807,0.000641,0.283240
45,2.775846,476,-0.016343,0.041431,0.000771,0.001024,0.301504
46,2.775169,477,-0.016214,0.041420,0.000759,0.001055,0.353188
47,2.774596,478,-0.011017,0.041412,0.000759,0.000909,0.362910
48,2.774318,479,-0.009255,0.041408,0.000748,0.000840,0.458730
49,2.774120,480,0.000000,0.041405,0.000739,0.000892,0.452190
