iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,8,0.121212,0.057190,0.449482,58,154,0
0,1,8,0.121212,0.078067,0.418603,58,141,1
0,2,8,0.121212,0.068235,0.418603,58,141,0
0,3,8,0.121212,0.057250,0.444345,58,145,1
0,4,8,0.121212,0.079192,0.444345,58,145,0
0,5,8,0.121212,0.048289,0.420227,58,143,0
0,6,8,0.121212,0.070231,0.413465,58,128,1
0,7,8,0.121212,0.093607,0.406731,58,113,0
0,8,8,0.121212,0.068235,0.279411,58,123,1
0,9,8,0.121212,0.045580,0.331724,58,110,0
0,10,8,0.121212,0.074584,0.404342,58,118,1
0,11,8,0.121212,0.056995,0.428383,58,113,0
0,12,8,0.121212,0.074101,0.329535,58,114,0
0,13,8,0.121212,0.052642,0.383977,58,113,1
0,14,6,0.090909,0.045864,0.404352,60,185,0
0,15,6,0.090909,0.064468,0.408832,60,192,1
0,16,6,0.090909,0.022372,0.394620,60,186,0
0,17,6,0.090909,0.064828,0.373894,60,192,1
0,18,6,0.090909,0.052642,0.356814,60,196,0
0,19,6,0.090909,0.000000,0.370924,60,199,0
0,20,6,0.090909,0.052159,0.342769,60,200,1
0,21,14,0.212121,0.103001,0.466583,52,87,0
0,22,8,0.121212,0.047117,0.325194,58,113,0
0,23,8,0.121212,0.023373,0.360300,58,114,1
0,24,8,0.121212,0.019237,0.313426,58,115,0
0,25,8,0.121212,0.068451,0.393024,58,111,1
0,26,8,0.121212,0.068962,0.369855,58,113,0
0,27,8,0.121212,0.056263,0.340165,58,114,0
0,28,8,0.121212,0.073610,0.349050,58,109,1
0,29,8,0.121212,0.023445,0.316983,58,109,0
0,30,8,0.121212,0.058447,0.278594,58,108,1
0,31,8,0.121212,0.064190,0.286253,58,104,0
0,32,8,0.121212,0.021076,0.344074,58,109,1
0,33,8,0.121212,0.017836,0.367663,58,106,0
0,34,8,0.121212,0.011828,0.323452,58,110,0
0,35,8,0.121212,0.026502,0.330948,58,106,0
0,36,6,0.090909,0.011637,0.332055,60,140,0
0,37,6,0.090909,0.024373,0.360252,60,141,0
0,38,6,0.090909,0.007758,0.331572,60,139,0
0,39,6,0.090909,0.025921,0.371668,60,136,0
0,40,6,0.090909,0.041738,0.327320,60,138,0
0,41,6,0.090909,0.036891,0.298316,60,136,0
0,42,6,0.090909,0.015933,0.320332,60,135,0
0,43,14,0.212121,0.079009,0.406909,52,100,0
0,44,5,0.075758,0.028470,0.347749,61,208,0
0,45,5,0.075758,0.000000,0.330393,61,206,0
0,46,5,0.075758,0.035387,0.326313,61,198,0
0,47,5,0.075758,0.047058,0.333763,61,205,1
0,48,5,0.075758,0.045739,0.366042,61,206,0
0,49,5,0.075758,0.044734,0.359942,61,206,0
0,50,5,0.075758,0.057232,0.331292,61,198,1
0,51,5,0.075758,0.031829,0.318521,61,209,0
0,52,5,0.075758,0.000000,0.262153,61,213,0
0,53,5,0.075758,0.000000,0.317303,61,215,0
0,54,5,0.075758,0.000000,0.345857,61,205,0
0,55,5,0.075758,0.000000,0.360318,61,215,0
0,56,5,0.075758,0.000000,0.292941,61,211,0
0,57,5,0.075758,0.010859,0.380257,61,203,1
0,58,4,0.060606,0.021076,0.334934,62,221,0
0,59,4,0.060606,0.004243,0.343047,62,220,1
0,60,4,0.060606,0.000000,0.325686,62,221,0
0,61,4,0.060606,0.001069,0.296693,62,223,1
0,62,4,0.060606,0.013900,0.302990,62,226,0
0,63,4,0.060606,0.046452,0.346103,62,231,1
0,64,4,0.060606,0.017836,0.285075,62,225,1
0,65,8,0.121212,0.086234,0.340654,58,146,1
0,66,22,0.333333,0.176403,0.492120,44,80,0
1,0,8,0.121212,0.054751,0.425671,58,154,0
1,1,8,0.121212,0.072815,0.411239,58,142,1
1,2,8,0.121212,0.072754,0.411239,58,141,0
1,3,8,0.121212,0.060919,0.438092,58,146,1
1,4,8,0.121212,0.070523,0.438092,58,145,0
1,5,8,0.121212,0.053033,0.429532,58,143,0
1,6,8,0.121212,0.062637,0.423660,58,129,1
1,7,8,0.121212,0.085100,0.406564,58,113,0
1,8,8,0.121212,0.061644,0.301338,58,124,1
1,9,8,0.121212,0.053033,0.357850,58,110,0
1,10,8,0.121212,0.064825,0.375290,58,119,1
1,11,8,0.121212,0.055222,0.410120,58,113,0
1,12,8,0.121212,0.078145,0.327855,58,114,0
1,13,8,0.121212,0.053033,0.367724,58,114,1
1,14,6,0.090909,0.061687,0.382692,60,185,0
1,15,6,0.090909,0.056111,0.398147,60,193,1
1,16,6,0.090909,0.035949,0.387916,60,186,0
1,17,6,0.090909,0.075793,0.387001,60,193,1
1,18,6,0.090909,0.046092,0.372191,60,196,0
1,19,6,0.090909,0.005285,0.398097,60,199,0
1,20,6,0.090909,0.030894,0.369036,60,201,1
1,21,14,0.212121,0.118456,0.479369,52,87,0
1,22,8,0.121212,0.050688,0.324052,58,113,0
1,23,8,0.121212,0.028045,0.357238,58,115,1
1,24,8,0.121212,0.021408,0.334155,58,115,0
1,25,8,0.121212,0.067708,0.392105,58,112,1
1,26,8,0.121212,0.061638,0.350223,58,113,0
1,27,8,0.121212,0.055938,0.343620,58,114,0
1,28,8,0.121212,0.061145,0.378896,58,110,1
1,29,8,0.121212,0.019361,0.337181,58,109,0
1,30,8,0.121212,0.053267,0.293772,58,109,1
1,31,8,0.121212,0.054144,0.282126,58,104,0
1,32,8,0.121212,0.016447,0.342692,58,110,1
1,33,8,0.121212,0.040810,0.359278,58,106,0
1,34,8,0.121212,0.008350,0.316929,58,110,0
1,35,8,0.121212,0.051377,0.329368,58,106,1
1,36,6,0.090909,0.004102,0.324241,60,140,0
1,37,6,0.090909,0.037218,0.375320,60,141,1
1,38,6,0.090909,0.000000,0.337561,60,139,0
1,39,6,0.090909,0.007955,0.377509,60,136,1
1,40,6,0.090909,0.025810,0.315630,60,138,0
1,41,6,0.090909,0.049405,0.303839,60,136,0
1,42,6,0.090909,0.043069,0.331139,60,135,1
1,43,14,0.212121,0.068053,0.380946,52,100,0
1,44,5,0.075758,0.014311,0.339528,61,208,0
1,45,5,0.075758,0.019330,0.319662,61,206,0
1,46,5,0.075758,0.037875,0.319662,61,198,0
1,47,5,0.075758,0.044519,0.346557,61,206,0
1,48,5,0.075758,0.072785,0.370738,61,206,0
1,49,5,0.075758,0.049187,0.362135,61,206,0
1,50,5,0.075758,0.064289,0.340797,61,199,0
1,51,5,0.075758,0.039415,0.314987,61,209,0
1,52,5,0.075758,0.000000,0.250258,61,213,0
1,53,5,0.075758,0.000000,0.344667,61,215,0
1,54,5,0.075758,0.000000,0.316298,61,205,0
1,55,5,0.075758,0.000000,0.353937,61,215,0
1,56,5,0.075758,0.000000,0.299682,61,211,0
1,57,5,0.075758,0.000000,0.366851,61,204,0
1,58,4,0.060606,0.016447,0.311827,62,221,0
1,59,4,0.060606,0.000000,0.315618,62,221,0
1,60,4,0.060606,0.000000,0.303731,62,221,0
1,61,4,0.060606,0.007694,0.302284,62,224,0
1,62,4,0.060606,0.006097,0.309937,62,226,0
1,63,4,0.060606,0.026365,0.347635,62,232,0
1,64,4,0.060606,0.012533,0.291274,62,226,0
1,65,8,0.121212,0.079317,0.341619,58,147,0
1,66,22,0.333333,0.174060,0.490163,44,80,1
2,0,8,0.121212,0.062908,0.403087,58,154,0
2,1,8,0.121212,0.051579,0.401163,58,143,0
2,2,8,0.121212,0.061822,0.401163,58,141,0
2,3,8,0.121212,0.086427,0.431278,58,147,1
2,4,8,0.121212,0.082987,0.431278,58,145,0
2,5,8,0.121212,0.061822,0.429354,58,143,0
2,6,8,0.121212,0.059468,0.429354,58,130,1
2,7,8,0.121212,0.067994,0.406086,58,113,0
2,8,8,0.121212,0.079322,0.335925,58,125,1
2,9,8,0.121212,0.059503,0.367213,58,110,1
2,10,8,0.121212,0.056234,0.386925,58,120,1
2,11,8,0.121212,0.059674,0.385374,58,113,0
2,12,8,0.121212,0.059503,0.344533,58,114,0
2,13,8,0.121212,0.061822,0.382874,58,115,1
2,14,6,0.090909,0.056484,0.379175,60,185,0
2,15,6,0.090909,0.067994,0.402018,60,194,0
2,16,6,0.090909,0.059503,0.396357,60,186,0
2,17,6,0.090909,0.044724,0.382174,60,194,0
2,18,6,0.090909,0.014270,0.376514,60,196,0
2,19,6,0.090909,0.038810,0.394123,60,199,0
