cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.379741,434,-0.368590,0.016731,0.000596,0.036406,0.222137
1,3.368071,435,-0.381970,0.016674,0.000548,0.018492,0.203575
2,3.356469,436,-0.352992,0.016616,0.000549,0.020144,0.228372
3,3.352789,437,-0.298563,0.016598,0.000534,0.017047,0.287243
4,3.348994,438,-0.312026,0.016579,0.000532,0.013868,0.332919
5,3.345972,439,-0.305996,0.016564,0.000483,0.015566,0.286391
6,3.343716,440,-0.307461,0.016553,0.000450,0.013890,0.361434
7,3.340685,441,-0.325537,0.016538,0.000462,0.012097,0.278854
8,3.338550,442,-0.329635,0.016527,0.000482,0.013583,0.300303
9,3.335269,443,-0.297916,0.016511,0.000472,0.016689,0.296306
10,3.332934,444,-0.299651,0.016500,0.000491,0.018419,0.304972
11,3.331104,445,-0.296275,0.016491,0.000477,0.016843,0.350790
12,3.328579,446,-0.262868,0.016478,0.000446,0.015938,0.319615
13,3.327481,447,-0.296744,0.016473,0.000429,0.012231,0.403665
14,3.326625,448,-0.284283,0.016468,0.000432,0.016838,0.408191
15,3.325374,449,-0.297616,0.016462,0.000466,0.019606,0.335817
16,3.324216,450,-0.296890,0.016457,0.000423,0.012908,0.323794
17,3.322439,451,-0.280077,0.016448,0.000431,0.014706,0.420620
18,3.321069,452,-0.285804,0.016441,0.000430,0.014878,0.418432
19,3.319487,453,-0.281760,0.016433,0.000384,0.022829,0.495346
20,3.318613,454,-0.312575,0.016429,0.000407,0.018771,0.362582
21,3.316486,455,-0.306917,0.016418,0.000488,0.020510,0.358178
22,3.315363,456,-0.301887,0.016413,0.000495,0.015688,0.352620
23,3.313781,457,-0.275775,0.016405,0.000482,0.020173,0.293169
24,3.312849,458,-0.272710,0.016400,0.000483,0.016550,0.376273
25,3.312171,459,-0.285619,0.016397,0.000446,0.019628,0.458605
26,3.311735,460,-0.244969,0.016395,0.000407,0.017090,0.533891
27,3.311045,461,-0.241444,0.016391,0.000431,0.015791,0.594942
28,3.310301,462,-0.249608,0.016388,0.000405,0.019405,0.462128
29,3.309703,463,-0.268951,0.016385,0.000399,0.021946,0.475546
30,3.309151,464,-0.275349,0.016382,0.000409,0.018456,0.427314
31,3.308498,465,-0.251110,0.016379,0.000382,0.016753,0.535913
32,3.307745,466,-0.273795,0.016375,0.000439,0.018768,0.445437
33,3.306841,467,-0.254963,0.016371,0.000355,0.020487,0.471491
34,3.306251,468,-0.300508,0.016368,0.000445,0.015937,0.410711
35,3.305424,469,-0.269616,0.016363,0.000395,0.014536,0.573848
36,3.304568,470,-0.266399,0.016359,0.000437,0.016692,0.431509
37,3.303829,471,-0.278566,0.016356,0.000442,0.018199,0.419324
38,3.303021,472,-0.252204,0.016352,0.000388,0.018966,0.532179
39,3.302553,473,-0.284456,0.016349,0.000361,0.017099,0.502244
40,3.301911,474,-0.234954,0.016346,0.000402,0.017675,0.518249
41,3.301705,475,-0.268104,0.016345,0.000452,0.017512,0.381024
42,3.301321,476,-0.251414,0.016343,0.000387,0.019522,0.528375
43,3.300747,477,-0.230460,0.016340,0.000366,0.015287,0.592443
44,3.300264,478,-0.254364,0.016338,0.000404,0.016639,0.513630
45,3.299747,479,-0.238870,0.016335,0.000375,0.024715,0.522271
46,3.298900,480,-0.257270,0.016331,0.000397,0.017510,0.411575
47,3.298274,481,-0.249779,0.016328,0.000373,0.017173,0.495543
