cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.379741,434,-0.368590,0.016731,0.000596,0.032785,0.553463
1,3.368071,435,-0.378502,0.016674,0.000548,0.013705,3.791624
2,3.352090,436,-0.329553,0.016595,0.000522,0.016325,5.235767
3,3.345574,437,-0.329450,0.016562,0.000567,0.014525,0.434655
4,3.330994,438,-0.326470,0.016490,0.000492,0.018291,4.489907
5,3.320815,439,-0.324226,0.016440,0.000507,0.016379,0.950990
6,3.310376,440,-0.316098,0.016388,0.000561,0.014929,0.006313
7,3.295951,441,-0.309873,0.016317,0.000524,0.013993,0.298919
8,3.291948,442,-0.323697,0.016297,0.000567,0.013000,0.343782
9,3.288252,443,-0.312256,0.016278,0.000510,0.010795,1.668491
10,3.284198,444,-0.296554,0.016258,0.000523,0.017684,5.264778
11,3.280521,445,-0.289322,0.016240,0.000518,0.011750,5.263517
12,3.278563,446,-0.289351,0.016231,0.000514,0.012186,0.006722
13,3.274567,447,-0.296717,0.016211,0.000479,0.012221,3.338878
14,3.270816,448,-0.272982,0.016192,0.000461,0.015701,5.268207
15,3.268371,449,-0.273747,0.016180,0.000483,0.015643,1.280606
16,3.265163,450,-0.271034,0.016164,0.000473,0.013738,1.231977
17,3.258237,451,-0.354032,0.016130,0.000508,0.015637,1.027708
18,3.248411,452,-0.267467,0.016081,0.000544,0.015014,0.691188
19,3.244562,453,-0.263245,0.016062,0.000524,0.015203,0.096050
20,3.241223,454,-0.262400,0.016046,0.000484,0.011037,0.935076
21,3.237583,455,-0.297613,0.016028,0.000549,0.014433,0.008920
22,3.232166,456,-0.261662,0.016001,0.000490,0.013429,1.319946
23,3.230205,457,-0.244371,0.015991,0.000502,0.010835,5.264266
24,3.229191,458,-0.257114,0.015986,0.000495,0.010521,0.705131
25,3.227785,459,-0.244389,0.015979,0.000456,0.015089,5.261879
26,3.226264,460,-0.248282,0.015972,0.000475,0.012748,1.913577
27,3.225329,461,-0.224261,0.015967,0.000473,0.012513,5.298825
28,3.223874,462,-0.224695,0.015960,0.000448,0.014193,1.325857
29,3.223232,463,-0.261447,0.015957,0.000444,0.012750,5.252734
30,3.221583,464,-0.228011,0.015948,0.000399,0.014977,4.133479
31,3.220830,465,-0.227154,0.015945,0.000444,0.014602,5.256848
32,3.220285,466,-0.212250,0.015942,0.000466,0.012417,5.300879
33,3.219852,467,-0.213193,0.015940,0.000467,0.013655,4.234621
34,3.219426,468,-0.214343,0.015938,0.000440,0.016393,5.296792
35,3.219135,469,-0.212765,0.015936,0.000410,0.009998,5.304301
36,3.218733,470,-0.226368,0.015934,0.000388,0.013209,5.301626
37,3.218238,471,-0.220627,0.015932,0.000415,0.015350,2.250792
38,3.217972,472,-0.232763,0.015931,0.000441,0.012012,0.130110
39,3.216758,473,-0.238455,0.015925,0.000516,0.017298,5.299687
40,3.216219,474,-0.223209,0.015922,0.000469,0.009840,0.197725
41,3.214418,475,-0.221917,0.015913,0.000461,0.015440,5.303320
42,3.213551,476,-0.234342,0.015909,0.000419,0.011211,5.280391
43,3.212966,477,-0.211986,0.015906,0.000438,0.010588,1.725503
44,3.211746,478,-0.232396,0.015900,0.000427,0.012775,5.325836
