iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,16,0.079602,0.007937,0.464490,185,164,1
0,1,16,0.079602,0.037635,0.429528,185,115,0
0,2,16,0.079602,0.032780,0.543251,185,148,0
0,3,16,0.079602,0.031672,0.528493,185,116,0
0,4,16,0.079602,0.009598,0.468084,185,144,0
0,5,16,0.079602,0.051582,0.450125,185,121,0
0,6,16,0.079602,0.108554,0.577194,185,112,0
0,7,16,0.079602,0.036117,0.408835,185,94,1
0,8,16,0.079602,0.018410,0.344131,185,91,0
0,9,16,0.079602,0.003085,0.487893,185,90,1
0,10,16,0.079602,0.056009,0.378837,185,94,0
0,11,16,0.079602,0.072291,0.443365,185,84,1
0,12,16,0.079602,0.097048,0.356574,185,94,1
0,13,16,0.079602,0.061401,0.472732,185,86,1
0,14,12,0.059701,0.000000,0.392446,189,186,0
0,15,12,0.059701,0.001263,0.394675,189,178,0
0,16,12,0.059701,0.033599,0.468434,189,189,0
0,17,12,0.059701,0.010492,0.457983,189,183,0
0,18,12,0.059701,0.000000,0.386120,189,185,0
0,19,12,0.059701,0.048721,0.433049,189,174,0
0,20,12,0.059701,0.007271,0.509678,189,187,0
0,21,28,0.139303,0.037751,0.496769,173,72,1
0,22,16,0.079602,0.073960,0.335492,185,85,1
0,23,16,0.079602,0.033628,0.339289,185,90,0
0,24,16,0.079602,0.023352,0.358667,185,83,0
0,25,16,0.079602,0.039902,0.334648,185,92,0
0,26,16,0.079602,0.000000,0.443257,185,82,0
0,27,16,0.079602,0.064912,0.429085,185,89,0
0,28,16,0.079602,0.011387,0.404027,185,84,0
0,29,16,0.079602,0.031435,0.260240,185,82,1
0,30,16,0.079602,0.043782,0.301917,185,80,0
0,31,16,0.079602,0.080239,0.299025,185,76,1
0,32,16,0.079602,0.000000,0.176144,185,80,0
0,33,16,0.079602,0.046342,0.391602,185,80,1
0,34,16,0.079602,0.024905,0.444645,185,84,0
0,35,16,0.079602,0.050304,0.274686,185,82,1
0,36,12,0.059701,0.041577,0.281592,189,108,0
0,37,12,0.059701,0.000000,0.285978,189,104,0
0,38,12,0.059701,0.006905,0.361929,189,110,0
0,39,12,0.059701,0.059682,0.351072,189,101,0
0,40,12,0.059701,0.026852,0.303442,189,108,0
0,41,12,0.059701,0.040021,0.302242,189,104,0
0,42,12,0.059701,0.010595,0.428348,189,112,0
0,43,28,0.139303,0.000000,0.306850,173,72,0
0,44,10,0.049751,0.010048,0.264492,191,199,1
0,45,10,0.049751,0.000000,0.276168,191,187,0
0,46,10,0.049751,0.066386,0.281019,191,193,1
0,47,10,0.049751,0.068311,0.288323,191,178,0
0,48,10,0.049751,0.007045,0.213038,191,208,0
0,49,10,0.049751,0.000000,0.239435,191,196,0
0,50,10,0.049751,0.016353,0.276648,191,185,0
0,51,10,0.049751,0.001813,0.284090,191,193,1
0,52,10,0.049751,0.000000,0.228738,191,195,0
0,53,10,0.049751,0.000000,0.256052,191,191,0
0,54,10,0.049751,0.000000,0.286970,191,193,0
0,55,10,0.049751,0.000000,0.226040,191,205,0
0,56,10,0.049751,0.000000,0.127189,191,207,0
0,57,10,0.049751,0.013933,0.272274,191,190,1
0,58,8,0.039801,0.000000,0.248940,193,213,0
0,59,8,0.039801,0.000000,0.289096,193,211,0
0,60,8,0.039801,0.042907,0.273844,193,210,0
0,61,8,0.039801,0.000000,0.255200,193,201,0
0,62,8,0.039801,0.000000,0.234697,193,218,0
0,63,8,0.039801,0.000000,0.314936,193,213,0
0,64,8,0.039801,0.000000,0.248670,193,205,0
0,65,16,0.079602,0.055300,0.300009,185,145,1
0,66,44,0.218905,0.000000,0.389883,157,66,0
0,67,16,0.079602,0.076573,0.303831,185,94,1
0,68,16,0.079602,0.044541,0.355437,185,80,0
0,69,16,0.079602,0.031687,0.425600,185,91,0
0,70,16,0.079602,0.043840,0.390306,185,86,0
0,71,16,0.079602,0.044474,0.369976,185,86,0
0,72,16,0.079602,0.035079,0.389856,185,84,0
0,73,16,0.079602,0.020753,0.431683,185,84,0
0,74,16,0.079602,0.012751,0.275573,185,82,1
0,75,16,0.079602,0.035074,0.320991,185,79,0
0,76,16,0.079602,0.019613,0.291829,185,74,1
0,77,16,0.079602,0.000000,0.272550,185,86,0
0,78,16,0.079602,0.047612,0.338147,185,77,1
0,79,16,0.079602,0.010045,0.279567,185,83,1
0,80,16,0.079602,0.000000,0.304377,185,77,0
0,81,12,0.059701,0.000000,0.263329,189,115,0
0,82,12,0.059701,0.022485,0.260506,189,115,0
0,83,12,0.059701,0.000000,0.331588,189,123,0
0,84,12,0.059701,0.000000,0.293996,189,121,0
0,85,12,0.059701,0.020468,0.286272,189,111,0
0,86,12,0.059701,0.057719,0.315406,189,111,0
0,87,12,0.059701,0.061924,0.350711,189,125,0
0,88,28,0.139303,0.063445,0.381738,173,72,1
0,89,16,0.079602,0.000000,0.254829,185,83,0
0,90,16,0.079602,0.014971,0.224697,185,84,0
0,91,16,0.079602,0.000000,0.258373,185,82,0
0,92,16,0.079602,0.037291,0.257474,185,82,0
0,93,16,0.079602,0.069402,0.366979,185,79,0
0,94,16,0.079602,0.003903,0.321245,185,79,0
0,95,16,0.079602,0.000000,0.302569,185,79,0
0,96,16,0.079602,0.000000,0.249336,185,77,0
0,97,16,0.079602,0.027735,0.294538,185,79,0
0,98,16,0.079602,0.000000,0.191931,185,79,0
0,99,16,0.079602,0.000000,0.147253,185,80,0
0,100,16,0.079602,0.000000,0.301244,185,79,0
0,101,16,0.079602,0.000000,0.352974,185,78,0
0,102,16,0.079602,0.006971,0.179636,185,86,0
0,103,12,0.059701,0.007994,0.252761,189,92,0
0,104,12,0.059701,0.031432,0.183858,189,98,0
0,105,12,0.059701,0.007767,0.296115,189,96,0
0,106,12,0.059701,0.000000,0.251245,189,97,0
0,107,12,0.059701,0.000000,0.283114,189,94,0
0,108,12,0.059701,0.000000,0.232010,189,89,0
0,109,12,0.059701,0.000000,0.312678,189,96,0
0,110,28,0.139303,0.110240,0.277677,173,74,1
0,111,10,0.049751,0.000000,0.146356,191,119,0
0,112,10,0.049751,0.000000,0.238029,191,124,0
0,113,10,0.049751,0.000000,0.196271,191,125,0
0,114,10,0.049751,0.000000,0.180781,191,130,0
0,115,10,0.049751,0.000000,0.130637,191,121,0
0,116,10,0.049751,0.000000,0.194325,191,132,0
0,117,10,0.049751,0.022431,0.165203,191,132,0
0,118,10,0.049751,0.008390,0.162256,191,113,1
0,119,10,0.049751,0.000000,0.174838,191,120,0
0,120,10,0.049751,0.032110,0.167606,191,114,1
0,121,10,0.049751,0.000000,0.171434,191,121,0
0,122,10,0.049751,0.000000,0.150610,191,111,0
0,123,10,0.049751,0.029253,0.081283,191,119,1
0,124,10,0.049751,0.000000,0.160829,191,113,0
0,125,8,0.039801,0.000000,0.094913,193,233,0
0,126,8,0.039801,0.000000,0.162804,193,231,0
0,127,8,0.039801,0.000000,0.119817,193,230,0
0,128,8,0.039801,0.000000,0.128908,193,231,0
0,129,8,0.039801,0.000000,0.101434,193,234,0
0,130,8,0.039801,0.000000,0.181673,193,232,0
0,131,8,0.039801,0.000000,0.122377,193,235,0
0,132,16,0.079602,0.015603,0.214676,185,94,1
0,133,44,0.218905,0.067183,0.320760,157,71,0
0,134,9,0.044776,0.058525,0.269737,192,197,1
0,135,9,0.044776,0.005475,0.206908,192,199,0
0,136,9,0.044776,0.006188,0.237633,192,203,0
0,137,9,0.044776,0.000000,0.317097,192,197,0
0,138,9,0.044776,0.054100,0.175140,192,195,1
0,139,9,0.044776,0.008590,0.145308,192,188,0
0,140,9,0.044776,0.000000,0.276801,192,188,0
0,141,9,0.044776,0.000000,0.260845,192,194,0
0,142,9,0.044776,0.037317,0.190306,192,206,0
0,143,9,0.044776,0.001819,0.276415,192,202,1
0,144,9,0.044776,0.000000,0.285198,192,204,0
0,145,9,0.044776,0.000000,0.230094,192,207,0
0,146,9,0.044776,0.002315,0.188416,192,214,1
0,147,9,0.044776,0.010747,0.297331,192,188,1
0,148,7,0.034826,0.000000,0.302779,194,220,0
0,149,7,0.034826,0.000000,0.272334,194,223,0
0,150,7,0.034826,0.036168,0.312824,194,223,0
0,151,7,0.034826,0.055823,0.300333,194,220,0
0,152,7,0.034826,0.000000,0.246941,194,217,0
0,153,7,0.034826,0.000000,0.266554,194,216,0
0,154,7,0.034826,0.002768,0.297627,194,218,0
0,155,15,0.074627,0.047973,0.276075,186,152,1
0,156,9,0.044776,0.000000,0.189740,192,204,0
0,157,9,0.044776,0.000000,0.247408,192,202,0
0,158,9,0.044776,0.000000,0.220277,192,206,0
0,159,9,0.044776,0.000000,0.256085,192,207,0
0,160,9,0.044776,0.000000,0.153309,192,194,0
0,161,9,0.044776,0.000000,0.192879,192,195,0
0,162,9,0.044776,0.000000,0.232748,192,195,0
0,163,9,0.044776,0.000000,0.177151,192,126,0
0,164,9,0.044776,0.000000,0.174545,192,126,0
0,165,9,0.044776,0.000000,0.226109,192,122,0
0,166,9,0.044776,0.000000,0.207801,192,118,0
0,167,9,0.044776,0.000000,0.215234,192,128,0
0,168,9,0.044776,0.000000,0.203080,192,135,0
0,169,9,0.044776,0.000000,0.224025,192,115,0
0,170,7,0.034826,0.000000,0.180407,194,220,0
0,171,7,0.034826,0.000000,0.218197,194,215,0
0,172,7,0.034826,0.000000,0.219705,194,220,0
0,173,7,0.034826,0.000000,0.214086,194,224,0
0,174,7,0.034826,0.000000,0.145333,194,212,0
0,175,7,0.034826,0.000000,0.197056,194,207,0
0,176,7,0.034826,0.000000,0.232243,194,218,0
0,177,15,0.074627,0.022087,0.228881,186,93,1
0,178,6,0.029851,0.000000,0.213465,195,225,0
0,179,6,0.029851,0.000000,0.133468,195,225,0
0,180,6,0.029851,0.000000,0.180077,195,229,0
0,181,6,0.029851,0.000000,0.202871,195,219,0
0,182,6,0.029851,0.000000,0.177730,195,229,0
0,183,6,0.029851,0.000000,0.140439,195,220,0
0,184,6,0.029851,0.000000,0.206774,195,216,0
0,185,6,0.029851,0.000000,0.217163,195,224,0
0,186,6,0.029851,0.000000,0.149229,195,226,0
