cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,4.185943,435,-0.862261,0.006896,0.000372,0.093161,0.288962
1,4.148992,436,-0.705390,0.006835,0.000333,0.053492,0.371315
2,4.123224,437,-0.779397,0.006793,0.000279,0.046963,0.357021
3,4.104692,438,-0.716943,0.006762,0.000277,0.041970,0.360320
4,4.089320,439,-0.667977,0.006737,0.000254,0.050660,0.570664
5,4.080531,440,-0.717726,0.006722,0.000269,0.046669,0.378716
6,4.074819,441,-0.659425,0.006713,0.000263,0.049154,0.541922
7,4.069519,442,-0.632002,0.006704,0.000230,0.053180,0.772786
8,4.065415,443,-0.755987,0.006698,0.000252,0.052543,0.389774
9,4.061316,444,-0.664638,0.006691,0.000215,0.056870,0.588222
10,4.058034,445,-0.658423,0.006685,0.000229,0.060917,0.598710
11,4.053685,446,-0.636117,0.006678,0.000226,0.074328,0.614740
12,4.050268,447,-0.632016,0.006673,0.000208,0.067947,0.668987
13,4.046838,448,-0.652114,0.006667,0.000231,0.057570,0.649293
14,4.044318,449,-0.634183,0.006663,0.000213,0.051998,0.672671
15,4.041814,450,-0.603310,0.006659,0.000212,0.057660,1.018284
16,4.039318,451,-0.718500,0.006655,0.000204,0.065011,0.547673
17,4.037574,452,-0.671835,0.006652,0.000210,0.062726,0.556934
18,4.035808,453,-0.625565,0.006649,0.000212,0.066991,0.700259
19,4.033627,454,-0.620595,0.006645,0.000202,0.066901,0.678501
20,4.032018,455,-0.691267,0.006643,0.000205,0.066848,0.575577
21,4.031027,456,-0.623267,0.006641,0.000222,0.049637,0.733624
22,4.029693,457,-0.603461,0.006639,0.000202,0.056437,0.740727
23,4.028246,458,-0.624118,0.006636,0.000210,0.074354,0.813783
24,4.025820,459,-0.595517,0.006632,0.000196,0.069733,0.892202
25,4.023110,460,-0.632457,0.006628,0.000203,0.068366,0.733543
26,4.021417,461,-0.636730,0.006625,0.000214,0.081587,0.588574
27,4.020106,462,-0.649236,0.006623,0.000207,0.054549,0.743884
28,4.017062,463,-0.661531,0.006618,0.000196,0.077742,0.610530
29,4.015112,464,-0.628886,0.006615,0.000210,0.058442,0.738466
30,4.014079,465,-0.595017,0.006613,0.000193,0.078649,0.952284
31,4.012424,466,-0.567221,0.006610,0.000181,0.077890,1.352407
32,4.011031,467,-0.628068,0.006608,0.000191,0.068654,0.871085
33,4.009537,468,-0.584495,0.006605,0.000173,0.084677,1.265731
34,4.008677,469,-0.606577,0.006604,0.000186,0.073725,0.910125
35,4.008015,470,-0.584773,0.006603,0.000179,0.065622,1.050199
36,4.006860,471,-0.590857,0.006601,0.000192,0.079234,0.912989
37,4.006030,472,-0.596250,0.006600,0.000188,0.071912,0.907767
38,4.005043,473,-0.583410,0.006598,0.000187,0.064468,0.950188
39,4.004299,474,-0.641059,0.006597,0.000184,0.071736,0.774822
40,4.003553,475,-0.586804,0.006596,0.000189,0.077371,0.979694
41,4.002633,476,-0.596699,0.006594,0.000186,0.071291,1.086688
42,4.001969,477,-0.592008,0.006593,0.000188,0.072278,0.985217
43,4.001350,478,-0.611563,0.006592,0.000171,0.083368,0.965195
44,4.000473,479,-0.563591,0.006591,0.000176,0.067632,1.460712
45,3.999774,480,-0.603104,0.006589,0.000190,0.082252,0.986088
46,3.999059,481,-0.557026,0.006588,0.000189,0.074215,1.130345
47,3.998477,482,-0.552181,0.006587,0.000170,0.059873,1.452993
48,3.997898,483,-0.558041,0.006586,0.000190,0.073169,0.998142
49,3.997556,484,-0.592529,0.006586,0.000174,0.062331,0.951863
50,3.997109,485,-0.607363,0.006585,0.000180,0.064383,0.984630
51,3.995896,486,-0.576694,0.006583,0.000178,0.085902,1.242839
52,3.994805,487,-0.589215,0.006581,0.000182,0.077841,1.117160
53,3.993569,488,-0.572873,0.006579,0.000195,0.090797,1.308742
