cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,4.185943,435,-0.862261,0.006896,0.000372,0.081051,5.191640
1,4.148992,436,-0.705390,0.006835,0.000333,0.054273,5.379923
2,4.123224,437,-0.779397,0.006793,0.000279,0.044933,5.375749
3,4.104692,438,-0.709697,0.006762,0.000277,0.039795,0.072026
4,4.082099,439,-0.745932,0.006725,0.000248,0.065965,5.456940
5,4.065512,440,-0.666735,0.006698,0.000228,0.056347,5.632854
6,4.057766,441,-0.648568,0.006685,0.000244,0.057377,5.610759
7,4.048582,442,-0.646327,0.006670,0.000232,0.065921,4.645464
8,4.032080,443,-0.644958,0.006643,0.000264,0.069192,0.105589
9,4.020154,444,-0.726038,0.006623,0.000237,0.063593,5.374184
10,4.009388,445,-0.683576,0.006605,0.000229,0.047559,5.471401
11,4.002284,446,-0.629260,0.006594,0.000232,0.063910,0.117142
12,3.990230,447,-0.694102,0.006574,0.000250,0.060483,5.453472
13,3.980909,448,-0.647242,0.006558,0.000259,0.060063,5.475904
14,3.974050,449,-0.712724,0.006547,0.000239,0.060636,5.422835
15,3.966033,450,-0.642420,0.006534,0.000243,0.051482,5.430130
16,3.961984,451,-0.686619,0.006527,0.000243,0.050684,5.478311
17,3.959587,452,-0.618253,0.006523,0.000215,0.055569,5.531954
18,3.956705,453,-0.648163,0.006518,0.000219,0.060096,5.541204
19,3.954193,454,-0.602573,0.006514,0.000222,0.066830,5.591240
20,3.952553,455,-0.623915,0.006512,0.000212,0.069886,5.738161
21,3.950748,456,-0.600403,0.006509,0.000219,0.060602,5.604465
22,3.949065,457,-0.631269,0.006506,0.000217,0.062415,5.542193
23,3.947630,458,-0.620707,0.006504,0.000209,0.062441,5.526069
24,3.946572,459,-0.618541,0.006502,0.000201,0.060036,5.687566
25,3.945359,460,-0.644346,0.006500,0.000200,0.077258,5.615236
26,3.944254,461,-0.594114,0.006498,0.000199,0.064256,5.674292
27,3.942880,462,-0.627728,0.006496,0.000211,0.061115,5.601396
28,3.941379,463,-0.612340,0.006493,0.000209,0.070573,5.616083
29,3.940380,464,-0.654627,0.006492,0.000204,0.070355,5.576526
30,3.939073,465,-0.644869,0.006489,0.000202,0.066629,5.595371
31,3.937922,466,-0.610965,0.006488,0.000220,0.066941,5.569124
32,3.936543,467,-0.630754,0.006485,0.000231,0.059888,5.483362
33,3.935576,468,-0.578426,0.006484,0.000213,0.065992,5.643185
34,3.934309,469,-0.579235,0.006482,0.000203,0.070549,5.800065
35,3.933148,470,-0.610391,0.006480,0.000208,0.078349,5.718561
36,3.932171,471,-0.583470,0.006478,0.000195,0.080829,5.806662
37,3.931453,472,-0.561342,0.006477,0.000226,0.064992,5.751978
38,3.930706,473,-0.590477,0.006476,0.000207,0.071998,5.714940
39,3.929974,474,-0.551662,0.006474,0.000210,0.069958,5.843650
40,3.929450,475,-0.596728,0.006474,0.000203,0.061543,5.726357
41,3.928761,476,-0.596323,0.006472,0.000217,0.077175,5.677614
42,3.928240,477,-0.540931,0.006472,0.000195,0.075701,5.954474
43,3.927540,478,-0.549126,0.006470,0.000203,0.061944,5.820290
44,3.926989,479,-0.592937,0.006470,0.000207,0.070799,5.783830
45,3.926075,480,-0.596711,0.006468,0.000187,0.079950,5.666240
46,3.925379,481,-0.556058,0.006467,0.000203,0.081719,5.829343
47,3.924443,482,-0.550593,0.006465,0.000196,0.074612,5.934101
48,3.923864,483,-0.535605,0.006464,0.000183,0.065105,5.961582
