cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,4.591028,432,-0.374590,0.021656,0.005633,0.013099,0.053000
1,4.544078,433,-0.233304,0.021434,0.005730,0.004662,0.067637
2,4.530661,434,-0.260347,0.021371,0.006100,0.002453,0.072139
3,4.519685,435,-0.199055,0.021319,0.007040,0.003175,0.062478
4,4.509662,436,-0.258454,0.021272,0.005932,0.003019,0.077405
5,4.502965,437,-0.172816,0.021240,0.005939,0.003768,0.085706
6,4.501832,438,-0.106227,0.021235,0.006282,0.002782,0.083269
7,4.498682,439,-0.097170,0.021220,0.006422,0.002135,0.061639
8,4.497678,440,-0.120734,0.021215,0.006212,0.003651,0.076732
9,4.494769,441,-0.099029,0.021202,0.006593,0.002830,0.077050
10,4.492998,442,-0.084321,0.021193,0.006388,0.002750,0.070627
11,4.489510,443,-0.041958,0.021177,0.007074,0.002962,0.063652
12,4.487836,444,-0.055002,0.021169,0.006888,0.002263,0.074406
13,4.487096,445,-0.082977,0.021166,0.006902,0.003345,0.084647
14,4.485294,446,0.000000,0.021157,0.007551,0.004178,0.066965
