cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,5.346205,430,-0.407837,0.006275,0.001098,0.074727,0.064786
1,5.299890,431,-0.468898,0.006221,0.001096,0.016829,0.066980
2,5.243255,432,-0.568534,0.006154,0.001080,0.014169,0.073116
3,5.159227,433,-0.377466,0.006055,0.001074,0.014798,0.066480
4,5.141149,434,-0.668297,0.006034,0.001037,0.010028,0.062485
5,5.058129,435,-0.320839,0.005937,0.001352,0.014330,0.062173
6,5.039597,436,-0.311003,0.005915,0.001183,0.013020,0.068867
7,5.005909,437,-0.361761,0.005875,0.001204,0.009610,0.062783
8,4.975835,438,-0.307421,0.005840,0.001434,0.012024,0.079174
9,4.956528,439,-0.270816,0.005818,0.001390,0.011035,0.084364
10,4.937485,440,-0.329192,0.005795,0.001256,0.011234,0.084131
11,4.928486,441,-0.248918,0.005785,0.001283,0.012237,0.086726
12,4.901209,442,-0.251174,0.005753,0.001436,0.010892,0.086862
13,4.892777,443,-0.325604,0.005743,0.001280,0.011914,0.089066
14,4.871365,444,-0.219174,0.005718,0.001199,0.012238,0.077377
15,4.855393,445,-0.252813,0.005699,0.001102,0.008741,0.079055
16,4.851737,446,-0.218391,0.005695,0.001102,0.008341,0.091228
17,4.846011,447,-0.364746,0.005688,0.001185,0.010334,0.131141
18,4.820963,448,-0.205800,0.005658,0.001257,0.011234,0.079762
19,4.808832,449,-0.205507,0.005644,0.001159,0.009227,0.083027
20,4.797602,450,-0.205649,0.005631,0.001099,0.009711,0.090893
21,4.793296,451,-0.209041,0.005626,0.001222,0.007637,0.129173
22,4.786321,452,-0.220389,0.005618,0.001078,0.008983,0.242093
23,4.781222,453,-0.179872,0.005612,0.001256,0.007783,0.434800
24,4.781222,454,-0.170244,0.005612,0.001299,0.008277,0.430571
25,4.780351,455,-0.185271,0.005611,0.001369,0.006214,0.066493
26,4.774810,456,-0.163221,0.005604,0.001371,0.008641,0.429294
27,4.771154,457,-0.165589,0.005600,0.001252,0.009311,0.086382
28,4.770183,458,-0.170243,0.005599,0.001273,0.007896,0.168666
29,4.764351,459,-0.168191,0.005592,0.001231,0.010478,0.154264
30,4.759211,460,-0.159765,0.005586,0.001406,0.009403,0.119071
31,4.750718,461,-0.161442,0.005576,0.001432,0.011851,0.151360
32,4.728358,462,-0.144003,0.005550,0.001368,0.013306,0.473590
33,4.725227,463,-0.061619,0.005546,0.001285,0.009213,0.434933
34,4.720858,464,-0.073754,0.005541,0.001314,0.008592,0.079802
35,4.719372,465,-0.072648,0.005539,0.001322,0.007516,0.072234
36,4.716848,466,-0.083353,0.005536,0.001288,0.005638,0.104289
37,4.714521,467,-0.068429,0.005533,0.001295,0.007446,0.082922
38,4.712926,468,-0.058958,0.005532,0.001323,0.007952,0.071250
39,4.711538,469,-0.153846,0.005530,0.001387,0.005658,0.090013
40,4.710646,470,-0.056338,0.005529,0.001319,0.012460,0.394375
41,4.710183,471,-0.044994,0.005528,0.001284,0.007515,0.446097
42,4.710013,472,-0.056180,0.005528,0.001334,0.006576,0.082855
43,4.710013,473,-0.044944,0.005528,0.001344,0.006108,0.403947
44,4.709839,474,-0.028453,0.005528,0.001299,0.005688,0.456759
45,4.709630,475,-0.028846,0.005528,0.001283,0.007433,0.101055
46,4.709402,476,-0.032353,0.005527,0.001285,0.006478,0.087826
47,4.708638,477,-0.024191,0.005527,0.001297,0.008281,0.500187
48,4.708470,478,-0.017167,0.005526,0.001330,0.007586,0.469205
49,4.708245,479,0.000000,0.005526,0.001328,0.009567,0.431935
