cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,5.346205,430,-0.935328,0.006275,0.001098,0.078691,0.236149
1,5.266316,431,-0.820233,0.006181,0.001048,0.023454,0.219483
2,5.208845,432,-0.588673,0.006114,0.001282,0.025726,0.286608
3,5.180293,433,-0.594517,0.006080,0.001069,0.018037,0.276484
4,5.165456,434,-0.528317,0.006063,0.001130,0.018514,0.331670
5,5.142527,435,-0.475064,0.006036,0.001245,0.017009,0.301447
6,5.129722,436,-0.436647,0.006021,0.001284,0.016296,0.344239
7,5.122511,437,-0.516412,0.006012,0.001200,0.017273,0.317348
8,5.116394,438,-0.481235,0.006005,0.001224,0.010280,0.291414
9,5.105915,439,-0.463499,0.005993,0.001158,0.014916,0.318020
10,5.097752,440,-0.527415,0.005983,0.001142,0.015365,0.309854
11,5.093358,441,-0.503978,0.005978,0.001171,0.018566,0.298505
12,5.088156,442,-0.475502,0.005972,0.001127,0.014044,0.334735
13,5.085165,443,-0.549517,0.005969,0.001048,0.016008,0.308866
14,5.082545,444,-0.450295,0.005965,0.001118,0.013245,0.304274
15,5.080409,445,-0.502690,0.005963,0.001001,0.016096,0.299611
16,5.075677,446,-0.464919,0.005957,0.001172,0.016437,0.301786
17,5.071978,447,-0.496358,0.005953,0.001226,0.017544,0.320198
18,5.069851,448,-0.462244,0.005951,0.001241,0.019041,0.342354
19,5.066756,449,-0.469004,0.005947,0.001189,0.018087,0.310582
20,5.065283,450,-0.429279,0.005945,0.001226,0.016880,0.315307
21,5.062253,451,-0.421828,0.005942,0.001192,0.016534,0.321294
22,5.060825,452,-0.424017,0.005940,0.001185,0.013030,0.283297
23,5.058959,453,-0.439104,0.005938,0.001095,0.016724,0.304887
24,5.057529,454,-0.484521,0.005936,0.001115,0.016566,0.318826
25,5.056328,455,-0.443773,0.005935,0.001109,0.014763,0.327393
26,5.054866,456,-0.444145,0.005933,0.001201,0.017899,0.325262
27,5.053051,457,-0.435754,0.005931,0.001179,0.019090,0.314865
28,5.051737,458,-0.463950,0.005929,0.001207,0.013674,0.331154
29,5.049521,459,-0.433638,0.005927,0.001140,0.022986,0.315682
30,5.047782,460,-0.493105,0.005925,0.001293,0.016341,0.332420
31,5.044904,461,-0.477959,0.005921,0.001283,0.020543,0.321108
32,5.039437,462,-0.459488,0.005915,0.001232,0.027053,0.337810
33,5.036802,463,-0.419901,0.005912,0.001217,0.018059,0.320741
34,5.032761,464,-0.426505,0.005907,0.001200,0.018623,0.331996
35,5.028533,465,-0.481809,0.005902,0.001224,0.025104,0.308488
36,5.025214,466,-0.459149,0.005898,0.001258,0.019043,0.325913
37,5.022837,467,-0.483855,0.005895,0.001287,0.023096,0.321341
38,5.020920,468,-0.557730,0.005893,0.001224,0.015505,0.330255
39,5.018811,469,-0.444209,0.005891,0.001142,0.017438,0.324863
40,5.016609,470,-0.394428,0.005888,0.001165,0.022519,0.331265
41,5.015251,471,-0.447868,0.005886,0.001209,0.021129,0.331862
42,5.013309,472,-0.422879,0.005884,0.001179,0.016294,0.374935
43,5.011266,473,-0.429567,0.005882,0.001064,0.015510,0.383796
44,5.009475,474,-0.443062,0.005880,0.001096,0.020986,0.321412
45,5.008959,475,-0.413818,0.005879,0.001054,0.020415,0.347280
46,5.006469,476,-0.419091,0.005876,0.001160,0.021500,0.355393
47,5.005106,477,-0.381022,0.005875,0.001123,0.018458,0.358482
48,5.004315,478,-0.391932,0.005874,0.001130,0.019809,0.361006
49,5.003334,479,-0.393822,0.005872,0.001082,0.019895,0.385999
50,5.002429,480,-0.404791,0.005871,0.001181,0.017053,0.359460
51,5.001105,481,-0.389606,0.005870,0.001223,0.019230,0.343435
52,4.999957,482,-0.393951,0.005868,0.001305,0.019999,0.361898
53,4.998888,483,-0.450266,0.005867,0.001261,0.025854,0.314582
54,4.997833,484,-0.371097,0.005866,0.001205,0.022497,0.373131
55,4.996816,485,-0.374979,0.005865,0.001231,0.018109,0.359725
56,4.995772,486,-0.388384,0.005864,0.001198,0.018989,0.354487
57,4.994280,487,-0.424430,0.005862,0.001227,0.022510,0.369638
58,4.992960,488,-0.399489,0.005860,0.001182,0.022537,0.339573
59,4.991819,489,-0.346128,0.005859,0.001327,0.023227,0.379735
60,4.990351,490,-0.340583,0.005857,0.001239,0.022285,0.343792
61,4.989209,491,-0.308417,0.005856,0.001211,0.016874,0.365210
62,4.988398,492,-0.343422,0.005855,0.001220,0.018229,0.383088
63,4.987577,493,-0.396353,0.005854,0.001172,0.015215,0.383503
64,4.986494,494,-0.366628,0.005853,0.001233,0.019029,0.359163
65,4.985398,495,-0.372115,0.005851,0.001191,0.018192,0.382894
66,4.984162,496,-0.417868,0.005850,0.001120,0.019708,0.370471
67,4.983514,497,-0.432047,0.005849,0.001213,0.020997,0.382422
68,4.981513,498,-0.462828,0.005847,0.001149,0.025002,0.336882
69,4.979715,499,-0.356149,0.005845,0.001150,0.023416,0.370944
70,4.978912,500,-0.365241,0.005844,0.001208,0.019754,0.350124
71,4.978236,501,-0.343665,0.005843,0.001263,0.017148,0.349998
72,4.977232,502,-0.338628,0.005842,0.001237,0.015077,0.330069
73,4.976626,503,-0.329688,0.005841,0.001224,0.019901,0.352081
