iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.111111,0.085616,0.308219,32,177,1
0,1,4,0.111111,0.085616,0.308219,32,154,0
0,2,4,0.111111,0.085616,0.308219,32,168,0
0,3,4,0.111111,0.085616,0.308219,32,154,0
0,4,4,0.111111,0.085616,0.308219,32,182,1
0,5,4,0.111111,0.085616,0.308219,32,157,1
0,6,4,0.111111,0.085616,0.308219,32,163,0
0,7,4,0.111111,0.085616,0.308219,32,149,0
0,8,4,0.111111,0.085616,0.308219,32,154,1
0,9,4,0.111111,0.068493,0.280822,32,155,1
0,10,4,0.111111,0.068493,0.280822,32,146,0
0,11,4,0.111111,0.068493,0.280822,32,152,0
0,12,4,0.111111,0.068493,0.280822,32,136,0
0,13,4,0.111111,0.068493,0.280822,32,165,1
0,14,4,0.111111,0.068493,0.280822,32,152,1
0,15,4,0.111111,0.068493,0.280822,32,144,0
0,16,4,0.111111,0.068493,0.280822,32,146,0
0,17,4,0.111111,0.068493,0.280822,32,148,1
0,18,4,0.111111,0.054795,0.191781,32,149,1
0,19,4,0.111111,0.054795,0.191781,32,153,0
0,20,4,0.111111,0.054795,0.191781,32,143,0
0,21,4,0.111111,0.054795,0.246575,32,150,0
0,22,4,0.111111,0.054795,0.246575,32,158,1
0,23,4,0.111111,0.054795,0.191781,32,159,1
0,24,4,0.111111,0.054795,0.246575,32,147,0
0,25,4,0.111111,0.054795,0.246575,32,142,0
0,26,4,0.111111,0.054795,0.246575,32,148,1
0,27,3,0.083333,0.054795,0.273973,33,196,1
0,28,3,0.083333,-0.000000,0.273973,33,196,0
0,29,3,0.083333,-0.000000,0.273973,33,188,0
0,30,3,0.083333,0.054795,0.273973,33,202,0
0,31,3,0.083333,0.054795,0.273973,33,203,1
0,32,3,0.083333,0.054795,0.273973,33,200,1
0,33,3,0.083333,0.054795,0.273973,33,197,0
0,34,3,0.083333,0.054795,0.273973,33,198,0
0,35,3,0.083333,0.054795,0.273973,33,204,1
0,36,9,0.250000,0.164384,0.383562,27,101,0
1,0,4,0.111111,0.085616,0.308219,32,178,0
1,1,4,0.111111,0.085616,0.308219,32,154,0
1,2,4,0.111111,0.085616,0.308219,32,168,1
1,3,4,0.111111,0.085616,0.308219,32,154,1
1,4,4,0.111111,0.085616,0.308219,32,183,0
1,5,4,0.111111,0.085616,0.308219,32,158,0
1,6,4,0.111111,0.085616,0.308219,32,163,1
1,7,4,0.111111,0.085616,0.308219,32,149,1
1,8,4,0.111111,0.085616,0.308219,32,155,0
1,9,4,0.111111,0.068493,0.280822,32,156,0
1,10,4,0.111111,0.068493,0.280822,32,146,0
1,11,4,0.111111,0.068493,0.280822,32,152,1
1,12,4,0.111111,0.068493,0.280822,32,136,1
1,13,4,0.111111,0.068493,0.280822,32,166,0
1,14,4,0.111111,0.068493,0.280822,32,153,0
1,15,4,0.111111,0.068493,0.280822,32,144,1
1,16,4,0.111111,0.068493,0.280822,32,146,1
1,17,4,0.111111,0.068493,0.280822,32,149,0
1,18,4,0.111111,0.054795,0.191781,32,150,0
1,19,4,0.111111,0.054795,0.191781,32,153,0
1,20,4,0.111111,0.054795,0.191781,32,143,1
1,21,4,0.111111,0.054795,0.191781,32,150,1
1,22,4,0.111111,0.054795,0.246575,32,159,0
1,23,4,0.111111,0.054795,0.246575,32,160,0
1,24,4,0.111111,0.054795,0.246575,32,147,1
1,25,4,0.111111,0.054795,0.246575,32,142,1
1,26,4,0.111111,0.054795,0.246575,32,149,0
1,27,3,0.083333,0.000000,0.273973,33,197,0
1,28,3,0.083333,0.000000,0.273973,33,196,0
1,29,3,0.083333,0.054795,0.273973,33,188,1
1,30,3,0.083333,0.054795,0.273973,33,202,1
1,31,3,0.083333,0.054795,0.273973,33,204,0
1,32,3,0.083333,0.054795,0.273973,33,201,0
1,33,3,0.083333,0.054795,0.273973,33,197,1
1,34,3,0.083333,0.054795,0.273973,33,198,1
1,35,3,0.083333,0.054795,0.273973,33,205,0
1,36,9,0.250000,0.164384,0.383562,27,101,0
2,0,4,0.111111,0.084688,0.304878,32,178,1
2,1,4,0.111111,0.084688,0.304878,32,154,0
2,2,4,0.111111,0.084688,0.304878,32,169,1
2,3,4,0.111111,0.084688,0.304878,32,155,0
2,4,4,0.111111,0.084688,0.304878,32,183,1
2,5,4,0.111111,0.084688,0.304878,32,158,0
2,6,4,0.111111,0.084688,0.304878,32,164,1
2,7,4,0.111111,0.084688,0.304878,32,150,0
2,8,4,0.111111,0.084688,0.304878,32,155,0
2,9,4,0.111111,0.067751,0.277778,32,156,1
2,10,4,0.111111,0.067751,0.277778,32,146,0
2,11,4,0.111111,0.067751,0.277778,32,153,1
2,12,4,0.111111,0.067751,0.277778,32,137,0
2,13,4,0.111111,0.067751,0.277778,32,166,1
2,14,4,0.111111,0.067751,0.277778,32,153,0
2,15,4,0.111111,0.067751,0.277778,32,145,1
2,16,4,0.111111,0.067751,0.277778,32,147,0
2,17,4,0.111111,0.067751,0.277778,32,149,0
2,18,4,0.111111,0.054201,0.222222,32,150,1
2,19,4,0.111111,0.054201,0.222222,32,153,0
2,20,4,0.111111,0.054201,0.222222,32,144,1
2,21,4,0.111111,0.054201,0.222222,32,151,0
2,22,4,0.111111,0.054201,0.222222,32,159,1
2,23,4,0.111111,0.054201,0.222222,32,160,0
2,24,4,0.111111,0.054201,0.222222,32,148,1
2,25,4,0.111111,0.054201,0.222222,32,143,0
2,26,4,0.111111,0.054201,0.222222,32,149,0
2,27,3,0.083333,0.043360,0.281843,33,197,1
2,28,3,0.083333,0.043360,0.281843,33,196,0
2,29,3,0.083333,0.043360,0.281843,33,189,1
2,30,3,0.083333,0.043360,0.281843,33,203,0
2,31,3,0.083333,0.043360,0.281843,33,204,1
2,32,3,0.083333,0.043360,0.281843,33,201,0
2,33,3,0.083333,0.043360,0.281843,33,198,1
2,34,3,0.083333,0.043360,0.281843,33,199,0
2,35,3,0.083333,0.043360,0.281843,33,205,0
2,36,9,0.250000,0.173442,0.390244,27,101,0
