iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,4,0.111111,0.085616,0.308219,32,177,0.784375
0,1,4,0.111111,0.085616,0.308219,32,154,0.234375
0,2,4,0.111111,0.085616,0.308219,32,168,0.234375
0,3,4,0.111111,0.085616,0.308219,32,154,0.234375
0,4,4,0.111111,0.085616,0.308219,32,182,0.784375
0,5,4,0.111111,0.085616,0.308219,32,157,0.784375
0,6,4,0.111111,0.085616,0.308219,32,163,0.234375
0,7,4,0.111111,0.085616,0.308219,32,149,0.234375
0,8,4,0.111111,0.085616,0.308219,32,154,0.784375
0,9,4,0.111111,0.068493,0.280822,32,155,0.737500
0,10,4,0.111111,0.068493,0.280822,32,146,0.187500
0,11,4,0.111111,0.068493,0.280822,32,152,0.187500
0,12,4,0.111111,0.068493,0.280822,32,136,0.187500
0,13,4,0.111111,0.068493,0.280822,32,165,0.737500
0,14,4,0.111111,0.068493,0.280822,32,152,0.737500
0,15,4,0.111111,0.068493,0.280822,32,144,0.187500
0,16,4,0.111111,0.068493,0.280822,32,146,0.187500
0,17,4,0.111111,0.068493,0.280822,32,148,0.737500
0,18,4,0.111111,0.054795,0.191781,32,149,0.700000
0,19,4,0.111111,0.054795,0.191781,32,153,0.150000
0,20,4,0.111111,0.054795,0.191781,32,143,0.150000
0,21,4,0.111111,0.054795,0.246575,32,150,0.150000
0,22,4,0.111111,0.054795,0.246575,32,158,0.700000
0,23,4,0.111111,0.054795,0.191781,32,159,0.700000
0,24,4,0.111111,0.054795,0.246575,32,147,0.150000
0,25,4,0.111111,0.054795,0.246575,32,142,0.150000
0,26,4,0.111111,0.054795,0.246575,32,148,0.700000
0,27,3,0.083333,0.054795,0.273973,33,196,0.700000
0,28,3,0.083333,-0.000000,0.273973,33,196,0.000000
0,29,3,0.083333,-0.000000,0.273973,33,188,0.000000
0,30,3,0.083333,0.054795,0.273973,33,202,0.150000
0,31,3,0.083333,0.054795,0.273973,33,203,0.700000
0,32,3,0.083333,0.054795,0.273973,33,200,0.700000
0,33,3,0.083333,0.054795,0.273973,33,197,0.150000
0,34,3,0.083333,0.054795,0.273973,33,198,0.150000
0,35,3,0.083333,0.054795,0.273973,33,204,0.700000
0,36,9,0.250000,0.164384,0.383562,27,101,0.450000
1,0,4,0.111111,0.085616,0.308219,32,178,0.234375
1,1,4,0.111111,0.085616,0.308219,32,154,0.234375
1,2,4,0.111111,0.085616,0.308219,32,168,0.784375
1,3,4,0.111111,0.085616,0.308219,32,154,0.784375
1,4,4,0.111111,0.085616,0.308219,32,183,0.234375
1,5,4,0.111111,0.085616,0.308219,32,158,0.234375
