cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.840084,431,-0.313358,0.019061,0.000518,0.030208,0.091189
1,2.830234,432,-0.305153,0.018995,0.000380,0.007575,0.119412
2,2.822107,433,-0.295835,0.018940,0.000435,0.012802,0.093350
3,2.817080,434,-0.293736,0.018907,0.000422,0.010063,0.169300
4,2.810807,435,-0.273965,0.018864,0.000406,0.013376,0.120170
5,2.806281,436,-0.266135,0.018834,0.000357,0.011216,0.147100
6,2.804707,437,-0.296826,0.018824,0.000376,0.008074,0.118618
7,2.803343,438,-0.273662,0.018814,0.000363,0.011451,0.161863
8,2.801732,439,-0.241314,0.018804,0.000355,0.008698,0.168178
9,2.800661,440,-0.251059,0.018796,0.000327,0.012046,0.177110
10,2.798539,441,-0.262738,0.018782,0.000309,0.009948,0.126785
11,2.796771,442,-0.239524,0.018770,0.000271,0.013284,0.209398
12,2.795493,443,-0.256380,0.018762,0.000305,0.016005,0.153857
13,2.794133,444,-0.238896,0.018753,0.000287,0.014111,0.189369
14,2.793579,445,-0.253267,0.018749,0.000299,0.012866,0.155327
15,2.792268,446,-0.254177,0.018740,0.000276,0.017074,0.161386
16,2.791228,447,-0.240984,0.018733,0.000342,0.010406,0.156298
17,2.790533,448,-0.246874,0.018728,0.000346,0.011798,0.158939
18,2.789745,449,-0.248643,0.018723,0.000279,0.013545,0.194504
19,2.789052,450,-0.239452,0.018718,0.000315,0.011936,0.188985
20,2.787159,451,-0.241038,0.018706,0.000330,0.014471,0.149420
21,2.786424,452,-0.240804,0.018701,0.000311,0.007710,0.118397
22,2.785177,453,-0.227287,0.018692,0.000332,0.018590,0.207972
23,2.784710,454,-0.220031,0.018689,0.000341,0.008826,0.205018
24,2.784229,455,-0.230038,0.018686,0.000374,0.010599,0.184294
25,2.783472,456,-0.205711,0.018681,0.000312,0.015082,0.214467
26,2.782805,457,-0.227808,0.018677,0.000324,0.010826,0.141791
27,2.780688,458,-0.229056,0.018662,0.000327,0.011177,0.163600
28,2.779537,459,-0.202164,0.018655,0.000304,0.008635,0.165633
29,2.778749,460,-0.203969,0.018649,0.000303,0.011424,0.210865
30,2.778242,461,-0.211712,0.018646,0.000366,0.012400,0.163212
31,2.777905,462,-0.241110,0.018644,0.000295,0.007939,0.193688
32,2.776269,463,-0.238088,0.018633,0.000297,0.010550,0.155747
33,2.774768,464,-0.211894,0.018623,0.000334,0.011936,0.176389
34,2.774321,465,-0.237254,0.018620,0.000318,0.011326,0.182532
35,2.773351,466,-0.223740,0.018613,0.000277,0.010797,0.206178
36,2.772621,467,-0.215933,0.018608,0.000257,0.016672,0.207871
37,2.772169,468,-0.225964,0.018605,0.000263,0.013544,0.154528
38,2.771762,469,-0.249876,0.018602,0.000279,0.011427,0.157587
39,2.771345,470,-0.207565,0.018600,0.000295,0.019687,0.238962
40,2.771208,471,-0.202561,0.018599,0.000248,0.012087,0.242209
41,2.770985,472,-0.246641,0.018597,0.000238,0.011824,0.234639
42,2.770653,473,-0.216673,0.018595,0.000268,0.012385,0.198721
43,2.770510,474,-0.207424,0.018594,0.000285,0.012985,0.211891
44,2.770204,475,-0.220324,0.018592,0.000254,0.014575,0.253710
45,2.769699,476,-0.218850,0.018589,0.000273,0.011691,0.205119
46,2.769350,477,-0.221956,0.018586,0.000318,0.009735,0.170753
47,2.768763,478,-0.203065,0.018582,0.000291,0.012234,0.209005
48,2.767857,479,-0.198633,0.018576,0.000247,0.019198,0.236920
49,2.767087,480,-0.211204,0.018571,0.000295,0.014599,0.209631
