iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,8,0.054054,0.000000,0.219321,140,190,0.000000
0,1,8,0.054054,0.000000,0.191052,140,119,0.000000
0,2,8,0.054054,0.001554,0.275162,140,181,0.558124
0,3,8,0.054054,0.016083,0.170625,140,121,0.084055
0,4,8,0.054054,0.000000,0.209288,140,179,0.000000
0,5,8,0.054054,0.035763,0.225471,140,146,0.186905
0,6,8,0.054054,0.059860,0.269584,140,161,0.862847
0,7,8,0.054054,0.078903,0.253594,140,135,0.962367
0,8,8,0.054054,0.000000,0.224277,140,134,0.000000
0,9,8,0.054054,0.010642,0.267957,140,170,0.605620
0,10,8,0.054054,0.058116,0.162650,140,124,0.303729
0,11,8,0.054054,0.080572,0.312003,140,156,0.971093
0,12,8,0.054054,0.003952,0.159009,140,118,0.020653
0,13,8,0.054054,0.028621,0.226747,140,162,0.149580
0,14,8,0.054054,0.014398,0.307237,140,136,0.075247
0,15,8,0.054054,0.003274,0.211479,140,148,0.017108
0,16,8,0.054054,0.021250,0.226693,140,138,0.111059
0,17,8,0.054054,0.046992,0.330654,140,124,0.245594
0,18,8,0.054054,0.018055,0.119123,140,109,0.644361
0,19,8,0.054054,0.057497,0.237340,140,95,0.300497
0,20,8,0.054054,0.061124,0.157486,140,106,0.869451
0,21,8,0.054054,0.014718,0.201844,140,108,0.076922
0,22,8,0.054054,0.073874,0.146575,140,103,0.936086
0,23,8,0.054054,0.040372,0.148453,140,103,0.210994
0,24,8,0.054054,0.019507,0.180765,140,106,0.651947
0,25,8,0.054054,0.019463,0.170889,140,103,0.651718
0,26,8,0.054054,0.006447,0.109030,140,100,0.583692
0,27,6,0.040541,0.056677,0.195943,142,187,0.846209
0,28,6,0.040541,0.000000,0.140500,142,189,0.000000
0,29,6,0.040541,0.044419,0.187894,142,188,0.782145
0,30,6,0.040541,0.000000,0.143386,142,192,0.000000
0,31,6,0.040541,0.015242,0.127899,142,193,0.079660
0,32,6,0.040541,0.039091,0.216176,142,187,0.204300
0,33,6,0.040541,0.002282,0.113735,142,197,0.011929
0,34,6,0.040541,0.000000,0.151333,142,190,0.000000
0,35,6,0.040541,0.002492,0.181464,142,194,0.013022
0,36,18,0.121622,0.000000,0.236574,130,86,0.000000
0,37,8,0.054054,0.000000,0.176998,140,178,0.000000
0,38,8,0.054054,0.086103,0.219886,140,115,0.450000
0,39,8,0.054054,0.053253,0.187000,140,169,0.828317
0,40,8,0.054054,0.002486,0.121436,140,116,0.012993
0,41,8,0.054054,0.048280,0.192438,140,165,0.252326
