cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.840084,431,-0.313358,0.019061,0.000518,0.029106,1.766158
1,2.830234,432,-0.305153,0.018995,0.000380,0.006962,5.103890
2,2.822107,433,-0.295835,0.018940,0.000435,0.010628,5.109633
3,2.817080,434,-0.293736,0.018907,0.000422,0.011869,1.071841
4,2.805720,435,-0.295155,0.018830,0.000431,0.013177,0.473495
5,2.799682,436,-0.268021,0.018790,0.000491,0.011169,5.120502
6,2.795875,437,-0.270063,0.018764,0.000388,0.007215,0.337308
7,2.789376,438,-0.258325,0.018721,0.000435,0.010801,5.174827
8,2.786098,439,-0.260110,0.018699,0.000378,0.009882,5.151883
9,2.782438,440,-0.234011,0.018674,0.000411,0.010615,5.181404
10,2.781050,441,-0.248348,0.018665,0.000363,0.008577,4.110104
11,2.776564,442,-0.233558,0.018635,0.000394,0.012636,2.109586
12,2.771275,443,-0.234039,0.018599,0.000490,0.011427,0.008619
13,2.769397,444,-0.275060,0.018587,0.000467,0.009590,5.121367
14,2.765698,445,-0.229015,0.018562,0.000418,0.011319,0.156376
15,2.762973,446,-0.229183,0.018543,0.000440,0.011540,1.087419
16,2.761166,447,-0.228423,0.018531,0.000408,0.009815,5.139348
17,2.759772,448,-0.230623,0.018522,0.000419,0.010710,5.102248
18,2.758947,449,-0.233470,0.018516,0.000419,0.011469,5.112522
19,2.758143,450,-0.224666,0.018511,0.000442,0.010245,5.163174
20,2.757290,451,-0.221241,0.018505,0.000396,0.010409,5.169201
21,2.756934,452,-0.223097,0.018503,0.000394,0.007762,5.186942
22,2.756423,453,-0.220995,0.018499,0.000402,0.009925,5.151133
23,2.756095,454,-0.212767,0.018497,0.000375,0.007771,5.187247
24,2.755574,455,-0.197933,0.018494,0.000385,0.011935,5.227551
25,2.755063,456,-0.200040,0.018490,0.000391,0.012517,0.396748
26,2.751937,457,-0.205463,0.018469,0.000443,0.013648,0.536866
27,2.749168,458,-0.198652,0.018451,0.000435,0.011367,0.104081
