cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.587070,430,-0.924326,0.006008,0.000250,0.095343,0.074028
1,3.550591,431,-0.731684,0.005947,0.000196,0.062352,0.139360
2,3.538605,432,-0.774036,0.005927,0.000215,0.050616,0.100863
3,3.519261,433,-0.697642,0.005895,0.000166,0.092163,0.183109
4,3.509857,434,-0.664725,0.005879,0.000170,0.081774,0.166253
5,3.502169,435,-0.698749,0.005866,0.000165,0.076007,0.163024
6,3.496223,436,-0.645097,0.005856,0.000156,0.102790,0.322953
7,3.491232,437,-0.700379,0.005848,0.000160,0.064170,0.117927
8,3.486835,438,-0.691899,0.005841,0.000168,0.072678,0.155286
9,3.484580,439,-0.649159,0.005837,0.000150,0.076582,0.196646
10,3.482527,440,-0.666341,0.005833,0.000163,0.080099,0.226082
11,3.480361,441,-0.636302,0.005830,0.000148,0.089354,0.300141
12,3.478996,442,-0.657738,0.005827,0.000157,0.074720,0.217816
13,3.476472,443,-0.648567,0.005823,0.000147,0.083682,0.215500
14,3.474843,444,-0.658602,0.005821,0.000148,0.073984,0.174230
15,3.473581,445,-0.641341,0.005818,0.000142,0.071444,0.327539
16,3.472146,446,-0.612088,0.005816,0.000143,0.081934,0.293663
17,3.470745,447,-0.657825,0.005814,0.000154,0.080113,0.236824
18,3.468923,448,-0.728824,0.005811,0.000152,0.082942,0.101233
19,3.467433,449,-0.702037,0.005808,0.000147,0.095501,0.116601
20,3.465637,450,-0.643847,0.005805,0.000155,0.100633,0.224255
21,3.463990,451,-0.668046,0.005802,0.000154,0.102662,0.164085
22,3.462134,452,-0.689762,0.005799,0.000154,0.074577,0.120171
23,3.461006,453,-0.635146,0.005797,0.000137,0.092718,0.220534
24,3.459869,454,-0.649116,0.005795,0.000129,0.089890,0.230254
25,3.458900,455,-0.679836,0.005794,0.000146,0.087706,0.116524
26,3.458319,456,-0.619349,0.005793,0.000153,0.066533,0.252422
27,3.457465,457,-0.646146,0.005791,0.000161,0.080662,0.241001
28,3.456715,458,-0.622624,0.005790,0.000162,0.100771,0.281280
29,3.456200,459,-0.646350,0.005789,0.000142,0.085547,0.285834
30,3.455664,460,-0.651969,0.005788,0.000138,0.080724,0.226043
31,3.455278,461,-0.646060,0.005788,0.000135,0.079476,0.227029
32,3.454867,462,-0.614826,0.005787,0.000142,0.098746,0.285278
33,3.454493,463,-0.595525,0.005786,0.000132,0.096979,0.354632
34,3.454203,464,-0.643313,0.005786,0.000140,0.091651,0.227695
35,3.453913,465,-0.648566,0.005785,0.000131,0.096602,0.171161
36,3.453612,466,-0.636848,0.005785,0.000139,0.106933,0.226211
37,3.453380,467,-0.607269,0.005785,0.000133,0.087723,0.290679
38,3.453150,468,-0.645286,0.005784,0.000141,0.097017,0.226205
39,3.452856,469,-0.580445,0.005784,0.000130,0.110813,0.356148
40,3.452490,470,-0.654122,0.005783,0.000127,0.104786,0.281665
41,3.452093,471,-0.563405,0.005782,0.000132,0.095663,0.383910
42,3.451811,472,-0.612039,0.005782,0.000128,0.116478,0.356209
43,3.451516,473,-0.612736,0.005781,0.000141,0.094642,0.333715
44,3.450880,474,-0.630837,0.005780,0.000138,0.095323,0.318499
45,3.450231,475,-0.587401,0.005779,0.000125,0.091615,0.324824
46,3.449486,476,-0.639905,0.005778,0.000142,0.093726,0.246329
47,3.448651,477,-0.630081,0.005777,0.000138,0.086456,0.265943
48,3.448103,478,-0.586959,0.005776,0.000135,0.090542,0.331547
49,3.447364,479,-0.629052,0.005774,0.000135,0.103202,0.305349
50,3.446717,480,-0.641448,0.005773,0.000135,0.104640,0.244068
51,3.446144,481,-0.600212,0.005772,0.000129,0.108718,0.287284
52,3.445661,482,-0.589852,0.005772,0.000129,0.090742,0.366424
53,3.445218,483,-0.606052,0.005771,0.000135,0.085025,0.342502
54,3.444839,484,-0.605233,0.005770,0.000123,0.112686,0.308309
55,3.444491,485,-0.614726,0.005770,0.000123,0.086040,0.357639
56,3.444042,486,-0.576239,0.005769,0.000117,0.122856,0.403288
57,3.443863,487,-0.616346,0.005769,0.000125,0.093174,0.265991
58,3.443588,488,-0.614021,0.005768,0.000122,0.095689,0.280447
59,3.443291,489,-0.608290,0.005768,0.000125,0.095931,0.263312
60,3.443078,490,-0.580081,0.005767,0.000125,0.106920,0.338352
61,3.442731,491,-0.609295,0.005767,0.000122,0.092968,0.323062
62,3.442504,492,-0.563274,0.005766,0.000129,0.137728,0.455344
63,3.442154,493,-0.612256,0.005766,0.000128,0.117973,0.335414
64,3.441852,494,-0.571935,0.005765,0.000117,0.096411,0.423108
65,3.441146,495,-0.595663,0.005764,0.000122,0.116063,0.512516
66,3.440741,496,-0.611664,0.005763,0.000116,0.128681,0.382348
67,3.440256,497,-0.607503,0.005763,0.000123,0.122604,0.350909
68,3.439827,498,-0.575791,0.005762,0.000116,0.119407,0.329344
69,3.439433,499,-0.612100,0.005761,0.000117,0.106373,0.299766
70,3.439001,500,-0.621565,0.005760,0.000123,0.101081,0.305535
71,3.438371,501,-0.613412,0.005759,0.000125,0.129805,0.322880
72,3.437393,502,-0.621595,0.005758,0.000118,0.118525,0.333847
73,3.436687,503,-0.582444,0.005757,0.000121,0.103704,0.396718
74,3.436333,504,-0.611858,0.005756,0.000120,0.100034,0.364137
75,3.435908,505,-0.574764,0.005755,0.000121,0.105945,0.462802
76,3.435347,506,-0.605753,0.005754,0.000119,0.141997,0.300008
77,3.434872,507,-0.587232,0.005754,0.000122,0.110412,0.386363
78,3.434455,508,-0.571808,0.005753,0.000120,0.127087,0.439118
79,3.433881,509,-0.578141,0.005752,0.000126,0.112373,0.502204
80,3.433480,510,-0.583040,0.005751,0.000121,0.112602,0.364331
81,3.433172,511,-0.615424,0.005751,0.000114,0.108013,0.344411
82,3.432891,512,-0.557774,0.005750,0.000128,0.140390,0.442222
83,3.432567,513,-0.582786,0.005750,0.000123,0.128097,0.456560
84,3.432214,514,-0.558223,0.005749,0.000119,0.113821,0.532650
85,3.432009,515,-0.580641,0.005749,0.000128,0.105667,0.388792
86,3.431744,516,-0.595663,0.005748,0.000111,0.109893,0.383469
87,3.431526,517,-0.593022,0.005748,0.000115,0.104379,0.314401
88,3.431278,518,-0.551577,0.005748,0.000115,0.116235,0.428003
89,3.431006,519,-0.573064,0.005747,0.000117,0.119196,0.426211
90,3.430684,520,-0.570841,0.005747,0.000123,0.120639,0.331092
91,3.430485,521,-0.608283,0.005746,0.000107,0.121701,0.363231
92,3.430152,522,-0.532856,0.005746,0.000118,0.139122,0.585780
93,3.429779,523,-0.582929,0.005745,0.000115,0.118333,0.430952
94,3.429403,524,-0.570267,0.005744,0.000118,0.140913,0.482269
95,3.429002,525,-0.576989,0.005744,0.000111,0.151953,0.382072
96,3.428783,526,-0.551457,0.005743,0.000114,0.119883,0.549230
97,3.428604,527,-0.580081,0.005743,0.000126,0.130641,0.432359
98,3.428421,528,-0.530452,0.005743,0.000112,0.094921,0.498146
99,3.428215,529,-0.577660,0.005742,0.000109,0.106943,0.460241
100,3.427898,530,-0.574007,0.005742,0.000119,0.107598,0.417779
101,3.427674,531,-0.621979,0.005741,0.000130,0.112110,0.345032
102,3.427393,532,-0.572969,0.005741,0.000117,0.126351,0.425986
103,3.427159,533,-0.559317,0.005741,0.000114,0.111105,0.492745
104,3.426908,534,-0.594759,0.005740,0.000113,0.148053,0.446685
105,3.426582,535,-0.575488,0.005740,0.000108,0.112902,0.387923
106,3.426280,536,-0.570824,0.005739,0.000110,0.123207,0.346172
107,3.426021,537,-0.562324,0.005739,0.000103,0.133386,0.449483
108,3.425619,538,-0.577291,0.005738,0.000112,0.122257,0.418656
109,3.424982,539,-0.594204,0.005737,0.000113,0.135645,0.423680
110,3.424172,540,-0.561348,0.005736,0.000111,0.143456,0.457876
111,3.423313,541,-0.528898,0.005734,0.000111,0.119597,0.564453
112,3.422796,542,-0.567619,0.005733,0.000115,0.119519,0.408979
113,3.422124,543,-0.576225,0.005732,0.000125,0.140296,0.354606
114,3.421669,544,-0.610779,0.005731,0.000119,0.112060,0.301400
115,3.421160,545,-0.583481,0.005731,0.000123,0.146799,0.418385
116,3.420755,546,-0.550418,0.005730,0.000101,0.134170,0.537617
117,3.420442,547,-0.560040,0.005729,0.000110,0.103039,0.472186
118,3.420159,548,-0.579309,0.005729,0.000108,0.120146,0.498171
119,3.419783,549,-0.597482,0.005728,0.000106,0.130192,0.337728
120,3.419448,550,-0.599108,0.005728,0.000112,0.132487,0.391373
121,3.419140,551,-0.582468,0.005727,0.000109,0.135277,0.394730
122,3.418748,552,-0.566352,0.005727,0.000112,0.126444,0.506696
