cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.587070,430,-0.810342,0.006008,0.000250,0.089044,0.025585
1,3.548676,431,-0.708594,0.005944,0.000218,0.063516,5.203803
2,3.528409,432,-0.777519,0.005910,0.000198,0.057763,5.108230
3,3.513505,433,-0.678619,0.005885,0.000174,0.069685,5.226368
4,3.504039,434,-0.677653,0.005869,0.000196,0.078142,3.287790
5,3.490189,435,-0.667843,0.005846,0.000186,0.079794,4.691432
6,3.480111,436,-0.664404,0.005829,0.000199,0.066348,0.220605
7,3.474251,437,-0.756657,0.005820,0.000181,0.076505,5.123914
8,3.467526,438,-0.645529,0.005808,0.000164,0.077871,5.210269
9,3.461493,439,-0.693848,0.005798,0.000164,0.067265,5.118404
10,3.456815,440,-0.711381,0.005790,0.000176,0.070608,5.116107
11,3.450109,441,-0.665653,0.005779,0.000150,0.087050,5.151851
12,3.447194,442,-0.633466,0.005774,0.000155,0.061120,5.236489
13,3.444537,443,-0.652596,0.005770,0.000162,0.051890,5.200987
14,3.442919,444,-0.623148,0.005767,0.000152,0.083549,5.236639
15,3.441956,445,-0.649883,0.005765,0.000145,0.068089,0.033495
16,3.439010,446,-0.620170,0.005760,0.000149,0.099574,5.224676
17,3.436267,447,-0.677999,0.005756,0.000160,0.066210,5.154043
18,3.432859,448,-0.697621,0.005750,0.000160,0.095564,5.123182
19,3.430688,449,-0.649680,0.005747,0.000155,0.064134,5.132181
20,3.428500,450,-0.693150,0.005743,0.000138,0.075603,5.138612
21,3.425663,451,-0.653817,0.005738,0.000144,0.115307,5.217477
22,3.423013,452,-0.670513,0.005734,0.000144,0.086457,5.156543
23,3.420878,453,-0.648397,0.005730,0.000143,0.080353,5.203598
24,3.419246,454,-0.595817,0.005727,0.000140,0.090139,5.269344
25,3.418028,455,-0.579067,0.005725,0.000133,0.075739,5.285541
26,3.416742,456,-0.652264,0.005723,0.000144,0.083473,5.226441
27,3.415585,457,-0.618720,0.005721,0.000142,0.100287,5.356028
28,3.414301,458,-0.631683,0.005719,0.000141,0.079937,5.156693
29,3.413211,459,-0.618769,0.005717,0.000141,0.074698,5.256194
30,3.412109,460,-0.629712,0.005715,0.000131,0.099689,5.275090
31,3.411374,461,-0.652066,0.005714,0.000140,0.074758,5.171377
32,3.410585,462,-0.639056,0.005713,0.000142,0.072732,5.196531
33,3.409771,463,-0.648479,0.005712,0.000147,0.105828,5.152835
34,3.409116,464,-0.626272,0.005710,0.000132,0.068330,5.170232
35,3.408576,465,-0.583944,0.005710,0.000143,0.074111,5.352396
36,3.408108,466,-0.589904,0.005709,0.000147,0.090868,5.304327
37,3.407826,467,-0.576470,0.005708,0.000138,0.071430,5.278402
38,3.407634,468,-0.577536,0.005708,0.000134,0.060746,5.394335
39,3.407402,469,-0.611847,0.005708,0.000134,0.091516,5.260800
40,3.407071,470,-0.571835,0.005707,0.000132,0.089342,5.330994
41,3.406884,471,-0.632473,0.005707,0.000129,0.065697,5.214084
42,3.406522,472,-0.601285,0.005706,0.000132,0.098070,5.301343
43,3.406185,473,-0.590766,0.005706,0.000125,0.105541,5.377963
44,3.405876,474,-0.577128,0.005705,0.000131,0.110926,5.380888
45,3.405581,475,-0.556842,0.005704,0.000129,0.097791,5.346392
46,3.405380,476,-0.595332,0.005704,0.000128,0.082534,5.378306
47,3.405111,477,-0.632554,0.005704,0.000133,0.152759,5.223258
48,3.404963,478,-0.589467,0.005703,0.000127,0.080356,5.343953
49,3.404742,479,-0.615122,0.005703,0.000128,0.099061,5.301920
50,3.404526,480,-0.595684,0.005703,0.000122,0.104521,5.374823
51,3.404319,481,-0.611665,0.005702,0.000127,0.076370,5.258283
52,3.404127,482,-0.580723,0.005702,0.000126,0.086135,5.413715
53,3.403887,483,-0.576867,0.005702,0.000124,0.121326,5.394125
54,3.403629,484,-0.548768,0.005701,0.000117,0.091261,5.467503
55,3.403340,485,-0.555937,0.005701,0.000128,0.114821,4.483450
56,3.402698,486,-0.607975,0.005700,0.000133,0.115749,5.350044
57,3.402024,487,-0.552511,0.005699,0.000120,0.080439,5.428605
58,3.401416,488,-0.556440,0.005698,0.000125,0.076605,5.433203
59,3.400946,489,-0.575491,0.005697,0.000126,0.089988,5.353586
60,3.400121,490,-0.588993,0.005695,0.000126,0.084726,5.373258
61,3.399364,491,-0.641934,0.005694,0.000118,0.125505,5.224794
62,3.398529,492,-0.621021,0.005693,0.000118,0.124961,5.239073
63,3.397745,493,-0.573259,0.005691,0.000122,0.090529,5.437553
64,3.397040,494,-0.581516,0.005690,0.000121,0.111430,5.319706
65,3.396123,495,-0.562302,0.005689,0.000118,0.092551,5.319809
66,3.395438,496,-0.563926,0.005688,0.000131,0.079082,5.415846
67,3.394634,497,-0.603110,0.005686,0.000127,0.100436,5.266940
68,3.394156,498,-0.586735,0.005685,0.000127,0.100722,5.324325
69,3.393592,499,-0.549732,0.005684,0.000120,0.101516,5.454935
70,3.393055,500,-0.572106,0.005684,0.000124,0.109191,5.311100
71,3.392272,501,-0.594741,0.005682,0.000125,0.114011,5.390367
72,3.391437,502,-0.556363,0.005681,0.000114,0.129758,5.422495
73,3.390995,503,-0.550312,0.005680,0.000120,0.099782,5.359059
74,3.390582,504,-0.553267,0.005679,0.000116,0.080949,5.503257
75,3.390174,505,-0.576289,0.005679,0.000120,0.108710,5.336991
76,3.389755,506,-0.570330,0.005678,0.000126,0.099709,5.349342
77,3.389423,507,-0.562235,0.005677,0.000113,0.123905,5.499477
78,3.389157,508,-0.594681,0.005677,0.000124,0.101360,5.303890
79,3.388791,509,-0.575539,0.005676,0.000117,0.099824,5.329945
80,3.388317,510,-0.596675,0.005676,0.000115,0.119631,5.324238
81,3.387776,511,-0.539979,0.005675,0.000110,0.113620,5.493898
82,3.387457,512,-0.549140,0.005674,0.000117,0.088767,5.516695
83,3.387041,513,-0.573615,0.005673,0.000122,0.141561,5.427408
84,3.386670,514,-0.525642,0.005673,0.000116,0.093924,5.642660
85,3.386148,515,-0.584088,0.005672,0.000114,0.106620,5.354717
86,3.385781,516,-0.562953,0.005671,0.000114,0.076937,5.458510
87,3.385247,517,-0.527110,0.005670,0.000120,0.090002,5.596700
88,3.384871,518,-0.575669,0.005670,0.000126,0.124807,5.375026
89,3.384519,519,-0.556396,0.005669,0.000121,0.090104,5.529503
90,3.384216,520,-0.528284,0.005669,0.000129,0.109444,0.031657
91,3.383813,521,-0.555527,0.005668,0.000118,0.121118,5.363676
92,3.383486,522,-0.575030,0.005667,0.000123,0.090241,5.284172
93,3.383007,523,-0.603309,0.005667,0.000116,0.130937,5.346889
94,3.382631,524,-0.554283,0.005666,0.000117,0.122443,5.422641
95,3.382251,525,-0.571016,0.005665,0.000116,0.101347,5.302471
96,3.381759,526,-0.572610,0.005665,0.000109,0.106679,5.494178
97,3.381437,527,-0.537910,0.005664,0.000108,0.093171,5.396815
98,3.381098,528,-0.569400,0.005663,0.000117,0.086919,5.472559
99,3.380819,529,-0.535153,0.005663,0.000109,0.114723,5.489133
100,3.380553,530,-0.519132,0.005663,0.000105,0.061753,5.551638
101,3.380283,531,-0.564327,0.005662,0.000115,0.108070,5.544486
102,3.380047,532,-0.561587,0.005662,0.000111,0.120510,5.399260
103,3.379687,533,-0.524539,0.005661,0.000117,0.113596,5.632180
104,3.379330,534,-0.512357,0.005661,0.000112,0.105512,5.607886
105,3.378867,535,-0.578706,0.005660,0.000113,0.096080,5.443877
106,3.378495,536,-0.544574,0.005659,0.000111,0.107122,5.474600
107,3.378145,537,-0.531668,0.005659,0.000114,0.106078,5.437263
108,3.377767,538,-0.565319,0.005658,0.000115,0.098710,5.501208
109,3.377465,539,-0.558998,0.005657,0.000116,0.115695,5.409734
110,3.377035,540,-0.548421,0.005657,0.000116,0.102048,5.440654
111,3.376615,541,-0.571000,0.005656,0.000113,0.131329,5.453112
112,3.376234,542,-0.555040,0.005655,0.000123,0.116778,0.169908
113,3.375497,543,-0.557896,0.005654,0.000130,0.124012,5.433016
114,3.374975,544,-0.556626,0.005653,0.000117,0.098534,5.441963
115,3.374408,545,-0.513089,0.005652,0.000124,0.113292,0.816424
116,3.372894,546,-0.561982,0.005650,0.000118,0.130567,5.416273
117,3.371652,547,-0.543861,0.005648,0.000113,0.112780,5.482763
118,3.370349,548,-0.555303,0.005645,0.000126,0.114132,5.297699
119,3.368524,549,-0.565090,0.005642,0.000113,0.097870,5.417737
120,3.367354,550,-0.552548,0.005640,0.000121,0.116244,5.508307
121,3.366434,551,-0.552805,0.005639,0.000125,0.108012,5.351004
122,3.365972,552,-0.511402,0.005638,0.000120,0.104262,1.880744
123,3.364991,553,-0.565046,0.005637,0.000114,0.126716,5.376080
124,3.364098,554,-0.596524,0.005635,0.000114,0.099394,5.343149
125,3.363381,555,-0.615125,0.005634,0.000122,0.132870,5.339378
126,3.362832,556,-0.578082,0.005633,0.000120,0.080349,5.394533
127,3.362179,557,-0.506620,0.005632,0.000110,0.112599,0.026924
128,3.361828,558,-0.572517,0.005631,0.000117,0.081514,5.358811
129,3.361290,559,-0.565525,0.005630,0.000115,0.118380,5.329296
130,3.360380,560,-0.526810,0.005629,0.000115,0.111972,5.402976
131,3.359865,561,-0.562405,0.005628,0.000112,0.129263,5.470575
132,3.359304,562,-0.565716,0.005627,0.000119,0.118131,5.327406
133,3.358538,563,-0.577896,0.005626,0.000125,0.103299,5.381652
134,3.357906,564,-0.549510,0.005625,0.000116,0.108055,5.385320
135,3.357276,565,-0.556355,0.005624,0.000109,0.120661,5.375215
136,3.356825,566,-0.560342,0.005623,0.000110,0.098297,5.411495
137,3.356286,567,-0.585319,0.005622,0.000120,0.119259,5.361758
138,3.355839,568,-0.585379,0.005621,0.000116,0.088520,5.306088
139,3.355290,569,-0.566929,0.005620,0.000123,0.119359,5.380659
140,3.354954,570,-0.547339,0.005620,0.000109,0.093230,5.423345
141,3.354727,571,-0.549589,0.005619,0.000114,0.118708,5.461894
142,3.354405,572,-0.552971,0.005619,0.000116,0.091838,5.447919
143,3.354030,573,-0.591222,0.005618,0.000116,0.149159,5.329712
144,3.353601,574,-0.543919,0.005617,0.000111,0.115915,5.341446
145,3.353277,575,-0.539898,0.005617,0.000106,0.116914,5.475562
146,3.352983,576,-0.579827,0.005616,0.000108,0.105351,5.487002
147,3.352672,577,-0.551598,0.005616,0.000110,0.098004,5.397120
148,3.352463,578,-0.568308,0.005616,0.000120,0.152262,5.350372
149,3.352229,579,-0.589143,0.005615,0.000113,0.148646,5.297179
