iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,16,0.026846,0.011668,0.189285,580,166,0
0,1,16,0.026846,0.000000,0.109241,580,112,0
0,2,16,0.026846,0.000000,0.149067,580,155,0
0,3,16,0.026846,0.000000,0.208742,580,106,0
0,4,16,0.026846,0.000000,0.304225,580,156,0
0,5,16,0.026846,0.000000,0.188192,580,125,0
0,6,16,0.026846,0.000000,0.191650,580,161,0
0,7,16,0.026846,0.000000,0.319984,580,116,0
0,8,16,0.026846,0.000000,0.349572,580,114,0
0,9,16,0.026846,0.000000,0.189581,580,164,0
0,10,16,0.026846,0.000000,0.011956,580,110,1
0,11,16,0.026846,0.000000,0.119772,580,151,1
0,12,16,0.026846,0.001289,0.298021,580,101,0
0,13,16,0.026846,0.000000,0.310257,580,156,0
0,14,16,0.026846,0.000000,0.170455,580,127,0
0,15,16,0.026846,0.002226,0.237961,580,147,0
0,16,16,0.026846,0.053301,0.449857,580,109,0
0,17,16,0.026846,0.061519,0.336156,580,115,0
0,18,16,0.026846,0.000000,0.187970,580,81,0
0,19,16,0.026846,0.000000,0.101962,580,77,0
0,20,16,0.026846,0.000000,0.094320,580,85,0
0,21,16,0.026846,0.112153,0.070528,580,74,1
0,22,16,0.026846,0.023240,0.310131,580,83,0
0,23,16,0.026846,0.000000,0.133027,580,79,0
0,24,16,0.026846,0.000000,0.088983,580,80,1
0,25,16,0.026846,0.000000,0.096955,580,79,1
0,26,16,0.026846,0.000000,0.255175,580,77,0
0,27,12,0.020134,0.000000,0.169730,584,178,0
0,28,12,0.020134,0.000000,0.047763,584,182,1
0,29,12,0.020134,0.001428,0.112788,584,181,1
0,30,12,0.020134,0.036669,0.204322,584,171,0
0,31,12,0.020134,0.000000,0.232191,584,183,0
0,32,12,0.020134,0.000000,0.161626,584,195,0
0,33,12,0.020134,0.000000,0.183057,584,182,1
0,34,12,0.020134,0.060539,0.274591,584,180,0
0,35,12,0.020134,0.000000,0.224087,584,185,0
0,36,36,0.060403,0.026232,0.136412,560,64,0
0,37,16,0.026846,0.000000,0.203355,580,150,0
0,38,16,0.026846,0.000000,0.119403,580,114,0
0,39,16,0.026846,0.000000,0.164317,580,142,0
0,40,16,0.026846,0.000000,0.145700,580,115,0
0,41,16,0.026846,0.001599,0.230294,580,146,0
0,42,16,0.026846,0.000000,0.186280,580,109,0
0,43,16,0.026846,0.000000,0.195002,580,143,1
0,44,16,0.026846,0.000000,0.251441,580,118,0
0,45,16,0.026846,0.009328,0.240148,580,104,0
0,46,16,0.026846,0.000000,0.137145,580,158,0
0,47,16,0.026846,0.014463,0.020483,580,116,1
0,48,16,0.026846,0.020254,0.096980,580,151,1
0,49,16,0.026846,0.009740,0.248876,580,114,0
0,50,16,0.026846,0.030959,0.189700,580,153,0
0,51,16,0.026846,0.027464,0.065119,580,118,0
0,52,16,0.026846,0.057288,0.153291,580,145,1
0,53,16,0.026846,0.000000,0.317477,580,114,0
0,54,16,0.026846,0.000000,0.132816,580,117,0
0,55,16,0.026846,0.000000,0.245698,580,84,0
0,56,16,0.026846,0.000000,0.119943,580,87,0
0,57,16,0.026846,0.000000,0.105151,580,95,0
0,58,16,0.026846,0.008778,0.032018,580,85,0
0,59,16,0.026846,0.050277,0.343082,580,82,0
0,60,16,0.026846,0.027211,0.202482,580,89,0
0,61,16,0.026846,0.056854,0.157649,580,86,1
0,62,16,0.026846,0.000000,0.143711,580,83,1
0,63,16,0.026846,0.038933,0.294202,580,90,0
0,64,12,0.020134,0.000000,0.139420,584,196,0
