iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.050633,0.000000,0.000000,75,208,0
0,1,4,0.050633,-0.000000,0.000000,75,137,0
0,2,6,0.075949,0.000000,1.000000,73,166,0
0,3,6,0.075949,0.000000,1.000000,73,114,0
0,4,6,0.075949,0.000000,1.000000,73,173,0
0,5,6,0.075949,0.000000,1.000000,73,136,0
0,6,6,0.075949,0.000000,1.000000,73,186,0
0,7,6,0.075949,0.000000,1.000000,73,147,0
0,8,6,0.075949,0.000000,2.000000,73,151,0
0,9,6,0.075949,0.000000,2.000000,73,145,0
0,10,12,0.151899,0.800000,4.000000,67,59,1
0,11,12,0.151899,0.800000,4.000000,67,69,0
0,12,12,0.151899,0.800000,4.000000,67,68,0
0,13,12,0.151899,0.800000,4.000000,67,59,0
0,14,12,0.151899,0.800000,4.000000,67,62,0
0,15,5,0.063291,0.000000,0.200000,74,196,0
0,16,5,0.063291,-0.000000,0.200000,74,133,0
0,17,7,0.088608,0.000000,1.000000,72,154,0
0,18,7,0.088608,0.000000,1.000000,72,117,0
0,19,7,0.088608,0.000000,1.000000,72,154,0
0,20,7,0.088608,0.000000,1.000000,72,140,0
0,21,7,0.088608,0.000000,1.000000,72,184,0
0,22,7,0.088608,0.000000,1.000000,72,160,0
0,23,7,0.088608,0.000000,1.800000,72,150,0
0,24,7,0.088608,0.000000,1.800000,72,157,0
0,25,13,0.164557,0.200000,3.400000,66,109,1
0,26,13,0.164557,0.200000,3.400000,66,91,0
0,27,13,0.164557,0.200000,3.400000,66,98,0
0,28,13,0.164557,0.200000,3.400000,66,89,0
0,29,13,0.164557,0.200000,3.400000,66,106,0
0,30,5,0.063291,0.000000,0.000000,74,199,0
0,31,5,0.063291,0.000000,0.000000,74,153,0
0,32,7,0.088608,0.000000,0.200000,72,158,0
0,33,7,0.088608,0.000000,0.200000,72,127,0
0,34,7,0.088608,0.000000,0.200000,72,163,0
0,35,7,0.088608,0.000000,0.200000,72,135,0
0,36,7,0.088608,0.000000,0.200000,72,170,0
0,37,7,0.088608,0.000000,0.200000,72,168,0
0,38,7,0.088608,0.000000,0.400000,72,164,0
0,39,7,0.088608,0.000000,0.400000,72,154,0
0,40,13,0.164557,-0.000000,0.800000,66,118,0
0,41,13,0.164557,-0.000000,0.800000,66,107,0
0,42,13,0.164557,-0.000000,0.800000,66,114,0
0,43,13,0.164557,0.000000,0.800000,66,96,0
0,44,13,0.164557,-0.000000,0.800000,66,111,0
0,45,5,0.063291,0.000000,0.000000,74,162,0
0,46,5,0.063291,0.000000,0.000000,74,135,0
0,47,7,0.088608,0.000000,0.000000,72,135,0
0,48,7,0.088608,-0.000000,0.000000,72,122,0
0,49,7,0.088608,0.000000,0.000000,72,142,0
0,50,7,0.088608,0.000000,0.000000,72,132,0
0,51,7,0.088608,0.000000,0.000000,72,152,0
0,52,7,0.088608,0.000000,0.000000,72,146,0
0,53,7,0.088608,0.000000,-0.000000,72,156,0
0,54,7,0.088608,0.000000,-0.000000,72,158,0
0,55,13,0.164557,0.000000,0.000000,66,119,0
0,56,13,0.164557,-0.000000,-0.000000,66,111,0
0,57,13,0.164557,0.000000,-0.000000,66,113,0
0,58,13,0.164557,0.000000,-0.000000,66,109,0
0,59,13,0.164557,0.000000,-0.000000,66,120,0
0,60,4,0.050633,0.000000,0.000000,75,198,0
0,61,4,0.050633,0.000000,0.000000,75,207,0
0,62,5,0.063291,0.000000,0.000000,74,183,0
0,63,5,0.063291,0.000000,0.000000,74,184,0
0,64,5,0.063291,0.000000,0.000000,74,196,0
0,65,5,0.063291,0.000000,0.000000,74,194,0
0,66,5,0.063291,0.000000,0.000000,74,199,0
0,67,5,0.063291,0.000000,0.000000,74,203,0
0,68,5,0.063291,0.000000,0.000000,74,208,0
0,69,5,0.063291,0.000000,0.000000,74,211,0
0,70,8,0.101266,0.000000,0.000000,71,171,0
0,71,8,0.101266,0.000000,0.000000,71,169,0
0,72,8,0.101266,0.000000,0.000000,71,168,0
0,73,8,0.101266,0.000000,0.000000,71,172,0
0,74,8,0.101266,0.000000,0.000000,71,173,0
0,75,19,0.240506,-0.000000,0.200000,60,73,0
0,76,19,0.240506,0.200000,1.000000,60,51,0
0,77,19,0.240506,0.000000,0.200000,60,73,0
0,78,19,0.240506,-0.000000,0.200000,60,76,0
0,79,19,0.240506,-0.000000,0.200000,60,76,0
