iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,8,0.019802,0.000000,0.000000,396,245,1
0,1,8,0.019802,0.000000,0.000000,396,93,0
0,2,12,0.029703,0.000000,1.000000,392,181,1
0,3,12,0.029703,0.000000,1.000000,392,83,0
0,4,12,0.029703,0.000000,1.000000,392,186,1
0,5,12,0.029703,0.000000,1.000000,392,108,0
0,6,12,0.029703,0.000000,1.000000,392,168,1
0,7,12,0.029703,0.000000,1.000000,392,121,0
0,8,12,0.029703,0.000000,2.000000,392,150,0
0,9,12,0.029703,0.000000,2.000000,392,130,0
0,10,24,0.059406,0.770270,4.000000,380,51,1
0,11,24,0.059406,0.635135,4.000000,380,52,0
0,12,24,0.059406,0.635135,4.000000,380,58,0
0,13,24,0.059406,0.635135,4.000000,380,57,0
0,14,24,0.059406,0.635135,4.000000,380,50,0
0,15,10,0.024752,0.000000,0.135135,394,195,1
0,16,10,0.024752,0.000000,0.135135,394,82,0
0,17,14,0.034653,0.000000,0.918919,390,148,1
0,18,14,0.034653,0.000000,0.918919,390,77,0
0,19,14,0.034653,0.000000,0.918919,390,154,1
0,20,14,0.034653,0.000000,0.918919,390,102,0
0,21,14,0.034653,0.000000,1.000000,390,141,1
0,22,14,0.034653,0.000000,1.000000,390,112,0
0,23,14,0.034653,0.000000,1.783784,390,138,0
0,24,14,0.034653,0.000000,1.783784,390,124,0
0,25,26,0.064356,0.216216,3.432432,378,68,1
0,26,26,0.064356,0.148649,3.432432,378,70,0
0,27,26,0.064356,0.135135,3.432432,378,70,0
0,28,26,0.064356,0.135135,3.351351,378,70,0
0,29,26,0.064356,0.135135,3.351351,378,64,0
0,30,10,0.024752,0.000000,0.000000,394,207,1
0,31,10,0.024752,0.000000,-0.000000,394,135,0
0,32,14,0.034653,0.000000,0.216216,390,174,1
0,33,14,0.034653,0.000000,0.216216,390,115,0
0,34,14,0.034653,0.000000,0.216216,390,185,1
0,35,14,0.034653,0.000000,0.216216,390,143,0
