cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,5.445946,431,-0.216216,0.013447,0.006089,0.029273,0.068861
1,5.437132,432,-0.218308,0.013425,0.005336,0.006696,0.102318
2,5.426025,433,-0.170712,0.013398,0.005069,0.007599,0.102847
3,5.400000,434,-0.062500,0.013333,0.005850,0.012951,0.090087
4,5.400000,435,-0.062500,0.013333,0.005823,0.007194,0.078793
5,5.400000,436,-0.062500,0.013333,0.005850,0.006476,0.086005
6,5.400000,437,-0.047619,0.013333,0.005797,0.005133,0.096702
7,5.400000,438,-0.200000,0.013333,0.006044,0.005832,0.071184
8,5.399383,439,-0.073720,0.013332,0.005392,0.005666,0.102805
9,5.395205,440,-0.059075,0.013321,0.005572,0.005820,0.092443
10,5.393728,441,-0.056911,0.013318,0.005605,0.004034,0.102786
11,5.392935,442,-0.047981,0.013316,0.005577,0.005465,0.096810
12,5.392308,443,-0.000000,0.013314,0.005769,0.005817,0.091401
