cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,6.409785,433,-0.467904,0.003158,0.000910,0.250678,0.384815
1,6.384518,434,-0.288402,0.003145,0.000980,0.037428,0.358770
2,6.367360,435,-0.289048,0.003137,0.000985,0.032604,0.376063
3,6.345164,436,-0.308422,0.003126,0.000941,0.031377,0.375498
4,6.314274,437,-0.286277,0.003110,0.000948,0.027412,0.328721
5,6.274229,438,-0.293091,0.003091,0.000862,0.026568,0.559980
6,6.262094,439,-0.261531,0.003085,0.000868,0.025032,0.410950
7,6.242793,440,-0.685898,0.003075,0.000924,0.026273,0.413095
8,6.071580,441,-0.263124,0.002991,0.000784,0.054826,0.512422
9,6.058358,442,-0.228755,0.002984,0.000743,0.027965,0.328183
10,6.050400,443,-0.542559,0.002980,0.000803,0.028084,1.693349
11,5.977600,444,-0.815600,0.002945,0.001265,0.033578,0.800556
12,5.941192,445,-0.189007,0.002927,0.000765,0.053905,0.397471
13,5.924370,446,-0.227074,0.002918,0.000755,0.028295,0.375160
14,5.906743,447,-0.194817,0.002910,0.000901,0.023747,0.380207
15,5.897681,448,-0.505599,0.002905,0.001020,0.035173,1.047114
16,5.839858,449,-0.183626,0.002877,0.000735,0.031245,0.337671
17,5.818505,450,-0.165856,0.002866,0.000830,0.028088,0.298466
18,5.814585,451,-0.207059,0.002864,0.000821,0.026938,0.276882
19,5.797091,452,-0.207939,0.002856,0.000844,0.024105,0.564153
20,5.787909,453,-0.293000,0.002851,0.000821,0.029770,0.390571
21,5.773234,454,-0.333319,0.002844,0.000868,0.024364,0.310904
22,5.758598,455,-0.167686,0.002837,0.000948,0.035849,0.353779
23,5.754705,456,-0.158366,0.002835,0.000887,0.023215,0.397531
24,5.747852,457,-0.165463,0.002831,0.000901,0.021951,0.331970
25,5.739696,458,-0.150128,0.002827,0.000885,0.028924,0.284824
26,5.732669,459,-0.147362,0.002824,0.000897,0.025442,0.347365
27,5.725965,460,-0.198257,0.002821,0.000886,0.026939,0.279287
28,5.713798,461,-0.215957,0.002815,0.000895,0.028327,0.702890
29,5.706300,462,-0.535500,0.002811,0.000900,0.028723,0.590246
30,5.667945,463,-0.135265,0.002792,0.000796,0.052542,0.554146
31,5.662720,464,-0.248546,0.002790,0.000682,0.018225,0.623447
32,5.653577,465,-0.157564,0.002785,0.000671,0.026741,0.396589
33,5.652536,466,-0.239335,0.002785,0.000682,0.022471,0.628205
34,5.644035,467,-0.172668,0.002780,0.000659,0.019733,0.440748
35,5.638582,468,-0.136956,0.002778,0.000711,0.020289,0.431183
36,5.631573,469,-0.131074,0.002774,0.000634,0.025069,0.365901
37,5.629784,470,-0.131907,0.002773,0.000640,0.021761,0.373302
38,5.627581,471,-0.177148,0.002772,0.000653,0.016572,0.350915
39,5.623582,472,-0.128472,0.002770,0.000639,0.021026,0.326318
40,5.617614,473,-0.141078,0.002767,0.000592,0.017808,0.438441
41,5.616475,474,-0.165306,0.002767,0.000655,0.014867,0.743845
42,5.615852,475,-0.152897,0.002766,0.000730,0.022451,1.090479
43,5.611882,476,-0.268697,0.002764,0.000640,0.028762,1.569448
44,5.592834,477,-0.129862,0.002755,0.000730,0.026682,0.347644
45,5.585185,478,-0.148148,0.002751,0.000866,0.031548,0.314688
46,5.582759,479,-0.053448,0.002750,0.000783,0.029282,1.308128
47,5.582399,480,-0.055661,0.002750,0.000774,0.018122,0.410723
48,5.581863,481,-0.052763,0.002750,0.000762,0.018830,1.991124
49,5.581672,482,-0.048828,0.002750,0.000765,0.019193,2.188526
50,5.580374,483,-0.050062,0.002749,0.000745,0.014089,0.880069
51,5.578917,484,-0.037037,0.002748,0.000840,0.018721,1.094627
52,5.577877,485,-0.006394,0.002748,0.000837,0.030617,1.346478
53,5.577853,486,-0.003709,0.002748,0.000837,0.022215,1.152795
54,5.577820,487,-0.003372,0.002748,0.000837,0.016176,1.141671
55,5.577757,488,0.000000,0.002748,0.000837,0.021265,1.381576
