iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,16,0.007886,0.000000,0.031323,2013,230,0
0,1,16,0.007886,0.020639,0.000000,2013,75,1
0,2,24,0.011828,0.000000,0.681950,2005,155,0
0,3,24,0.011828,0.000000,0.661311,2005,61,0
0,4,24,0.011828,0.000000,0.660880,2005,166,1
0,5,24,0.011828,0.000000,0.650197,2005,86,1
0,6,24,0.011828,0.000000,0.599667,2005,167,0
0,7,24,0.011828,0.000000,0.599667,2005,114,0
0,8,24,0.011828,0.000000,1.985237,2005,127,1
0,9,24,0.011828,0.000000,1.985237,2005,104,1
0,10,48,0.023657,0.473640,2.775274,1981,40,0
0,11,48,0.023657,0.595119,3.245784,1981,42,1
0,12,48,0.023657,0.508902,3.246215,1981,41,0
0,13,48,0.023657,0.537444,3.296745,1981,42,0
0,14,48,0.023657,0.495872,3.032312,1981,39,0
0,15,20,0.009857,0.000000,0.254568,2009,176,0
0,16,20,0.009857,0.000000,0.233929,2009,71,1
0,17,28,0.013800,0.000000,0.872148,2001,125,0
0,18,28,0.013800,0.000000,0.851509,2001,56,0
0,19,28,0.013800,0.000000,0.786710,2001,137,1
0,20,28,0.013800,0.000000,0.786710,2001,84,1
0,21,28,0.013800,0.000000,0.778501,2001,129,0
0,22,28,0.013800,0.000000,0.778501,2001,93,0
0,23,28,0.013800,0.000000,1.757496,2001,133,1
0,24,28,0.013800,0.000000,1.757496,2001,106,1
0,25,52,0.025628,0.068888,2.812963,1977,53,0
0,26,52,0.025628,0.043731,2.854850,1977,51,1
0,27,52,0.025628,0.021794,2.919650,1977,53,0
0,28,52,0.025628,0.009771,2.927858,1977,55,0
0,29,52,0.025628,0.000000,2.608331,1977,48,0
0,30,20,0.009857,0.000000,0.445205,2009,180,0
0,31,20,0.009857,0.000000,0.352306,2009,109,1
0,32,28,0.013800,0.000000,0.435522,2001,136,0
0,33,28,0.013800,0.000000,0.396037,2001,89,0
0,34,28,0.013800,0.000000,0.503135,2001,148,1
0,35,28,0.013800,0.000000,0.449722,2001,110,1
0,36,28,0.013800,0.000000,0.407400,2001,145,0
0,37,28,0.013800,0.000000,0.407400,2001,116,0
0,38,28,0.013800,0.000000,0.856164,2001,161,1
0,39,28,0.013800,0.000000,0.856164,2001,135,1
0,40,52,0.025628,0.042188,0.548546,1977,89,0
0,41,52,0.025628,0.000000,1.062086,1977,88,1
0,42,52,0.025628,0.000000,0.954988,1977,81,0
0,43,52,0.025628,0.000000,0.997310,1977,92,0
0,44,52,0.025628,0.000000,1.052404,1977,85,0
0,45,20,0.009857,0.000000,0.213314,2009,94,0
0,46,20,0.009857,0.039485,0.213314,2009,65,1
0,47,28,0.013800,0.000000,0.213314,2001,79,0
0,48,28,0.013800,0.000000,0.213314,2001,57,0
0,49,28,0.013800,0.000000,0.213314,2001,79,1
0,50,28,0.013800,0.000000,0.213314,2001,72,1
0,51,28,0.013800,0.000000,0.213314,2001,88,0
0,52,28,0.013800,0.000000,0.213314,2001,73,0
0,53,28,0.013800,0.000000,0.255502,2001,90,1
0,54,28,0.013800,0.000000,0.255502,2001,79,1
0,55,52,0.025628,0.000000,0.213314,1977,63,0
0,56,52,0.025628,0.000000,0.255502,1977,61,1
0,57,52,0.025628,0.000000,0.255502,1977,58,0
0,58,52,0.025628,0.000000,0.255502,1977,54,0
0,59,52,0.025628,0.000000,0.255502,1977,62,0
0,60,16,0.007886,0.000000,0.666323,2013,203,0
0,61,16,0.007886,0.000000,0.584108,2013,198,0
0,62,20,0.009857,0.000000,0.623593,2009,189,0
0,63,20,0.009857,0.000000,0.584108,2009,186,0
0,64,20,0.009857,0.000000,0.626838,2009,191,0
0,65,20,0.009857,0.000000,0.584108,2009,185,0
0,66,20,0.009857,0.000000,0.584108,2009,195,0
0,67,20,0.009857,0.000000,0.584108,2009,190,0
0,68,20,0.009857,0.000000,0.584108,2009,193,0
0,69,20,0.009857,0.000000,0.584108,2009,190,0
0,70,32,0.015771,0.000000,0.584108,1997,168,0
0,71,32,0.015771,0.000000,0.626838,1997,166,0
0,72,32,0.015771,0.000000,0.584108,1997,168,0
0,73,32,0.015771,0.000000,0.584108,1997,170,0
0,74,32,0.015771,0.000000,0.584108,1997,170,0
0,75,76,0.037457,0.204983,1.123254,1953,40,0
0,76,76,0.037457,0.233929,1.860509,1953,45,0
0,77,76,0.037457,0.213314,1.073538,1953,39,0
0,78,76,0.037457,0.130684,1.252558,1953,78,0
0,79,76,0.037457,0.254300,1.059952,1953,41,1
0,80,18,0.008871,0.000000,0.216615,2011,188,0
0,81,18,0.008871,0.000000,0.195975,2011,81,0
0,82,26,0.012814,0.000000,0.872392,2003,132,0
0,83,26,0.012814,0.000000,0.851753,2003,67,0
0,84,26,0.012814,0.000000,0.782736,2003,138,0
0,85,26,0.012814,0.000000,0.782736,2003,91,0
0,86,26,0.012814,0.000000,0.750319,2003,141,0
0,87,26,0.012814,0.000000,0.750319,2003,106,0
0,88,26,0.012814,0.000000,1.476459,2003,121,0
0,89,26,0.012814,0.000000,1.476459,2003,104,0
0,90,50,0.024643,0.026405,2.521807,1979,53,0
0,91,50,0.024643,0.005534,2.617563,1979,61,0
0,92,50,0.024643,0.000000,2.686580,1979,60,0
0,93,50,0.024643,0.000000,2.718997,1979,58,0
0,94,50,0.024643,0.154905,2.744389,1979,54,0
0,95,22,0.010843,0.000000,0.450543,2007,140,0
0,96,22,0.010843,0.000000,0.429904,2007,73,0
0,97,30,0.014786,0.000000,1.062590,1999,106,0
0,98,30,0.014786,0.010683,1.041951,1999,52,0
0,99,30,0.014786,0.000000,0.938805,1999,109,0
0,100,30,0.014786,0.000000,0.938805,1999,78,0
0,101,30,0.014786,0.000000,0.974477,1999,111,0
0,102,30,0.014786,0.000000,0.974477,1999,84,0
0,103,30,0.014786,0.000000,1.560239,1999,106,0
0,104,30,0.014786,0.000000,1.560239,1999,87,0
0,105,54,0.026614,0.276170,2.624376,1975,48,0
0,106,54,0.026614,0.000000,2.613713,1975,52,0
0,107,54,0.026614,0.000000,2.716858,1975,51,0
0,108,54,0.026614,0.045323,2.681187,1975,54,0
0,109,54,0.026614,0.000000,2.696809,1975,52,0
0,110,22,0.010843,0.000000,0.498237,2007,175,0
0,111,22,0.010843,0.000000,0.458751,2007,110,0
0,112,30,0.014786,0.000000,0.541967,1999,141,0
0,113,30,0.014786,0.000000,0.502482,1999,93,0
0,114,30,0.014786,0.000000,0.536610,1999,143,0
0,115,30,0.014786,0.000000,0.536610,1999,111,0
0,116,30,0.014786,0.000000,0.468522,1999,145,0
0,117,30,0.014786,0.000000,0.468522,1999,115,0
0,118,30,0.014786,0.000000,0.651088,1999,149,0
0,119,30,0.014786,0.000000,0.651088,1999,129,0
0,120,54,0.026614,0.000000,0.590112,1975,89,0
0,121,54,0.026614,0.000000,0.738717,1975,93,0
0,122,54,0.026614,0.000000,0.704589,1975,88,0
0,123,54,0.026614,0.000000,0.772677,1975,96,0
0,124,54,0.026614,0.000000,0.782448,1975,87,0
0,125,22,0.010843,0.000000,0.326659,2007,76,0
0,126,22,0.010843,0.000000,0.326659,2007,71,0
0,127,30,0.014786,0.000000,0.326659,1999,69,0
0,128,30,0.014786,0.042730,0.326659,1999,55,0
0,129,30,0.014786,0.000000,0.326659,1999,69,0
0,130,30,0.014786,0.000000,0.326659,1999,74,0
