cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,6.409785,433,-0.957613,0.003158,0.000910,0.232327,0.612370
1,6.271732,434,-0.905787,0.003090,0.000731,0.057346,0.627590
2,6.194454,435,-0.787183,0.003051,0.000709,0.053638,0.619785
3,6.153191,436,-0.770855,0.003031,0.000726,0.041980,0.619004
4,6.120886,437,-0.706168,0.003015,0.000719,0.046992,0.620415
5,6.111245,438,-0.759341,0.003010,0.000710,0.041783,0.614532
6,6.103159,439,-0.725203,0.003006,0.000745,0.044721,0.611418
7,6.092882,440,-0.679638,0.003001,0.000728,0.046759,0.644276
8,6.086656,441,-0.707043,0.002998,0.000666,0.041520,0.616423
9,6.079470,442,-0.675746,0.002995,0.000663,0.045746,0.621410
10,6.074304,443,-0.682010,0.002992,0.000722,0.040898,0.635826
11,6.069374,444,-0.717462,0.002990,0.000736,0.040020,0.661477
12,6.064197,445,-0.711793,0.002987,0.000728,0.042491,0.652365
13,6.059099,446,-0.700017,0.002985,0.000798,0.052006,0.663408
14,6.054939,447,-0.707305,0.002983,0.000634,0.046120,0.613324
15,6.052139,448,-0.663132,0.002981,0.000680,0.034471,0.640619
16,6.049575,449,-0.608998,0.002980,0.000673,0.038218,0.638210
17,6.046995,450,-0.692674,0.002979,0.000664,0.034493,0.623068
18,6.044407,451,-0.683623,0.002978,0.000672,0.039311,0.619525
19,6.040747,452,-0.644406,0.002976,0.000738,0.047193,0.676575
20,6.037360,453,-0.706935,0.002974,0.000643,0.038548,0.640954
21,6.035259,454,-0.659973,0.002973,0.000665,0.041270,0.640721
22,6.032210,455,-0.720671,0.002972,0.000764,0.040889,0.629786
23,6.028418,456,-0.629070,0.002970,0.000694,0.043905,0.632781
24,6.025416,457,-0.581826,0.002968,0.000791,0.044441,0.656803
25,6.022934,458,-0.814667,0.002967,0.000682,0.053799,0.622063
26,6.019542,459,-0.666603,0.002965,0.000674,0.040234,0.617521
27,6.016816,460,-0.676793,0.002964,0.000674,0.040807,0.637385
28,6.014984,461,-0.615908,0.002963,0.000666,0.052724,0.659268
29,6.013566,462,-0.657222,0.002962,0.000649,0.052944,0.660542
30,6.012468,463,-0.589120,0.002962,0.000678,0.052812,0.661061
31,6.010794,464,-0.645671,0.002961,0.000675,0.052273,0.664818
32,6.009235,465,-0.626908,0.002960,0.000752,0.055422,0.611535
33,6.006940,466,-0.696159,0.002959,0.000650,0.054946,0.641532
34,6.004930,467,-0.675356,0.002958,0.000689,0.052076,0.642618
35,6.000682,468,-0.732587,0.002956,0.000656,0.062346,0.683854
36,5.997468,469,-0.690105,0.002954,0.000690,0.049202,0.627155
37,5.993171,470,-0.598699,0.002952,0.000653,0.058932,0.656015
38,5.988418,471,-0.676717,0.002950,0.000657,0.047312,0.617976
39,5.984488,472,-0.615481,0.002948,0.000627,0.057162,0.676556
40,5.980464,473,-0.650629,0.002946,0.000656,0.050278,0.630670
41,5.977708,474,-0.672630,0.002945,0.000661,0.046542,0.606217
42,5.974655,475,-0.690923,0.002943,0.000633,0.054025,0.621583
43,5.971700,476,-0.662489,0.002942,0.000634,0.054530,0.622442
44,5.969265,477,-0.666428,0.002941,0.000656,0.057417,0.618412
45,5.967812,478,-0.595772,0.002940,0.000675,0.045461,0.659779
46,5.966312,479,-0.565940,0.002939,0.000613,0.056324,0.669625
47,5.965016,480,-0.547793,0.002938,0.000661,0.051979,0.651063
48,5.964046,481,-0.588802,0.002938,0.000696,0.048792,0.639825
49,5.962600,482,-0.591703,0.002937,0.000651,0.056677,0.666423
50,5.961541,483,-0.619124,0.002937,0.000666,0.055128,0.651283
51,5.960684,484,-0.616207,0.002936,0.000622,0.052703,0.663271
52,5.959663,485,-0.642025,0.002936,0.000643,0.048969,0.689998
53,5.958419,486,-0.619160,0.002935,0.000628,0.058125,0.649404
54,5.957520,487,-0.609060,0.002935,0.000660,0.049690,0.622100
55,5.956625,488,-0.574236,0.002934,0.000632,0.058479,0.647696
56,5.955787,489,-0.565592,0.002934,0.000619,0.058770,0.680443
57,5.955192,490,-0.517572,0.002934,0.000631,0.048745,0.675824
58,5.954242,491,-0.588675,0.002933,0.000590,0.067678,0.688421
59,5.953359,492,-0.632241,0.002933,0.000605,0.054223,0.677101
60,5.952560,493,-0.587998,0.002932,0.000614,0.066679,0.715215
61,5.951745,494,-0.596737,0.002932,0.000606,0.064832,0.664952
62,5.951251,495,-0.589974,0.002932,0.000650,0.071350,0.624081
63,5.950680,496,-0.530898,0.002931,0.000622,0.074540,0.717211
64,5.950077,497,-0.565648,0.002931,0.000612,0.059253,0.702575
65,5.949504,498,-0.591262,0.002931,0.000625,0.063162,0.673696
66,5.949041,499,-0.640322,0.002931,0.000603,0.061054,0.702295
67,5.948618,500,-0.598744,0.002930,0.000589,0.052539,0.692062
68,5.947857,501,-0.627039,0.002930,0.000668,0.066455,0.696080
69,5.947453,502,-0.581192,0.002930,0.000643,0.046368,0.682381
70,5.946956,503,-0.664034,0.002930,0.000586,0.066603,0.618909
71,5.946347,504,-0.611897,0.002929,0.000622,0.065104,0.657743
72,5.945698,505,-0.633797,0.002929,0.000600,0.060647,0.706535
73,5.944639,506,-0.667583,0.002928,0.000616,0.065976,0.639494
74,5.943980,507,-0.666911,0.002928,0.000599,0.058120,0.607895
75,5.943081,508,-0.616543,0.002928,0.000640,0.081905,0.631081
76,5.941751,509,-0.608891,0.002927,0.000605,0.078171,0.684264
77,5.940602,510,-0.607338,0.002926,0.000589,0.065442,0.683657
78,5.939808,511,-0.610866,0.002926,0.000592,0.078645,0.672664
79,5.938754,512,-0.635918,0.002925,0.000636,0.073744,0.666032
