cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.358689,431,-0.068646,0.042119,0.000319,0.008692,0.044692
1,2.355680,432,-0.054591,0.042066,0.000333,0.001643,0.049998
2,2.351246,433,-0.051903,0.041987,0.000313,0.001679,0.091807
3,2.349054,434,-0.043788,0.041947,0.000352,0.001864,0.075563
4,2.347815,435,-0.038837,0.041925,0.000308,0.001251,0.070694
5,2.347388,436,-0.036729,0.041918,0.000316,0.001108,0.071633
6,2.346061,437,-0.043524,0.041894,0.000333,0.001629,0.067930
7,2.343947,438,-0.038341,0.041856,0.000352,0.001946,0.061455
8,2.343231,439,-0.034004,0.041843,0.000307,0.001826,0.060986
9,2.343152,440,-0.044396,0.041842,0.000346,0.001506,0.042933
10,2.342290,441,-0.037401,0.041827,0.000377,0.001655,0.068655
11,2.342239,442,-0.036132,0.041826,0.000332,0.001407,0.076382
12,2.340787,443,-0.027656,0.041800,0.000333,0.000972,0.058040
13,2.340779,444,-0.038344,0.041800,0.000333,0.001476,0.047144
14,2.340557,445,-0.033849,0.041796,0.000316,0.001353,0.037479
15,2.340411,446,-0.021692,0.041793,0.000311,0.000996,0.055003
16,2.339960,447,-0.025066,0.041785,0.000354,0.000791,0.048517
17,2.339833,448,-0.026030,0.041783,0.000339,0.000893,0.057007
18,2.339496,449,-0.015139,0.041777,0.000308,0.000727,0.054912
19,2.339341,450,-0.020514,0.041774,0.000300,0.000799,0.054987
20,2.339341,451,-0.028864,0.041774,0.000298,0.000704,0.037195
21,2.339294,452,-0.031448,0.041773,0.000329,0.000953,0.050582
22,2.338137,453,-0.020292,0.041752,0.000318,0.000944,0.068723
23,2.337820,454,-0.021397,0.041747,0.000330,0.000625,0.060958
24,2.337552,455,-0.018647,0.041742,0.000315,0.000769,0.043977
25,2.337266,456,-0.014650,0.041737,0.000293,0.001037,0.055095
26,2.337100,457,-0.016896,0.041734,0.000307,0.000899,0.051229
27,2.336857,458,-0.011736,0.041730,0.000294,0.000660,0.055479
28,2.336301,459,-0.025132,0.041720,0.000313,0.000723,0.053317
29,2.336301,460,-0.012575,0.041720,0.000282,0.000660,0.065444
30,2.336159,461,-0.011287,0.041717,0.000279,0.000706,0.061619
31,2.335798,462,-0.008361,0.041711,0.000276,0.000715,0.069941
32,2.335784,463,-0.010723,0.041710,0.000277,0.001002,0.087426
33,2.335419,464,-0.005045,0.041704,0.000269,0.000782,0.055161
34,2.335231,465,-0.004122,0.041701,0.000267,0.000780,0.057284
35,2.335148,466,-0.004223,0.041699,0.000267,0.000614,0.068561
36,2.334908,467,-0.003680,0.041695,0.000264,0.000712,0.091876
37,2.334860,468,-0.005074,0.041694,0.000264,0.000609,0.054484
38,2.334752,469,-0.003402,0.041692,0.000263,0.000568,0.062445
39,2.334685,470,-0.004727,0.041691,0.000262,0.000562,0.072986
40,2.334532,471,-0.003281,0.041688,0.000261,0.000560,0.047332
41,2.334380,472,-0.000000,0.041685,0.000259,0.000583,0.044047
