iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,4,0.072727,0.072678,0.188012,51,205,0.853591
0,1,4,0.072727,0.034890,0.207185,51,146,0.145743
0,2,4,0.072727,0.071682,0.207201,51,187,0.849427
0,3,4,0.072727,0.040824,0.214862,51,142,0.170528
0,4,4,0.072727,0.040824,0.187627,51,186,0.170528
0,5,4,0.072727,0.048978,0.191663,51,163,0.204590
0,6,4,0.072727,0.051055,0.193891,51,190,0.763266
0,7,4,0.072727,0.060330,0.193292,51,158,0.802008
0,8,4,0.072727,0.062120,0.201383,51,178,0.259488
0,9,4,0.072727,0.062407,0.202672,51,157,0.260684
0,10,4,0.072727,0.062120,0.185845,51,152,0.809488
0,11,4,0.072727,0.045897,0.170751,51,193,0.191720
0,12,4,0.072727,0.067259,0.220223,51,144,0.280951
0,13,4,0.072727,0.016928,0.157102,51,173,0.070713
0,14,4,0.072727,0.045039,0.202165,51,149,0.188136
0,15,4,0.072727,0.055463,0.205756,51,173,0.231680
0,16,4,0.072727,0.056074,0.193891,51,156,0.234231
0,17,4,0.072727,0.051998,0.191663,51,179,0.217205
0,18,4,0.072727,0.041434,0.190031,51,153,0.173079
0,19,4,0.072727,0.034885,0.212799,51,167,0.145721
0,20,4,0.072727,0.026433,0.200100,51,156,0.110415
0,21,4,0.072727,0.037498,0.209937,51,153,0.156638
0,22,4,0.072727,0.045396,0.193027,51,181,0.739626
0,23,4,0.072727,0.034545,0.126681,51,154,0.694301
0,24,4,0.072727,0.030467,0.185827,51,184,0.677268
0,25,4,0.072727,0.060492,0.174305,51,157,0.802684
0,26,4,0.072727,0.043267,0.157134,51,172,0.730733
0,27,4,0.072727,0.038689,0.135459,51,162,0.711610
0,28,4,0.072727,0.040688,0.151040,51,175,0.719959
0,29,4,0.072727,0.044111,0.170399,51,166,0.734261
0,30,4,0.072727,0.043820,0.157929,51,178,0.733045
0,31,4,0.072727,0.041589,0.171289,51,162,0.723727
0,32,4,0.072727,0.046237,0.161452,51,158,0.743140
0,33,4,0.072727,0.038520,0.132946,51,133,0.160905
0,34,4,0.072727,0.048469,0.138358,51,137,0.202465
0,35,4,0.072727,0.025336,0.104588,51,138,0.105832
0,36,4,0.072727,0.032260,0.120249,51,135,0.134757
0,37,4,0.072727,0.034425,0.150379,51,136,0.143798
0,38,4,0.072727,0.014025,0.112411,51,140,0.058586
0,39,4,0.072727,0.041197,0.136070,51,141,0.172086
0,40,4,0.072727,0.038400,0.132713,51,140,0.160405
0,41,4,0.072727,0.045626,0.159658,51,137,0.190589
0,42,4,0.072727,0.054508,0.131547,51,136,0.227691
0,43,4,0.072727,0.040596,0.182641,51,136,0.169578
0,44,3,0.054545,0.031587,0.188458,52,209,0.681943
0,45,3,0.054545,0.027168,0.171584,52,224,0.663487
0,46,3,0.054545,0.030908,0.170223,52,216,0.679109
0,47,3,0.054545,0.010741,0.180673,52,224,0.594867
0,48,3,0.054545,0.000000,0.178389,52,210,0.000000
0,49,3,0.054545,0.004186,0.174261,52,221,0.567486
0,50,3,0.054545,0.010348,0.176262,52,208,0.593227
0,51,3,0.054545,0.035035,0.187779,52,222,0.696348
0,52,3,0.054545,0.045626,0.186725,52,206,0.740589
0,53,3,0.054545,0.051605,0.189521,52,217,0.765565
0,54,3,0.054545,0.034274,0.207863,52,218,0.693171
0,55,11,0.200000,0.107728,0.281480,44,109,0.450000
1,0,4,0.072727,0.075054,0.193922,51,206,0.858654
1,1,4,0.072727,0.041675,0.197463,51,146,0.155074
1,2,4,0.072727,0.053373,0.205199,51,188,0.758898
1,3,4,0.072727,0.077193,0.232857,51,142,0.318498
1,4,4,0.072727,0.077193,0.212961,51,186,0.868498
1,5,4,0.072727,0.035747,0.171110,51,163,0.127800
1,6,4,0.072727,0.046852,0.193776,51,191,0.178895
1,7,4,0.072727,0.041656,0.205817,51,159,0.154990
1,8,4,0.072727,0.053571,0.220641,51,178,0.759811
1,9,4,0.072727,0.060742,0.194769,51,157,0.792804
1,10,4,0.072727,0.061552,0.186552,51,153,0.246531
1,11,4,0.072727,0.047214,0.203197,51,193,0.730560
1,12,4,0.072727,0.061073,0.209214,51,144,0.244328
1,13,4,0.072727,0.021822,0.148385,51,173,0.613732
1,14,4,0.072727,0.013981,0.220560,51,149,0.027652
1,15,4,0.072727,0.033396,0.201565,51,173,0.666983
1,16,4,0.072727,0.066704,0.187845,51,156,0.270237
1,17,4,0.072727,0.049063,0.171110,51,179,0.189068
1,18,4,0.072727,0.080131,0.216905,51,153,0.332015
1,19,4,0.072727,0.041656,0.184191,51,167,0.704990
1,20,4,0.072727,0.030583,0.189991,51,156,0.654039
1,21,4,0.072727,0.037302,0.206466,51,153,0.134955
1,22,4,0.072727,0.031413,0.164102,51,182,0.657859
1,23,4,0.072727,0.039254,0.143746,51,155,0.143938
1,24,4,0.072727,0.049375,0.205291,51,185,0.740504
1,25,4,0.072727,0.045074,0.152563,51,158,0.170717
1,26,4,0.072727,0.036900,0.160733,51,173,0.683105
1,27,4,0.072727,0.031709,0.148385,51,163,0.109222
1,28,4,0.072727,0.038246,0.158366,51,176,0.139297
1,29,4,0.072727,0.037641,0.148872,51,167,0.136514
1,30,4,0.072727,0.049241,0.188749,51,179,0.739888
1,31,4,0.072727,0.042912,0.163749,51,163,0.710766
1,32,4,0.072727,0.043342,0.153895,51,159,0.162746
1,33,4,0.072727,0.038538,0.128283,51,133,0.690642
1,34,4,0.072727,0.057687,0.150331,51,137,0.228751
1,35,4,0.072727,0.036172,0.105299,51,138,0.679755
1,36,4,0.072727,0.031361,0.115460,51,135,0.107618
1,37,4,0.072727,0.033415,0.140688,51,136,0.667073
1,38,4,0.072727,0.019827,0.127546,51,140,0.054550
1,39,4,0.072727,0.041328,0.142969,51,141,0.153480
1,40,4,0.072727,0.035260,0.123552,51,140,0.125562
1,41,4,0.072727,0.040404,0.139720,51,137,0.699229
1,42,4,0.072727,0.041252,0.114880,51,136,0.703131
1,43,4,0.072727,0.036056,0.173416,51,136,0.129223
1,44,3,0.054545,0.037589,0.194822,52,210,0.686274
1,45,3,0.054545,0.019397,0.180484,52,225,0.052571
1,46,3,0.054545,0.031955,0.183288,52,217,0.660352
1,47,3,0.054545,0.024557,0.177727,52,225,0.076315
1,48,3,0.054545,0.009559,0.172395,52,210,0.557306
1,49,3,0.054545,0.014938,0.183274,52,222,0.032058
1,50,3,0.054545,0.007971,0.166853,52,209,0.000000
1,51,3,0.054545,0.033415,0.179594,52,223,0.117073
1,52,3,0.054545,0.027853,0.177090,52,207,0.641478
1,53,3,0.054545,0.053410,0.183158,52,218,0.759069
1,54,3,0.054545,0.025322,0.187430,52,219,0.079834
1,55,11,0.200000,0.105774,0.285965,44,109,0.450000
2,0,4,0.072727,0.084850,0.201712,51,207,0.873430
2,1,4,0.072727,0.048818,0.207485,51,146,0.165638
2,2,4,0.072727,0.053268,0.209028,51,189,0.735125
2,3,4,0.072727,0.068045,0.220939,51,142,0.249836
2,4,4,0.072727,0.068045,0.205999,51,187,0.799836
2,5,4,0.072727,0.037397,0.175688,51,163,0.115623
2,6,4,0.072727,0.047266,0.185979,51,191,0.158841
2,7,4,0.072727,0.045669,0.197052,51,159,0.151850
2,8,4,0.072727,0.058205,0.216565,51,179,0.756744
2,9,4,0.072727,0.049482,0.188920,51,158,0.718548
2,10,4,0.072727,0.052149,0.183225,51,153,0.180225
2,11,4,0.072727,0.034450,0.200999,51,194,0.102719
2,12,4,0.072727,0.062044,0.216481,51,144,0.223556
2,13,4,0.072727,0.034917,0.153365,51,174,0.104764
2,14,4,0.072727,0.022806,0.221925,51,149,0.051727
2,15,4,0.072727,0.033594,0.193156,51,174,0.098972
2,16,4,0.072727,0.060770,0.183762,51,156,0.217978
2,17,4,0.072727,0.040237,0.175688,51,179,0.128061
2,18,4,0.072727,0.069479,0.202911,51,153,0.256116
2,19,4,0.072727,0.037208,0.170838,51,168,0.114798
2,20,4,0.072727,0.038330,0.189647,51,157,0.119708
2,21,4,0.072727,0.049268,0.213529,51,153,0.167611
2,22,4,0.072727,0.042103,0.163213,51,183,0.686233
2,23,4,0.072727,0.034450,0.127617,51,155,0.652719
2,24,4,0.072727,0.036260,0.204316,51,186,0.660646
2,25,4,0.072727,0.049686,0.152689,51,158,0.719441
2,26,4,0.072727,0.026928,0.160508,51,174,0.619777
2,27,4,0.072727,0.032701,0.152969,51,163,0.645057
2,28,4,0.072727,0.046968,0.174517,51,176,0.707538
2,29,4,0.072727,0.029755,0.146180,51,167,0.632159
2,30,4,0.072727,0.049734,0.175896,51,180,0.719650
2,31,4,0.072727,0.056108,0.178314,51,164,0.747563
2,32,4,0.072727,0.043264,0.136276,51,159,0.691318
2,33,4,0.072727,0.039022,0.126049,51,134,0.122742
2,34,4,0.072727,0.037068,0.139878,51,137,0.114183
2,35,4,0.072727,0.019227,0.130948,51,139,0.036052
2,36,4,0.072727,0.041296,0.111488,51,135,0.132696
2,37,4,0.072727,0.045622,0.142849,51,137,0.151643
2,38,4,0.072727,0.044435,0.143530,51,140,0.146444
2,39,4,0.072727,0.058588,0.162632,51,141,0.208422
2,40,4,0.072727,0.026928,0.112902,51,140,0.069777
2,41,4,0.072727,0.029755,0.129636,51,138,0.082159
2,42,4,0.072727,0.030982,0.121215,51,137,0.087533
2,43,4,0.072727,0.030221,0.154981,51,136,0.084198
2,44,3,0.054545,0.021201,0.192116,52,211,0.594700
2,45,3,0.054545,0.024127,0.172001,52,225,0.607513
2,46,3,0.054545,0.040313,0.195255,52,218,0.678395
2,47,3,0.054545,0.017785,0.198397,52,225,0.579740
2,48,3,0.054545,0.021255,0.181976,52,211,0.594935
2,49,3,0.054545,0.039670,0.191567,52,222,0.675577
2,50,3,0.054545,0.019988,0.189170,52,209,0.589387
2,51,3,0.054545,0.045622,0.189130,52,223,0.701643
2,52,3,0.054545,0.014985,0.170901,52,208,0.567476
2,53,3,0.054545,0.034154,0.202561,52,219,0.651421
2,54,3,0.054545,0.010994,0.174490,52,219,0.550000
2,55,11,0.200000,0.113752,0.290096,44,109,0.450000
3,0,4,0.072727,0.080576,0.193707,51,208,0.329549
3,1,4,0.072727,0.038432,0.196980,51,146,0.707185
3,2,4,0.072727,0.029867,0.205838,51,190,0.122152
3,3,4,0.072727,0.072010,0.231173,51,142,0.844516
3,4,4,0.072727,0.072010,0.203142,51,188,0.294516
3,5,4,0.072727,0.072010,0.177054,51,163,0.844516
3,6,4,0.072727,0.071911,0.207070,51,191,0.294111
3,7,4,0.072727,0.036625,0.197291,51,159,0.699791
3,8,4,0.072727,0.057200,0.217872,51,180,0.233941
3,9,4,0.072727,0.037391,0.209006,51,159,0.702928
3,10,4,0.072727,0.058065,0.189088,51,153,0.237482
3,11,4,0.072727,0.040540,0.197100,51,194,0.165807
3,12,4,0.072727,0.062189,0.193828,51,144,0.804347
